symbol,day_n,day_start,day_end,min5_n,min5_start,min5_end,med_tv_cr,split_flags,worst_gap,gap_dates
NCC,5363,2005-01-03,2026-09-11,185491,2015-02-02,2026-07-16,22.76,0,1.199,
NESTLEIND,4127,2010-01-08,2026-09-15,184937,2015-02-02,2026-07-16,50.64,0,1.253,
NETWORK18,4846,2007-02-02,2026-09-11,185373,2015-02-02,2026-07-16,2.28,0,1.249,
NFL,4869,2006-12-28,2026-09-11,185469,2015-02-02,2026-07-16,1.43,0,1.22,
NHPC,4211,2009-09-01,2026-09-15,185489,2015-02-02,2026-07-16,14.1,0,1.192,
NILKAMAL,5280,2005-01-03,2026-05-15,185097,2015-02-02,2026-07-16,0.72,0,1.211,
NLCINDIA,5364,2005-01-03,2026-09-15,185489,2015-02-02,2026-07-16,3.85,0,1.178,
NMDC,4575,2008-03-03,2026-09-15,185485,2015-02-02,2026-07-16,31.5,1,1.709,2022-10-27
NTPC,5403,2004-11-05,2026-09-15,184939,2015-02-02,2026-07-16,67.02,0,1.161,
OBEROIRLTY,3931,2010-10-20,2026-09-15,185489,2015-02-02,2026-07-16,13.0,0,1.168,
OFSS,5364,2005-01-03,2026-09-15,185490,2015-02-02,2026-07-16,9.31,1,1.656,2008-10-16
OIL,4192,2009-09-30,2026-09-15,185491,2015-02-02,2026-07-16,17.86,0,1.192,
ONGC,3480,2003-01-01,2026-09-15,184939,2015-02-02,2026-07-16,108.16,0,1.293,
ORIENTCEM,3253,2013-07-12,2026-09-11,185307,2015-02-02,2026-07-16,3.12,0,1.149,
PAGEIND,4818,2007-03-16,2026-09-15,185487,2015-02-02,2026-07-16,15.87,0,1.239,
PERSISTENT,4070,2010-04-06,2026-09-15,188557,2015-02-02,2026-09-15,8.7,0,1.121,
PETRONET,5364,2005-01-03,2026-09-15,185489,2015-02-02,2026-07-16,29.66,0,1.219,
PFC,4833,2007-02-23,2026-09-15,185491,2015-02-02,2026-07-16,54.56,0,1.244,
PFIZER,5363,2005-01-03,2026-09-11,185466,2015-02-02,2026-07-16,2.23,0,1.2,
PGHH,5363,2005-01-03,2026-09-11,185216,2015-02-02,2026-07-16,1.67,0,1.166,
PHOENIXLTD,4794,2007-04-23,2026-09-15,185039,2015-02-02,2026-07-16,2.03,0,1.24,
PIDILITIND,5364,2005-01-03,2026-09-15,184939,2015-02-02,2026-07-16,18.54,0,1.149,
PIIND,3768,2011-06-15,2026-09-15,185490,2015-02-02,2026-07-16,10.92,0,1.159,
PNB,5364,2005-01-03,2026-09-15,185233,2015-02-02,2026-07-16,79.86,0,1.192,
PNCINFRA,2799,2015-05-26,2026-09-11,180370,2015-05-26,2026-07-16,5.29,0,1.179,
POWERGRID,4679,2007-10-05,2026-09-15,184939,2015-02-02,2026-07-16,83.19,0,1.234,
PRAJIND,5363,2005-01-03,2026-09-11,185490,2015-02-02,2026-07-16,10.14,0,1.193,
PRESTIGE,3926,2010-10-27,2026-09-15,185487,2015-02-02,2026-07-16,7.36,0,1.188,
PTC,5363,2005-01-03,2026-09-11,185489,2015-02-02,2026-07-16,7.83,0,1.25,
RADICO,5364,2005-01-03,2026-09-15,185489,2015-02-02,2026-07-16,3.89,0,1.239,
RAIN,4575,2008-03-03,2026-09-15,185483,2015-02-02,2026-07-16,6.08,0,1.195,
RALLIS,5363,2005-01-03,2026-09-11,185489,2015-02-02,2026-07-16,3.46,0,1.247,
RAMCOCEM,5363,2005-01-03,2026-09-11,185474,2015-02-02,2026-07-16,6.12,0,1.198,
RATNAMANI,5025,2006-05-09,2026-09-11,183925,2015-02-02,2026-07-16,0.47,0,1.21,
RAYMOND,5364,2005-01-03,2026-09-15,185478,2015-02-02,2026-07-16,11.82,2,1.815,2024-07-11;2025-05-14
RCF,5363,2005-01-03,2026-09-11,185490,2015-02-02,2026-07-16,5.86,0,1.219,
RECLTD,4569,2008-03-12,2026-09-15,185490,2015-02-02,2026-07-16,60.22,0,1.156,
REDINGTON,4838,2007-02-15,2026-09-15,185471,2015-02-02,2026-07-16,2.61,0,1.217,
RELAXO,3765,2011-06-17,2026-09-11,185428,2015-02-02,2026-07-16,1.33,0,1.196,
RELIANCE,6640,2000-01-03,2026-09-15,189678,2015-02-02,2026-09-15,440.88,0,1.24,
RVNL,1841,2019-04-11,2026-09-15,117597,2015-08-12,2026-07-16,61.65,0,1.149,
SAIL,5364,2005-01-03,2026-09-15,185490,2015-02-02,2026-07-16,93.09,0,1.158,
SANOFI,5363,2005-01-03,2026-09-11,185230,2015-02-02,2026-07-16,1.43,0,1.435,
SBILIFE,2217,2017-10-03,2026-09-15,143237,2015-02-02,2026-07-16,124.0,0,1.13,
SBIN,5845,2003-01-01,2026-09-15,186066,2015-02-02,2026-07-16,427.53,0,1.217,
SCHAEFFLER,5363,2005-01-03,2026-09-11,184523,2015-02-02,2026-07-16,0.78,0,1.194,
SHK,2680,2015-11-16,2026-09-11,172426,2015-11-16,2026-07-16,2.65,0,1.109,
SHREECEM,5845,2003-01-01,2026-09-15,184935,2015-02-02,2026-07-16,8.32,0,1.244,
SIEMENS,5364,2005-01-03,2026-09-15,184935,2015-02-02,2026-07-16,31.84,0,1.532,
SJVN,4038,2010-05-20,2026-09-11,185487,2015-02-02,2026-07-16,2.19,0,1.195,
SKFINDIA,5363,2005-01-03,2026-09-11,184816,2015-02-02,2026-07-16,1.25,0,1.241,
SOBHA,4874,2006-12-20,2026-09-11,185489,2015-02-02,2026-07-16,6.47,0,1.176,
SOLARINDS,5053,2006-04-03,2026-09-15,184612,2015-02-02,2026-07-16,0.72,0,1.246,
SONATSOFTW,5363,2005-01-03,2026-09-11,185489,2015-02-02,2026-07-16,2.32,0,1.184,
SOUTHBANK,5364,2005-01-03,2026-09-15,185492,2015-02-02,2026-07-16,6.19,0,1.241,
SRF,5364,2005-01-03,2026-09-15,185489,2015-02-02,2026-07-16,23.79,0,1.219,
STAR,5364,2005-01-03,2026-09-15,185486,2015-02-02,2026-07-16,15.85,1,2.041,2024-12-06
SUDARSCHEM,4918,2006-05-16,2026-09-15,185326,2015-02-02,2026-07-16,0.87,0,1.277,
SUNDARMFIN,5363,2005-01-03,2026-09-11,185195,2015-02-02,2026-07-16,2.21,0,1.227,
SUNDRMFAST,5363,2005-01-03,2026-09-11,185471,2015-02-02,2026-07-16,1.72,0,1.205,
SUNPHARMA,5845,2003-01-01,2026-09-15,184938,2015-02-02,2026-07-16,146.08,0,1.228,
SUNTV,5041,2006-04-24,2026-09-11,185490,2015-02-02,2026-07-16,28.06,0,1.25,
SUPREMEIND,5364,2005-01-03,2026-09-15,185466,2015-02-02,2026-07-16,2.66,0,1.213,
SUZLON,5165,2005-10-19,2026-09-15,185491,2015-02-02,2026-07-16,58.18,0,1.22,
SYMPHONY,3767,2011-06-15,2026-09-11,185400,2015-02-02,2026-07-16,2.64,0,1.156,
SYNGENE,2744,2015-08-11,2026-09-11,176862,2015-08-12,2026-07-16,19.39,0,1.185,
TATACONSUM,5845,2003-01-01,2026-09-15,184938,2015-02-02,2026-07-16,25.87,0,1.151,
TATAELXSI,5364,2005-01-03,2026-09-15,185492,2015-02-02,2026-07-16,37.14,0,1.18,
TATAPOWER,5364,2005-01-03,2026-09-15,184939,2015-02-02,2026-07-16,40.72,0,1.21,
TATASTEEL,5845,2003-01-01,2026-09-15,184940,2015-02-02,2026-07-16,246.94,0,1.264,
TCS,5453,2004-08-25,2026-09-15,186066,2015-02-02,2026-07-16,233.74,0,1.19,
TECHM,4968,2006-08-28,2026-09-15,185231,2015-02-02,2026-07-16,121.27,0,1.502,
THERMAX,5364,2005-01-03,2026-09-15,185459,2015-02-02,2026-07-16,3.35,0,1.184,
TIMKEN,5363,2005-01-03,2026-09-11,185278,2015-02-02,2026-07-16,1.43,1,5.188,2007-02-06
TITAN,5845,2003-01-01,2026-09-15,184938,2015-02-02,2026-07-16,56.03,0,1.233,
TORNTPHARM,5364,2005-01-03,2026-09-15,185492,2015-02-02,2026-07-16,13.36,0,1.231,
TORNTPOWER,4891,2006-11-28,2026-09-15,185490,2015-02-02,2026-07-16,13.33,0,1.221,
TRENT,5364,2005-01-03,2026-09-15,185150,2015-02-02,2026-07-16,1.64,0,1.519,
TRIDENT,5363,2005-01-03,2026-09-11,185489,2015-02-02,2026-07-16,0.2,0,1.24,
TRITURBINE,3675,2011-10-28,2026-09-11,184800,2015-02-02,2026-07-16,0.86,0,1.15,
TTKPRESTIG,5363,2005-01-03,2026-09-11,185442,2015-02-02,2026-07-16,2.3,0,1.201,
TVSMOTOR,5364,2005-01-03,2026-09-15,185490,2015-02-02,2026-07-16,39.15,0,1.166,
UBL,4476,2008-07-28,2026-09-11,185492,2015-02-02,2026-07-16,21.56,0,1.192,
UCOBANK,5363,2005-01-03,2026-09-11,185491,2015-02-02,2026-07-16,8.6,0,1.177,
ULTRACEMCO,5454,2004-08-24,2026-09-15,184939,2015-02-02,2026-07-16,70.98,0,1.247,
UNIONBANK,5364,2005-01-03,2026-09-15,185491,2015-02-02,2026-07-16,35.55,0,1.187,
UPL,5578,2004-01-23,2026-09-15,185491,2015-02-02,2026-07-16,40.42,0,1.155,
VEDL,5362,2005-01-03,2026-09-15,185228,2015-02-02,2026-07-16,128.28,0,1.399,
VGUARD,4567,2008-03-13,2026-09-11,185447,2015-02-02,2026-07-16,4.64,0,1.243,
VINATIORGA,4235,2009-07-28,2026-09-11,185462,2015-02-02,2026-07-16,1.02,0,1.192,
VIPIND,5363,2005-01-03,2026-09-11,185491,2015-02-02,2026-07-16,8.0,0,1.246,
VMART,3350,2013-02-20,2026-09-11,184806,2015-02-02,2026-07-16,3.7,0,1.127,
VOLTAS,5364,2005-01-03,2026-09-15,184938,2015-02-02,2026-07-16,48.93,0,1.196,
VRLLOG,2816,2015-04-30,2026-09-11,181569,2015-04-30,2026-07-16,3.96,0,1.25,
VSTIND,5358,2005-01-03,2026-09-11,184419,2015-02-02,2026-07-16,0.46,0,1.209,
WELCORP,5364,2005-01-03,2026-09-15,185493,2015-02-02,2026-07-16,9.45,1,1.729,2005-05-24
WHIRLPOOL,4126,2010-01-08,2026-09-11,185479,2015-02-02,2026-07-16,5.67,0,1.25,
WIPRO,5845,2003-01-01,2026-09-15,188560,2015-02-02,2026-09-15,50.16,0,1.226,
WOCKPHARMA,5364,2005-01-03,2026-09-15,185492,2015-02-02,2026-07-16,21.72,0,1.176,
YESBANK,5232,2005-07-12,2026-09-15,185490,2015-02-02,2026-07-16,134.19,0,1.25,
ZEEL,5364,2005-01-03,2026-09-15,185492,2015-02-02,2026-07-16,67.4,0,1.18,
ZENSARTECH,5364,2005-01-03,2026-09-15,185428,2015-02-02,2026-07-16,1.06,0,1.222,
ZYDUSWELL,4163,2009-11-13,2026-09-11,185071,2015-02-02,2026-07-16,1.63,0,1.139,
