window,signal,policy,fill,n_names,beat_rate20,beat_rate10,beat_rate40,med_cagr20,med_bh_cagr,med_excess,med_maxdd,med_calmar,med_bh_calmar,calmar_beat,med_switch_yr,med_trades,med_wr,med_exp,med_tim,pos_cagr_share
h2,MST_7_6.0_7_2.0,long_flat,next_open,146.0,0.17123287671232876,0.1917808219178082,0.13013698630136986,0.08499799999999999,0.16836299999999998,-0.08203250000000001,-0.374359,0.24364999999999998,0.3897,0.2808219178082192,17.16,48.0,0.4082,0.009562000000000001,0.5443,0.8013698630136986
h2,MST_7_6.0_7_2.0,long_flat,signal_close,146.0,0.17123287671232876,0.19863013698630136,0.13013698630136986,0.082346,0.1650505,-0.0885745,-0.379919,0.24045,0.3905,0.2671232876712329,17.16,48.0,0.40585,0.009357,0.54435,0.8013698630136986
h2,MST_7_6.0_7_2.0,long_short,next_open,146.0,0.08904109589041095,0.0958904109589041,0.04794520547945205,-0.0984305,0.16836299999999998,-0.261159,-0.6746920000000001,-0.1422,0.3897,0.08904109589041095,17.25,95.0,0.35495,-0.002792,0.9999,0.22602739726027396
h2,MST_7_6.0_7_2.0,long_short,signal_close,146.0,0.07534246575342465,0.0958904109589041,0.04794520547945205,-0.096922,0.1650505,-0.2635745,-0.6757489999999999,-0.1486,0.3905,0.0821917808219178,17.25,95.0,0.3579,-0.003011,1.0,0.23972602739726026
h2,MST_7_6.0_7_2.0,short_flat,next_open,146.0,0.07534246575342465,0.08904109589041095,0.07534246575342465,-0.112497,0.16836299999999998,-0.290486,-0.591554,-0.19765,0.3897,0.07534246575342465,17.07,48.0,0.29710000000000003,-0.014136,0.4556,0.08904109589041095
h2,MST_7_6.0_7_2.0,short_flat,signal_close,146.0,0.07534246575342465,0.0821917808219178,0.07534246575342465,-0.11547450000000001,0.1650505,-0.2876215,-0.59388,-0.19465,0.3905,0.07534246575342465,17.07,48.0,0.29710000000000003,-0.014409,0.45565,0.0821917808219178
h2,MST_7_6.0_7_2.5,long_flat,next_open,146.0,0.17123287671232876,0.19863013698630136,0.13013698630136986,0.08499799999999999,0.16836299999999998,-0.08240349999999999,-0.374359,0.24364999999999998,0.3897,0.2808219178082192,17.16,48.0,0.4082,0.009562000000000001,0.5443,0.8013698630136986
h2,MST_7_6.0_7_2.5,long_flat,signal_close,146.0,0.17123287671232876,0.19863013698630136,0.13013698630136986,0.082346,0.1650505,-0.0885745,-0.379919,0.243,0.3905,0.2671232876712329,17.16,48.0,0.40585,0.009357,0.54435,0.8013698630136986
h2,MST_7_6.0_7_2.5,long_short,next_open,146.0,0.08904109589041095,0.0958904109589041,0.04794520547945205,-0.0984305,0.16836299999999998,-0.261159,-0.6746920000000001,-0.14175,0.3897,0.08904109589041095,17.16,95.0,0.35495,-0.002765,0.9999,0.22602739726027396
h2,MST_7_6.0_7_2.5,long_short,signal_close,146.0,0.07534246575342465,0.0958904109589041,0.04794520547945205,-0.0956645,0.1650505,-0.2643235,-0.6757489999999999,-0.1486,0.3905,0.0821917808219178,17.16,95.0,0.3579,-0.0030305,1.0,0.23972602739726026
h2,MST_7_6.0_7_2.5,short_flat,next_open,146.0,0.07534246575342465,0.08904109589041095,0.07534246575342465,-0.112497,0.16836299999999998,-0.290486,-0.589654,-0.19785,0.3897,0.07534246575342465,17.07,48.0,0.29710000000000003,-0.014263,0.4556,0.08904109589041095
h2,MST_7_6.0_7_2.5,short_flat,signal_close,146.0,0.07534246575342465,0.0821917808219178,0.07534246575342465,-0.11547450000000001,0.1650505,-0.2876215,-0.5927975000000001,-0.19465,0.3905,0.07534246575342465,17.07,48.0,0.29710000000000003,-0.014423,0.45565,0.0821917808219178
h2,ST_10_1.5,long_flat,next_open,146.0,0.1780821917808219,0.3835616438356164,0.0273972602739726,0.051969,0.16836299999999998,-0.0966445,-0.3820715,0.136,0.3897,0.2945205479452055,101.43,282.0,0.3688,0.0010500000000000002,0.52475,0.6438356164383562
h2,ST_10_1.5,long_flat,signal_close,146.0,0.17123287671232876,0.3424657534246575,0.0136986301369863,0.0317225,0.1650505,-0.11183750000000002,-0.381815,0.0912,0.3905,0.2671232876712329,101.435,282.0,0.3653,0.000732,0.52475,0.6232876712328768
h2,ST_10_1.5,long_short,next_open,146.0,0.0547945205479452,0.2054794520547945,0.00684931506849315,-0.12457950000000001,0.16836299999999998,-0.29848700000000006,-0.684192,-0.1874,0.3897,0.06164383561643835,101.435,563.0,0.35455000000000003,-0.0007925,0.9999,0.23972602739726026
h2,ST_10_1.5,long_short,signal_close,146.0,0.04794520547945205,0.1780821917808219,0.00684931506849315,-0.13046950000000002,0.1650505,-0.310376,-0.712717,-0.19765,0.3905,0.04794520547945205,101.52,563.0,0.35085,-0.0009165,1.0,0.2328767123287671
h2,ST_10_1.5,short_flat,next_open,146.0,0.04794520547945205,0.11643835616438356,0.02054794520547945,-0.131197,0.16836299999999998,-0.30968399999999996,-0.6364045,-0.20505,0.3897,0.04794520547945205,101.34,281.0,0.3333,-0.0028205,0.47515,0.0410958904109589
h2,ST_10_1.5,short_flat,signal_close,146.0,0.0547945205479452,0.1095890410958904,0.02054794520547945,-0.1430435,0.1650505,-0.3133985,-0.6553435000000001,-0.21635,0.3905,0.0410958904109589,101.34,281.0,0.32789999999999997,-0.0030064999999999996,0.47525,0.0273972602739726
h2,ST_10_2.0,long_flat,next_open,146.0,0.19863013698630136,0.4178082191780822,0.04794520547945205,0.078712,0.16836299999999998,-0.06332449999999999,-0.3392575,0.2645,0.3897,0.3561643835616438,72.07,200.0,0.3817,0.0023334999999999996,0.52905,0.7465753424657534
h2,ST_10_2.0,long_flat,signal_close,146.0,0.1780821917808219,0.3835616438356164,0.0410958904109589,0.072775,0.1650505,-0.071131,-0.345793,0.22785,0.3905,0.3082191780821918,72.07,200.0,0.3811,0.0019215,0.5291,0.7123287671232876
h2,ST_10_2.0,long_short,next_open,146.0,0.06164383561643835,0.136986301369863,0.0273972602739726,-0.0826045,0.16836299999999998,-0.234746,-0.6274405000000001,-0.14725,0.3897,0.0821917808219178,72.07,400.0,0.36165,-0.0005579999999999999,0.9999,0.273972602739726
h2,ST_10_2.0,long_short,signal_close,146.0,0.04794520547945205,0.14383561643835616,0.0136986301369863,-0.0921775,0.1650505,-0.24637949999999997,-0.6393685,-0.16,0.3905,0.06164383561643835,72.07,400.0,0.3612,-0.000786,1.0,0.2602739726027397
h2,ST_10_2.0,short_flat,next_open,146.0,0.0958904109589041,0.1095890410958904,0.02054794520547945,-0.10523099999999999,0.16836299999999998,-0.27086200000000005,-0.583885,-0.18109999999999998,0.3897,0.08904109589041095,72.07,200.0,0.3385,-0.003075,0.47085,0.06164383561643835
h2,ST_10_2.0,short_flat,signal_close,146.0,0.0821917808219178,0.1095890410958904,0.0136986301369863,-0.11101549999999999,0.1650505,-0.27790899999999996,-0.5886534999999999,-0.19045,0.3905,0.07534246575342465,72.07,200.0,0.3342,-0.0031685000000000003,0.4709,0.06164383561643835
h2,ST_10_2.5,long_flat,next_open,146.0,0.22602739726027396,0.3424657534246575,0.0958904109589041,0.09173100000000001,0.16836299999999998,-0.058679000000000016,-0.347132,0.2631,0.3897,0.363013698630137,54.73,152.0,0.39225,0.003223,0.5361,0.8082191780821918
h2,ST_10_2.5,long_flat,signal_close,146.0,0.2191780821917808,0.3356164383561644,0.0958904109589041,0.0839735,0.1650505,-0.06693099999999999,-0.343956,0.25334999999999996,0.3905,0.3424657534246575,54.73,152.0,0.39225,0.0030435,0.5361,0.8013698630136986
h2,ST_10_2.5,long_short,next_open,146.0,0.10273972602739725,0.15753424657534246,0.03424657534246575,-0.059843,0.16836299999999998,-0.21830049999999998,-0.6407945,-0.10585,0.3897,0.0958904109589041,54.81999999999999,304.0,0.36585,-0.000243,0.9999,0.273972602739726
h2,ST_10_2.5,long_short,signal_close,146.0,0.0958904109589041,0.1643835616438356,0.03424657534246575,-0.063619,0.1650505,-0.225528,-0.6444105,-0.12010000000000001,0.3905,0.0958904109589041,54.81999999999999,304.0,0.36135,-0.00039,1.0,0.2534246575342466
h2,ST_10_2.5,short_flat,next_open,146.0,0.0958904109589041,0.11643835616438356,0.0273972602739726,-0.10447899999999999,0.16836299999999998,-0.27827,-0.5822585,-0.17775000000000002,0.3897,0.10273972602739725,54.64,152.0,0.3408,-0.004018,0.4638,0.1095890410958904
h2,ST_10_2.5,short_flat,signal_close,146.0,0.0958904109589041,0.1095890410958904,0.0273972602739726,-0.108324,0.1650505,-0.27364350000000004,-0.583533,-0.1812,0.3905,0.0958904109589041,54.64,152.0,0.33565,-0.0040715000000000005,0.4639,0.10273972602739725
h2,ST_10_3.0,long_flat,next_open,146.0,0.1917808219178082,0.2808219178082192,0.10273972602739725,0.085146,0.16836299999999998,-0.0693965,-0.3389225,0.2669,0.3897,0.3356164383561644,43.065,120.0,0.3963,0.0039045,0.5367,0.8082191780821918
h2,ST_10_3.0,long_flat,signal_close,146.0,0.21232876712328766,0.2808219178082192,0.08904109589041095,0.0827345,0.1650505,-0.07263700000000001,-0.3405765,0.2667,0.3905,0.3082191780821918,43.065,120.0,0.39305,0.003845,0.5368,0.8013698630136986
h2,ST_10_3.0,long_short,next_open,146.0,0.0821917808219178,0.1095890410958904,0.04794520547945205,-0.08226049999999999,0.16836299999999998,-0.2309095,-0.6237475,-0.13119999999999998,0.3897,0.0821917808219178,43.155,239.0,0.36305,-0.0008110000000000001,0.9999,0.2808219178082192
h2,ST_10_3.0,long_short,signal_close,146.0,0.0821917808219178,0.10273972602739725,0.04794520547945205,-0.075975,0.1650505,-0.24031550000000002,-0.625051,-0.14255,0.3905,0.0821917808219178,43.155,239.0,0.3614,-0.0008525,1.0,0.2465753424657534
h2,ST_10_3.0,short_flat,next_open,146.0,0.07534246575342465,0.0821917808219178,0.0410958904109589,-0.10598450000000001,0.16836299999999998,-0.26815049999999996,-0.578392,-0.17845,0.3897,0.0821917808219178,42.975,119.0,0.3308,-0.0051675,0.4632,0.0821917808219178
h2,ST_10_3.0,short_flat,signal_close,146.0,0.0684931506849315,0.07534246575342465,0.0410958904109589,-0.1038775,0.1650505,-0.268146,-0.578272,-0.181,0.3905,0.0821917808219178,42.975,119.0,0.33030000000000004,-0.0051175,0.4632,0.07534246575342465
h2,ST_10_4.0,long_flat,next_open,146.0,0.2328767123287671,0.2671232876712329,0.1506849315068493,0.0849715,0.16836299999999998,-0.0715915,-0.34931100000000004,0.26215,0.3897,0.3424657534246575,29.11,81.0,0.4085,0.005817,0.5406,0.8082191780821918
h2,ST_10_4.0,long_flat,signal_close,146.0,0.2191780821917808,0.2671232876712329,0.136986301369863,0.0809955,0.1650505,-0.0733805,-0.351638,0.25375000000000003,0.3905,0.3561643835616438,29.11,81.0,0.40265,0.0057835000000000004,0.5407500000000001,0.7876712328767124
h2,ST_10_4.0,long_short,next_open,146.0,0.07534246575342465,0.11643835616438356,0.0547945205479452,-0.08195,0.16836299999999998,-0.2293415,-0.657861,-0.1408,0.3897,0.0821917808219178,29.26,162.0,0.3627,-0.0015635,0.9999,0.2945205479452055
h2,ST_10_4.0,long_short,signal_close,146.0,0.0684931506849315,0.1095890410958904,0.0547945205479452,-0.08088000000000001,0.1650505,-0.2266285,-0.6603475,-0.14015,0.3905,0.0821917808219178,29.26,162.0,0.36014999999999997,-0.001657,1.0,0.3082191780821918
h2,ST_10_4.0,short_flat,next_open,146.0,0.08904109589041095,0.0958904109589041,0.07534246575342465,-0.1035005,0.16836299999999998,-0.278,-0.57202,-0.18055,0.3897,0.0958904109589041,29.08,81.0,0.3222,-0.007686500000000001,0.45925,0.0821917808219178
h2,ST_10_4.0,short_flat,signal_close,146.0,0.08904109589041095,0.0958904109589041,0.0821917808219178,-0.1032975,0.1650505,-0.28000499999999995,-0.566447,-0.17959999999999998,0.3905,0.0958904109589041,29.08,81.0,0.32375,-0.0077280000000000005,0.45925,0.0821917808219178
h2,ST_10_5.0,long_flat,next_open,146.0,0.19863013698630136,0.22602739726027396,0.14383561643835616,0.0735655,0.16836299999999998,-0.083264,-0.36810200000000004,0.21265,0.3897,0.2876712328767123,21.32,59.0,0.4173,0.0067504999999999996,0.5393,0.815068493150685
h2,ST_10_5.0,long_flat,signal_close,146.0,0.2054794520547945,0.22602739726027396,0.136986301369863,0.0749915,0.1650505,-0.08373149999999999,-0.36852700000000005,0.20725,0.3905,0.3013698630136986,21.32,59.0,0.4173,0.0066365,0.53955,0.815068493150685
h2,ST_10_5.0,long_short,next_open,146.0,0.08904109589041095,0.10273972602739725,0.03424657534246575,-0.0957045,0.16836299999999998,-0.2537355,-0.6570205,-0.1524,0.3897,0.0958904109589041,21.39,119.0,0.36285,-0.0023495,0.9999,0.22602739726027396
h2,ST_10_5.0,long_short,signal_close,146.0,0.0958904109589041,0.10273972602739725,0.03424657534246575,-0.09025,0.1650505,-0.2512785,-0.648729,-0.1516,0.3905,0.10273972602739725,21.39,119.0,0.3614,-0.0024295000000000002,1.0,0.23972602739726026
h2,ST_10_5.0,short_flat,next_open,146.0,0.08904109589041095,0.08904109589041095,0.07534246575342465,-0.1184215,0.16836299999999998,-0.27828600000000003,-0.5991949999999999,-0.19775,0.3897,0.08904109589041095,21.32,59.0,0.3084,-0.011813,0.46045,0.0821917808219178
h2,ST_10_5.0,short_flat,signal_close,146.0,0.08904109589041095,0.0958904109589041,0.0821917808219178,-0.1179825,0.1650505,-0.27868000000000004,-0.5973145,-0.19729999999999998,0.3905,0.0958904109589041,21.32,59.0,0.3084,-0.011888,0.46045,0.0821917808219178
h2,ST_14_1.5,long_flat,next_open,146.0,0.2054794520547945,0.410958904109589,0.03424657534246575,0.059618,0.16836299999999998,-0.091692,-0.364186,0.17265,0.3897,0.3424657534246575,101.43,282.0,0.3721,0.0011635,0.522,0.6643835616438356
h2,ST_14_1.5,long_flat,signal_close,146.0,0.18493150684931506,0.3561643835616438,0.0136986301369863,0.041575,0.1650505,-0.0986995,-0.36936,0.1159,0.3905,0.3013698630136986,101.43,282.0,0.3694,0.000806,0.5221,0.636986301369863
