label,axis,slots,slot_pct,select,idle,cost_bps,seeds,alias,n_events,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,mult_all_med,mult_drop10_med,med_seed,secs
A_s18_eq,A,18,0.055556,random,0.05,25.0,30,,3619,20.29,19.25,21.0,-36.54,-36.54,0.556,0.533,1.163,766.0,35.3,49.0,36.445,-11.725,11.937,14.0,71.61,18.15,-32.11,22.45,-36.54,407.5,31.0,845.0,2007.5,766.0,446207.5,0.354,3.8,26.45,4.330662752759357e+22,3.4311834020767334e+17,20,3.2
A_s20_eq,A,20,0.05,random,0.05,25.0,30,C_s20_p0500,3619,20.57,19.42,21.52,-34.86,-36.74,0.585,0.529,1.211,830.5,38.3,50.1,36.275,-11.655,12.277,15.0,70.98,18.57,-31.42,22.575,-34.86,381.0,17.0,781.0,2008.5,830.5,418608.0,0.323,3.667,24.15,5.094064225437476e+25,4.1927715604791506e+20,13,3.4
A_s24_eq,A,24,0.041667,random,0.05,25.0,30,,3619,19.87,19.32,20.31,-35.12,-35.35,0.566,0.55,1.205,977.0,45.1,49.65,36.135,-11.74,12.051,15.0,68.95,17.89,-33.53,21.825,-35.12,312.0,5.0,617.0,2024.5,977.0,315554.5,0.23,2.336,17.05,2.2429347124671184e+29,1.284228239169679e+24,7,3.8
A_s30_eq,A,30,0.033333,random,0.05,25.0,30,,3619,17.55,17.26,17.89,-31.08,-31.09,0.565,0.555,1.131,1195.0,55.1,47.4,35.42,-11.63,10.688,15.0,66.26,15.59,-30.83,19.55,-31.08,223.0,1.0,423.0,2000.0,1195.0,213885.0,0.157,1.501,8.6,6.849909395859741e+30,4.553986678223533e+25,22,4.0
B_s08_p0625,B,8,0.0625,random,0.05,25.0,30,,3619,15.46,14.32,16.71,-23.69,-24.45,0.647,0.607,1.272,407.0,18.8,49.1,38.86,-11.49,13.339,11.0,45.3,14.575,-23.69,16.265,-19.755,1585.0,1509.0,3212.0,0.0,407.0,320979.5,0.283,2.254,15.3,35687211466752.0,722316464.0,10,1.5
B_s10_p0625,B,10,0.0625,random,0.05,25.0,30,C_s10_p0625,3619,16.94,15.93,18.37,-26.13,-27.79,0.651,0.591,1.224,506.0,23.3,47.85,38.87,-11.71,12.549,12.0,54.57,15.19,-25.825,18.715,-24.27,1518.5,1431.5,3113.0,0.0,506.0,360135.0,0.32,2.901,21.0,2043610870579200.0,30647315456.0,28,1.6
B_s12_p0625,B,12,0.0625,random,0.05,25.0,30,,3619,18.52,17.11,19.64,-30.57,-34.31,0.601,0.525,1.181,593.0,27.3,48.15,37.74,-11.605,12.347,13.0,63.34,16.57,-30.06,20.345,-28.2,1461.5,1364.0,3026.0,0.0,593.0,420471.0,0.368,3.416,25.45,5.3901918592198246e+17,4908899106816.0,18,1.8
B_s14_p0625,B,14,0.0625,random,0.05,25.0,30,,3619,20.73,18.59,22.42,-33.45,-36.74,0.615,0.52,1.193,666.5,30.75,48.7,38.05,-11.61,12.517,14.0,71.17,18.545,-32.61,23.015,-33.445,1320.5,1150.0,2776.5,179.0,666.5,508299.0,0.427,4.67,32.25,3.599772218153511e+20,2997273260720128.0,13,2.1
C_s10_p0400,C,10,0.04,random,0.05,25.0,30,,3619,12.82,12.2,13.73,-17.12,-18.51,0.754,0.682,1.387,506.0,23.3,47.85,38.87,-11.71,12.549,12.0,35.89,11.72,-16.93,13.87,-15.68,1518.5,1431.5,3113.0,0.0,506.0,160328.5,0.144,0.976,4.9,2043610400817152.0,30647319552.0,10,1.9
C_s10_p0500,C,10,0.05,random,0.05,25.0,30,,3619,14.68,13.89,15.82,-21.25,-22.86,0.691,0.629,1.296,506.0,23.3,47.85,38.87,-11.71,12.549,12.0,44.3,13.285,-21.095,16.045,-19.505,1518.5,1431.5,3113.0,0.0,506.0,236974.5,0.211,1.639,10.35,2043612145647616.0,30647328768.0,28,1.7
C_s10_p0800,C,10,0.08,random,0.05,25.0,30,,3619,20.05,18.74,21.87,-32.45,-33.92,0.627,0.566,1.167,505.0,23.3,47.9,38.87,-11.705,12.601,12.0,68.455,17.835,-31.775,22.36,-30.115,1518.5,1431.5,3113.0,1.0,505.0,605299.5,0.54,6.034,38.15,2364826911244288.0,35464466432.0,27,1.6
C_s16_p0400,C,16,0.04,random,0.05,25.0,30,,3619,16.07,15.3,17.14,-25.84,-29.66,0.621,0.531,1.246,763.0,35.2,48.45,37.19,-11.815,11.944,14.0,52.84,14.34,-25.51,17.785,-25.36,1347.5,1244.0,2856.0,0.0,763.0,212705.5,0.181,1.48,8.9,1.829535500928554e+22,1.3205097283374285e+17,30,2.4
C_s16_p0500,C,16,0.05,random,0.05,25.0,30,,3619,18.68,17.71,20.03,-31.01,-36.21,0.589,0.496,1.185,763.0,35.2,48.45,37.19,-11.815,11.944,14.0,64.99,16.515,-30.54,20.815,-30.925,1347.5,1244.0,2856.0,0.0,763.0,331987.5,0.276,2.683,19.0,1.8295303217889824e+22,1.320504789125038e+17,21,2.4
C_s20_p0400,C,20,0.04,random,0.05,25.0,30,,3619,17.74,16.9,18.47,-29.88,-32.18,0.593,0.543,1.184,927.0,42.7,48.9,35.78,-11.82,11.394,15.0,62.695,15.745,-29.135,19.57,-29.83,1234.0,1122.0,2692.0,0.0,927.0,250952.0,0.204,1.886,11.75,1.0405891803496492e+26,6.761433560868979e+20,5,3.0
D_rs_s08,D,8,0.125,rs,0.05,25.0,30,,3619,21.62,21.62,21.62,-35.64,-35.64,0.607,0.607,1.072,366.0,16.9,47.5,39.94,-11.71,12.847,11.0,75.14,18.27,-35.64,25.1,-34.71,795.0,121.0,1586.0,1667.0,366.0,884891.0,0.858,13.391,45.1,68861485056.0,883468.625,16,1.9
D_rs_s16,D,16,0.0625,rs,0.05,25.0,30,,3619,20.59,20.59,20.59,-36.05,-36.05,0.571,0.571,1.176,694.0,32.0,49.1,36.6,-11.71,12.031,14.0,72.82,19.24,-32.73,21.87,-36.05,466.0,41.0,988.0,1937.0,694.0,544268.0,0.438,5.464,34.0,3.7874161040027864e+20,3492456683274240.0,16,3.0
D_ext_s08,D,8,0.125,ext,0.05,25.0,30,,3619,21.75,21.75,21.75,-36.46,-36.46,0.596,0.596,1.082,350.0,16.1,48.0,40.09,-11.5,13.262,11.0,74.9,18.22,-35.64,25.44,-36.46,767.0,106.0,1512.0,1757.0,350.0,830376.0,0.791,11.228,44.3,87147634688.0,1148979.875,16,1.7
D_ext_s16,D,16,0.0625,ext,0.05,25.0,30,,3619,20.86,20.86,20.86,-35.99,-35.99,0.579,0.579,1.191,692.0,31.9,49.0,36.87,-11.51,12.191,14.0,72.85,19.67,-32.67,21.94,-35.99,480.0,53.0,972.0,1955.0,692.0,573540.0,0.442,5.726,35.0,1.1867792851304417e+21,1.0943536941760512e+16,16,2.9
D_tv_s08,D,8,0.125,tv,0.05,25.0,30,,3619,22.97,22.97,22.97,-35.64,-35.64,0.645,0.645,1.124,351.0,16.2,49.3,39.71,-11.38,13.803,11.0,75.03,18.27,-35.64,27.94,-34.74,762.0,106.0,1500.0,1768.0,351.0,851219.0,0.682,12.686,40.7,658415484928.0,8680737.0,16,1.9
D_tv_s16,D,16,0.0625,tv,0.05,25.0,30,,3619,21.72,21.72,21.72,-32.67,-32.67,0.665,0.665,1.228,683.0,31.5,49.9,37.19,-11.52,12.8,14.0,72.99,19.67,-32.67,23.73,-32.55,479.0,53.0,964.0,1972.0,683.0,602579.0,0.435,5.172,34.4,1.5060265711608028e+22,1.3887391922546278e+17,16,2.5
D_age_s08,D,8,0.125,age,0.05,25.0,30,,3619,19.75,19.75,19.75,-35.64,-35.64,0.554,0.554,0.991,363.0,16.7,46.6,38.78,-11.7,11.804,11.0,75.52,18.53,-35.64,20.97,-34.7,815.0,114.0,1644.0,1612.0,363.0,876959.0,0.847,8.771,44.6,6970391552.0,166843.203,16,1.6
D_age_s16,D,16,0.0625,age,0.05,25.0,30,,3619,21.75,21.75,21.75,-37.59,-37.59,0.579,0.579,1.215,682.0,31.4,49.9,37.78,-11.82,12.907,13.0,72.86,19.67,-32.67,23.78,-37.59,496.0,53.0,1005.0,1932.0,682.0,553940.0,0.449,4.745,34.0,1.0297819443854599e+22,7.74270848419758e+16,16,2.8
