label,axis,slots,slot_pct,select,idle,cost_bps,seeds,alias,n_events,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,mult_all_med,mult_drop10_med,med_seed,secs
A_s18_eq_idle000,A,18,0.055556,random,0.0,25.0,10,,3619,18.78,17.67,19.36,-37.73,-37.93,0.498,0.466,1.093,765.5,35.3,49.15,36.305,-11.63,12.049,14.0,71.87,15.99,-34.43,21.63,-37.725,404.0,31.0,839.0,2015.5,765.5,356434.5,0.297,2.922,20.6,5.548025138534342e+22,3.941347863832822e+17,7,1.4
A_s20_eq_idle000,A,20,0.05,random,0.0,25.0,10,C_s20_p0500,3619,18.3,17.8,19.27,-36.35,-38.21,0.504,0.472,1.098,829.5,38.25,49.7,36.01,-11.58,11.975,15.0,70.895,15.16,-34.21,21.535,-36.35,361.5,6.0,748.5,2041.5,829.5,296129.5,0.247,2.519,15.8,8.176147205256147e+24,6.653284277746978e+19,7,1.6
A_s24_eq_idle000,A,24,0.041667,random,0.0,25.0,10,,3619,17.7,17.28,18.26,-36.97,-37.49,0.479,0.467,1.09,982.0,45.3,49.1,36.16,-11.68,11.729,15.0,68.88,15.38,-35.825,20.115,-36.97,302.5,5.0,603.0,2030.5,982.0,240064.5,0.188,1.704,10.5,3.9225062151006333e+28,2.4372223778313163e+23,7,1.5
A_s30_eq_idle000,A,30,0.033333,random,0.0,25.0,10,,3619,15.74,15.51,16.11,-33.47,-33.48,0.47,0.463,1.03,1194.0,55.1,47.35,35.65,-11.63,10.746,14.0,66.28,12.98,-33.44,18.59,-33.47,220.5,1.0,419.0,2005.5,1194.0,157461.5,0.124,1.069,5.7,1.0432318672660861e+31,6.935661024144034e+25,2,2.0
B_s08_p0625_idle000,B,8,0.0625,random,0.0,25.0,10,,3619,12.57,11.63,13.32,-26.48,-27.22,0.471,0.439,1.058,406.0,18.75,49.3,38.955,-11.45,13.508,11.0,45.6,11.37,-26.475,13.775,-20.36,1584.5,1509.5,3213.0,0.0,406.0,222527.5,0.213,1.337,8.6,63098935312384.0,1330297600.0,9,0.7
B_s10_p0625_idle000,B,10,0.0625,random,0.0,25.0,10,C_s10_p0625,3619,14.57,13.81,15.85,-28.47,-29.34,0.515,0.471,1.065,505.0,23.25,48.0,39.11,-11.715,12.677,12.0,54.83,12.315,-28.425,17.155,-24.52,1519.5,1433.0,3114.0,0.0,505.0,259454.0,0.242,1.869,11.95,2776006209306624.0,30908687360.0,7,0.7
B_s12_p0625_idle000,B,12,0.0625,random,0.0,25.0,10,,3619,16.08,15.29,17.59,-33.03,-34.44,0.491,0.444,1.048,595.0,27.4,48.25,37.35,-11.6,12.057,14.0,63.565,14.005,-32.75,18.14,-29.86,1462.0,1361.5,3024.0,0.0,595.0,313914.5,0.289,2.356,16.15,1.8186590620326298e+17,1687658102784.0,7,0.8
B_s14_p0625_idle000,B,14,0.0625,random,0.0,25.0,10,,3619,18.76,18.05,20.53,-35.86,-38.2,0.523,0.496,1.099,666.5,30.75,48.4,37.72,-11.625,12.373,14.0,71.4,16.48,-34.89,21.045,-35.855,1317.5,1138.5,2761.0,192.5,666.5,406357.5,0.354,3.532,25.1,1.3348683369274986e+20,972994692251648.0,9,0.9
C_s10_p0400_idle000,C,10,0.04,random,0.0,25.0,10,,3619,9.52,9.04,10.31,-19.96,-20.58,0.479,0.441,1.043,505.0,23.25,48.0,39.11,-11.715,12.677,12.0,36.165,8.1,-19.965,11.075,-17.095,1519.5,1433.0,3114.0,0.0,505.0,102701.0,0.102,0.55,0.5,2776007215939584.0,30908665856.0,7,0.7
C_s10_p0500_idle000,C,10,0.05,random,0.0,25.0,10,,3619,11.79,11.18,12.8,-23.93,-24.64,0.495,0.454,1.054,505.0,23.25,48.0,39.11,-11.715,12.677,12.0,44.59,9.995,-23.905,13.79,-20.455,1519.5,1433.0,3114.0,0.0,505.0,159415.5,0.157,0.984,4.85,2776007148830720.0,30908695552.0,7,0.6
C_s10_p0800_idle000,C,10,0.08,random,0.0,25.0,10,,3619,18.41,17.42,20.08,-34.17,-35.26,0.543,0.494,1.08,504.0,23.25,48.1,39.11,-11.705,12.729,12.0,68.64,15.555,-34.09,21.76,-29.8,1519.5,1433.0,3114.0,1.0,504.0,475262.5,0.441,4.3,31.25,3212345895550976.0,35766941696.0,7,0.6
C_s16_p0400_idle000,C,16,0.04,random,0.0,25.0,10,,3619,13.71,12.74,14.3,-28.18,-31.45,0.486,0.423,1.071,765.5,35.3,48.9,37.18,-11.815,11.994,14.0,53.17,11.425,-28.18,15.735,-27.005,1346.0,1244.5,2853.5,0.0,765.5,150811.5,0.135,0.984,4.8,3.6082643182008716e+22,2.976691852599624e+17,9,0.8
C_s16_p0500_idle000,C,16,0.05,random,0.0,25.0,10,,3619,16.99,15.76,17.76,-32.94,-37.28,0.516,0.44,1.085,765.5,35.3,48.9,37.18,-11.815,11.994,14.0,65.27,14.09,-32.92,19.555,-32.05,1346.0,1244.5,2853.5,0.0,765.5,253135.5,0.225,2.029,13.05,3.608254860641654e+22,2.976688330726441e+17,9,0.8
C_s20_p0400_idle000,C,20,0.04,random,0.0,25.0,10,,3619,15.56,15.22,16.33,-31.63,-32.85,0.49,0.465,1.058,927.0,42.75,49.05,35.54,-11.8,11.331,15.0,62.965,13.155,-31.63,17.98,-29.93,1236.0,1122.5,2692.0,0.0,927.0,187726.0,0.164,1.34,7.0,7.895849793747259e+25,6.681344430214333e+20,1,1.0
D_rs_s08_idle000,D,8,0.125,rs,0.0,25.0,10,,3619,20.22,20.22,20.22,-37.75,-37.75,0.536,0.536,1.014,367.0,16.9,47.4,40.07,-11.72,12.834,11.0,74.92,16.56,-37.75,24.05,-35.78,792.0,120.0,1582.0,1670.0,367.0,729784.0,0.731,10.541,42.2,70220152832.0,900899.625,6,0.6
D_rs_s16_idle000,D,16,0.0625,rs,0.0,25.0,10,,3619,19.48,19.48,19.48,-37.35,-37.35,0.522,0.522,1.117,690.0,31.8,49.4,36.92,-11.65,12.35,14.0,72.82,17.25,-34.84,21.69,-37.35,466.0,32.0,966.0,1963.0,690.0,444500.0,0.369,4.272,28.0,1.853118375197298e+21,1.7087996612313088e+16,6,1.0
D_ext_s08_idle000,D,8,0.125,ext,0.0,25.0,10,,3619,20.55,20.55,20.55,-37.75,-37.75,0.544,0.544,1.032,351.0,16.2,48.1,40.1,-11.49,13.348,11.0,74.59,16.51,-37.75,24.8,-37.64,764.0,105.0,1508.0,1760.0,351.0,707354.0,0.66,9.218,42.2,125814644736.0,1658778.0,6,0.6
D_ext_s16_idle000,D,16,0.0625,ext,0.0,25.0,10,,3619,19.87,19.87,19.87,-34.97,-34.97,0.568,0.568,1.14,685.0,31.6,49.6,37.1,-11.56,12.596,14.0,72.96,17.61,-34.97,22.1,-33.95,466.0,44.0,973.0,1961.0,685.0,478408.0,0.378,4.665,28.2,6.281699010299893e+21,5.792486241651917e+16,6,1.0
D_tv_s08_idle000,D,8,0.125,tv,0.0,25.0,10,,3619,21.73,21.73,21.73,-37.75,-37.75,0.576,0.576,1.073,350.0,16.1,49.4,39.95,-11.44,13.961,11.0,74.81,16.56,-37.75,27.23,-35.81,760.0,105.0,1495.0,1774.0,350.0,709312.0,0.582,9.553,38.6,917112881152.0,12091488.0,6,0.6
D_tv_s16_idle000,D,16,0.0625,tv,0.0,25.0,10,,3619,20.25,20.25,20.25,-34.97,-34.97,0.579,0.579,1.156,682.0,31.4,50.0,37.19,-11.47,12.862,14.0,73.06,17.61,-34.97,22.89,-33.94,471.0,44.0,955.0,1982.0,682.0,477417.0,0.356,4.06,28.2,2.0697330167295223e+22,1.9085422478177075e+17,6,1.1
D_age_s08_idle000,D,8,0.125,age,0.0,25.0,10,,3619,18.56,18.56,18.56,-37.75,-37.75,0.492,0.492,0.942,364.0,16.8,46.7,38.8,-11.69,11.891,11.0,75.2,16.82,-37.75,20.35,-35.77,812.0,113.0,1640.0,1615.0,364.0,737201.0,0.729,7.167,42.3,10063122432.0,240870.703,6,0.7
D_age_s16_idle000,D,16,0.0625,age,0.0,25.0,10,,3619,19.62,19.62,19.62,-38.14,-38.14,0.514,0.514,1.113,684.0,31.5,49.7,37.13,-11.78,12.533,14.0,72.83,17.61,-34.97,21.58,-38.14,480.0,44.0,980.0,1955.0,684.0,448669.0,0.381,3.984,27.2,3.0697511778326487e+21,2.8306834515296256e+16,6,1.2
