slice,variant,n,total,mean,median,win_pct,worst,p05,gb_p50,gb_p90,gb_max,gb_mean,n_gb,rescue,cut_short,uplift,early_exit_pct
COMB_NIFTY,HYBRID_BE60_GB50,68,43373,638,984,74,-5853,-2990,653,2249,6692,1071,61,4,10,-17657,29
COMB_SENSEX,NO_DEFENCE,84,47361,564,1134,74,-16527,-4481,685,4821,18138,1588,79,8,8,16219,0
COMB_SENSEX,STATIC,84,31142,371,1032,69,-6667,-4326,658,4203,7644,1532,78,0,0,0,19
COMB_SENSEX,BE_CLAMP_50,84,31142,371,1032,69,-6667,-4326,658,4203,7644,1532,78,0,0,0,19
COMB_SENSEX,BE_CLAMP_60,84,29393,350,988,68,-6667,-4326,658,4203,7644,1555,78,0,1,-1749,20
COMB_SENSEX,BE_CLAMP_70,84,19116,228,922,65,-6667,-4326,698,4203,7644,1598,78,0,3,-12026,23
COMB_SENSEX,RATCHET_K1.3,84,12860,153,922,64,-6667,-3706,806,4038,7644,1494,77,8,9,-18282,33
COMB_SENSEX,RATCHET_K1.5,84,3871,46,922,64,-6667,-4222,806,4110,7644,1643,78,4,9,-27271,31
COMB_SENSEX,RATCHET_K1.75,84,8085,96,922,63,-6667,-4326,806,4775,7644,1713,78,2,7,-23057,30
COMB_SENSEX,RATCHET_K2,84,28206,336,1086,69,-6667,-4326,698,4110,7644,1556,78,2,3,-2936,25
COMB_SENSEX,RATCHET_K2.5,84,31197,371,1036,69,-6667,-4326,658,4156,7644,1531,78,0,0,55,21
COMB_SENSEX,GIVEBACK_30,84,12498,149,988,70,-6667,-4326,698,4054,7644,1355,78,6,8,-18644,37
COMB_SENSEX,GIVEBACK_50,84,9491,113,702,69,-6667,-4326,806,4054,7644,1501,78,3,9,-21651,35
COMB_SENSEX,RS_GB_1000,84,-6603,-79,80,54,-5040,-4045,1185,3399,5532,1437,78,12,29,-37745,70
COMB_SENSEX,RS_GB_2000,84,12664,151,922,64,-6667,-4326,806,4054,7644,1549,78,3,10,-18478,35
COMB_SENSEX,RS_GB_3000,84,23275,277,922,68,-6667,-4326,698,4057,7644,1568,78,2,4,-7867,29
COMB_SENSEX,TIME_RATCHET_MID,84,16280,194,972,67,-6667,-4326,764,4405,7644,1584,78,1,7,-14862,29
COMB_SENSEX,HYBRID_BE60_GB50,84,9491,113,702,69,-6667,-4326,806,4054,7644,1501,78,3,9,-21651,35
TIMEB_NIFTY,NO_DEFENCE,50,22901,458,330,78,-484,-373,42,370,780,132,45,1,0,4180,0
TIMEB_NIFTY,STATIC,50,18721,374,301,76,-2704,-403,46,370,780,135,44,0,0,0,2
TIMEB_NIFTY,BE_CLAMP_50,50,18721,374,301,76,-2704,-403,46,370,780,135,44,0,0,0,2
TIMEB_NIFTY,BE_CLAMP_60,50,18721,374,301,76,-2704,-403,46,370,780,135,44,0,0,0,2
TIMEB_NIFTY,BE_CLAMP_70,50,18721,374,301,76,-2704,-403,46,370,780,135,44,0,0,0,2
TIMEB_NIFTY,RATCHET_K1.3,50,15588,312,288,74,-2704,-676,49,497,2009,202,44,0,2,-3133,6
TIMEB_NIFTY,RATCHET_K1.5,50,18721,374,301,76,-2704,-403,46,370,780,135,44,0,0,0,2
TIMEB_NIFTY,RATCHET_K1.75,50,18721,374,301,76,-2704,-403,46,370,780,135,44,0,0,0,2
TIMEB_NIFTY,RATCHET_K2,50,18721,374,301,76,-2704,-403,46,370,780,135,44,0,0,0,2
TIMEB_NIFTY,RATCHET_K2.5,50,18721,374,301,76,-2704,-403,46,370,780,135,44,0,0,0,2
TIMEB_NIFTY,GIVEBACK_30,50,14632,293,288,76,-2704,-403,91,588,1414,201,44,1,6,-4089,18
TIMEB_NIFTY,GIVEBACK_50,50,16035,321,255,76,-2704,-403,49,501,1414,186,44,0,3,-2686,12
TIMEB_NIFTY,RS_GB_1000,50,15760,315,255,72,-2704,-403,49,676,1414,195,44,0,3,-2961,8
TIMEB_NIFTY,RS_GB_2000,50,18721,374,301,76,-2704,-403,46,370,780,135,44,0,0,0,2
TIMEB_NIFTY,RS_GB_3000,50,18721,374,301,76,-2704,-403,46,370,780,135,44,0,0,0,2
TIMEB_NIFTY,TIME_RATCHET_MID,50,18721,374,301,76,-2704,-403,46,370,780,135,44,0,0,0,2
TIMEB_NIFTY,HYBRID_BE60_GB50,50,16035,321,255,76,-2704,-403,49,501,1414,186,44,0,3,-2686,12
TIMEB_SENSEX,NO_DEFENCE,34,28856,849,415,76,-5410,-1144,192,2078,5525,773,32,1,2,3066,0
TIMEB_SENSEX,STATIC,34,25790,759,390,74,-3570,-3113,192,3043,4498,767,32,0,0,0,9
TIMEB_SENSEX,BE_CLAMP_50,34,23341,686,390,71,-3570,-3113,192,3349,4980,844,32,0,2,-2449,15
TIMEB_SENSEX,BE_CLAMP_60,34,23341,686,390,71,-3570,-3113,192,3349,4980,844,32,0,2,-2449,15
TIMEB_SENSEX,BE_CLAMP_70,34,25615,753,390,71,-3570,-2388,192,2329,4980,773,32,1,2,-175,15
TIMEB_SENSEX,RATCHET_K1.3,34,6945,204,293,65,-2856,-1555,478,1524,3052,684,31,5,9,-18845,41
TIMEB_SENSEX,RATCHET_K1.5,34,7623,224,354,62,-3570,-2856,351,2788,3749,946,32,3,7,-18167,35
TIMEB_SENSEX,RATCHET_K1.75,34,25770,758,415,71,-3570,-1774,192,2771,3749,768,32,3,2,-20,24
TIMEB_SENSEX,RATCHET_K2,34,24751,728,384,74,-3570,-3113,192,3176,4498,800,32,1,2,-1039,21
TIMEB_SENSEX,RATCHET_K2.5,34,23807,700,390,74,-3570,-3113,192,3349,4980,829,32,0,1,-1983,15
TIMEB_SENSEX,GIVEBACK_30,34,10757,316,370,79,-3570,-1144,329,682,3749,520,32,2,9,-15033,41
TIMEB_SENSEX,GIVEBACK_50,34,9726,286,291,76,-3570,-1144,478,2285,3749,735,32,2,9,-16064,41
TIMEB_SENSEX,RS_GB_1000,34,17765,522,384,76,-3570,-1144,449,1287,3749,710,32,4,6,-8025,35
TIMEB_SENSEX,RS_GB_2000,34,21295,626,390,74,-3570,-3113,256,2788,4498,836,32,1,3,-4495,21
TIMEB_SENSEX,RS_GB_3000,34,24692,726,384,74,-3570,-3113,192,3176,4498,802,32,0,1,-1098,12
TIMEB_SENSEX,TIME_RATCHET_MID,34,17367,511,384,68,-3570,-1169,324,2285,3749,843,32,4,5,-8423,32
TIMEB_SENSEX,HYBRID_BE60_GB50,34,9726,286,291,76,-3570,-1144,478,2285,3749,735,32,2,9,-16064,41
