construction,venue,day,dte,credit,n_min,peak_frac_window,peak_rs,final_rs,giveback_rs,mae_from_peak_rs,stop_dist_at_peak_rs,went_deep,after_deep_min_rs,after_deep_hit_stop
COMB_NIFTY,NIFTY,2026-07-02,3,268.45,364,0.749,2366,2239,127,1661,5856,0,,
COMB_NIFTY,NIFTY,2026-07-03,2,217.15,363,0.997,2558,2512,45,715,6792,0,,
TIMEB_NIFTY,NIFTY,2026-07-03,2,204.35,121,0.833,676,562,114,166,3333,0,,
COMB_NIFTY,NIFTY,2026-07-06,1,155.45,362,0.928,1742,1404,338,1524,4773,0,,
TIMEB_NIFTY,NIFTY,2026-07-06,1,138.3,61,0.733,260,211,49,110,2058,0,,
COMB_NIFTY,NIFTY,2026-07-07,0,94.7,363,0.948,4651,3035,1615,1979,6190,1,2389,0
TIMEB_NIFTY,NIFTY,2026-07-07,0,89.7,91,0.978,1124,1043,81,517,2582,0,,
COMB_NIFTY,NIFTY,2026-07-09,3,318.95,364,0.953,3276,3094,182,2860,7422,0,,
COMB_NIFTY,NIFTY,2026-07-10,2,234.35,363,0.989,2116,1901,214,871,6686,0,,
TIMEB_NIFTY,NIFTY,2026-07-10,2,233.15,121,1.0,1173,1173,0,179,4204,0,,
COMB_NIFTY,NIFTY,2026-07-13,1,181.6,362,0.05,718,-4921,5639,8593,4259,0,,
TIMEB_NIFTY,NIFTY,2026-07-13,1,186.35,61,1.0,598,598,0,299,3021,0,,
COMB_NIFTY,NIFTY,2026-07-14,0,124.85,363,1.0,7862,7862,0,1836,9891,1,3266,0
TIMEB_NIFTY,NIFTY,2026-07-14,0,126.85,91,0.978,1914,1888,26,1469,3976,0,,
COMB_NIFTY,NIFTY,2026-07-16,3,284.6,365,0.942,2226,1573,653,1992,5926,0,,
COMB_NIFTY,NIFTY,2026-07-17,2,259.1,361,0.764,907,-1342,2249,5242,5959,0,,
TIMEB_NIFTY,NIFTY,2026-07-17,2,257.55,119,0.034,189,-94,283,1459,3537,0,,
COMB_NIFTY,NIFTY,2026-07-20,1,198.65,351,0.966,3588,3348,241,1554,7462,0,,
TIMEB_NIFTY,NIFTY,2026-07-20,1,161.15,55,0.222,263,-234,497,721,2358,0,,
COMB_NIFTY,NIFTY,2026-07-21,0,106.4,365,0.948,3526,2753,773,2867,5255,1,2178,0
TIMEB_NIFTY,NIFTY,2026-07-21,0,91.95,91,0.478,627,-153,780,1826,2121,0,,
COMB_NIFTY,NIFTY,2026-07-23,3,290.4,361,0.956,2486,2304,182,1544,6261,0,,
COMB_NIFTY,NIFTY,2026-07-24,2,255.25,365,0.97,972,338,634,2138,5949,0,,
TIMEB_NIFTY,NIFTY,2026-07-24,2,262.3,121,0.775,582,536,46,575,3992,0,,
COMB_NIFTY,NIFTY,2026-07-27,1,167.7,365,0.761,2691,1794,897,1537,5961,0,,
TIMEB_NIFTY,NIFTY,2026-07-27,1,132.8,61,0.883,423,189,234,257,2149,0,,
COMB_NIFTY,NIFTY,2026-07-28,0,85.55,365,1.0,4738,4738,0,1388,6129,1,2139,0
TIMEB_NIFTY,NIFTY,2026-07-28,0,88.15,91,0.778,1076,871,205,660,2508,0,,
COMB_NIFTY,NIFTY,2026-07-30,3,236.05,363,0.895,1258,738,520,1856,4326,0,,
COMB_NIFTY,NIFTY,2026-07-31,2,197.2,365,0.992,1368,1284,85,995,5214,0,,
TIMEB_NIFTY,NIFTY,2026-07-31,2,192.1,121,0.858,475,452,23,188,2972,0,,
COMB_NIFTY,NIFTY,2026-08-03,1,136.35,364,1.0,1329,1329,0,725,3988,0,,
TIMEB_NIFTY,NIFTY,2026-08-03,1,122.6,61,1.0,432,432,0,111,2026,0,,
COMB_NIFTY,NIFTY,2026-08-04,0,92.8,363,0.331,1258,-2824,4082,6100,2766,0,,
TIMEB_NIFTY,NIFTY,2026-08-04,0,94.0,91,0.6,1063,897,166,588,2590,0,,
COMB_NIFTY,NIFTY,2026-08-06,3,253.35,363,0.992,117,-123,241,2255,3411,0,,
COMB_NIFTY,NIFTY,2026-08-07,2,249.55,363,1.0,2093,2093,0,1238,6959,0,,
TIMEB_NIFTY,NIFTY,2026-08-07,2,264.9,121,0.733,533,497,36,410,3977,0,,
COMB_NIFTY,NIFTY,2026-08-10,1,209.5,364,0.953,3247,3214,32,598,7332,0,,
TIMEB_NIFTY,NIFTY,2026-08-10,1,164.55,61,0.983,341,312,29,150,2480,0,,
COMB_NIFTY,NIFTY,2026-08-11,0,129.95,365,0.953,3224,2223,1001,1271,5336,0,,
TIMEB_NIFTY,NIFTY,2026-08-11,0,140.9,91,0.978,2343,2324,20,120,4633,0,,
COMB_NIFTY,NIFTY,2026-08-13,3,241.9,365,0.821,1859,1670,188,1911,5004,0,,
COMB_NIFTY,NIFTY,2026-08-14,2,192.1,363,0.721,1615,904,712,1579,5361,0,,
TIMEB_NIFTY,NIFTY,2026-08-14,2,183.75,119,0.864,676,653,23,159,3065,0,,
COMB_NIFTY,NIFTY,2026-08-17,1,135.0,365,0.538,1079,127,952,1908,3711,0,,
TIMEB_NIFTY,NIFTY,2026-08-17,1,125.05,61,0.95,335,257,78,319,1960,0,,
COMB_NIFTY,NIFTY,2026-08-18,0,87.6,364,0.953,2964,1973,991,1827,4388,1,1534,0
TIMEB_NIFTY,NIFTY,2026-08-18,0,80.45,91,0.767,803,127,676,956,2110,0,,
COMB_NIFTY,NIFTY,2026-08-20,3,210.2,365,0.343,757,97,660,2798,3490,0,,
COMB_SENSEX,SENSEX,2026-04-20,3,1412.65,83,0.183,315,-1090,1405,2117,5966,0,,
COMB_SENSEX,SENSEX,2026-04-27,3,1242.45,360,0.499,2766,1751,1015,1166,7736,0,,
COMB_SENSEX,SENSEX,2026-04-28,2,926.0,361,0.872,2508,1313,1195,1590,6212,0,,
COMB_SENSEX,SENSEX,2026-04-29,1,652.8,361,0.058,271,-414,685,7097,2882,0,,
TIMEB_SENSEX,SENSEX,2026-04-29,1,721.65,91,0.911,1467,1311,156,285,4354,0,,
COMB_SENSEX,SENSEX,2026-04-30,0,372.35,359,0.98,6322,5247,1075,5900,10046,1,-2325,0
TIMEB_SENSEX,SENSEX,2026-04-30,0,237.5,141,0.95,3625,2550,1075,5900,6000,1,1978,0
COMB_SENSEX,SENSEX,2026-05-01,4,1529.05,361,0.0,0,0,0,0,7645,0,,
COMB_SENSEX,SENSEX,2026-05-04,3,1318.35,361,0.997,1701,1368,333,2914,6974,0,,
COMB_SENSEX,SENSEX,2026-05-05,2,1017.6,361,0.997,3804,3693,111,2078,7874,0,,
COMB_SENSEX,SENSEX,2026-05-06,1,691.9,361,0.836,1785,-3541,5326,6256,4553,0,,
TIMEB_SENSEX,SENSEX,2026-05-06,1,682.2,91,0.956,751,595,156,618,3480,0,,
COMB_SENSEX,SENSEX,2026-05-07,0,471.3,359,0.964,8306,8244,62,5250,13019,1,3779,0
TIMEB_SENSEX,SENSEX,2026-05-07,0,330.1,141,0.85,3521,1443,2078,3176,6822,1,345,0
COMB_SENSEX,SENSEX,2026-05-08,4,1398.1,361,0.989,2925,2227,698,999,9916,0,,
COMB_SENSEX,SENSEX,2026-05-11,3,1267.2,358,0.846,3225,1919,1306,1588,8294,0,,
COMB_SENSEX,SENSEX,2026-05-12,2,1004.95,361,0.169,724,-4281,5005,6933,4744,0,,
COMB_SENSEX,SENSEX,2026-05-13,1,880.6,361,1.0,3693,3693,0,3890,7215,0,,
TIMEB_SENSEX,SENSEX,2026-05-13,1,877.7,91,0.733,1114,1070,44,1163,4625,0,,
COMB_SENSEX,SENSEX,2026-05-14,0,462.95,361,0.967,2005,1609,396,6577,6635,0,,
TIMEB_SENSEX,SENSEX,2026-05-14,0,321.25,141,1.0,5978,5978,0,1878,9190,1,2676,0
COMB_SENSEX,SENSEX,2026-05-15,4,1463.7,358,0.754,2072,1266,806,2009,9391,0,,
COMB_SENSEX,SENSEX,2026-05-18,3,1311.7,361,0.153,1091,-3019,4110,6075,6338,0,,
COMB_SENSEX,SENSEX,2026-05-19,2,1018.75,361,0.831,3972,1178,2794,3466,8047,0,,
COMB_SENSEX,SENSEX,2026-05-20,1,828.9,361,0.694,1548,267,1281,3278,4864,0,,
TIMEB_SENSEX,SENSEX,2026-05-20,1,763.6,91,0.256,174,-711,885,1536,3228,0,,
COMB_SENSEX,SENSEX,2026-05-21,0,457.6,361,0.897,3507,410,3097,5807,8083,0,,
TIMEB_SENSEX,SENSEX,2026-05-21,0,309.45,141,0.979,5048,4892,156,2147,8143,1,615,0
COMB_SENSEX,SENSEX,2026-05-22,3,1190.1,361,0.997,2541,2365,176,1473,7301,0,,
COMB_SENSEX,SENSEX,2026-05-25,2,866.95,359,0.841,1693,59,1634,1763,5161,0,,
COMB_SENSEX,SENSEX,2026-05-26,1,660.0,361,0.539,2059,957,1102,2723,4699,0,,
TIMEB_SENSEX,SENSEX,2026-05-26,1,599.6,91,0.889,602,346,256,537,3000,0,,
COMB_SENSEX,SENSEX,2026-05-27,0,374.05,361,0.803,4171,2838,1333,3940,7911,1,231,0
TIMEB_SENSEX,SENSEX,2026-05-27,0,202.4,141,1.0,3369,3369,0,1489,5393,1,370,0
COMB_SENSEX,SENSEX,2026-05-29,4,1156.0,361,0.417,1177,-3836,5013,8424,6957,0,,
COMB_SENSEX,SENSEX,2026-06-01,3,1004.55,360,0.387,185,-2680,2865,3994,4203,0,,
COMB_SENSEX,SENSEX,2026-06-02,2,872.0,361,0.533,1723,-4766,6489,8375,5211,0,,
COMB_SENSEX,SENSEX,2026-06-03,1,657.25,365,0.0,0,-793,793,4960,2629,0,,
TIMEB_SENSEX,SENSEX,2026-06-03,1,715.25,91,0.911,593,242,351,351,3454,0,,
COMB_SENSEX,SENSEX,2026-06-04,0,462.4,364,0.658,3175,355,2820,6130,7799,0,,
TIMEB_SENSEX,SENSEX,2026-06-04,0,289.0,141,0.95,4988,4665,323,3177,7878,1,2287,0
COMB_SENSEX,SENSEX,2026-06-05,4,1321.4,363,0.942,2466,2086,380,3221,9073,0,,
COMB_SENSEX,SENSEX,2026-06-08,3,1189.8,363,0.956,2619,2258,361,1336,7378,0,,
COMB_SENSEX,SENSEX,2026-06-09,2,868.65,336,0.857,2325,2242,83,1594,5800,0,,
COMB_SENSEX,SENSEX,2026-06-10,1,721.85,364,0.975,3099,2841,258,1710,5986,0,,
TIMEB_SENSEX,SENSEX,2026-06-10,1,680.9,90,0.124,178,-944,1122,1334,2902,0,,
COMB_SENSEX,SENSEX,2026-06-11,0,402.65,365,0.964,4745,3216,1529,9118,8771,1,3131,0
TIMEB_SENSEX,SENSEX,2026-06-11,0,295.1,141,0.636,315,-5210,5525,7113,3266,0,,
COMB_SENSEX,SENSEX,2026-06-12,4,1217.85,364,0.691,3508,-3921,7429,9591,9597,0,,
COMB_SENSEX,SENSEX,2026-06-15,3,985.9,363,0.878,1023,259,764,1873,4967,0,,
COMB_SENSEX,SENSEX,2026-06-16,2,796.8,365,0.904,2069,1821,248,749,5256,0,,
COMB_SENSEX,SENSEX,2026-06-17,1,602.05,365,0.934,1933,1354,579,1342,4341,0,,
TIMEB_SENSEX,SENSEX,2026-06-17,1,604.0,91,1.0,746,746,0,114,3162,0,,
COMB_SENSEX,SENSEX,2026-06-18,0,367.45,364,0.917,5092,889,4203,4394,8766,1,698,0
TIMEB_SENSEX,SENSEX,2026-06-18,0,194.85,141,0.879,2893,1402,1491,1678,4842,1,1215,0
COMB_SENSEX,SENSEX,2026-06-19,4,1065.5,365,0.986,2293,1907,386,969,7621,0,,
COMB_SENSEX,SENSEX,2026-06-22,3,842.55,358,0.997,2314,2115,199,285,5684,0,,
COMB_SENSEX,SENSEX,2026-06-23,2,671.75,364,0.41,991,-4817,5808,6030,3678,0,,
COMB_SENSEX,SENSEX,2026-06-24,1,635.3,278,0.116,692,-4129,4821,8490,3233,0,,
TIMEB_SENSEX,SENSEX,2026-06-24,1,638.75,74,0.712,959,635,324,781,3514,0,,
COMB_SENSEX,SENSEX,2026-06-25,0,317.75,287,0.93,3615,2036,1579,4555,6792,1,1335,0
TIMEB_SENSEX,SENSEX,2026-06-25,0,236.75,117,0.483,1585,-3591,5176,5775,3952,0,,
COMB_SENSEX,SENSEX,2026-06-26,4,973.95,361,0.0,0,0,0,0,4870,0,,
COMB_SENSEX,SENSEX,2026-06-29,3,916.85,331,0.306,1023,-784,1807,3493,4690,0,,
COMB_SENSEX,SENSEX,2026-06-30,2,765.25,363,0.851,1823,1707,116,2806,4884,0,,
COMB_SENSEX,SENSEX,2026-07-01,1,654.65,362,0.967,1733,1305,428,2234,4352,0,,
TIMEB_SENSEX,SENSEX,2026-07-01,1,621.2,91,0.944,915,436,479,479,3400,0,,
COMB_SENSEX,SENSEX,2026-07-02,0,361.55,364,0.837,3268,1553,1715,3464,6884,1,-196,0
TIMEB_SENSEX,SENSEX,2026-07-02,0,206.3,141,0.507,871,422,449,2445,2934,0,,
COMB_SENSEX,SENSEX,2026-07-03,4,976.25,361,1.0,2566,2566,0,707,7447,0,,
COMB_SENSEX,SENSEX,2026-07-06,3,768.0,360,0.994,1310,1157,153,2351,4382,0,,
COMB_SENSEX,SENSEX,2026-07-07,2,616.55,364,0.928,2028,741,1287,1483,4494,0,,
COMB_SENSEX,SENSEX,2026-07-08,1,568.15,360,0.635,1811,-16327,18138,22234,4084,0,,
TIMEB_SENSEX,SENSEX,2026-07-08,1,513.65,91,0.944,616,586,30,300,2671,0,,
COMB_SENSEX,SENSEX,2026-07-09,0,448.2,362,0.989,8519,8321,198,5532,13001,1,2440,0
TIMEB_SENSEX,SENSEX,2026-07-09,0,255.1,141,0.836,2792,-251,3043,4980,5343,1,-2188,0
COMB_SENSEX,SENSEX,2026-07-10,4,1048.0,364,0.989,2408,2230,178,861,7648,0,,
COMB_SENSEX,SENSEX,2026-07-13,3,895.2,364,0.052,387,-4818,5205,8126,3968,0,,
COMB_SENSEX,SENSEX,2026-07-14,2,813.3,351,0.977,1933,1560,373,2495,5186,0,,
COMB_SENSEX,SENSEX,2026-07-15,1,600.55,362,0.967,2478,2269,209,2910,4880,0,,
TIMEB_SENSEX,SENSEX,2026-07-15,1,553.3,91,0.944,708,693,15,286,2921,0,,
COMB_SENSEX,SENSEX,2026-07-16,0,371.15,360,0.947,5718,3901,1817,2329,9429,1,1835,0
TIMEB_SENSEX,SENSEX,2026-07-16,0,200.65,139,0.862,2308,491,1817,2329,4314,1,-21,0
COMB_SENSEX,SENSEX,2026-07-17,4,1116.05,362,0.77,833,-2568,3401,5675,6413,0,,
COMB_SENSEX,SENSEX,2026-07-20,3,955.95,352,0.997,2451,2409,42,1383,6275,0,,
COMB_SENSEX,SENSEX,2026-07-21,2,759.35,358,0.992,1893,1632,261,1401,4930,0,,
COMB_SENSEX,SENSEX,2026-07-22,1,614.4,362,0.407,1151,493,658,2596,3609,0,,
TIMEB_SENSEX,SENSEX,2026-07-22,1,574.85,91,0.889,643,583,60,147,2942,0,,
COMB_SENSEX,SENSEX,2026-07-23,0,340.6,362,0.972,5694,5586,108,2336,9100,1,1620,0
TIMEB_SENSEX,SENSEX,2026-07-23,0,206.4,139,0.986,3335,3298,37,816,5399,1,1163,0
COMB_SENSEX,SENSEX,2026-07-24,4,1179.95,363,0.97,1520,672,848,2068,7420,0,,
COMB_SENSEX,SENSEX,2026-07-27,3,909.35,365,0.712,2522,1716,806,1530,6159,0,,
COMB_SENSEX,SENSEX,2026-07-28,2,664.75,360,0.989,1558,1427,131,579,4217,0,,
COMB_SENSEX,SENSEX,2026-07-29,1,503.8,352,0.587,940,540,400,1261,2955,0,,
TIMEB_SENSEX,SENSEX,2026-07-29,1,485.5,85,0.881,558,537,21,98,2500,0,,
COMB_SENSEX,SENSEX,2026-07-30,0,308.85,355,0.946,4218,1197,3021,3249,7307,1,969,0
TIMEB_SENSEX,SENSEX,2026-07-30,0,191.05,135,0.97,2967,2775,192,2046,4878,1,1339,0
COMB_SENSEX,SENSEX,2026-07-31,4,937.85,360,0.903,2064,1818,246,1561,6753,0,,
COMB_SENSEX,SENSEX,2026-08-03,3,711.45,360,0.972,797,769,28,563,3643,0,,
COMB_SENSEX,SENSEX,2026-08-04,2,627.95,364,0.152,378,-2097,2475,4416,2890,0,,
COMB_SENSEX,SENSEX,2026-08-05,1,512.05,363,0.0,0,-3430,3430,6621,2048,0,,
TIMEB_SENSEX,SENSEX,2026-08-05,1,635.75,90,0.787,370,-312,682,1124,2913,0,,
COMB_SENSEX,SENSEX,2026-08-06,0,506.25,362,0.972,1019,820,199,4283,6082,0,,
TIMEB_SENSEX,SENSEX,2026-08-06,0,672.2,139,0.928,4733,4720,13,1409,11455,0,,
COMB_SENSEX,SENSEX,2026-08-07,4,1065.7,354,0.989,2100,1830,270,1137,7429,0,,
COMB_SENSEX,SENSEX,2026-08-10,3,973.85,363,0.945,3284,2928,356,741,7179,0,,
COMB_SENSEX,SENSEX,2026-08-11,2,755.15,341,0.991,2797,2724,73,559,5818,0,,
COMB_SENSEX,SENSEX,2026-08-12,1,570.35,332,1.0,3072,3072,0,2094,5353,0,,
TIMEB_SENSEX,SENSEX,2026-08-12,1,506.6,86,0.247,334,-144,478,1038,2360,0,,
COMB_SENSEX,SENSEX,2026-08-13,0,362.75,351,0.997,5109,4966,143,1088,8736,1,2545,0
TIMEB_SENSEX,SENSEX,2026-08-13,0,199.8,137,0.993,1850,1707,143,537,3848,1,1261,0
COMB_SENSEX,SENSEX,2026-08-14,4,876.15,358,0.734,1749,502,1247,1758,6130,0,,
COMB_SENSEX,SENSEX,2026-08-17,3,698.4,354,0.144,731,-169,900,1872,3525,0,,
COMB_SENSEX,SENSEX,2026-08-18,2,585.65,365,0.959,1205,1087,118,1089,3548,0,,
COMB_SENSEX,SENSEX,2026-08-19,1,465.9,364,0.884,1626,1399,227,965,3490,0,,
TIMEB_SENSEX,SENSEX,2026-08-19,1,441.4,91,0.4,280,116,164,273,2046,0,,
COMB_SENSEX,SENSEX,2026-08-20,0,271.15,365,1.0,2961,2961,0,590,5672,1,2113,0
TIMEB_SENSEX,SENSEX,2026-08-20,0,183.65,141,1.0,1211,1211,0,522,3048,0,,
