label,cagr,sharpe,sortino,max_drawdown,calmar,total_trades,win_rate,final_value,total_return_pct,topups,cc_calls_sold,cc_premium,cc_buyback,cc_net_income,cc_otm,cc_itm,cc_buybacks,cc_income_pct
EMA_CROSS_10_30_10OTM,31.26,1.0,1.1,26.33,1.19,21,81.0,22603281.78,126.03,33,179,1274110.0,1755863.0,-481753.0,130,39,10,-1.61
EMA_CROSS_20_50_2OTM,31.33,0.99,1.08,24.76,1.27,21,81.0,22638372.49,126.38,33,103,1892011.0,2338673.0,-446662.0,53,45,5,-1.49
EMA_CROSS_20_50_5OTM,31.4,1.0,1.09,25.46,1.23,21,81.0,22674471.58,126.74,33,103,1238243.0,1648806.0,-410563.0,65,33,5,-1.37
EMA_CROSS_20_50_10OTM,31.5,1.01,1.1,26.37,1.19,21,81.0,22727371.4,127.27,33,103,590220.0,947883.0,-357663.0,82,16,5,-1.19
EMA_BELOW_10_20_2OTM,31.06,0.96,1.07,23.2,1.34,21,81.0,22501537.04,125.02,33,340,6459751.0,7043249.0,-583498.0,184,144,12,-1.94
EMA_BELOW_10_20_5OTM,30.99,0.97,1.07,24.43,1.27,21,81.0,22465778.16,124.66,33,340,4338177.0,4957433.0,-619257.0,230,98,12,-2.06
EMA_BELOW_10_20_10OTM,31.42,0.99,1.09,25.54,1.23,21,81.0,22687255.48,126.87,33,340,2217961.0,2615740.0,-397779.0,267,61,12,-1.33
EMA_BELOW_20_50_2OTM,31.54,1.0,1.11,22.89,1.38,21,81.0,22746188.16,127.46,33,232,4250979.0,4589826.0,-338847.0,125,95,12,-1.13
EMA_BELOW_20_50_5OTM,31.67,1.01,1.11,23.61,1.34,21,81.0,22816863.99,128.17,33,232,2792409.0,3060580.0,-268171.0,152,68,12,-0.89
EMA_BELOW_20_50_10OTM,31.78,1.02,1.11,25.09,1.27,21,81.0,22869826.38,128.7,33,232,1347868.0,1563076.0,-215208.0,186,34,12,-0.72
RSI_14_OB70_2OTM,31.34,0.96,1.07,25.12,1.25,21,81.0,22643840.32,126.44,33,337,6434547.0,6875742.0,-441194.0,199,129,9,-1.47
RSI_14_OB70_5OTM,31.05,0.95,1.06,26.13,1.19,21,81.0,22494074.27,124.94,33,337,4303833.0,4894793.0,-590960.0,228,100,9,-1.97
RSI_14_OB70_10OTM,31.22,0.97,1.07,26.84,1.16,21,81.0,22583437.54,125.83,33,337,2161308.0,2662905.0,-501597.0,270,58,9,-1.67
RSI_14_OB65_2OTM,30.99,0.92,1.0,25.09,1.23,21,81.0,22462397.68,124.62,33,419,8503354.0,9125991.0,-622637.0,246,166,7,-2.08
RSI_14_OB65_5OTM,30.94,0.93,1.01,26.19,1.18,21,81.0,22435487.36,124.35,33,419,5793616.0,6443163.0,-649547.0,288,124,7,-2.17
RSI_14_OB65_10OTM,31.23,0.97,1.05,27.09,1.15,21,81.0,22584769.92,125.85,33,419,3031127.0,3531392.0,-500265.0,341,71,7,-1.67
RSI_7_OB70_2OTM,32.25,0.98,1.08,24.28,1.33,21,81.0,23117950.7,131.18,33,476,9655407.0,9622491.0,32916.0,286,184,6,0.11
RSI_7_OB70_5OTM,31.79,0.97,1.07,25.3,1.26,21,81.0,22878723.72,128.79,33,476,6602174.0,6808485.0,-206311.0,338,132,6,-0.69
