date,sym,dir,entry_t,entry,exit_t,exit,reason,pnl_unit,pnl_mis,qty_mis,grade,score,cpr_narrow,tight_risk,rsi_conviction,clean_past,cpr_pct,or_width_pct,rsi_val,past_pct
2025-05-28,BPCL,LONG,10:45,304.55,15:20,306.1,EOD_1518,1.55,11755.2,7584,B,2,0,0,1,1,0.4561,1.2806,71.37,0.4121
2025-05-28,M&M,SHORT,09:30,3016,15:20,2996.2,EOD_1518,19.8,15147.0,765,C,1,1,0,0,0,0.2188,0.8223,37.56,0.1325
2025-05-28,BAJFINANCE,LONG,11:15,925,14:35,926.0,SL,1.0,2497.0,2497,C,1,0,0,1,0,0.3261,0.8108,78.17,0.0541
2025-05-28,IRCTC,SHORT,09:30,789.5,12:00,778.62,TGT,10.875,31809.38,2925,A+,4,1,1,1,1,0.1452,0.665,24.17,0.2527
2025-05-28,AXISBANK,LONG,10:30,1200.9,14:30,1200.9,SL,0.0,0.0,1923,B,2,0,1,1,0,0.4413,0.6911,65.54,0.075
2025-05-29,BEL,SHORT,09:35,388.85,15:20,386.95,EOD_1518,1.9,11286.0,5940,B,2,1,1,0,0,0.2825,0.7972,37.87,0.0386
2025-05-29,VEDL,LONG,12:55,435.15,14:30,435.15,SL,0.0,0.0,5308,A,3,1,0,1,1,0.0155,0.8733,69.21,0.265
2025-05-29,HAL,SHORT,10:20,4988.1,14:30,4985.7,SL,2.4,1111.2,463,B,2,1,0,1,0,0.2677,0.9603,32.83,0.1401
2025-05-30,ADANIENT,SHORT,09:50,2464.4,15:20,2443.1,EOD_1518,21.3,19958.1,937,A,3,1,1,1,0,0.1531,0.7466,21.09,0.1216
2025-05-30,TATASTEEL,SHORT,09:30,158.39,15:00,157.84,SL,0.55,8021.2,14584,B,2,1,0,1,0,0.1613,0.966,32.48,0.1513
2025-05-30,VEDL,SHORT,09:30,426.95,15:20,420.05,EOD_1518,6.9,37329.0,5410,A,3,1,0,1,1,0.0574,2.0963,18.06,0.2337
2025-05-30,M&M,SHORT,09:30,2985.7,14:30,2985.7,SL,0.0,0.0,773,A,3,1,0,1,1,0.0211,0.8172,30.49,0.2439
2025-05-30,BAJFINANCE,SHORT,10:35,913.5,14:30,913.5,SL,0.0,0.0,2528,A,3,1,1,1,0,0.1085,0.6568,30.77,0.0547
2025-05-30,TRENT,SHORT,10:30,5635.5,14:30,5635.5,SL,0.0,0.0,409,C,1,0,0,1,0,0.334,1.4728,31.94,0.1683
2025-05-30,GRASIM,SHORT,10:15,2572.6,15:20,2539.9,EOD_1518,32.7,29331.9,897,B,2,1,0,1,0,0.0142,1.1739,27.03,0.0816
2025-05-30,AXISBANK,SHORT,09:55,1197.8,15:20,1191.8,EOD_1518,6.0,11568.0,1928,A,3,1,1,1,0,0.15,0.7347,28.41,0.0417
2025-06-02,M&M,LONG,10:25,3008.2,15:20,3019.1,EOD_1518,10.9,8360.3,767,B,2,1,0,1,0,0.2324,1.5059,66.4,0.0199
2025-06-02,RELIANCE,LONG,12:35,1416.8,14:30,1416.8,SL,0.0,0.0,1630,B,2,1,0,1,0,0.0352,1.2493,77.34,0.1343
2025-06-02,AXISBANK,LONG,10:05,1194.4,14:30,1194.7,SL,0.3,580.2,1934,B,2,0,0,1,1,0.3899,1.0466,70.24,0.2266
2025-06-02,APOLLOHOSP,SHORT,14:10,6920.5,14:30,6919.75,SL,0.75,249.75,333,C,1,0,0,1,0,0.4125,1.9869,30.98,0.1803
2025-06-03,TATASTEEL,SHORT,10:35,155.16,15:20,153.66,EOD_1518,1.5,22330.5,14887,B,2,1,0,1,0,0.1396,1.0119,27.62,0.1673
2025-06-03,VEDL,SHORT,09:40,418.6,14:30,418.6,SL,0.0,0.0,5518,B,2,0,0,1,1,0.3087,1.1825,34.13,0.2621
2025-06-03,BPCL,SHORT,10:00,299.9,15:20,294.55,EOD_1518,5.35,41205.7,7702,B,2,1,0,1,0,0.2096,1.3171,16.88,0.05
2025-06-03,HAL,SHORT,11:25,5007,14:55,5000.5,SL,6.5,2996.5,461,B,2,0,1,1,0,0.328,0.6271,21.55,0.0319
2025-06-03,GRASIM,LONG,10:55,2556.2,14:30,2558.0,SL,1.8,1625.4,903,B,2,1,0,0,1,0.1635,0.9076,63.05,0.4677
2025-06-03,AXISBANK,SHORT,09:30,1185,14:40,1182.3,SL,2.7,5262.3,1949,B,2,1,0,1,0,0.2434,1.1477,32.64,0.0253
2025-06-04,TRENT,SHORT,09:30,5551.5,15:20,5509.5,EOD_1518,42.0,17472.0,416,A+,4,1,1,1,1,0.2854,0.7656,22.1,0.2336
2025-06-04,HAL,SHORT,09:45,4921.4,14:30,4921.4,SL,0.0,0.0,469,C,1,0,0,1,0,0.3163,1.1623,27.16,1.1608
2025-06-04,IRCTC,LONG,11:20,775.7,14:35,776.7,SL,1.0,2977.0,2977,A+,4,1,1,1,1,0.0562,0.5737,68.55,0.2909
2025-06-04,GODREJPROP,SHORT,09:35,2260.3,14:30,2260.3,SL,0.0,0.0,1021,C,1,0,0,0,1,0.4705,1.106,38.42,0.6462
2025-06-04,RELIANCE,LONG,13:00,1415.2,15:20,1422.8,EOD_1518,7.6,12403.2,1632,B,2,0,1,1,0,0.4462,0.6148,67.09,0.0283
2025-06-05,ADANIENT,LONG,09:30,2433.4,14:30,2433.4,SL,0.0,0.0,949,C,0,0,0,0,0,0.4662,0.8096,63.95,0.0864
2025-06-05,TRENT,LONG,09:30,5558,09:45,5621.0,TGT,63.0,26145.0,415,B,2,0,1,1,0,0.455,0.6477,86.47,0.1081
2025-06-05,GRASIM,LONG,09:30,2573.4,14:30,2573.4,SL,0.0,0.0,897,A,3,1,0,1,1,0.2022,0.816,66.71,0.5274
2025-06-05,GODREJPROP,LONG,10:40,2291.9,15:20,2313,EOD_1518,21.1,21247.7,1007,A,3,1,0,1,1,0.2306,1.322,74.78,0.5263
2025-06-05,RELIANCE,LONG,09:40,1443,14:30,1444.3,SL,1.3,2080.0,1600,C,0,0,0,0,0,0.3572,1.2128,63.16,0.1318
2025-06-06,ADANIENT,LONG,10:05,2447.4,15:00,2456.2,SL,8.8,8298.4,943,A,3,1,1,1,0,0.1166,0.7477,67.27,0.0613
2025-06-06,BEL,SHORT,09:30,391.65,15:10,391.0,SL,0.65,3833.7,5898,B,2,1,0,1,0,0.2378,1.1873,32.53,0.1402
2025-06-06,VEDL,LONG,12:40,429.55,14:45,430.4,SL,0.85,4570.45,5377,C,1,1,0,0,0,0.1853,1.1291,60.92,0.0349
2025-06-06,BPCL,LONG,10:05,298.9,15:20,301.2,EOD_1518,2.3,17774.4,7728,C,1,0,0,1,0,0.4275,1.4219,82.72,0.1172
2025-06-06,M&M,LONG,10:30,3062.2,15:00,3102.85,TGT,40.65,30650.1,754,A,3,1,1,1,0,0.0723,0.7478,70.44,0.1373
2025-06-06,BAJFINANCE,LONG,10:05,899,10:30,916.25,TGT,17.25,44315.25,2569,B,2,1,0,1,0,0.0373,1.168,93.09,0.1114
2025-06-06,HAL,SHORT,09:30,5022,15:20,4986,EOD_1518,36,16524,459,B,2,0,0,1,1,0.3575,1.2664,29.43,0.2661
2025-06-06,IRCTC,LONG,12:55,783.8,14:30,783.8,SL,0.0,0.0,2947,A,3,1,1,1,0,0.1496,0.6252,65.66,0.0383
2025-06-06,GRASIM,LONG,11:00,2567.8,14:40,2572.2,SL,4.4,3955.6,899,C,0,0,0,0,0,0.3783,0.81,60.44,0.074
2025-06-06,RELIANCE,LONG,10:05,1446.5,14:30,1446.5,SL,0.0,0.0,1596,B,2,1,1,0,0,0.1504,0.4632,64.74,0.1107
2025-06-06,AXISBANK,LONG,10:25,1177.4,15:20,1195.7,EOD_1518,18.3,35886.3,1961,B,2,0,1,1,0,0.4153,0.4926,80.49,1.2295
2025-06-06,APOLLOHOSP,LONG,13:15,6894,15:20,6939.5,EOD_1518,45.5,15242.5,335,B,2,1,0,1,0,0.046,0.9501,73.2,0.1234
2025-06-09,ADANIENT,LONG,10:45,2486.9,15:20,2502.3,EOD_1518,15.4,14291.2,928,A,3,1,0,1,1,0.1467,0.8887,65.66,0.2904
2025-06-09,IRCTC,LONG,09:40,785,12:15,791.0,TGT,6.0,17652.0,2942,A,3,1,1,1,0,0.1792,0.4459,70.67,0.0637
2025-06-09,GRASIM,LONG,09:40,2590.8,15:20,2609.2,EOD_1518,18.4,16394.4,891,C,1,0,1,0,0,0.45,0.5095,61.83,0.1121
2025-06-10,ADANIENT,LONG,11:45,2536.2,14:30,2537.05,SL,0.85,773.5,910,B,2,0,0,1,1,0.4615,0.8438,68.15,0.4038
2025-06-10,TATASTEEL,SHORT,09:35,157.52,15:20,155.62,EOD_1518,1.9,27861.6,14664,B,2,1,0,1,0,0.0805,1.0856,29.21,0.0444
2025-06-10,BPCL,LONG,10:00,307.15,14:15,305.2,SL,-1.95,-14664.0,7520,B,2,0,1,1,0,0.4444,0.4721,66.63,0.1631
2025-06-10,M&M,SHORT,11:05,3088.7,15:00,3061.4,TGT,27.3,20393.1,747,C,1,0,1,0,0,0.4749,0.5472,38.12,0.0421
2025-06-10,BAJFINANCE,SHORT,10:25,959,15:20,950,EOD_1518,9,21672,2408,B,2,1,0,1,0,0.1042,1.0428,29.16,0.1042
2025-06-10,IRCTC,SHORT,10:55,788.1,14:30,788.1,SL,0.0,0.0,2931,C,1,1,0,0,0,0.1038,1.0151,38.79,0.1773
2025-06-10,GODREJPROP,SHORT,09:35,2475.5,15:20,2454.9,EOD_1518,20.6,19219.8,933,C,1,1,0,0,0,0.147,1.1392,35.98,0.113
2025-06-10,RELIANCE,SHORT,11:15,1445.5,14:35,1442.6,SL,2.9,4634.2,1598,A,3,1,1,1,0,0.1195,0.5119,31.02,0.0207
2025-06-10,AXISBANK,LONG,13:50,1229.5,14:30,1229.5,SL,0.0,0.0,1878,A,3,1,1,1,0,0.2493,0.7401,68.55,0.0407
2025-06-11,ADANIENT,SHORT,09:35,2531.3,13:35,2502.35,TGT,28.95,26402.4,912,A,3,1,1,1,0,0.1852,0.7229,28.24,0.0395
2025-06-11,VEDL,LONG,11:45,449.6,12:45,454.78,TGT,5.175,26583.98,5137,A,3,1,1,1,0,0.2688,0.5783,76.58,0.1894
2025-06-11,BPCL,LONG,09:30,313.1,15:20,318.15,EOD_1518,5.05,37253.85,7377,C,1,0,0,1,0,0.3975,2.4752,76.16,0.1119
2025-06-11,GRASIM,LONG,10:05,2714,15:20,2722.1,EOD_1518,8.1,6893.1,851,B,2,1,0,1,0,0.0912,0.8327,69.78,0.1328
2025-06-11,RELIANCE,LONG,09:30,1466.6,14:30,1466.6,SL,0.0,0.0,1575,B,2,1,0,0,1,0.298,0.9955,62.31,0.6106
2025-06-12,ADANIENT,SHORT,09:55,2493.2,15:20,2454.3,EOD_1518,38.9,36021.4,926,C,0,0,0,0,0,0.4073,0.9345,37.44,0.0281
2025-06-12,TATASTEEL,SHORT,09:40,154.94,13:25,152.96,TGT,1.98,29517.84,14908,A,3,1,1,1,0,0.0043,0.7874,25.86,0.0645
2025-06-12,BEL,SHORT,12:00,391.35,15:20,386.7,EOD_1518,4.65,27444.3,5902,B,2,1,0,1,0,0.2581,0.9966,33.6,0.0128
2025-06-12,TRENT,SHORT,10:00,5764.5,14:00,5654.25,TGT,110.25,44100.0,400,A,3,1,0,1,1,0.2561,1.0669,30.76,0.2077
2025-06-12,IRCTC,SHORT,09:40,781.9,14:10,772.07,TGT,9.825,29023.05,2954,B,2,0,1,1,0,0.3458,0.697,34.57,0.1405
2025-06-12,GRASIM,SHORT,12:25,2703.4,15:00,2695.1,SL,8.3,7088.2,854,C,0,0,0,0,0,0.3971,0.8508,36.1,0.0591
2025-06-12,GODREJPROP,SHORT,09:35,2429.8,13:50,2383.45,TGT,46.35,44032.5,950,C,1,1,0,0,0,0.083,1.2635,35.81,0.0082
2025-06-12,AXISBANK,SHORT,10:40,1224.4,15:20,1212.7,EOD_1518,11.7,22066.2,1886,A+,4,1,1,1,1,0.1918,0.6452,22.23,0.2932
2025-06-13,RELIANCE,LONG,11:50,1430,14:30,1430,SL,0,0,1615,B,2,1,0,1,0,0.1892,0.9371,66.12,0.028
2025-06-13,APOLLOHOSP,LONG,10:20,7015,14:30,7015,SL,0,0,329,C,1,1,0,0,0,0.0381,1.2616,60.38,0.0499
2025-06-16,TATASTEEL,LONG,10:50,153.16,15:20,154.13,EOD_1518,0.97,14629.54,15082,C,1,0,0,1,0,0.4313,1.1361,66.2,0.0653
2025-06-16,GRASIM,LONG,12:00,2690.9,15:15,2701.6,SL,10.7,9180.6,858,A+,4,1,1,1,1,0.0513,0.7247,75.31,0.2384
2025-06-16,RELIANCE,LONG,10:30,1435.4,14:40,1437.3,SL,1.9,3057.1,1609,B,2,1,1,0,0,0.1403,0.5991,63.16,0.1675
2025-06-16,AXISBANK,LONG,10:30,1208.6,15:20,1217.2,EOD_1518,8.6,16434.6,1911,A,3,1,1,1,0,0.119,0.7778,71.98,0.0497
2025-06-16,APOLLOHOSP,LONG,10:30,7048.5,14:15,7116.75,TGT,68.25,22317.75,327,A,3,1,1,1,0,0.136,0.4469,75.95,0.199
2025-06-17,BAJFINANCE,SHORT,10:05,925.5,15:00,923.75,SL,1.75,4366.25,2495,B,2,1,0,1,0,0.1774,1.8368,31.76,0.1079
2025-06-17,HAL,SHORT,12:50,5058,14:30,5054.5,SL,3.5,1596.0,456,C,1,1,0,0,0,0.1807,1.2218,38.34,0.004
2025-06-17,IRCTC,LONG,12:25,772.15,14:30,772.2,SL,0.05,149.55,2991,C,1,0,1,0,0,0.4238,0.6087,60.79,0.0065
2025-06-18,TATASTEEL,SHORT,10:45,151.97,14:30,151.97,SL,0.0,0.0,15200,B,2,0,1,1,0,0.4436,0.7765,28.09,0.0329
2025-06-18,VEDL,SHORT,09:30,444.25,15:20,440,EOD_1518,4.25,22095.75,5199,B,2,0,0,1,1,0.4162,1.3506,24.16,0.2022
2025-06-18,TRENT,LONG,09:35,5683,14:30,5700.0,SL,17.0,6902.0,406,C,1,0,0,1,0,0.3012,0.915,68.01,0.0704
2025-06-18,IRCTC,SHORT,11:30,763,15:20,758.95,EOD_1518,4.05,12259.35,3027,A,3,1,1,1,0,0.104,0.7339,22.85,0.1309
2025-06-18,RELIANCE,SHORT,12:25,1427.9,14:30,1427.9,SL,0.0,0.0,1617,A,3,1,1,1,0,0.2648,0.6443,32.08,0.007
2025-06-18,AXISBANK,LONG,09:50,1217.9,14:30,1218.95,SL,1.05,1990.8,1896,C,1,1,0,0,0,0.2217,1.0838,61.14,0.0657
2025-06-19,ADANIENT,SHORT,10:15,2374.6,12:35,2346.1,TGT,28.5,27702.0,972,B,2,0,1,1,0,0.3108,0.7875,11.22,0.0126
2025-06-19,TATASTEEL,SHORT,10:00,150.95,14:15,152,SL,-1.05,-16068.15,15303,B,2,1,1,0,0,0.0482,0.6691,37.26,0.0265
2025-06-19,BEL,SHORT,10:30,400.4,12:50,395.75,TGT,4.65,26825.85,5769,A,3,1,1,1,0,0.2076,0.7493,22.75,0.025
2025-06-19,BAJFINANCE,SHORT,09:45,915.5,12:20,905.0,TGT,10.5,26491.5,2523,B,2,0,1,1,0,0.3434,0.71,20.73,0.0546
2025-06-19,TRENT,SHORT,12:35,5691,14:30,5691,SL,0,0,405,C,1,0,0,1,0,0.4906,1.8714,33.52,0.0439
2025-06-19,HAL,SHORT,10:25,4981.9,12:30,4917.25,TGT,64.65,29932.95,463,B,2,0,1,1,0,0.432,0.7025,17.88,0.1623
2025-06-19,IRCTC,SHORT,09:50,757.8,11:30,751.57,TGT,6.225,18973.8,3048,B,2,0,1,1,0,0.4325,0.5212,9.67,0.0264
2025-06-19,GODREJPROP,SHORT,10:05,2451.4,12:30,2417.65,TGT,33.75,31792.5,942,A,3,1,1,1,0,0.1703,0.7588,8.97,0.1588
2025-06-19,RELIANCE,LONG,09:35,1432.3,14:40,1434.3,SL,2.0,3224.0,1612,A,3,1,1,1,0,0.1931,0.4399,69.94,0.0209
2025-06-20,TATASTEEL,LONG,10:20,151.94,14:30,151.94,SL,0.0,0.0,15203,B,2,1,1,0,0,0.2093,0.7042,62.75,0.112
2025-06-20,BEL,LONG,09:45,402,15:00,408.38,TGT,6.375,36630.75,5746,B,2,1,0,1,0,0.0125,0.9826,75.26,0.0747
2025-06-20,TRENT,LONG,10:30,5801.5,14:30,5801.5,SL,0.0,0.0,398,A,3,1,0,1,1,0.1047,1.017,65.44,0.3286
2025-06-20,HAL,LONG,14:15,4951.4,14:30,4951.4,SL,0.0,0.0,466,B,2,0,0,1,1,0.4798,1.7409,71.01,0.247
2025-06-20,RELIANCE,LONG,09:40,1440.7,15:00,1459.6,TGT,18.9,30296.7,1603,A+,4,1,1,1,1,0.0233,0.6316,74.53,0.2435
2025-06-20,APOLLOHOSP,LONG,09:30,7014.5,15:05,7074.5,TGT,60.0,19740.0,329,C,1,0,1,0,0,0.3436,0.4847,61.05,0.0856
2025-06-23,ADANIENT,LONG,10:15,2384.2,15:10,2395.95,SL,11.75,11374.0,968,B,2,1,0,1,0,0.2802,1.4261,82.74,0.1302
2025-06-23,TATASTEEL,LONG,09:35,151.57,14:00,153.2,TGT,1.635,24917.4,15240,A,3,1,1,1,0,0.0307,0.5344,71.34,0.1851
2025-06-23,TRENT,LONG,10:40,5932.5,12:55,6086.25,TGT,153.75,59808.75,389,B,2,1,0,1,0,0.255,1.6098,80.58,0.1181
2025-06-23,IRCTC,LONG,10:10,755.5,14:30,756.7,SL,1.2,3668.4,3057,B,2,0,0,1,1,0.4848,0.9596,69.31,0.2322
2025-06-23,GRASIM,LONG,10:30,2716,15:05,2726.15,SL,10.15,8627.5,850,C,1,1,0,0,0,0.1144,0.81,62.89,0.0737
2025-06-23,AXISBANK,LONG,13:20,1220,14:30,1220,SL,0,0,1893,B,2,1,0,1,0,0.0328,1.0,74.17,0.1395
2025-06-23,APOLLOHOSP,LONG,11:15,7043.5,14:30,7043.5,SL,0.0,0.0,327,C,1,0,1,0,0,0.3576,0.504,62.3,0.1137
2025-06-24,TATASTEEL,LONG,10:30,154.81,11:25,156.57,TGT,1.755,26186.36,14921,A,3,1,1,1,0,0.2367,0.7493,75.01,0.0065
2025-06-24,BPCL,SHORT,10:20,306.65,15:20,304.25,EOD_1518,2.4,18079.2,7533,C,0,0,0,0,0,0.3418,1.6305,35.55,0.1628
2025-06-24,HAL,SHORT,09:55,4918,15:20,4887.5,EOD_1518,30.5,14304.5,469,B,2,1,0,1,0,0.1554,2.6535,28.39,0.0671
2025-06-24,IRCTC,LONG,09:40,765.25,10:30,770.57,TGT,5.325,16070.85,3018,C,1,0,1,0,0,0.4174,0.4312,61.2,0.0327
2025-06-24,GRASIM,LONG,09:40,2763.3,15:20,2780.1,EOD_1518,16.8,14028.0,835,A,3,0,1,1,1,0.3907,0.7129,73.44,0.2285
2025-06-24,AXISBANK,SHORT,13:20,1220.7,14:30,1220.0,SL,0.7,1324.4,1892,B,2,1,0,1,0,0.0082,1.3025,30.9,0.0655
2025-06-25,TATASTEEL,LONG,11:25,156.63,14:30,156.63,SL,0.0,0.0,14748,B,2,1,1,0,0,0.2213,0.6257,63.27,0.0639
2025-06-25,BEL,SHORT,09:35,416,09:50,409.4,TGT,6.6,36643.2,5552,C,1,0,0,1,0,0.3571,0.9736,24.33,0.0841
2025-06-25,VEDL,SHORT,10:10,428.05,15:05,426.18,SL,1.875,10117.5,5396,C,1,0,0,1,0,0.3554,0.8994,24.1,0.035
2025-06-25,AXISBANK,SHORT,10:10,1218.5,15:20,1212.1,EOD_1518,6.4,12128.0,1895,B,2,0,1,1,0,0.3156,0.5991,26.33,0.041
