label,symbol,strategy,strike_dist,hold_period,signal,lots,total_trades,win_rate,total_pnl,total_return_pct,cagr_pct,profit_factor,max_drawdown_pct,avg_premium,avg_zone_width_pct,zone_hold_rate,max_consecutive_losses,avg_pnl_per_trade,avg_win,avg_loss,max_win,max_loss,final_capital
BANKNIFTY_short_strangle_biweekly_BB+ATR_SD2.5_L5,BANKNIFTY,short_strangle,2.5,biweekly,BB+ATR,5,22,72.73,263873.0,26.39,8.19,3.43,2.79,423.49,5.64,40.91,1,11994.23,23271.72,-18079.08,36685.75,-30000.0,1263873.0
BANKNIFTY_short_strangle_biweekly_BB+ATR_SD3.0_L3,BANKNIFTY,short_strangle,3.0,biweekly,BB+ATR,3,22,72.73,108660.3,10.87,3.53,2.51,2.63,318.12,6.75,59.09,1,4939.1,11281.79,-11974.72,17164.05,-30000.0,1108660.3
BANKNIFTY_short_strangle_biweekly_BB+ATR_SD3.0_L5,BANKNIFTY,short_strangle,3.0,biweekly,BB+ATR,5,22,72.73,214146.5,21.41,6.74,3.47,2.83,318.12,6.75,59.09,1,9733.93,18802.98,-14450.21,28606.75,-30000.0,1214146.5
BANKNIFTY_short_strangle_biweekly_BB_only_SD1.5_L3,BANKNIFTY,short_strangle,1.5,biweekly,BB_only,3,31,67.74,343945.5,34.39,10.53,3.92,3.23,776.33,3.61,19.35,2,11095.02,21979.05,-11761.46,49419.15,-30000.0,1343945.5
BANKNIFTY_short_strangle_biweekly_BB_only_SD1.5_L5,BANKNIFTY,short_strangle,1.5,biweekly,BB_only,5,31,67.74,613242.5,61.32,17.59,4.93,3.37,776.33,3.61,19.35,2,19782.02,36631.75,-15602.42,82365.25,-30000.0,1613242.5
BANKNIFTY_short_strangle_biweekly_BB_only_SD2.0_L3,BANKNIFTY,short_strangle,2.0,biweekly,BB_only,3,31,70.97,300957.45,30.1,9.32,4.07,3.04,597.65,4.85,32.26,2,9708.3,18142.41,-10908.4,42305.1,-30000.0,1300957.45
BANKNIFTY_short_strangle_biweekly_BB_only_SD2.0_L5,BANKNIFTY,short_strangle,2.0,biweekly,BB_only,5,31,70.97,541595.75,54.16,15.79,5.38,3.07,597.65,4.85,32.26,2,17470.83,30237.35,-13736.22,70508.5,-30000.0,1541595.75
BANKNIFTY_short_strangle_biweekly_BB_only_SD2.5_L3,BANKNIFTY,short_strangle,2.5,biweekly,BB_only,3,31,70.97,251786.4,25.18,7.91,4.03,2.92,453.86,6.07,38.71,2,8122.14,15225.39,-9241.35,33967.05,-30000.0,1251786.4
BANKNIFTY_short_strangle_biweekly_BB_only_SD2.5_L5,BANKNIFTY,short_strangle,2.5,biweekly,BB_only,5,31,70.97,459644.0,45.96,13.67,5.66,2.87,453.86,6.07,38.71,2,14827.23,25375.65,-10957.81,56611.75,-30000.0,1459644.0
BANKNIFTY_short_strangle_biweekly_BB_only_SD3.0_L3,BANKNIFTY,short_strangle,3.0,biweekly,BB_only,3,31,83.87,207768.75,20.78,6.61,4.08,2.64,341.42,7.26,64.52,1,6702.22,10583.67,-13481.31,26973.15,-30000.0,1207768.75
BANKNIFTY_short_strangle_biweekly_BB_only_SD3.0_L5,BANKNIFTY,short_strangle,3.0,biweekly,BB_only,5,31,83.87,379327.25,37.93,11.51,5.78,2.85,341.42,7.26,64.52,1,12236.36,17639.44,-15859.65,44955.25,-30000.0,1379327.25
BANKNIFTY_short_strangle_biweekly_Consensus3_SD1.5_L3,BANKNIFTY,short_strangle,1.5,biweekly,Consensus3,3,25,56.0,42185.85,4.22,1.4,1.16,10.0,766.88,3.51,12.0,3,1687.43,21404.14,-23406.56,34288.8,-30000.0,1042185.85
