symbol,timeframe,signal,category,zone_width_atr,hold_period,zone_hold_rate,avg_zone_duration,avg_break_magnitude,max_break_magnitude,signal_frequency,total_signals,total_bars,score
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.0,3,74.29,2.59,0.76,4.26,47.43,351,740,0.8289
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.0,5,54.0,3.76,0.99,5.04,47.43,351,740,0.7164
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.0,7,39.71,4.62,1.16,5.29,47.43,351,740,0.6344
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.0,10,24.57,5.52,1.42,7.4,47.43,351,740,0.5418
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.0,15,11.75,6.34,1.91,8.85,47.43,351,740,0.4448
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.0,20,7.27,6.81,2.38,8.61,47.43,351,740,0.3916
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.5,1,98.29,0.98,0.6,1.19,47.43,351,740,0.9555
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.5,3,86.57,2.79,0.85,3.7,47.43,351,740,0.8876
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.5,5,70.57,4.27,0.99,4.55,47.43,351,740,0.8032
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.5,7,59.14,5.51,1.15,4.78,47.43,351,740,0.7378
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.5,10,42.0,6.95,1.31,6.91,47.43,351,740,0.6443
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.5,15,26.65,8.55,1.79,8.38,47.43,351,740,0.5388
NIFTY50,daily,ATR_CONTRACT_7,volatility,2.5,20,15.41,9.57,2.12,7.99,47.43,351,740,0.4624
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.0,1,67.96,0.68,0.42,2.82,45.14,334,740,0.7716
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.0,3,20.06,1.26,0.83,4.56,45.14,334,740,0.5113
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.0,5,6.29,1.46,1.23,6.03,45.14,334,740,0.4148
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.0,7,2.4,1.52,1.57,6.29,45.14,334,740,0.3707
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.0,10,0.3,1.53,2.04,8.37,45.14,334,740,0.3308
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.0,15,0.0,1.55,2.66,9.79,45.14,334,740,0.2947
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.0,20,0.0,1.55,3.1,8.47,45.14,334,740,0.2721
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.5,1,88.32,0.88,0.37,2.27,45.14,334,740,0.8956
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.5,3,50.9,2.05,0.78,4.07,45.14,334,740,0.6895
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.5,5,27.25,2.7,1.08,5.54,45.14,334,740,0.5544
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.5,7,14.67,3.06,1.32,5.79,45.14,334,740,0.4736
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.5,10,6.89,3.31,1.73,7.89,45.14,334,740,0.4052
NIFTY50,daily,ATR_CONTRACT_14,volatility,1.5,15,1.81,3.53,2.27,9.32,45.14,334,740,0.344
