label,symbol,strategy,strike_dist,hold_period,signal,total_trades,win_rate,total_pnl,total_return_pct,cagr_pct,profit_factor,max_drawdown_pct,avg_premium,avg_zone_width_pct,zone_hold_rate,max_consecutive_losses,avg_pnl_per_trade,avg_win,avg_loss,max_win,max_loss
BANKNIFTY_iron_condor_weekly_BB_only_SD2.0,BANKNIFTY,iron_condor,2.0,weekly,BB_only,52,71.15,7139.35,0.71,0.24,1.13,1.33,195.27,4.7,55.77,3,137.3,1661.65,-3622.78,3100.75,-9529.4
BANKNIFTY_iron_condor_weekly_BB_only_SD2.5,BANKNIFTY,iron_condor,2.5,weekly,BB_only,52,73.08,358.15,0.04,0.01,1.01,1.33,131.22,5.87,67.31,3,6.89,1196.41,-3221.8,2382.85,-10545.35
BANKNIFTY_iron_condor_weekly_BB_only_SD3.0,BANKNIFTY,iron_condor,3.0,weekly,BB_only,52,75.0,-10274.3,-1.03,-0.35,0.73,1.74,83.92,7.06,78.85,3,-197.58,708.04,-2914.46,1588.6,-11114.45
BANKNIFTY_iron_condor_biweekly_BB+ATR_SD2.0,BANKNIFTY,iron_condor,2.0,biweekly,BB+ATR,26,61.54,2489.6,0.25,0.08,1.07,1.26,332.27,4.55,34.62,2,95.75,2507.97,-3763.79,4552.45,-8737.55
BANKNIFTY_iron_condor_biweekly_BB+ATR_SD2.5,BANKNIFTY,iron_condor,2.5,biweekly,BB+ATR,26,65.38,4206.5,0.42,0.14,1.13,1.04,260.07,5.72,46.15,2,161.79,2175.66,-3642.18,3853.15,-9784.85
BANKNIFTY_iron_condor_biweekly_BB+ATR_SD3.0,BANKNIFTY,iron_condor,3.0,biweekly,BB+ATR,26,69.23,2842.4,0.28,0.1,1.1,1.05,201.51,6.85,61.54,2,109.32,1785.32,-3661.68,3226.15,-10620.5
BANKNIFTY_iron_condor_biweekly_Consensus3_SD2.0,BANKNIFTY,iron_condor,2.0,biweekly,Consensus3,30,66.67,4646.85,0.46,0.16,1.11,1.58,343.69,4.67,33.33,3,154.89,2414.58,-4364.48,4463.2,-7107.35
BANKNIFTY_iron_condor_biweekly_Consensus3_SD2.5,BANKNIFTY,iron_condor,2.5,biweekly,Consensus3,30,70.0,3587.85,0.36,0.12,1.09,1.47,269.2,5.86,56.67,3,119.6,2121.99,-4552.67,3970.0,-7612.7
BANKNIFTY_iron_condor_biweekly_Consensus3_SD3.0,BANKNIFTY,iron_condor,3.0,biweekly,Consensus3,30,73.33,3578.25,0.36,0.12,1.1,1.37,208.26,7.03,66.67,3,119.28,1826.27,-4574.96,3632.95,-6914.9
BANKNIFTY_iron_condor_biweekly_Consensus4_SD2.0,BANKNIFTY,iron_condor,2.0,biweekly,Consensus4,19,63.16,3140.8,0.31,0.11,1.1,1.4,333.95,4.54,36.84,3,165.31,2992.16,-4680.74,4552.45,-8843.15
