label,symbol,sl_pct,max_reentries,min_squeeze_bars,entry_start,squeeze_occurrence,iv,total_pnl,avg_daily_pnl,win_rate,profit_factor,sharpe,sortino,max_drawdown,best_day,worst_day,entry_days,squeeze_days,total_strangles,total_sl_hits,total_reentries,avg_reentries_per_day,avg_premium
NIFTY50_SL20_RE0_E1100_OCC1_IV20,NIFTY50,0.2,0,1,11:00,1,0.2,-103822.0,-239.0,44.0,0.94,-0.38,-0.72,367733.0,35686.0,-20827.0,434,436,434,428,0,0.0,176.8
NIFTY50_SL20_RE0_E1100_OCC2_IV20,NIFTY50,0.2,0,1,11:00,2,0.2,-40150.0,-243.0,43.6,0.93,-0.41,-0.72,146514.0,30274.0,-20016.0,165,436,165,146,0,0.0,174.3
NIFTY50_SL20_RE0_E1200_OCC1_IV20,NIFTY50,0.2,0,1,12:00,1,0.2,-347645.0,-805.0,41.7,0.78,-1.37,-2.43,487833.0,35686.0,-20827.0,432,436,432,403,0,0.0,176.8
NIFTY50_SL20_RE0_E1200_OCC2_IV20,NIFTY50,0.2,0,1,12:00,2,0.2,-1639.0,-10.0,45.5,1.0,-0.02,-0.03,121949.0,30274.0,-19105.0,165,436,165,135,0,0.0,174.3
NIFTY50_SL20_RE1_E1000_OCC1_IV20,NIFTY50,0.2,1,1,10:00,1,0.2,-298982.0,-689.0,41.0,0.86,-0.8,-1.43,450031.0,56892.0,-32229.0,434,436,434,685,247,0.6,267.7
NIFTY50_SL20_RE1_E1000_OCC2_IV20,NIFTY50,0.2,1,1,10:00,2,0.2,-122919.0,-745.0,41.8,0.83,-0.91,-1.44,231244.0,54402.0,-40520.0,165,436,165,216,70,0.4,241.3
NIFTY50_SL20_RE1_E1100_OCC1_IV20,NIFTY50,0.2,1,1,11:00,1,0.2,-344188.0,-793.0,41.0,0.84,-0.93,-1.59,538495.0,56892.0,-40520.0,434,436,434,674,243,0.6,265.5
NIFTY50_SL20_RE1_E1100_OCC2_IV20,NIFTY50,0.2,1,1,11:00,2,0.2,-91512.0,-555.0,41.8,0.87,-0.7,-1.09,199243.0,49315.0,-40520.0,165,436,165,214,72,0.4,242.1
NIFTY50_SL20_RE1_E1200_OCC1_IV20,NIFTY50,0.2,1,1,12:00,1,0.2,-614716.0,-1423.0,39.8,0.71,-1.76,-2.73,752403.0,56892.0,-40520.0,432,436,432,622,225,0.5,258.5
NIFTY50_SL20_RE1_E1200_OCC2_IV20,NIFTY50,0.2,1,1,12:00,2,0.2,3406.0,21.0,44.2,1.01,0.03,0.04,167228.0,49364.0,-40520.0,165,436,165,194,63,0.4,232.7
NIFTY50_SL25_RE0_E1000_OCC1_IV20,NIFTY50,0.25,0,1,10:00,1,0.2,-224680.0,-518.0,45.2,0.86,-0.85,-1.31,302373.0,32494.0,-30217.0,434,436,434,348,0,0.0,176.8
NIFTY50_SL25_RE0_E1000_OCC2_IV20,NIFTY50,0.25,0,1,10:00,2,0.2,-191675.0,-1162.0,36.4,0.67,-2.08,-3.13,199854.0,27640.0,-23881.0,165,436,165,124,0,0.0,174.3
NIFTY50_SL25_RE0_E1100_OCC1_IV20,NIFTY50,0.25,0,1,11:00,1,0.2,-180695.0,-416.0,44.9,0.87,-0.72,-1.1,353233.0,32494.0,-24991.0,434,436,434,334,0,0.0,176.8
NIFTY50_SL25_RE0_E1100_OCC2_IV20,NIFTY50,0.25,0,1,11:00,2,0.2,-146457.0,-888.0,37.0,0.73,-1.63,-2.44,190098.0,27092.0,-23881.0,165,436,165,121,0,0.0,174.3
NIFTY50_SL25_RE0_E1200_OCC1_IV20,NIFTY50,0.25,0,1,12:00,1,0.2,-336300.0,-778.0,43.1,0.75,-1.46,-2.14,457617.0,32494.0,-23881.0,432,436,432,302,0,0.0,176.8
NIFTY50_SL25_RE0_E1200_OCC2_IV20,NIFTY50,0.25,0,1,12:00,2,0.2,-156574.0,-949.0,39.4,0.71,-1.77,-2.55,223429.0,27092.0,-23881.0,165,436,165,115,0,0.0,174.3
NIFTY50_SL25_RE1_E1000_OCC1_IV20,NIFTY50,0.25,1,1,10:00,1,0.2,-360000.0,-829.0,41.2,0.8,-1.09,-1.66,417194.0,53571.0,-46861.0,434,436,434,495,194,0.4,247.3
NIFTY50_SL25_RE1_E1000_OCC2_IV20,NIFTY50,0.25,1,1,10:00,2,0.2,-240159.0,-1456.0,34.5,0.65,-2.0,-2.81,246324.0,50539.0,-46861.0,165,436,165,164,53,0.3,222.7
NIFTY50_SL25_RE1_E1100_OCC1_IV20,NIFTY50,0.25,1,1,11:00,1,0.2,-377306.0,-869.0,40.6,0.79,-1.18,-1.77,518227.0,53571.0,-32695.0,434,436,434,480,189,0.4,245.0
NIFTY50_SL25_RE1_E1100_OCC2_IV20,NIFTY50,0.25,1,1,11:00,2,0.2,-231526.0,-1403.0,33.9,0.66,-2.02,-2.89,252758.0,41439.0,-34333.0,165,436,165,165,53,0.3,223.0
NIFTY50_SL25_RE1_E1200_OCC1_IV20,NIFTY50,0.25,1,1,12:00,1,0.2,-415401.0,-962.0,41.4,0.74,-1.41,-2.01,510112.0,53571.0,-48756.0,432,436,432,414,172,0.4,238.4
NIFTY50_SL25_RE1_E1200_OCC2_IV20,NIFTY50,0.25,1,1,12:00,2,0.2,-171616.0,-1040.0,38.8,0.72,-1.6,-2.25,253653.0,41439.0,-34340.0,165,436,165,153,53,0.3,222.8
NIFTY50_SL30_RE0_E1000_OCC1_IV20,NIFTY50,0.3,0,1,10:00,1,0.2,-316798.0,-730.0,44.9,0.77,-1.35,-1.89,374759.0,29302.0,-29564.0,434,436,434,273,0,0.0,176.8
NIFTY50_SL30_RE0_E1000_OCC2_IV20,NIFTY50,0.3,0,1,10:00,2,0.2,-237172.0,-1437.0,40.6,0.57,-2.75,-3.49,238609.0,25736.0,-28657.0,165,436,165,99,0,0.0,174.3
NIFTY50_SL30_RE0_E1100_OCC1_IV20,NIFTY50,0.3,0,1,11:00,1,0.2,-326992.0,-753.0,44.5,0.75,-1.43,-1.92,393054.0,29302.0,-29564.0,434,436,434,266,0,0.0,176.8
NIFTY50_SL30_RE0_E1100_OCC2_IV20,NIFTY50,0.3,0,1,11:00,2,0.2,-193456.0,-1172.0,40.6,0.62,-2.34,-2.98,210891.0,23909.0,-28657.0,165,436,165,96,0,0.0,174.3
NIFTY50_SL30_RE0_E1200_OCC1_IV20,NIFTY50,0.3,0,1,12:00,1,0.2,-564311.0,-1306.0,43.5,0.59,-2.61,-3.35,626371.0,29302.0,-28657.0,432,436,432,247,0,0.0,176.8
NIFTY50_SL30_RE0_E1200_OCC2_IV20,NIFTY50,0.3,0,1,12:00,2,0.2,-234906.0,-1424.0,42.4,0.56,-2.87,-3.6,282306.0,23909.0,-28657.0,165,436,165,93,0,0.0,174.3
NIFTY50_SL30_RE1_E1000_OCC1_IV20,NIFTY50,0.3,1,1,10:00,1,0.2,-505612.0,-1165.0,41.5,0.69,-1.79,-2.61,561702.0,47202.0,-41113.0,434,436,434,373,153,0.4,230.5
NIFTY50_SL30_RE1_E1000_OCC2_IV20,NIFTY50,0.3,1,1,10:00,2,0.2,-341332.0,-2069.0,37.6,0.5,-3.11,-3.85,344151.0,46738.0,-41094.0,165,436,165,127,43,0.3,213.1
NIFTY50_SL30_RE1_E1100_OCC1_IV20,NIFTY50,0.3,1,1,11:00,1,0.2,-554704.0,-1278.0,41.0,0.66,-1.93,-2.59,618810.0,47202.0,-43366.0,434,436,434,363,148,0.3,229.1
NIFTY50_SL30_RE1_E1100_OCC2_IV20,NIFTY50,0.3,1,1,11:00,2,0.2,-337858.0,-2048.0,37.6,0.5,-3.07,-3.55,339049.0,36325.0,-43366.0,165,436,165,125,43,0.3,213.9
NIFTY50_SL30_RE1_E1200_OCC1_IV20,NIFTY50,0.3,1,1,12:00,1,0.2,-688717.0,-1594.0,41.2,0.56,-2.6,-3.37,749492.0,47202.0,-41102.0,432,436,432,319,131,0.3,222.7
NIFTY50_SL30_RE1_E1200_OCC2_IV20,NIFTY50,0.3,1,1,12:00,2,0.2,-321227.0,-1947.0,40.6,0.49,-3.18,-3.71,377217.0,35055.0,-41102.0,165,436,165,117,43,0.3,213.5
BANKNIFTY_SL15_RE0_E1000_OCC1_IV20,BANKNIFTY,0.15,0,1,10:00,1,0.2,-582049.0,-1341.0,35.7,0.71,-2.13,-5.9,701464.0,41071.0,-16589.0,434,434,434,594,0,0.0,421.2
BANKNIFTY_SL15_RE0_E1000_OCC2_IV20,BANKNIFTY,0.15,0,1,10:00,2,0.2,-343786.0,-2176.0,32.9,0.49,-4.36,-8.12,444779.0,28049.0,-16589.0,158,434,158,200,0,0.0,417.7
BANKNIFTY_SL15_RE0_E1100_OCC1_IV20,BANKNIFTY,0.15,0,1,11:00,1,0.2,-783964.0,-1806.0,32.7,0.62,-2.96,-7.82,880906.0,41071.0,-20119.0,434,434,434,598,0,0.0,421.2
BANKNIFTY_SL15_RE0_E1100_OCC2_IV20,BANKNIFTY,0.15,0,1,11:00,2,0.2,-349745.0,-2214.0,31.6,0.48,-4.56,-8.23,448646.0,24905.0,-20119.0,158,434,158,199,0,0.0,417.7
BANKNIFTY_SL15_RE0_E1200_OCC1_IV20,BANKNIFTY,0.15,0,1,12:00,1,0.2,-578148.0,-1332.0,35.5,0.68,-2.33,-5.49,683744.0,41071.0,-16504.0,434,434,434,544,0,0.0,421.1
BANKNIFTY_SL15_RE0_E1200_OCC2_IV20,BANKNIFTY,0.15,0,1,12:00,2,0.2,-337930.0,-2139.0,32.3,0.46,-4.65,-7.99,386812.0,23011.0,-16504.0,158,434,158,194,0,0.0,417.7
BANKNIFTY_SL15_RE1_E1000_OCC1_IV20,BANKNIFTY,0.15,1,1,10:00,1,0.2,-662587.0,-1527.0,36.6,0.75,-1.65,-3.57,836451.0,78382.0,-35326.0,434,434,434,1011,334,0.8,732.2
BANKNIFTY_SL15_RE1_E1000_OCC2_IV20,BANKNIFTY,0.15,1,1,10:00,2,0.2,-568977.0,-3601.0,30.4,0.41,-4.89,-7.84,720176.0,52977.0,-35326.0,158,434,158,332,101,0.6,681.2
BANKNIFTY_SL15_RE1_E1100_OCC1_IV20,BANKNIFTY,0.15,1,1,11:00,1,0.2,-1038177.0,-2392.0,33.4,0.63,-2.66,-5.51,1139731.0,78382.0,-38610.0,434,434,434,1024,337,0.8,733.1
BANKNIFTY_SL15_RE1_E1100_OCC2_IV20,BANKNIFTY,0.15,1,1,11:00,2,0.2,-661287.0,-4185.0,27.8,0.34,-6.01,-8.98,777201.0,42247.0,-38610.0,158,434,158,334,103,0.7,685.2
BANKNIFTY_SL15_RE1_E1200_OCC1_IV20,BANKNIFTY,0.15,1,1,12:00,1,0.2,-791615.0,-1824.0,34.8,0.68,-2.09,-4.15,910738.0,78382.0,-33048.0,434,434,434,942,324,0.7,715.6
BANKNIFTY_SL15_RE1_E1200_OCC2_IV20,BANKNIFTY,0.15,1,1,12:00,2,0.2,-631130.0,-3994.0,29.1,0.35,-5.69,-8.3,692026.0,42247.0,-33048.0,158,434,158,324,104,0.7,686.2
BANKNIFTY_SL20_RE0_E1000_OCC1_IV20,BANKNIFTY,0.2,0,1,10:00,1,0.2,-807501.0,-1861.0,40.1,0.61,-2.96,-5.88,930312.0,37916.0,-22118.0,434,434,434,497,0,0.0,421.2
BANKNIFTY_SL20_RE0_E1000_OCC2_IV20,BANKNIFTY,0.2,0,1,10:00,2,0.2,-433584.0,-2744.0,38.6,0.39,-5.37,-7.85,502081.0,24876.0,-22118.0,158,434,158,164,0,0.0,417.7
BANKNIFTY_SL20_RE0_E1100_OCC1_IV20,BANKNIFTY,0.2,0,1,11:00,1,0.2,-855101.0,-1970.0,38.7,0.58,-3.27,-6.21,951051.0,37916.0,-23016.0,434,434,434,480,0,0.0,421.2
BANKNIFTY_SL20_RE0_E1100_OCC2_IV20,BANKNIFTY,0.2,0,1,11:00,2,0.2,-447588.0,-2833.0,37.3,0.35,-6.06,-8.8,510283.0,21729.0,-22018.0,158,434,158,160,0,0.0,417.7
BANKNIFTY_SL20_RE0_E1200_OCC1_IV20,BANKNIFTY,0.2,0,1,12:00,1,0.2,-598282.0,-1379.0,40.1,0.64,-2.47,-4.27,677673.0,37916.0,-22006.0,434,434,434,434,0,0.0,421.1
BANKNIFTY_SL20_RE0_E1200_OCC2_IV20,BANKNIFTY,0.2,0,1,12:00,2,0.2,-458757.0,-2904.0,35.4,0.31,-6.48,-9.01,472958.0,19876.0,-22006.0,158,434,158,163,0,0.0,417.7
BANKNIFTY_SL20_RE1_E1000_OCC1_IV20,BANKNIFTY,0.2,1,1,10:00,1,0.2,-1032824.0,-2380.0,37.1,0.61,-2.78,-4.99,1158769.0,59010.0,-39861.0,434,434,434,777,279,0.6,673.1
BANKNIFTY_SL20_RE1_E1000_OCC2_IV20,BANKNIFTY,0.2,1,1,10:00,2,0.2,-676008.0,-4279.0,33.5,0.28,-7.04,-9.3,737494.0,24876.0,-31171.0,158,434,158,246,78,0.5,620.4
BANKNIFTY_SL20_RE1_E1100_OCC1_IV20,BANKNIFTY,0.2,1,1,11:00,1,0.2,-1146228.0,-2641.0,35.7,0.56,-3.19,-5.54,1269837.0,55318.0,-39861.0,434,434,434,756,267,0.6,658.9
BANKNIFTY_SL20_RE1_E1100_OCC2_IV20,BANKNIFTY,0.2,1,1,11:00,2,0.2,-713540.0,-4516.0,31.6,0.24,-7.75,-9.83,771877.0,22898.0,-36528.0,158,434,158,244,76,0.5,611.5
BANKNIFTY_SL20_RE1_E1200_OCC1_IV20,BANKNIFTY,0.2,1,1,12:00,1,0.2,-970527.0,-2236.0,37.8,0.58,-2.74,-4.18,1066072.0,69809.0,-43833.0,434,434,434,696,247,0.6,638.8
BANKNIFTY_SL20_RE1_E1200_OCC2_IV20,BANKNIFTY,0.2,1,1,12:00,2,0.2,-747559.0,-4731.0,31.0,0.21,-7.75,-8.88,759992.0,22898.0,-41985.0,158,434,158,245,72,0.5,597.6
BANKNIFTY_SL25_RE0_E1000_OCC1_IV20,BANKNIFTY,0.25,0,1,10:00,1,0.2,-869953.0,-2004.0,38.9,0.54,-3.37,-5.04,937326.0,34761.0,-28570.0,434,434,434,398,0,0.0,421.2
BANKNIFTY_SL25_RE0_E1000_OCC2_IV20,BANKNIFTY,0.25,0,1,10:00,2,0.2,-532921.0,-3373.0,32.3,0.26,-6.81,-8.04,581794.0,21704.0,-28570.0,158,434,158,130,0,0.0,417.7
BANKNIFTY_SL25_RE0_E1100_OCC1_IV20,BANKNIFTY,0.25,0,1,11:00,1,0.2,-910489.0,-2098.0,37.8,0.52,-3.59,-5.22,966298.0,34761.0,-28770.0,434,434,434,384,0,0.0,421.2
BANKNIFTY_SL25_RE0_E1100_OCC2_IV20,BANKNIFTY,0.25,0,1,11:00,2,0.2,-545184.0,-3451.0,31.6,0.22,-7.45,-8.6,590906.0,18553.0,-27522.0,158,434,158,127,0,0.0,417.7
BANKNIFTY_SL25_RE0_E1200_OCC1_IV20,BANKNIFTY,0.25,0,1,12:00,1,0.2,-746872.0,-1721.0,39.2,0.54,-3.22,-4.58,781411.0,34761.0,-27507.0,434,434,434,348,0,0.0,421.1
BANKNIFTY_SL25_RE0_E1200_OCC2_IV20,BANKNIFTY,0.25,0,1,12:00,2,0.2,-573112.0,-3627.0,31.0,0.19,-8.08,-9.3,576359.0,16741.0,-27507.0,158,434,158,129,0,0.0,417.7
BANKNIFTY_SL25_RE1_E1000_OCC1_IV20,BANKNIFTY,0.25,1,1,10:00,1,0.2,-1165697.0,-2686.0,38.0,0.51,-3.47,-4.84,1238481.0,50641.0,-45643.0,434,434,434,576,217,0.5,612.8
BANKNIFTY_SL25_RE1_E1000_OCC2_IV20,BANKNIFTY,0.25,1,1,10:00,2,0.2,-750896.0,-4753.0,31.0,0.2,-7.65,-8.47,793710.0,21704.0,-44558.0,158,434,158,179,62,0.4,580.6
BANKNIFTY_SL25_RE1_E1100_OCC1_IV20,BANKNIFTY,0.25,1,1,11:00,1,0.2,-1218516.0,-2808.0,36.4,0.48,-3.74,-5.2,1302417.0,48735.0,-45660.0,434,434,434,559,206,0.5,601.6
BANKNIFTY_SL25_RE1_E1100_OCC2_IV20,BANKNIFTY,0.25,1,1,11:00,2,0.2,-763917.0,-4835.0,30.4,0.17,-8.1,-8.75,803580.0,18553.0,-45660.0,158,434,158,178,59,0.4,570.6
BANKNIFTY_SL25_RE1_E1200_OCC1_IV20,BANKNIFTY,0.25,1,1,12:00,1,0.2,-1047235.0,-2413.0,36.9,0.48,-3.47,-4.81,1084793.0,48766.0,-45650.0,434,434,434,503,184,0.4,578.0
BANKNIFTY_SL25_RE1_E1200_OCC2_IV20,BANKNIFTY,0.25,1,1,12:00,2,0.2,-770952.0,-4879.0,29.1,0.15,-8.47,-9.06,770952.0,18236.0,-45650.0,158,434,158,176,56,0.4,556.5
BANKNIFTY_SL30_RE0_E1000_OCC1_IV20,BANKNIFTY,0.3,0,1,10:00,1,0.2,-813349.0,-1874.0,41.7,0.51,-3.44,-4.35,839779.0,31606.0,-35244.0,434,434,434,296,0,0.0,421.2
BANKNIFTY_SL30_RE0_E1000_OCC2_IV20,BANKNIFTY,0.3,0,1,10:00,2,0.2,-537992.0,-3405.0,33.5,0.2,-7.18,-7.65,572345.0,18532.0,-35244.0,158,434,158,97,0,0.0,417.7
BANKNIFTY_SL30_RE0_E1100_OCC1_IV20,BANKNIFTY,0.3,0,1,11:00,1,0.2,-873621.0,-2013.0,41.0,0.47,-3.78,-4.75,889680.0,31606.0,-32955.0,434,434,434,286,0,0.0,421.2
BANKNIFTY_SL30_RE0_E1100_OCC2_IV20,BANKNIFTY,0.3,0,1,11:00,2,0.2,-516226.0,-3267.0,32.9,0.18,-7.6,-8.02,547423.0,15377.0,-29889.0,158,434,158,94,0,0.0,417.7
BANKNIFTY_SL30_RE0_E1200_OCC1_IV20,BANKNIFTY,0.3,0,1,12:00,1,0.2,-822910.0,-1896.0,41.5,0.45,-3.82,-4.73,855222.0,31936.0,-30016.0,434,434,434,263,0,0.0,421.1
BANKNIFTY_SL30_RE0_E1200_OCC2_IV20,BANKNIFTY,0.3,0,1,12:00,2,0.2,-523561.0,-3314.0,33.5,0.18,-7.56,-7.84,546614.0,13607.0,-30016.0,158,434,158,90,0,0.0,417.7
BANKNIFTY_SL30_RE1_E1000_OCC1_IV20,BANKNIFTY,0.3,1,1,10:00,1,0.2,-1180557.0,-2720.0,39.9,0.42,-4.07,-4.78,1209398.0,38692.0,-46394.0,434,434,434,402,163,0.4,564.2
BANKNIFTY_SL30_RE1_E1000_OCC2_IV20,BANKNIFTY,0.3,1,1,10:00,2,0.2,-698746.0,-4422.0,33.5,0.15,-7.67,-7.71,728808.0,18532.0,-40944.0,158,434,158,118,48,0.3,539.8
BANKNIFTY_SL30_RE1_E1100_OCC1_IV20,BANKNIFTY,0.3,1,1,11:00,1,0.2,-1226144.0,-2825.0,39.2,0.39,-4.33,-5.0,1245497.0,38677.0,-46394.0,434,434,434,391,158,0.4,558.0
BANKNIFTY_SL30_RE1_E1100_OCC2_IV20,BANKNIFTY,0.3,1,1,11:00,2,0.2,-680908.0,-4310.0,32.9,0.13,-7.96,-7.88,707815.0,15377.0,-33103.0,158,434,158,116,45,0.3,527.2
BANKNIFTY_SL30_RE1_E1200_OCC1_IV20,BANKNIFTY,0.3,1,1,12:00,1,0.2,-1097609.0,-2529.0,38.5,0.39,-4.18,-5.02,1119245.0,42581.0,-46394.0,434,434,434,350,146,0.3,545.2
BANKNIFTY_SL30_RE1_E1200_OCC2_IV20,BANKNIFTY,0.3,1,1,12:00,2,0.2,-644990.0,-4082.0,32.9,0.13,-8.02,-7.97,663753.0,13607.0,-34796.0,158,434,158,109,40,0.3,515.2
