symbol,total_trades,wins,losses,win_rate,profit_factor,total_pnl,avg_win_pct,avg_loss_pct,avg_rr,long_trades,long_wr,short_trades,short_wr,tp_hits,sl_hits,max_hold_exits
HEROMOTOCO,154,80,74,51.9,0.94,-123213.0,2.29,-2.6,0.88,92,50.0,62,54.8,2,15,137
HDFCLIFE,153,68,85,44.4,0.93,-134976.0,2.77,-2.34,1.18,71,43.7,82,45.1,2,21,130
HINDUNILVR,170,77,93,45.3,0.92,-145203.0,2.08,-1.84,1.13,95,42.1,75,49.3,4,15,150
JSWSTEEL,175,80,95,45.7,0.91,-224068.0,2.92,-2.66,1.1,104,49.0,71,40.8,0,19,156
CIPLA,174,82,92,47.1,0.9,-190075.0,2.09,-2.04,1.03,100,43.0,74,52.7,2,21,151
BHARTIARTL,162,83,79,51.2,0.89,-256442.0,2.44,-2.85,0.86,84,54.8,78,47.4,2,18,142
BPCL,161,66,95,41.0,0.89,-298870.0,3.71,-2.86,1.3,100,43.0,61,37.7,3,22,136
M&M,168,80,88,47.6,0.88,-289980.0,2.64,-2.7,0.98,80,41.2,88,53.4,2,16,150
DIVISLAB,186,92,94,49.5,0.87,-339843.0,2.44,-2.71,0.9,109,50.5,77,48.1,3,23,160
COALINDIA,11,4,7,36.4,0.86,-15111.0,2.39,-1.55,1.54,5,20.0,6,50.0,0,1,10
EICHERMOT,157,70,87,44.6,0.85,-351095.0,2.81,-2.63,1.07,86,46.5,71,42.3,4,19,134
KOTAKBANK,149,67,82,45.0,0.82,-266279.0,1.86,-1.81,1.03,79,44.3,70,45.7,0,11,138
DABUR,173,77,96,44.5,0.81,-387435.0,2.1,-2.05,1.02,97,45.4,76,43.4,1,25,147
INDUSINDBK,162,59,103,36.4,0.79,-545535.0,3.47,-2.48,1.4,90,40.0,72,31.9,3,14,145
PIDILITIND,161,72,89,44.7,0.68,-655287.0,1.95,-2.28,0.86,89,47.2,72,41.7,0,22,139
HDFCBANK,148,59,89,39.9,0.63,-698412.0,2.01,-2.09,0.96,87,42.5,61,36.1,2,17,129
BRITANNIA,157,62,95,39.5,0.6,-790430.0,1.91,-2.05,0.93,88,40.9,69,37.7,1,21,135
