date,symbol,entry_time,exit_time,exit_reason,spot_at_entry,ce_strike,pe_strike,entry_premium,exit_premium,pnl,lots,dte,filter_used
2025-07-30,BANKNIFTY,12:45:00,13:00:00,time,56213.75,56200,56200,424.3,418.54,172.9,1,1,BANKNIFTY_BB+CPR+Narrow
2025-08-21,BANKNIFTY,11:20:00,13:00:00,time,55907.9,55900,55900,730.87,696.71,1024.66,1,3,BANKNIFTY_BB+CPR+Narrow
2025-09-10,BANKNIFTY,11:50:00,13:00:00,time,54584.55,54600,54600,1236.48,1221.74,442.07,1,9,BANKNIFTY_BB+CPR+Narrow
2025-09-12,BANKNIFTY,12:50:00,13:00:00,time,54780.85,54800,54800,1169.53,1168.19,40.14,1,8,BANKNIFTY_BB+CPR+Narrow
2025-09-16,BANKNIFTY,11:15:00,13:00:00,time,55076.0,55100,55100,1017.7,996.64,631.63,1,6,BANKNIFTY_BB+CPR+Narrow
2025-10-01,BANKNIFTY,12:45:00,13:00:00,time,55260.2,55300,55300,1670.31,1665.09,156.73,1,16,BANKNIFTY_BB+CPR+Narrow
2025-11-13,BANKNIFTY,11:30:00,13:00:00,time,58547.8,58500,58500,1330.2,1314.44,472.77,1,9,BANKNIFTY_BB+CPR+Narrow
2025-11-17,BANKNIFTY,11:10:00,13:00:00,time,58929.1,58900,58900,1260.72,1238.72,660.2,1,8,BANKNIFTY_BB+CPR+Narrow
2025-11-26,BANKNIFTY,11:10:00,13:00:00,time,59442.4,59400,59400,450.3,385.3,1950.06,1,1,BANKNIFTY_BB+CPR+Narrow
2025-11-28,BANKNIFTY,12:10:00,13:00:00,time,59794.6,59800,59800,2803.49,2798.82,140.05,1,38,BANKNIFTY_BB+CPR+Narrow
2025-12-18,BANKNIFTY,11:40:00,13:00:00,time,59081.2,59100,59100,2283.68,2281.21,74.0,1,26,BANKNIFTY_BB+CPR+Narrow
2025-12-30,BANKNIFTY,11:40:00,13:00:00,time,58982.7,59000,59000,1996.87,1978.47,551.91,1,20,BANKNIFTY_BB+CPR+Narrow
2026-02-03,BANKNIFTY,12:00:00,13:00:00,time,60171.2,60200,60200,1876.05,1864.37,350.43,1,17,BANKNIFTY_BB+CPR+Narrow
2026-02-11,BANKNIFTY,11:55:00,13:00:00,time,60686.15,60700,60700,1520.67,1505.89,443.25,1,11,BANKNIFTY_BB+CPR+Narrow
2024-03-04,BANKNIFTY,12:25:00,13:00:00,time,47344.1,47300,47300,507.38,496.46,327.49,1,2,BANKNIFTY_BB+NoGap
2024-03-07,BANKNIFTY,12:40:00,13:00:00,time,47831.65,47800,47800,626.55,621.68,146.08,1,3,BANKNIFTY_BB+NoGap
2024-03-12,BANKNIFTY,12:10:00,13:00:00,time,47266.05,47300,47300,356.86,332.01,745.53,1,1,BANKNIFTY_BB+NoGap
2024-03-13,BANKNIFTY,12:45:00,13:00:00,time,47103.7,47100,47100,355.29,347.84,223.71,1,1,BANKNIFTY_BB+NoGap
