date,direction,entry_ts,entry_price,expiry,dte_entry_days,iv_used,pe_strike,ce_strike,pe_credit,ce_credit,total_credit,exit_ts,exit_price,exit_reason,pe_exit,ce_exit,total_exit_value,gross_pnl_per_unit,gross_pnl_per_lot,slippage_total,brokerage_total,stt,net_pnl_per_lot
2025-09-12,LONG,2025-09-12 11:05:00,25102.75,2025-09-16,4,0.0894,25000.0,25350.0,45.29,20.74,66.03,2025-09-12 15:25:00,25107.7,EOD,43.81,21.58,65.39,0.64,41.6,260.0,80.0,2.15,-300.55
2025-09-16,LONG,2025-09-16 12:20:00,25191.65,2025-09-23,7,0.0818,25000.0,25550.0,35.08,18.29,53.37,2025-09-16 15:25:00,25254.45,EOD,23.49,27.96,51.45,1.92,124.8,260.0,80.0,1.73,-216.93
2025-09-18,SHORT,2025-09-18 12:35:00,25389.7,2025-09-23,5,0.0532,25300.0,25450.0,22.09,46.05,68.14,2025-09-18 15:25:00,25420.75,EOD,15.61,59.89,75.5,-7.36,-478.4,260.0,80.0,2.21,-820.61
2025-09-23,SHORT,2025-09-23 11:10:00,25098.9,2025-09-30,7,0.0548,24950.0,25200.0,17.42,46.25,63.67,2025-09-23 12:35:00,25199.3,SL,5.9,92.55,98.45,-34.78,-2260.7,260.0,80.0,2.07,-2602.77
2025-09-24,SHORT,2025-09-24 11:05:00,25031.9,2025-09-30,6,0.0534,24900.0,25150.0,16.34,32.37,48.71,2025-09-24 13:10:00,25132.03,SL,4.91,73.22,78.13,-29.42,-1912.3,260.0,80.0,1.58,-2253.88
2025-09-25,SHORT,2025-09-25 11:40:00,24989.75,2025-09-30,5,0.0588,24850.0,25100.0,15.89,33.57,49.46,2025-09-25 15:25:00,24904.55,EOD,36.71,14.17,50.88,-1.42,-92.3,260.0,80.0,1.61,-433.91
2025-09-26,SHORT,2025-09-26 11:15:00,24755.95,2025-09-30,4,0.0671,24650.0,24850.0,24.26,37.85,62.11,2025-09-26 15:25:00,24673.1,EOD,50.62,16.95,67.57,-5.46,-354.9,260.0,80.0,2.02,-696.92
2025-09-29,SHORT,2025-09-29 11:45:00,24643.5,2025-09-30,1,0.079,24600.0,24650.0,21.1,39.62,60.72,2025-09-29 14:20:00,24742.07,SL,3.46,105.92,109.38,-48.66,-3162.9,260.0,80.0,1.97,-3504.87
2025-09-30,SHORT,2025-09-30 10:25:00,24624.0,2025-10-07,7,0.0767,24400.0,24850.0,22.6,34.86,57.46,2025-09-30 15:25:00,24633.6,EOD,21.08,37.12,58.2,-0.74,-48.1,260.0,80.0,1.87,-389.97
2025-10-01,LONG,2025-10-01 11:10:00,24702.2,2025-10-07,6,0.0734,24600.0,24950.0,42.1,21.48,63.58,2025-10-01 15:25:00,24853.4,EOD,12.97,62.58,75.55,-11.97,-778.05,260.0,80.0,2.07,-1120.12
2025-10-06,LONG,2025-10-06 10:20:00,24974.8,2025-10-07,1,0.083,24950.0,25050.0,30.21,16.86,47.07,2025-10-06 15:25:00,25072.55,EOD,6.5,58.28,64.78,-17.71,-1151.15,260.0,80.0,1.53,-1492.68
2025-10-07,LONG,2025-10-07 13:40:00,25210.35,2025-10-14,7,0.0893,25000.0,25600.0,38.78,19.94,58.72,2025-10-07 15:05:00,25109.51,SL,65.78,9.99,75.77,-17.05,-1108.25,260.0,80.0,1.91,-1450.16
2025-10-08,SHORT,2025-10-08 11:00:00,25070.9,2025-10-14,6,0.0842,24800.0,25300.0,18.26,36.03,54.29,2025-10-08 15:25:00,25023.8,EOD,25.48,26.38,51.86,2.43,157.95,260.0,80.0,1.76,-183.81
2025-10-09,LONG,2025-10-09 11:05:00,25151.05,2025-10-14,5,0.0826,25000.0,25400.0,33.71,23.32,57.03,2025-10-09 15:25:00,25170.3,EOD,29.4,26.96,56.36,0.67,43.55,260.0,80.0,1.85,-298.3
2025-10-10,LONG,2025-10-10 10:55:00,25297.0,2025-10-14,4,0.0847,25200.0,25550.0,43.31,17.3,60.61,2025-10-10 15:25:00,25278.2,EOD,49.27,14.67,63.94,-3.33,-216.45,260.0,80.0,1.97,-558.42
2025-10-14,SHORT,2025-10-14 11:15:00,25140.8,2025-10-21,7,0.0835,24850.0,25400.0,19.27,36.4,55.67,2025-10-14 15:25:00,25123.35,EOD,21.68,32.72,54.4,1.27,82.55,260.0,80.0,1.81,-259.26
2025-10-15,LONG,2025-10-15 10:20:00,25272.95,2025-10-21,6,0.0845,25100.0,25600.0,36.88,19.36,56.24,2025-10-15 15:25:00,25327.75,EOD,25.84,28.3,54.14,2.1,136.5,260.0,80.0,1.83,-205.33
2025-10-16,LONG,2025-10-16 10:25:00,25453.25,2025-10-21,5,0.087,25300.0,25750.0,38.11,19.67,57.78,2025-10-16 15:25:00,25566.3,EOD,17.2,42.91,60.11,-2.33,-151.45,260.0,80.0,1.88,-493.33
2025-10-17,LONG,2025-10-17 10:30:00,25691.1,2025-10-21,4,0.0887,25550.0,25950.0,35.73,19.83,55.56,2025-10-17 15:25:00,25704.7,EOD,32.45,22.09,54.54,1.02,66.3,260.0,80.0,1.81,-275.51
2025-10-23,SHORT,2025-10-23 13:55:00,25990.0,2025-10-28,5,0.0684,25800.0,26100.0,16.36,46.84,63.2,2025-10-23 15:25:00,25870.3,EOD,44.07,17.54,61.61,1.59,103.35,260.0,80.0,2.05,-238.7
2025-10-24,SHORT,2025-10-24 10:25:00,25826.95,2025-10-28,4,0.0642,25700.0,25900.0,19.42,45.43,64.85,2025-10-24 15:25:00,25797.45,EOD,26.05,35.22,61.27,3.58,232.7,260.0,80.0,2.11,-109.41
2025-10-27,LONG,2025-10-27 11:10:00,25976.3,2025-10-28,1,0.0702,26000.0,26050.0,48.41,13.16,61.57,2025-10-27 15:25:00,25974.0,EOD,49.75,12.63,62.38,-0.81,-52.65,260.0,80.0,2.0,-394.65
2025-10-28,SHORT,2025-10-28 10:30:00,25880.8,2025-11-04,7,0.0693,25650.0,26050.0,18.25,45.63,63.88,2025-10-28 15:25:00,25965.4,EOD,9.03,75.65,84.68,-20.8,-1352.0,260.0,80.0,2.08,-1694.08
2025-10-30,SHORT,2025-10-30 13:30:00,25877.6,2025-11-04,5,0.0679,25700.0,26000.0,17.75,41.89,59.64,2025-10-30 15:25:00,25891.2,EOD,15.64,46.36,62.0,-2.36,-153.4,260.0,80.0,1.94,-495.34
2025-10-31,SHORT,2025-10-31 10:30:00,25810.6,2025-11-04,4,0.0778,25650.0,25950.0,22.9,37.1,60.0,2025-10-31 15:25:00,25732.55,EOD,42.57,19.43,62.0,-2.0,-130.0,260.0,80.0,1.95,-471.95
2025-11-03,LONG,2025-11-03 10:40:00,25772.25,2025-11-04,1,0.084,25750.0,25850.0,33.04,17.8,50.84,2025-11-03 15:25:00,25774.3,EOD,32.22,18.34,50.56,0.28,18.2,260.0,80.0,1.65,-323.45
2025-11-04,SHORT,2025-11-04 11:20:00,25670.8,2025-11-11,7,0.0825,25400.0,25900.0,22.59,44.29,66.88,2025-11-04 15:25:00,25586.25,EOD,38.24,26.5,64.74,2.14,139.1,260.0,80.0,2.17,-203.07
2025-11-07,LONG,2025-11-07 11:30:00,25461.25,2025-11-11,4,0.0849,25350.0,25700.0,39.77,20.03,59.8,2025-11-07 15:25:00,25510.05,EOD,27.72,29.6,57.32,2.48,161.2,260.0,80.0,1.94,-180.74
2025-11-10,LONG,2025-11-10 10:20:00,25619.05,2025-11-11,1,0.0723,25600.0,25650.0,27.98,26.91,54.89,2025-11-10 15:25:00,25574.25,EOD,50.12,13.04,63.16,-8.27,-537.55,260.0,80.0,1.78,-879.33
2025-11-11,SHORT,2025-11-11 10:30:00,25469.8,2025-11-18,7,0.0703,25250.0,25650.0,19.86,42.23,62.09,2025-11-11 12:25:00,25571.68,SL,8.52,77.96,86.48,-24.39,-1585.35,260.0,80.0,2.02,-1927.37
2025-11-12,LONG,2025-11-12 10:35:00,25867.2,2025-11-18,6,0.0696,25750.0,26100.0,37.07,23.97,61.04,2025-11-12 15:25:00,25874.0,EOD,35.32,25.29,60.61,0.43,27.95,260.0,80.0,1.98,-314.03
2025-11-13,LONG,2025-11-13 10:20:00,25913.2,2025-11-18,5,0.0763,25800.0,26150.0,39.61,22.57,62.18,2025-11-13 15:25:00,25884.1,EOD,48.28,17.78,66.06,-3.88,-252.2,260.0,80.0,2.02,-594.22
2025-11-17,LONG,2025-11-17 12:35:00,25981.75,2025-11-18,1,0.0745,26000.0,26050.0,47.58,16.35,63.93,2025-11-17 15:25:00,26014.3,EOD,31.67,26.83,58.5,5.43,352.95,260.0,80.0,2.08,10.87
2025-11-19,LONG,2025-11-19 10:30:00,25977.05,2025-11-25,6,0.0729,25850.0,26250.0,38.31,20.17,58.48,2025-11-19 15:25:00,26052.7,EOD,22.2,35.33,57.53,0.95,61.75,260.0,80.0,1.9,-280.15
2025-11-20,LONG,2025-11-20 10:45:00,26140.4,2025-11-25,5,0.0742,26050.0,26400.0,44.68,17.74,62.42,2025-11-20 15:25:00,26197.4,EOD,29.61,28.18,57.79,4.63,300.95,260.0,80.0,2.03,-41.08
2025-11-26,LONG,2025-11-26 10:45:00,26122.95,2025-12-02,6,0.0661,26050.0,26350.0,46.73,22.49,69.22,2025-11-26 15:25:00,26203.5,EOD,25.67,41.84,67.51,1.71,111.15,260.0,80.0,2.25,-231.1
2025-11-27,SHORT,2025-11-27 13:10:00,26177.25,2025-12-02,5,0.079,25950.0,26350.0,18.61,39.94,58.55,2025-11-27 15:25:00,26219.85,EOD,13.11,52.76,65.87,-7.32,-475.8,260.0,80.0,1.9,-817.7
2025-11-28,LONG,2025-11-28 10:40:00,26274.5,2025-12-02,4,0.0784,26200.0,26500.0,47.26,19.68,66.94,2025-11-28 15:25:00,26204.55,EOD,74.7,10.3,85.0,-18.06,-1173.9,260.0,80.0,2.18,-1516.08
2025-12-01,SHORT,2025-12-01 10:50:00,26229.65,2025-12-02,1,0.0789,26150.0,26250.0,13.47,35.84,49.31,2025-12-01 15:25:00,26175.95,EOD,29.51,17.07,46.58,2.73,177.45,260.0,80.0,1.6,-164.15
2025-12-02,SHORT,2025-12-02 12:50:00,26043.9,2025-12-09,7,0.0785,25750.0,26300.0,17.15,35.03,52.18,2025-12-02 15:25:00,26057.0,EOD,15.61,37.97,53.58,-1.4,-91.0,260.0,80.0,1.7,-432.7
