label,symbol,strategy,strike_dist,hold_period,signal,trend_filter,lots,total_trades,win_rate,total_pnl,total_return_pct,cagr_pct,profit_factor,max_drawdown_pct,avg_premium,avg_zone_width_pct,zone_hold_rate,max_consecutive_losses,avg_pnl_per_trade,avg_win,avg_loss,max_win,max_loss,final_capital
BANKNIFTY_short_strangle_biweekly_monthly_BB_only_SD2.5_TF2.5_L5,BANKNIFTY,short_strangle,2.5,biweekly,BB_only,TF2.5,5,29,82.76,629197.75,62.92,17.98,10.67,2.11,1038.52,6.1,48.28,1,21696.47,28927.94,-13014.55,61093.0,-30000.0,1629197.75
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD1.5_noTF_L3,BANKNIFTY,short_strangle,1.5,biweekly,BB+ATR,noTF,3,22,81.82,212970.3,21.3,6.71,4.07,2.41,1334.54,3.35,4.55,1,9680.47,15680.18,-17318.21,29414.4,-30000.0,1212970.3
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD1.5_noTF_L5,BANKNIFTY,short_strangle,1.5,biweekly,BB+ATR,noTF,5,22,81.82,380918.75,38.09,11.47,5.26,2.74,1334.54,3.35,4.55,1,17314.49,26133.62,-22371.62,49024.0,-30000.0,1380918.75
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD1.5_TF1.5_L3,BANKNIFTY,short_strangle,1.5,biweekly,BB+ATR,TF1.5,3,22,77.27,207766.05,20.78,6.55,3.87,2.42,1344.12,3.37,9.09,1,9443.91,16480.92,-14481.93,31022.25,-30000.0,1207766.05
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD1.5_TF1.5_L5,BANKNIFTY,short_strangle,1.5,biweekly,BB+ATR,TF1.5,5,22,77.27,372245.0,37.22,11.23,4.93,2.75,1344.12,3.37,9.09,1,16920.23,27468.21,-18942.9,51703.75,-30000.0,1372245.0
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD1.5_TF2.0_L3,BANKNIFTY,short_strangle,1.5,biweekly,BB+ATR,TF2.0,3,22,77.27,193616.7,19.36,6.13,3.67,2.45,1333.09,3.36,0.0,1,8800.76,15648.61,-14481.93,29414.4,-30000.0,1193616.7
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD1.5_TF2.0_L5,BANKNIFTY,short_strangle,1.5,biweekly,BB+ATR,TF2.0,5,22,77.27,348662.75,34.87,10.58,4.68,2.77,1333.09,3.36,0.0,1,15848.31,26081.01,-18942.9,49024.0,-30000.0,1348662.75
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD1.5_TF2.5_L3,BANKNIFTY,short_strangle,1.5,biweekly,BB+ATR,TF2.5,3,22,81.82,206660.4,20.67,6.52,3.98,2.43,1333.15,3.36,0.0,1,9393.65,15329.62,-17318.21,29414.4,-30000.0,1206660.4
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD1.5_TF2.5_L5,BANKNIFTY,short_strangle,1.5,biweekly,BB+ATR,TF2.5,5,22,81.82,370402.25,37.04,11.18,5.14,2.77,1333.15,3.36,0.0,1,16836.47,25549.38,-22371.62,49024.0,-30000.0,1370402.25
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.0_noTF_L3,BANKNIFTY,short_strangle,2.0,biweekly,BB+ATR,noTF,3,22,81.82,200052.6,20.01,6.33,4.08,2.44,1133.2,4.49,27.27,1,9093.3,14717.47,-16215.49,27672.0,-30000.0,1200052.6
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.0_noTF_L5,BANKNIFTY,short_strangle,2.0,biweekly,BB+ATR,noTF,5,22,81.82,353421.0,35.34,10.71,5.01,2.81,1133.2,4.49,27.27,1,16064.59,24529.12,-22025.81,46120.0,-30596.75,1353421.0
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.0_TF1.5_L3,BANKNIFTY,short_strangle,2.0,biweekly,BB+ATR,TF1.5,3,22,77.27,197805.3,19.78,6.26,3.92,2.44,1142.71,4.52,31.82,1,8991.15,15618.35,-13541.34,29281.65,-30000.0,1197805.3
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.0_TF1.5_L5,BANKNIFTY,short_strangle,2.0,biweekly,BB+ATR,TF1.5,5,22,77.27,349675.5,34.97,10.61,4.77,2.81,1142.71,4.52,31.82,1,15894.34,26030.59,-18568.9,48802.75,-30596.75,1349675.5
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.0_TF2.0_L3,BANKNIFTY,short_strangle,2.0,biweekly,BB+ATR,TF2.0,3,22,77.27,182173.2,18.22,5.79,3.69,2.47,1133.04,4.5,27.27,1,8280.6,14698.82,-13541.34,27672.0,-30000.0,1182173.2
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.0_TF2.0_L5,BANKNIFTY,short_strangle,2.0,biweekly,BB+ATR,TF2.0,5,22,77.27,323622.0,32.36,9.89,4.49,2.83,1133.04,4.5,27.27,1,14710.09,24498.03,-18568.9,46120.0,-30596.75,1323622.0
BANKNIFTY_short_strangle_biweekly_monthly_BB+ATR_SD2.0_TF2.5_L3,BANKNIFTY,short_strangle,2.0,biweekly,BB+ATR,TF2.5,3,22,81.82,194434.35,19.44,6.16,4.0,2.45,1133.1,4.49,27.27,1,8837.92,14405.35,-16215.49,27672.0,-30000.0,1194434.35
