symbol,entry_date,exit_date,entry_px,exit_px,shares,pnl,ret_pct,bars,days,mae_pct,mfe_pct,reason
VEDL,2021-03-30,2021-04-13,99.9000015258789,92.4000015258789,39752,-309606.75,-7.7845755,9,14,-7.557560496935523,4.254254189274498,RULE
ADANIGREEN,2021-03-23,2021-04-20,1309.0,1060.0,3076,-776854.5,-19.26472,17,28,-19.300994989615162,0.3552348673844463,RULE
GRASIM,2021-02-02,2021-04-22,1139.449951171875,1266.8499755859375,3141,388826.25,10.8477955,52,79,0.0,27.14468051098018,RULE
INFY,2021-04-06,2021-05-17,1423.0,1320.300048828125,2918,-311686.0,-7.495075,26,41,-7.491214025715919,1.2684503744290199,RULE
JINDALSTEL,2021-03-02,2021-05-21,346.25,405.79998779296875,11336,662270.25,16.847467,52,80,-11.364622701376359,41.57401074571298,RULE
ADANIPORTS,2021-02-23,2021-06-17,680.0,683.0,5577,5328.75,0.14029741,76,114,-2.6470588235294135,29.205878762637873,RULE
ADANIENT,2020-10-05,2021-06-18,302.0,1308.800048828125,9865,9.908246e+06,332.07925,175,256,-1.4569516213524425,446.02649006622516,RULE
ADANIENSOL,2021-01-25,2021-06-18,486.0,1240.1500244140625,7240,5.4413e+06,154.4105,97,144,-5.493829672228657,229.75308139628345,RULE
ADANIPOWER,2021-03-18,2021-06-18,18.049999237060547,23.0,211710,1.03492875e+06,27.04214,61,92,-5.817170534304905,70.63712209927131,RULE
VBL,2021-06-21,2021-06-28,106.0,96.0,40971,-422124.25,-9.705252,5,7,-9.905660377358494,0.0,RULE
CHOLAFIN,2021-03-22,2021-07-22,558.0,499.0,7087,-429369.5,-10.841358,82,122,-12.150535446768595,6.182795698924726,RULE
CIPLA,2021-04-13,2021-07-28,921.9500122070312,921.5999755859375,4276,-13321.5,-0.33740997,72,106,-4.718260146867026,6.253046544345664,RULE
HINDUNILVR,2021-06-21,2021-07-30,2473.949951171875,2340.0,1755,-247754.5,-5.697739,28,39,-5.626627616534363,1.6330219803047274,RULE
DLF,2021-07-30,2021-08-23,338.79998779296875,313.8999938964844,13724,-355164.0,-7.6270046,15,24,-8.795746418733252,4.825857937606148,RULE
GRASIM,2021-06-28,2021-08-24,1509.0,1438.300048828125,2927,-219879.5,-4.970747,39,57,-4.9072265625,5.109342318484922,RULE
JSWSTEEL,2020-10-19,2021-08-27,314.20001220703125,672.9000244140625,9487,3.3889398e+06,113.52141,213,312,-2.6575448055723427,142.91851379594561,RULE
TATASTEEL,2021-07-28,2021-09-21,126.6500015258789,119.41999816894531,36173,-274882.5,-5.9910955,37,55,-6.0955397770963815,14.465060777027162,RULE
APOLLOHOSP,2020-09-21,2021-09-29,1824.050048828125,4420.0,1589,4.1100818e+06,141.59206,254,373,-1.9133260316231082,178.73139767074284,RULE
CUMMINSIND,2021-02-01,2021-10-04,664.9000244140625,918.2000122070312,5206,1.3063172e+06,37.68228,166,245,0.0,57.51240944096059,RULE
TATACONSUM,2021-04-22,2021-10-04,672.3499755859375,795.1500244140625,6001,723713.5,17.91004,113,165,-7.59277008205137,29.582811279308174,RULE
ASIANPAINT,2021-06-18,2021-10-04,3061.550048828125,3202.800048828125,1418,186968.0,4.3002963,73,108,-3.367578383888048,12.642290429851922,RULE
TECHM,2021-06-18,2021-10-04,1042.5,1332.4000244140625,4165,1.1925965e+06,27.425312,73,108,-4.115110255545562,40.6906427982614,RULE
AMBUJACEM,2020-10-08,2021-10-07,234.8000030517578,398.95001220703125,12934,2.1108208e+06,69.40159,248,364,0.0,88.0323655288363,RULE
PIDILITIND,2021-06-22,2021-10-22,1083.0,1153.0,4015,267583.5,6.144607,84,122,-1.5143143503289491,15.503234017918977,RULE
SOLARINDS,2021-10-04,2021-10-25,2174.0,2274.699951171875,2337,219741.0,4.318595,14,21,0.0,24.89189983181923,RULE
