symbol,entry_date,exit_date,entry_px,exit_px,shares,pnl,ret_pct,bars,days,mae_pct,mfe_pct,reason
TITAN,2006-01-05,2008-10-10,42.650001525878906,41.880001068115234,11729,-10518.531,-2.0995378,688,1009,-39.226262253317,106.21335006254671,RULE
AXISBANK,2006-01-09,2008-10-13,63.0,113.0,7899,392864.66,78.82779,687,1008,-22.82539852081783,302.58730933779765,RULE
ONGC,2006-01-04,2008-10-20,127.3499984741211,124.80000305175781,3920,-11478.656,-2.2959113,695,1020,-20.69100807996923,69.45426434034134,RULE
NTPC,2006-01-05,2008-10-20,88.08999633789062,114.9000015258789,5679,150524.81,30.044067,694,1019,-12.90724893843237,147.53094802657722,RULE
GAIL,2007-11-08,2008-10-27,48.119998931884766,29.809999465942383,20180,-371854.75,-38.23628,239,354,-38.944306290707054,21.674980333935046,RULE
CIPLA,2008-07-23,2008-10-27,240.10000610351562,160.10000610351562,3073,-247684.75,-33.519196,64,96,-33.31944938206672,0.24989205725711727,RULE
SUNPHARMA,2008-02-29,2009-02-25,125.5999984741211,101.0999984741211,7037,-174799.44,-19.74749,239,362,-19.992038945386838,22.603509047727034,RULE
BHARTIARTL,2009-05-19,2010-02-17,500.6000061035156,268.3500061035156,1268,-295955.53,-46.5549,187,274,-46.743906741306105,0.0,RULE
POWERGRID,2009-05-19,2010-08-06,60.54999923706055,52.29999923706055,10486,-88284.5,-13.883835,305,444,-14.120560437311102,10.817505069515377,RULE
NTPC,2009-05-19,2010-11-12,161.6300048828125,147.4600067138672,3928,-57480.875,-9.040218,374,542,-9.453689486908956,11.687186053941145,RULE
MARUTI,2009-04-16,2011-02-07,852.0,1201.0,710,245603.56,40.540195,453,662,-11.484738918537262,99.69483854625148,RULE
CIPLA,2009-04-16,2011-02-25,240.0,301.8999938964844,2523,154122.81,25.414848,467,680,-9.791666666666664,58.02083333333334,RULE
RECLTD,2009-05-08,2011-02-25,47.650001525878906,83.25,12621,446829.5,74.18809,453,658,-9.653729572957259,214.27071396560225,RULE
PFC,2009-05-19,2011-02-25,82.0,96.80000305175781,7743,112519.75,17.695164,446,647,-9.756097560975608,85.67073170731707,RULE
GAIL,2009-05-19,2011-05-19,49.709999084472656,69.80000305175781,12773,254319.88,39.993797,501,730,-12.774086886081982,76.50372053854227,RULE
ONGC,2009-05-29,2011-06-21,180.10000610351562,163.5,3496,-59835.438,-9.489041,516,753,-13.464741353790899,27.873401025532928,RULE
SBIN,2009-05-28,2011-06-22,178.0,216.17999267578125,3483,130921.56,21.085644,518,755,-13.275283642029489,96.06741573033707,RULE
UNIONBANK,2009-05-06,2011-07-29,161.13999938964844,277.0199890136719,3741,431048.25,71.39764,561,814,-7.353857607298009,148.68438159623753,RULE
CANBK,2009-05-19,2011-08-01,48.540000915527344,84.41000366210938,13081,466606.8,73.37691,553,804,-14.915536757130155,217.1817136588007,RULE
BANKBARODA,2009-05-08,2011-08-18,56.84000015258789,147.7100067138672,10581,958249.06,159.09137,572,832,-3.571426414228207,241.41449162145773,RULE
PNB,2009-05-18,2011-08-23,120.51000213623047,193.00999450683594,5192,373978.2,59.681202,569,827,-4.356484861783628,123.45033109773698,RULE
HCLTECH,2010-08-06,2011-08-26,102.80000305175781,91.55000305175781,9063,-104600.81,-11.210346,266,385,-10.16537380098651,26.167308461013118,RULE
IOC,2009-05-26,2011-10-18,30.719999313354492,31.770000457763672,19733,18870.0,3.1081796,600,875,-13.444007985284113,85.35156217258191,RULE
BPCL,2009-05-19,2011-11-16,24.399999618530273,31.299999237060547,26023,177384.44,27.894424,623,911,-11.065569253289409,117.41803305919886,RULE
