series,scope,start,dur,n_days,mean_exc_bp,med_exc_bp,p90_exc_bp,p95_exc_bp,max_exc_bp,pct_gt_30bp,pct_gt_50bp,mean_terminal_bp
SENSEX_1min,FRI,12:20,90,274,31.9,25.4,59.4,68.0,170.1,39.4,15.3,21.7
SENSEX_1min,FRI,12:20,HOLD,274,52.3,42.8,95.3,120.8,197.0,72.3,39.8,34.2
SENSEX_1min,FRI,12:35,120,274,39.5,31.9,71.1,90.9,190.0,54.4,25.2,24.6
SENSEX_1min,FRI,12:35,45,274,21.2,16.9,40.1,47.5,147.1,19.3,2.9,13.0
SENSEX_1min,FRI,12:35,60,274,24.4,19.4,47.1,54.1,150.3,25.5,7.7,15.5
SENSEX_1min,FRI,12:35,90,274,33.0,27.2,61.6,72.3,162.7,42.3,17.5,21.9
SENSEX_1min,FRI,12:35,HOLD,274,49.8,42.6,86.3,106.2,190.0,70.4,37.6,32.4
SENSEX_1min,FRI,12:50,120,274,39.7,32.6,68.9,88.3,168.6,55.1,25.2,24.5
SENSEX_1min,FRI,12:50,45,274,20.7,18.0,36.0,42.6,89.9,19.0,3.3,13.2
SENSEX_1min,FRI,12:50,60,274,25.7,21.8,42.6,54.7,134.6,28.8,7.3,16.4
SENSEX_1min,FRI,12:50,90,274,34.0,27.4,58.8,77.4,159.3,43.1,17.9,21.3
SENSEX_1min,FRI,12:50,HOLD,274,47.3,38.0,80.8,113.3,173.2,66.8,35.4,30.0
SENSEX_1min,FRI,13:05,120,274,42.2,34.1,73.1,92.5,181.2,61.3,26.6,27.3
SENSEX_1min,FRI,13:05,45,274,22.3,19.0,39.5,44.3,137.6,19.7,2.9,13.8
SENSEX_1min,FRI,13:05,60,274,27.2,22.5,48.0,60.9,137.6,30.3,8.4,17.5
SENSEX_1min,FRI,13:05,90,274,34.5,26.1,64.0,77.6,181.2,44.5,17.9,20.6
SENSEX_1min,FRI,13:05,HOLD,274,45.3,37.6,82.5,99.9,185.7,65.0,30.7,28.8
SENSEX_1min,FRI,13:20,120,274,44.1,36.8,81.9,104.8,199.2,62.4,29.9,27.4
SENSEX_1min,FRI,13:20,45,274,25.2,20.7,45.0,58.4,139.7,23.0,7.3,16.1
SENSEX_1min,FRI,13:20,60,274,29.7,23.9,50.9,66.6,153.8,33.2,10.2,18.9
SENSEX_1min,FRI,13:20,90,274,36.1,28.3,66.8,83.3,163.2,47.4,19.0,22.5
SENSEX_1min,FRI,13:20,HOLD,274,44.1,36.8,81.9,104.8,199.2,62.4,29.9,27.4
SENSEX_1min,FRI,13:35,120,274,41.4,34.1,73.9,93.5,202.8,58.8,26.3,26.4
SENSEX_1min,FRI,13:35,45,274,25.9,20.4,44.8,57.8,133.4,29.2,8.0,16.6
SENSEX_1min,FRI,13:35,60,274,29.5,23.2,53.3,65.5,138.6,34.7,11.3,17.5
SENSEX_1min,FRI,13:35,90,274,37.9,31.3,66.6,84.2,170.8,54.7,20.4,24.5
SENSEX_1min,FRI,13:35,HOLD,274,41.4,34.1,73.9,93.5,202.8,58.8,26.3,26.4
SENSEX_1min,FRI,13:50,120,274,39.0,32.7,68.7,79.6,179.2,56.9,26.3,24.5
SENSEX_1min,FRI,13:50,45,274,26.1,20.2,50.2,58.1,114.9,28.1,10.2,15.4
SENSEX_1min,FRI,13:50,60,274,30.0,24.9,57.1,66.1,116.3,38.3,12.8,18.3
SENSEX_1min,FRI,13:50,90,274,39.0,32.7,68.7,79.6,179.2,56.9,26.3,24.5
SENSEX_1min,FRI,13:50,HOLD,274,39.0,32.7,68.7,79.6,179.2,56.9,26.3,24.5
SENSEX_1min,FRI,14:05,120,274,35.8,30.6,63.3,72.5,175.0,51.8,20.4,22.5
SENSEX_1min,FRI,14:05,45,274,25.8,20.3,44.0,61.4,112.0,30.7,7.7,15.5
SENSEX_1min,FRI,14:05,60,274,31.9,26.3,56.0,66.2,142.9,43.8,12.8,19.9
SENSEX_1min,FRI,14:05,90,274,35.8,30.6,63.3,72.5,175.0,51.8,20.4,22.5
SENSEX_1min,FRI,14:05,HOLD,274,35.8,30.6,63.3,72.5,175.0,51.8,20.4,22.5
SENSEX_1min,FRI,14:20,120,274,32.6,27.3,59.4,71.2,153.3,46.4,15.3,21.1
SENSEX_1min,FRI,14:20,45,274,28.0,22.9,48.2,56.8,149.9,35.0,8.8,17.8
SENSEX_1min,FRI,14:20,60,274,32.6,27.3,59.4,71.2,153.3,46.4,15.3,21.1
SENSEX_1min,FRI,14:20,90,274,32.6,27.3,59.4,71.2,153.3,46.4,15.3,21.1
SENSEX_1min,FRI,14:20,HOLD,274,32.6,27.3,59.4,71.2,153.3,46.4,15.3,21.1
SENSEX_1min,FRI,14:30,120,274,30.8,26.0,54.0,66.3,164.9,40.1,13.1,20.4
SENSEX_1min,FRI,14:30,45,274,29.6,25.2,52.7,62.8,161.4,38.0,12.0,20.1
SENSEX_1min,FRI,14:30,60,274,30.8,26.0,54.0,66.3,164.9,40.1,13.1,20.4
SENSEX_1min,FRI,14:30,90,274,30.8,26.0,54.0,66.3,164.9,40.1,13.1,20.4
SENSEX_1min,FRI,14:30,HOLD,274,30.8,26.0,54.0,66.3,164.9,40.1,13.1,20.4
SENSEX_1min,MON-THU,09:20,120,1078,46.1,39.2,79.2,96.7,354.5,68.0,34.1,29.4
SENSEX_1min,MON-THU,09:20,45,1078,33.6,28.4,57.7,69.7,179.2,45.9,14.3,21.7
SENSEX_1min,MON-THU,09:20,60,1078,37.1,32.2,63.0,77.2,186.8,54.8,20.0,23.6
SENSEX_1min,MON-THU,09:20,90,1078,42.2,36.5,74.8,87.9,186.8,63.0,28.3,26.7
SENSEX_1min,MON-THU,09:20,HOLD,1078,74.9,62.4,130.5,160.6,634.9,90.2,65.0,50.5
SENSEX_1min,MON-THU,09:35,120,1078,42.5,35.8,73.6,89.6,276.9,65.5,26.7,26.7
SENSEX_1min,MON-THU,09:35,45,1078,29.5,26.3,49.9,58.8,189.7,40.8,10.0,18.8
SENSEX_1min,MON-THU,09:35,60,1078,32.9,29.6,56.3,67.9,189.7,48.9,14.5,21.1
SENSEX_1min,MON-THU,09:35,90,1078,38.4,33.1,67.2,79.9,189.7,58.6,21.6,24.5
SENSEX_1min,MON-THU,09:35,HOLD,1078,71.1,59.9,125.4,150.5,559.6,89.3,62.8,47.4
SENSEX_1min,MON-THU,09:50,120,1078,40.1,33.8,73.0,86.6,324.6,58.4,23.7,25.3
SENSEX_1min,MON-THU,09:50,45,1078,27.3,23.4,47.7,58.4,192.5,33.7,8.3,17.8
SENSEX_1min,MON-THU,09:50,60,1078,30.9,26.4,53.9,67.8,192.5,41.7,12.0,19.7
SENSEX_1min,MON-THU,09:50,90,1078,36.1,30.5,66.3,78.2,324.6,51.1,19.0,22.8
SENSEX_1min,MON-THU,09:50,HOLD,1078,68.1,57.0,121.6,147.4,605.9,86.2,58.5,45.4
SENSEX_1min,MON-THU,10:05,120,1078,37.8,31.0,66.4,83.5,403.6,52.2,20.8,24.0
SENSEX_1min,MON-THU,10:05,45,1078,25.3,20.8,44.7,59.1,136.9,26.4,8.0,15.9
SENSEX_1min,MON-THU,10:05,60,1078,28.5,23.0,51.4,64.4,223.0,32.9,10.8,18.0
SENSEX_1min,MON-THU,10:05,90,1078,33.7,27.6,58.3,75.9,332.6,44.2,15.5,21.0
SENSEX_1min,MON-THU,10:05,HOLD,1078,65.9,55.2,117.8,144.8,613.6,84.1,56.1,43.9
SENSEX_1min,MON-THU,10:20,120,1078,36.5,29.9,64.7,79.5,518.3,49.6,19.9,23.3
SENSEX_1min,MON-THU,10:20,45,1078,23.6,19.0,42.3,54.0,203.7,23.7,5.9,14.9
SENSEX_1min,MON-THU,10:20,60,1078,27.0,21.8,47.9,61.6,313.4,30.6,8.6,16.6
SENSEX_1min,MON-THU,10:20,90,1078,32.1,26.5,56.5,72.0,313.4,41.6,14.0,19.6
SENSEX_1min,MON-THU,10:20,HOLD,1078,63.4,52.7,113.2,140.9,595.0,81.8,52.9,42.3
SENSEX_1min,MON-THU,10:35,120,1078,36.3,30.2,63.6,78.2,575.7,50.3,19.6,23.8
SENSEX_1min,MON-THU,10:35,45,1078,22.6,18.2,39.9,50.6,293.5,20.4,5.4,14.0
SENSEX_1min,MON-THU,10:35,60,1078,25.7,20.7,45.6,57.7,293.5,28.5,7.2,15.8
SENSEX_1min,MON-THU,10:35,90,1078,31.2,25.5,56.3,67.6,364.9,39.7,13.2,19.6
SENSEX_1min,MON-THU,10:35,HOLD,1078,62.2,51.6,108.5,136.0,575.7,81.5,51.9,42.0
SENSEX_1min,MON-THU,10:50,120,1078,36.2,29.8,63.2,82.2,531.1,49.4,19.5,23.6
SENSEX_1min,MON-THU,10:50,45,1078,22.0,18.0,39.5,48.2,247.5,19.7,4.7,13.6
SENSEX_1min,MON-THU,10:50,60,1078,25.3,20.4,44.5,54.8,247.5,27.0,6.8,15.6
SENSEX_1min,MON-THU,10:50,90,1078,30.8,24.9,54.7,68.8,453.8,38.4,12.8,19.8
SENSEX_1min,MON-THU,10:50,HOLD,1078,60.4,49.9,104.7,132.7,531.1,79.9,49.8,40.6
SENSEX_1min,MON-THU,11:05,120,1078,36.4,29.8,66.8,83.2,407.2,49.4,21.2,23.4
SENSEX_1min,MON-THU,11:05,45,1078,21.5,17.6,38.8,50.4,150.3,19.1,5.3,13.4
SENSEX_1min,MON-THU,11:05,60,1078,24.8,19.6,45.8,55.9,192.6,26.0,8.3,15.7
SENSEX_1min,MON-THU,11:05,90,1078,30.9,24.9,56.6,69.4,407.2,38.3,14.3,20.3
SENSEX_1min,MON-THU,11:05,HOLD,1078,59.0,48.7,106.8,131.7,407.2,76.6,48.2,39.4
SENSEX_1min,MON-THU,11:20,120,1078,36.4,28.8,67.2,83.5,383.0,47.3,21.2,23.1
SENSEX_1min,MON-THU,11:20,45,1078,21.0,16.8,38.4,48.5,167.8,18.5,4.5,13.4
SENSEX_1min,MON-THU,11:20,60,1078,24.6,19.3,44.3,54.7,304.5,26.2,6.7,15.7
SENSEX_1min,MON-THU,11:20,90,1078,30.9,25.3,55.9,69.5,383.0,39.3,14.3,19.9
SENSEX_1min,MON-THU,11:20,HOLD,1078,57.2,47.7,105.9,129.1,383.0,74.4,46.9,38.3
SENSEX_1min,MON-THU,11:35,120,1078,36.5,28.9,68.2,85.0,414.5,46.8,21.4,23.0
SENSEX_1min,MON-THU,11:35,45,1078,21.2,17.5,37.2,49.2,336.3,17.9,4.5,13.6
SENSEX_1min,MON-THU,11:35,60,1078,25.0,20.2,44.6,56.2,414.5,25.4,7.5,16.4
SENSEX_1min,MON-THU,11:35,90,1078,31.2,25.0,58.5,73.3,414.5,37.5,14.7,20.0
SENSEX_1min,MON-THU,11:35,HOLD,1078,55.7,45.9,102.0,126.1,414.5,73.2,45.4,37.2
SENSEX_1min,MON-THU,11:50,120,1077,36.4,29.0,67.3,84.0,384.4,47.8,20.9,22.9
SENSEX_1min,MON-THU,11:50,45,1077,21.4,17.2,36.8,45.1,384.4,19.2,3.9,14.0
SENSEX_1min,MON-THU,11:50,60,1077,25.1,20.7,45.4,58.1,384.4,25.7,8.0,16.3
SENSEX_1min,MON-THU,11:50,90,1077,31.0,24.9,56.8,73.2,384.4,37.0,13.9,19.4
SENSEX_1min,MON-THU,11:50,HOLD,1077,53.7,43.3,97.9,123.4,384.4,72.1,42.2,35.8
SENSEX_1min,MON-THU,12:05,120,1077,36.9,28.8,67.5,87.3,254.4,47.6,21.4,23.9
SENSEX_1min,MON-THU,12:05,45,1077,21.3,17.0,37.5,50.1,240.9,17.5,5.1,13.7
SENSEX_1min,MON-THU,12:05,60,1077,24.7,20.0,44.5,60.6,240.9,24.7,7.7,15.4
SENSEX_1min,MON-THU,12:05,90,1077,30.9,24.7,56.0,75.1,240.9,37.8,12.8,19.2
SENSEX_1min,MON-THU,12:05,HOLD,1077,52.0,42.3,96.2,122.6,309.6,68.2,40.0,34.6
SENSEX_1min,MON-THU,12:20,120,1077,37.4,29.9,70.0,88.4,303.8,49.5,21.5,24.1
SENSEX_1min,MON-THU,12:20,45,1077,21.4,16.8,37.7,49.6,223.6,19.2,4.9,13.4
SENSEX_1min,MON-THU,12:20,60,1077,24.8,19.2,44.2,59.0,223.6,25.2,7.6,15.2
SENSEX_1min,MON-THU,12:20,90,1077,31.2,24.6,57.1,71.2,303.8,38.9,14.1,19.6
SENSEX_1min,MON-THU,12:20,HOLD,1077,49.8,40.2,92.3,113.7,359.3,66.8,37.3,33.4
SENSEX_1min,MON-THU,12:35,120,1077,38.2,29.6,71.0,87.9,297.2,49.1,22.2,24.9
SENSEX_1min,MON-THU,12:35,45,1077,21.3,17.2,38.7,49.4,190.9,18.3,5.0,13.0
SENSEX_1min,MON-THU,12:35,60,1077,25.0,19.4,44.8,57.5,225.1,25.5,7.1,15.4
SENSEX_1min,MON-THU,12:35,90,1077,31.8,24.4,57.6,73.1,270.8,37.2,14.5,20.4
SENSEX_1min,MON-THU,12:35,HOLD,1077,48.0,38.2,88.5,107.9,326.2,64.0,34.8,32.1
SENSEX_1min,MON-THU,12:50,120,1077,39.1,30.6,72.4,91.1,289.9,51.5,24.1,25.3
SENSEX_1min,MON-THU,12:50,45,1077,21.9,17.6,39.4,50.8,189.8,19.8,5.3,13.6
SENSEX_1min,MON-THU,12:50,60,1077,25.8,20.4,47.2,60.0,220.9,27.6,8.4,16.2
SENSEX_1min,MON-THU,12:50,90,1077,32.7,25.8,60.1,76.5,220.9,40.2,16.3,21.0
SENSEX_1min,MON-THU,12:50,HOLD,1077,46.3,36.9,87.4,106.6,299.5,62.4,33.7,31.3
SENSEX_1min,MON-THU,13:05,120,1077,41.6,32.9,76.6,97.9,306.2,55.7,26.2,27.3
SENSEX_1min,MON-THU,13:05,45,1077,22.7,18.1,40.9,55.7,154.0,21.0,6.7,14.2
SENSEX_1min,MON-THU,13:05,60,1077,26.5,21.0,49.1,65.3,185.4,28.4,9.8,17.1
SENSEX_1min,MON-THU,13:05,90,1077,33.8,26.8,62.8,82.3,189.5,42.7,16.8,22.1
SENSEX_1min,MON-THU,13:05,HOLD,1077,44.7,35.8,82.9,104.8,306.2,60.7,30.9,30.1
SENSEX_1min,MON-THU,13:20,120,1077,42.1,34.4,78.1,98.9,273.4,58.0,25.9,28.0
SENSEX_1min,MON-THU,13:20,45,1077,23.0,18.1,42.8,54.7,126.8,21.4,6.9,14.8
SENSEX_1min,MON-THU,13:20,60,1077,27.2,21.7,50.5,65.3,146.7,30.2,10.1,17.3
SENSEX_1min,MON-THU,13:20,90,1077,34.2,27.5,63.4,81.0,263.7,43.8,16.5,21.9
SENSEX_1min,MON-THU,13:20,HOLD,1077,42.1,34.4,78.1,98.9,273.4,58.0,25.9,28.0
SENSEX_1min,MON-THU,13:35,120,1078,39.7,32.5,73.2,93.8,215.4,55.3,25.1,26.6
SENSEX_1min,MON-THU,13:35,45,1078,23.6,19.1,43.8,55.0,144.0,23.0,7.0,15.1
SENSEX_1min,MON-THU,13:35,60,1078,27.7,22.2,52.0,62.6,145.9,31.2,10.9,17.9
SENSEX_1min,MON-THU,13:35,90,1078,36.3,29.4,66.7,87.3,215.4,49.0,19.9,23.8
SENSEX_1min,MON-THU,13:35,HOLD,1078,39.7,32.5,73.2,93.8,215.4,55.3,25.1,26.6
SENSEX_1min,MON-THU,13:50,120,1078,36.9,29.5,70.1,85.1,205.1,49.4,20.0,24.6
SENSEX_1min,MON-THU,13:50,45,1078,23.9,19.0,44.3,53.8,130.6,23.1,7.0,15.3
SENSEX_1min,MON-THU,13:50,60,1078,28.0,22.5,49.8,65.5,187.6,31.5,9.8,17.9
SENSEX_1min,MON-THU,13:50,90,1078,36.9,29.5,70.1,85.1,205.1,49.4,20.0,24.6
SENSEX_1min,MON-THU,13:50,HOLD,1078,36.9,29.5,70.1,85.1,205.1,49.4,20.0,24.6
SENSEX_1min,MON-THU,14:05,120,1078,34.2,27.5,63.7,76.6,206.1,45.3,18.4,22.8
SENSEX_1min,MON-THU,14:05,45,1078,24.2,19.3,44.6,55.6,166.1,24.9,7.2,15.6
SENSEX_1min,MON-THU,14:05,60,1078,30.3,24.4,54.9,69.3,175.9,36.8,13.2,19.9
SENSEX_1min,MON-THU,14:05,90,1078,34.2,27.5,63.7,76.6,206.1,45.3,18.4,22.8
SENSEX_1min,MON-THU,14:05,HOLD,1078,34.2,27.5,63.7,76.6,206.1,45.3,18.4,22.8
SENSEX_1min,MON-THU,14:20,120,1078,31.2,25.4,56.0,71.4,195.4,40.1,14.4,21.0
SENSEX_1min,MON-THU,14:20,45,1078,27.1,21.9,48.6,63.5,145.4,30.2,9.4,17.6
SENSEX_1min,MON-THU,14:20,60,1078,31.2,25.4,56.0,71.4,195.4,40.1,14.4,21.0
SENSEX_1min,MON-THU,14:20,90,1078,31.2,25.4,56.0,71.4,195.4,40.1,14.4,21.0
SENSEX_1min,MON-THU,14:20,HOLD,1078,31.2,25.4,56.0,71.4,195.4,40.1,14.4,21.0
SENSEX_1min,MON-THU,14:30,120,1078,28.8,22.9,52.7,66.9,188.2,33.7,12.1,19.3
SENSEX_1min,MON-THU,14:30,45,1078,27.7,22.5,49.9,62.5,172.3,31.7,9.7,18.4
SENSEX_1min,MON-THU,14:30,60,1078,28.8,22.9,52.7,66.9,188.2,33.7,12.1,19.3
SENSEX_1min,MON-THU,14:30,90,1078,28.8,22.9,52.7,66.9,188.2,33.7,12.1,19.3
SENSEX_1min,MON-THU,14:30,HOLD,1078,28.8,22.9,52.7,66.9,188.2,33.7,12.1,19.3
SENSEX_5min,FRI,09:20,120,274,47.4,39.0,86.2,99.5,170.1,68.6,36.1,29.5
SENSEX_5min,FRI,09:20,45,274,33.4,28.4,57.7,69.9,131.3,45.3,14.6,21.0
SENSEX_5min,FRI,09:20,60,274,37.2,31.5,66.6,76.4,133.8,54.0,21.2,23.4
SENSEX_5min,FRI,09:20,90,274,43.4,36.4,76.9,91.9,144.8,62.8,31.4,28.5
SENSEX_5min,FRI,09:20,HOLD,274,77.7,65.5,140.5,168.0,268.9,91.6,70.1,52.6
SENSEX_5min,FRI,09:35,120,274,44.8,38.1,75.7,96.9,161.2,65.7,31.4,27.7
SENSEX_5min,FRI,09:35,45,274,31.3,25.9,57.3,69.4,108.8,41.6,14.6,20.2
SENSEX_5min,FRI,09:35,60,274,35.4,29.8,65.2,77.6,122.4,50.0,19.0,23.5
SENSEX_5min,FRI,09:35,90,274,41.0,34.8,72.1,92.8,156.9,58.8,25.2,26.1
SENSEX_5min,FRI,09:35,HOLD,274,74.7,64.4,133.7,165.7,271.7,92.7,65.7,51.4
SENSEX_5min,FRI,09:50,120,274,40.6,34.7,69.6,90.2,154.6,59.9,24.8,24.9
SENSEX_5min,FRI,09:50,45,274,27.6,22.7,49.9,64.1,85.4,35.4,9.9,17.9
SENSEX_5min,FRI,09:50,60,274,31.2,26.7,56.0,67.4,97.4,43.8,13.5,20.2
SENSEX_5min,FRI,09:50,90,274,36.4,32.1,62.5,77.3,130.0,52.9,20.4,22.3
SENSEX_5min,FRI,09:50,HOLD,274,71.1,60.3,124.4,144.4,264.1,88.7,60.9,47.9
SENSEX_5min,FRI,10:05,120,274,39.2,32.3,70.6,92.1,171.0,54.7,23.0,24.7
SENSEX_5min,FRI,10:05,45,274,27.1,22.0,52.7,62.3,87.9,32.1,12.0,17.9
SENSEX_5min,FRI,10:05,60,274,30.5,25.8,56.7,70.6,109.9,38.3,13.5,19.2
SENSEX_5min,FRI,10:05,90,274,35.5,28.1,67.2,81.0,153.1,46.7,19.0,21.6
SENSEX_5min,FRI,10:05,HOLD,274,68.6,59.8,117.4,142.8,263.7,88.7,59.9,45.5
SENSEX_5min,FRI,10:20,120,274,37.2,30.9,68.1,80.4,154.8,53.3,20.4,24.6
SENSEX_5min,FRI,10:20,45,274,24.6,21.0,42.2,55.1,116.2,25.5,6.6,15.2
SENSEX_5min,FRI,10:20,60,274,27.5,22.6,51.0,62.4,116.2,30.3,10.9,16.9
SENSEX_5min,FRI,10:20,90,274,32.6,26.8,61.1,72.0,135.9,43.8,15.7,20.3
SENSEX_5min,FRI,10:20,HOLD,274,65.8,55.8,121.5,140.9,234.8,85.8,57.3,44.0
SENSEX_5min,FRI,10:35,120,274,37.7,32.6,65.5,82.4,170.3,53.6,22.6,24.2
SENSEX_5min,FRI,10:35,45,274,23.0,18.5,44.6,50.5,110.3,20.4,5.8,14.4
SENSEX_5min,FRI,10:35,60,274,26.6,20.8,49.2,57.6,110.3,28.5,9.5,16.9
SENSEX_5min,FRI,10:35,90,274,31.9,26.5,53.0,74.0,162.9,42.0,13.9,21.2
SENSEX_5min,FRI,10:35,HOLD,274,64.9,55.7,119.0,142.1,252.9,83.9,55.8,43.3
SENSEX_5min,FRI,10:50,120,274,36.4,29.3,65.4,83.9,163.1,48.2,22.6,23.3
