series,weekday,bucket,n_bars,mean_abs_move_bp,bar_vol_bp,p95_abs_bp
SENSEX_5min,Mon,10:00,840,6.09,8.25,17.02
SENSEX_5min,Mon,10:15,840,5.54,7.81,15.0
SENSEX_5min,Mon,10:30,840,5.14,7.04,14.23
SENSEX_5min,Mon,10:45,840,4.65,6.49,13.3
SENSEX_5min,Mon,11:00,840,4.69,6.36,13.42
SENSEX_5min,Mon,11:15,840,4.49,6.43,12.77
SENSEX_5min,Mon,11:30,840,4.32,5.99,12.54
SENSEX_5min,Mon,11:45,840,4.13,5.73,10.97
SENSEX_5min,Mon,12:00,840,4.44,6.57,13.76
SENSEX_5min,Mon,12:15,840,4.31,6.2,12.24
SENSEX_5min,Mon,12:30,840,4.52,6.36,13.37
SENSEX_5min,Mon,12:45,840,4.68,7.55,13.67
SENSEX_5min,Mon,13:00,840,4.55,6.31,12.99
SENSEX_5min,Mon,13:15,840,4.4,6.44,12.42
SENSEX_5min,Mon,13:30,840,4.66,6.56,14.07
SENSEX_5min,Mon,13:45,840,4.55,6.34,13.42
SENSEX_5min,Mon,14:00,840,4.92,7.02,13.97
SENSEX_5min,Mon,14:15,840,5.08,7.45,14.42
SENSEX_5min,Mon,14:30,840,5.22,7.26,14.7
SENSEX_5min,Mon,14:45,840,4.84,6.75,13.81
SENSEX_5min,Mon,15:00,840,6.46,9.25,20.47
SENSEX_5min,Mon,15:15,560,4.12,5.82,12.25
SENSEX_5min,Tue,09:15,558,8.08,12.12,22.88
SENSEX_5min,Tue,09:30,837,7.56,10.41,21.32
SENSEX_5min,Tue,09:45,837,6.3,8.67,17.45
SENSEX_5min,Tue,10:00,837,5.51,7.72,15.26
SENSEX_5min,Tue,10:15,837,5.79,8.02,15.65
SENSEX_5min,Tue,10:30,837,5.3,7.52,15.09
SENSEX_5min,Tue,10:45,837,4.7,6.93,12.64
SENSEX_5min,Tue,11:00,837,4.43,6.52,12.04
SENSEX_5min,Tue,11:15,837,4.61,6.92,13.41
SENSEX_5min,Tue,11:30,837,4.57,6.69,13.94
SENSEX_5min,Tue,11:45,837,4.3,7.35,12.39
SENSEX_5min,Tue,12:00,837,4.39,6.64,12.89
SENSEX_5min,Tue,12:15,837,4.81,8.37,14.58
SENSEX_5min,Tue,12:30,837,5.08,10.06,13.62
SENSEX_5min,Tue,12:45,837,4.71,6.93,13.51
SENSEX_5min,Tue,13:00,837,5.02,8.1,14.57
SENSEX_5min,Tue,13:15,837,4.55,7.03,12.57
SENSEX_5min,Tue,13:30,837,4.79,6.87,14.24
SENSEX_5min,Tue,13:45,839,4.92,7.16,14.45
SENSEX_5min,Tue,14:00,840,4.95,7.06,14.91
SENSEX_5min,Tue,14:15,840,5.06,6.97,14.43
SENSEX_5min,Tue,14:30,840,5.21,7.29,14.22
SENSEX_5min,Tue,14:45,837,5.19,7.74,15.91
SENSEX_5min,Tue,15:00,837,6.8,9.71,19.9
SENSEX_5min,Tue,15:15,558,4.28,5.76,11.61
SENSEX_5min,Wed,09:15,554,8.39,11.75,22.23
SENSEX_5min,Wed,09:30,831,7.13,9.6,20.23
SENSEX_5min,Wed,09:45,831,6.02,8.06,16.07
SENSEX_5min,Wed,10:00,831,5.65,7.72,15.43
SENSEX_5min,Wed,10:15,831,5.5,7.47,15.38
SENSEX_5min,Wed,10:30,831,4.87,6.68,14.34
SENSEX_5min,Wed,10:45,831,4.71,6.55,12.27
SENSEX_5min,Wed,11:00,831,4.35,5.84,11.9
SENSEX_5min,Wed,11:15,831,4.36,6.25,11.94
SENSEX_5min,Wed,11:30,831,4.39,5.95,12.0
SENSEX_5min,Wed,11:45,828,4.2,6.13,11.65
SENSEX_5min,Wed,12:00,828,3.98,5.48,10.81
SENSEX_5min,Wed,12:15,828,4.07,5.63,11.17
SENSEX_5min,Wed,12:30,828,4.3,6.08,11.99
SENSEX_5min,Wed,12:45,828,4.44,6.16,12.49
SENSEX_5min,Wed,13:00,828,4.34,5.94,12.01
SENSEX_5min,Wed,13:15,828,4.46,6.08,12.74
SENSEX_5min,Wed,13:30,828,4.63,6.55,13.36
SENSEX_5min,Wed,13:45,828,4.6,6.5,13.04
SENSEX_5min,Wed,14:00,828,4.98,7.07,14.57
SENSEX_5min,Wed,14:15,828,5.09,7.24,14.39
SENSEX_5min,Wed,14:30,828,5.21,7.34,15.14
SENSEX_5min,Wed,14:45,828,4.82,7.08,13.76
SENSEX_5min,Wed,15:00,828,6.54,9.48,19.9
SENSEX_5min,Wed,15:15,552,4.06,5.34,10.71
SENSEX_5min,Thu,09:15,484,7.65,10.2,20.62
SENSEX_5min,Thu,09:30,726,7.0,9.38,19.28
SENSEX_5min,Thu,09:45,726,6.33,8.48,16.46
SENSEX_5min,Thu,10:00,726,5.83,8.1,17.0
SENSEX_5min,Thu,10:15,726,5.02,6.81,14.2
SENSEX_5min,Thu,10:30,726,4.7,7.06,13.5
SENSEX_5min,Thu,10:45,726,4.21,6.18,11.59
SENSEX_5min,Thu,11:00,726,4.61,6.47,13.24
SENSEX_5min,Thu,11:15,726,4.39,6.26,13.25
SENSEX_5min,Thu,11:30,726,4.13,5.67,11.75
SENSEX_5min,Thu,11:45,726,4.12,6.06,12.42
SENSEX_5min,Thu,12:00,726,4.25,6.17,12.65
SENSEX_5min,Thu,12:15,726,4.2,5.66,11.47
SENSEX_5min,Thu,12:30,726,4.33,6.12,12.48
SENSEX_5min,Thu,12:45,726,4.31,5.89,12.17
SENSEX_5min,Thu,13:00,726,4.54,6.8,13.36
SENSEX_5min,Thu,13:15,726,4.82,7.22,14.04
SENSEX_5min,Thu,13:30,726,5.0,7.39,15.03
SENSEX_5min,Thu,13:45,726,4.78,6.7,14.2
SENSEX_5min,Thu,14:00,726,5.49,7.91,15.03
SENSEX_5min,Thu,14:15,726,5.03,6.88,13.93
SENSEX_5min,Thu,14:30,726,5.47,7.6,16.04
SENSEX_5min,Thu,14:45,726,5.38,7.85,15.32
SENSEX_5min,Thu,15:00,726,7.22,10.3,20.98
SENSEX_5min,Thu,15:15,484,4.56,6.21,12.69
SENSEX_5min,Fri,09:15,548,8.98,12.0,25.24
SENSEX_5min,Fri,09:30,822,7.78,10.37,20.48
SENSEX_5min,Fri,09:45,822,6.99,9.45,19.11
SENSEX_5min,Fri,10:00,822,6.17,8.46,16.67
SENSEX_5min,Fri,10:15,822,6.18,8.61,18.36
SENSEX_5min,Fri,10:30,822,5.31,7.43,15.08
SENSEX_5min,Fri,10:45,822,4.96,6.89,13.39
SENSEX_5min,Fri,11:00,822,5.05,6.82,14.43
SENSEX_5min,Fri,11:15,822,4.64,6.29,12.37
SENSEX_5min,Fri,11:30,819,4.58,6.23,12.52
SENSEX_5min,Fri,11:45,821,4.31,6.11,11.98
SENSEX_5min,Fri,12:00,822,4.34,5.97,12.75
SENSEX_5min,Fri,12:15,822,4.49,6.24,13.02
SENSEX_5min,Fri,12:30,822,4.89,7.0,14.55
SENSEX_5min,Fri,12:45,822,4.41,6.42,12.56
SENSEX_5min,Fri,13:00,822,4.5,6.11,12.9
SENSEX_5min,Fri,13:15,822,4.56,6.25,12.66
SENSEX_5min,Fri,13:30,822,5.36,7.72,14.73
SENSEX_5min,Fri,13:45,822,5.03,7.22,13.5
SENSEX_5min,Fri,14:00,822,5.44,7.85,15.38
SENSEX_5min,Fri,14:15,822,5.69,8.05,15.76
SENSEX_5min,Fri,14:30,822,5.32,7.45,14.86
SENSEX_5min,Fri,14:45,822,4.98,6.79,13.16
SENSEX_5min,Fri,15:00,822,7.59,11.85,21.64
SENSEX_5min,Fri,15:15,548,4.67,6.32,13.2
NIFTY50_5min,Mon,09:15,1094,9.55,13.85,27.76
NIFTY50_5min,Mon,09:30,1642,8.61,12.58,22.98
NIFTY50_5min,Mon,09:45,1644,6.75,9.31,17.96
NIFTY50_5min,Mon,10:00,1644,5.81,8.03,15.44
NIFTY50_5min,Mon,10:15,1644,5.41,7.62,14.64
NIFTY50_5min,Mon,10:30,1644,5.07,7.16,13.81
NIFTY50_5min,Mon,10:45,1644,4.65,7.32,13.09
NIFTY50_5min,Mon,11:00,1644,4.8,7.45,13.77
NIFTY50_5min,Mon,11:15,1644,4.57,6.77,12.84
NIFTY50_5min,Mon,11:30,1644,4.37,6.54,12.53
NIFTY50_5min,Mon,11:45,1644,4.38,6.9,12.24
NIFTY50_5min,Mon,12:00,1644,4.26,6.19,12.56
NIFTY50_5min,Mon,12:15,1644,4.34,6.79,12.57
NIFTY50_5min,Mon,12:30,1644,4.68,7.12,14.22
NIFTY50_5min,Mon,12:45,1644,4.62,7.19,14.02
NIFTY50_5min,Mon,13:00,1644,4.71,7.19,14.03
NIFTY50_5min,Mon,13:15,1643,4.72,7.12,13.52
NIFTY50_5min,Mon,13:30,1644,5.16,7.48,14.63
NIFTY50_5min,Mon,13:45,1644,5.06,7.38,15.31
NIFTY50_5min,Mon,14:00,1644,5.43,8.09,16.08
NIFTY50_5min,Mon,14:15,1644,5.63,8.59,16.52
NIFTY50_5min,Mon,14:30,1644,6.19,9.44,17.72
NIFTY50_5min,Mon,14:45,1641,5.62,8.68,15.8
NIFTY50_5min,Mon,15:00,1641,7.07,10.98,21.19
NIFTY50_5min,Mon,15:15,1092,4.43,6.83,12.81
NIFTY50_5min,Tue,09:15,1106,8.63,12.85,24.54
NIFTY50_5min,Tue,09:30,1659,7.83,11.67,21.85
NIFTY50_5min,Tue,09:45,1659,6.36,9.06,17.55
NIFTY50_5min,Tue,10:00,1659,5.82,8.47,16.31
NIFTY50_5min,Tue,10:15,1658,5.6,8.0,16.3
NIFTY50_5min,Tue,10:30,1656,5.09,7.43,14.01
NIFTY50_5min,Tue,10:45,1659,4.68,7.15,12.75
NIFTY50_5min,Tue,11:00,1657,4.86,7.45,13.85
NIFTY50_5min,Tue,11:15,1656,4.71,6.88,13.84
NIFTY50_5min,Tue,11:30,1656,4.64,6.79,13.79
NIFTY50_5min,Tue,11:45,1657,4.3,6.55,12.46
NIFTY50_5min,Tue,12:00,1656,4.52,6.62,13.55
NIFTY50_5min,Tue,12:15,1656,4.64,7.01,14.16
NIFTY50_5min,Tue,12:30,1656,4.85,7.54,14.01
NIFTY50_5min,Tue,12:45,1656,4.75,6.69,13.69
NIFTY50_5min,Tue,13:00,1656,5.16,7.86,14.85
NIFTY50_5min,Tue,13:15,1656,4.93,7.14,13.96
NIFTY50_5min,Tue,13:30,1657,5.3,7.62,16.06
NIFTY50_5min,Tue,13:45,1659,5.51,8.16,16.31
NIFTY50_5min,Tue,14:00,1659,5.6,8.09,16.61
NIFTY50_5min,Tue,14:15,1659,5.82,8.44,16.77
NIFTY50_5min,Tue,14:30,1659,6.05,8.55,17.54
NIFTY50_5min,Tue,14:45,1659,5.89,8.89,16.87
NIFTY50_5min,Tue,15:00,1659,7.05,10.53,20.66
NIFTY50_5min,Tue,15:15,1106,4.58,6.44,13.3
NIFTY50_5min,Wed,09:15,1116,8.41,11.97,22.63
NIFTY50_5min,Wed,09:30,1674,7.53,11.25,21.05
NIFTY50_5min,Wed,09:45,1674,6.31,8.95,17.05
NIFTY50_5min,Wed,10:00,1673,5.69,7.91,14.97
NIFTY50_5min,Wed,10:15,1671,5.46,8.15,15.11
NIFTY50_5min,Wed,10:30,1671,5.1,7.33,14.49
NIFTY50_5min,Wed,10:45,1671,4.66,6.87,12.93
NIFTY50_5min,Wed,11:00,1671,4.47,6.36,12.05
NIFTY50_5min,Wed,11:15,1671,4.56,6.62,12.51
NIFTY50_5min,Wed,11:30,1671,4.61,6.96,13.96
NIFTY50_5min,Wed,11:45,1671,4.33,6.64,11.9
NIFTY50_5min,Wed,12:00,1671,4.57,6.83,13.6
NIFTY50_5min,Wed,12:15,1671,4.33,6.49,12.48
NIFTY50_5min,Wed,12:30,1671,4.68,6.88,12.86
NIFTY50_5min,Wed,12:45,1671,4.84,7.25,13.76
NIFTY50_5min,Wed,13:00,1671,5.06,7.66,13.88
NIFTY50_5min,Wed,13:15,1671,5.07,7.58,14.73
NIFTY50_5min,Wed,13:30,1671,5.44,8.19,15.66
NIFTY50_5min,Wed,13:45,1671,5.4,8.06,15.66
NIFTY50_5min,Wed,14:00,1671,6.0,8.68,17.36
NIFTY50_5min,Wed,14:15,1671,5.79,8.55,16.42
NIFTY50_5min,Wed,14:30,1671,6.58,9.95,19.1
NIFTY50_5min,Wed,14:45,1671,5.75,8.33,17.15
NIFTY50_5min,Wed,15:00,1671,7.2,10.39,21.51
NIFTY50_5min,Wed,15:15,1114,4.39,6.19,11.42
NIFTY50_5min,Thu,09:15,1108,7.8,11.6,21.33
NIFTY50_5min,Thu,09:30,1662,6.95,9.46,19.19
NIFTY50_5min,Thu,09:45,1662,6.13,8.54,17.1
NIFTY50_5min,Thu,10:00,1662,5.4,7.68,15.11
NIFTY50_5min,Thu,10:15,1662,5.09,7.16,14.53
NIFTY50_5min,Thu,10:30,1662,4.75,6.95,14.14
NIFTY50_5min,Thu,10:45,1662,4.49,6.9,11.93
NIFTY50_5min,Thu,11:00,1662,4.76,9.6,12.97
NIFTY50_5min,Thu,11:15,1662,4.36,7.18,12.58
NIFTY50_5min,Thu,11:30,1662,4.53,7.44,12.84
NIFTY50_5min,Thu,11:45,1662,4.23,6.42,12.03
NIFTY50_5min,Thu,12:00,1662,4.46,6.68,13.18
NIFTY50_5min,Thu,12:15,1662,4.43,6.54,12.07
NIFTY50_5min,Thu,12:30,1662,4.72,7.2,13.28
NIFTY50_5min,Thu,12:45,1662,4.64,6.76,13.92
NIFTY50_5min,Thu,13:00,1662,5.15,8.0,15.06
NIFTY50_5min,Thu,13:15,1662,5.0,7.8,14.78
NIFTY50_5min,Thu,13:30,1662,5.56,7.96,16.78
NIFTY50_5min,Thu,13:45,1662,5.48,8.48,15.28
NIFTY50_5min,Thu,14:00,1662,5.94,8.74,16.93
NIFTY50_5min,Thu,14:15,1662,5.92,8.61,16.21
NIFTY50_5min,Thu,14:30,1662,6.18,9.24,17.92
NIFTY50_5min,Thu,14:45,1662,5.96,8.57,17.01
NIFTY50_5min,Thu,15:00,1659,7.99,11.71,24.34
NIFTY50_5min,Thu,15:15,1106,4.84,6.96,13.51
NIFTY50_5min,Fri,09:15,1086,9.16,14.03,25.6
NIFTY50_5min,Fri,09:30,1627,7.99,11.02,21.66
NIFTY50_5min,Fri,09:45,1629,6.69,9.25,18.22
NIFTY50_5min,Fri,10:00,1629,6.21,10.12,16.14
NIFTY50_5min,Fri,10:15,1629,6.23,18.3,17.05
NIFTY50_5min,Fri,10:30,1629,5.76,12.71,15.15
NIFTY50_5min,Fri,10:45,1629,5.33,10.33,14.47
NIFTY50_5min,Fri,11:00,1629,5.27,8.73,14.87
NIFTY50_5min,Fri,11:15,1626,4.64,7.1,12.46
NIFTY50_5min,Fri,11:30,1626,4.65,6.61,13.04
NIFTY50_5min,Fri,11:45,1626,4.54,7.0,12.36
NIFTY50_5min,Fri,12:00,1626,4.41,6.51,12.34
NIFTY50_5min,Fri,12:15,1626,4.51,6.76,13.42
NIFTY50_5min,Fri,12:30,1626,5.12,7.97,15.54
NIFTY50_5min,Fri,12:45,1626,4.7,6.97,13.91
NIFTY50_5min,Fri,13:00,1626,5.33,10.44,14.7
NIFTY50_5min,Fri,13:15,1626,4.92,7.63,14.32
NIFTY50_5min,Fri,13:30,1626,5.69,9.07,15.94
NIFTY50_5min,Fri,13:45,1626,5.62,9.0,15.51
NIFTY50_5min,Fri,14:00,1626,6.16,9.13,19.15
NIFTY50_5min,Fri,14:15,1626,6.06,9.82,17.79
NIFTY50_5min,Fri,14:30,1626,6.38,9.66,19.29
NIFTY50_5min,Fri,14:45,1626,5.71,8.49,16.75
NIFTY50_5min,Fri,15:00,1626,7.63,11.45,22.58
NIFTY50_5min,Fri,15:15,1084,4.93,7.02,13.58
NIFTY50_5min_2021+,Mon,09:15,518,9.7,13.95,28.02
NIFTY50_5min_2021+,Mon,09:30,777,8.61,11.85,23.03
NIFTY50_5min_2021+,Mon,09:45,777,6.79,9.15,17.23
NIFTY50_5min_2021+,Mon,10:00,777,5.97,8.07,16.28
NIFTY50_5min_2021+,Mon,10:15,777,5.56,7.8,15.0
NIFTY50_5min_2021+,Mon,10:30,777,5.15,7.06,13.88
NIFTY50_5min_2021+,Mon,10:45,777,4.58,6.42,13.14
NIFTY50_5min_2021+,Mon,11:00,777,4.73,6.39,13.61
NIFTY50_5min_2021+,Mon,11:15,777,4.54,6.56,12.45
NIFTY50_5min_2021+,Mon,11:30,777,4.28,5.82,12.45
NIFTY50_5min_2021+,Mon,11:45,777,4.14,5.75,10.8
NIFTY50_5min_2021+,Mon,12:00,777,4.34,6.45,13.16
NIFTY50_5min_2021+,Mon,12:15,777,4.33,6.2,12.56
NIFTY50_5min_2021+,Mon,12:30,777,4.62,6.54,14.3
NIFTY50_5min_2021+,Mon,12:45,777,4.61,7.48,14.02
NIFTY50_5min_2021+,Mon,13:00,777,4.58,6.35,13.45
NIFTY50_5min_2021+,Mon,13:15,777,4.36,6.38,12.37
NIFTY50_5min_2021+,Mon,13:30,777,4.66,6.51,13.43
NIFTY50_5min_2021+,Mon,13:45,777,4.53,6.39,13.79
NIFTY50_5min_2021+,Mon,14:00,777,5.01,7.1,14.14
NIFTY50_5min_2021+,Mon,14:15,777,5.07,7.52,14.94
NIFTY50_5min_2021+,Mon,14:30,777,5.37,7.45,14.91
NIFTY50_5min_2021+,Mon,14:45,774,4.77,6.69,13.74
NIFTY50_5min_2021+,Mon,15:00,774,6.52,9.43,19.88
NIFTY50_5min_2021+,Mon,15:15,516,4.03,5.83,12.32
NIFTY50_5min_2021+,Tue,09:15,522,7.91,11.08,22.14
NIFTY50_5min_2021+,Tue,09:30,783,7.43,10.16,21.13
NIFTY50_5min_2021+,Tue,09:45,783,6.29,8.49,17.63
NIFTY50_5min_2021+,Tue,10:00,783,5.57,7.78,15.08
NIFTY50_5min_2021+,Tue,10:15,783,5.78,8.0,15.85
NIFTY50_5min_2021+,Tue,10:30,783,5.27,7.26,14.51
NIFTY50_5min_2021+,Tue,10:45,783,4.63,6.55,12.58
NIFTY50_5min_2021+,Tue,11:00,783,4.33,6.18,11.54
NIFTY50_5min_2021+,Tue,11:15,783,4.55,6.34,13.84
NIFTY50_5min_2021+,Tue,11:30,783,4.54,6.51,13.47
NIFTY50_5min_2021+,Tue,11:45,781,4.19,6.33,12.57
NIFTY50_5min_2021+,Tue,12:00,780,4.28,5.91,12.52
NIFTY50_5min_2021+,Tue,12:15,780,4.68,7.37,14.3
NIFTY50_5min_2021+,Tue,12:30,780,4.73,7.31,13.98
NIFTY50_5min_2021+,Tue,12:45,780,4.66,6.56,13.75
NIFTY50_5min_2021+,Tue,13:00,780,5.1,8.07,14.5
NIFTY50_5min_2021+,Tue,13:15,780,4.55,6.94,13.0
NIFTY50_5min_2021+,Tue,13:30,781,4.8,6.9,14.99
NIFTY50_5min_2021+,Tue,13:45,783,4.86,6.99,14.82
NIFTY50_5min_2021+,Tue,14:00,783,4.98,6.82,14.96
NIFTY50_5min_2021+,Tue,14:15,783,5.01,6.91,14.09
NIFTY50_5min_2021+,Tue,14:30,783,5.17,7.21,14.82
NIFTY50_5min_2021+,Tue,14:45,783,5.16,7.52,14.84
NIFTY50_5min_2021+,Tue,15:00,783,6.64,9.41,19.57
NIFTY50_5min_2021+,Tue,15:15,522,4.08,5.49,10.73
NIFTY50_5min_2021+,Wed,09:15,522,8.39,12.07,22.5
NIFTY50_5min_2021+,Wed,09:30,783,7.1,9.57,19.94
NIFTY50_5min_2021+,Wed,09:45,783,6.06,8.23,16.67
