venue,arm,start,dur,real_min,n,mean_net,med_net,total_net,win_pct,worst,best,t_net,mean_credit,mean_mae,p90_mae,max_mae,mean_und_bp,p90_und_bp,sl_hits,excess_vs_allstart,t_excess,mae_vs_allstart,ret_per_mae,nbr_mean_net,nbr_n
NIFTY,NOSTOP,11:35,HOLD,225,14,-86,694,-1207,71,-6925,2214,-0.14,256.7,1838,4739,8990,51.0,103.7,0,-188,-0.92,387,-0.047,-149,5
NIFTY,NOSTOP,11:50,120,120,14,-377,-74,-5280,50,-2323,777,-1.35,254.3,853,2048,2568,28.9,54.6,0,-296,-1.52,131,-0.442,-177,8
NIFTY,NOSTOP,11:50,45,45,14,-159,-32,-2232,50,-1391,315,-1.36,254.3,279,530,1849,16.1,27.1,0,10,0.09,-89,-0.572,-245,5
NIFTY,NOSTOP,11:50,60,60,14,-305,-162,-4264,36,-1982,312,-1.95,254.3,351,648,1989,19.9,30.2,0,-157,-1.09,-104,-0.867,-212,8
NIFTY,NOSTOP,11:50,90,90,14,-248,-21,-3476,43,-1492,484,-1.38,254.3,505,1452,1989,23.6,43.7,0,-121,-0.59,-100,-0.492,-272,8
NIFTY,NOSTOP,11:50,HOLD,210,14,41,397,573,71,-5226,2096,0.08,254.3,1656,4725,7189,50.3,95.3,0,-61,-0.62,204,0.025,-243,5
NIFTY,NOSTOP,12:05,120,120,14,-554,-374,-7749,36,-2369,816,-1.93,253.9,932,2194,2678,31.7,57.8,0,-473,-2.6,210,-0.594,-254,8
NIFTY,NOSTOP,12:05,45,45,14,-394,-276,-5521,14,-1881,120,-2.85,253.9,355,654,1888,16.0,25.8,0,-225,-1.73,-13,-1.112,-253,5
NIFTY,NOSTOP,12:05,60,60,14,-217,-94,-3037,29,-998,306,-2.04,253.9,400,749,1888,18.1,29.9,0,-70,-0.53,-55,-0.542,-309,8
NIFTY,NOSTOP,12:05,90,90,14,-186,51,-2602,50,-2012,579,-1.01,253.9,566,1539,1888,22.8,43.6,0,-59,-0.26,-39,-0.328,-393,8
NIFTY,NOSTOP,12:05,HOLD,195,14,-13,424,-185,64,-5271,1950,-0.03,253.9,1653,3420,7234,49.8,96.6,0,-115,-1.44,202,-0.008,-310,5
NIFTY,NOSTOP,12:20,120,120,14,-521,-140,-7291,50,-4049,800,-1.58,252.8,1077,2628,4092,33.2,57.4,0,-440,-2.39,355,-0.484,-299,8
NIFTY,NOSTOP,12:20,45,45,14,-258,-186,-3619,36,-1105,137,-2.45,252.8,373,724,1995,16.5,30.7,0,-89,-0.69,5,-0.692,-272,5
NIFTY,NOSTOP,12:20,60,60,14,-326,-20,-4567,43,-1384,228,-2.28,252.8,488,1213,1995,19.8,35.7,0,-179,-1.06,32,-0.669,-328,8
NIFTY,NOSTOP,12:20,90,90,14,-595,-304,-8329,29,-3217,520,-2.13,252.8,945,2628,2993,27.9,55.5,0,-468,-2.54,340,-0.63,-356,8
NIFTY,NOSTOP,12:20,HOLD,180,14,-137,464,-1917,64,-7335,1840,-0.23,252.8,1730,3500,9399,49.1,107.7,0,-239,-1.58,278,-0.079,-289,5
NIFTY,NOSTOP,12:35,120,120,14,-298,67,-4170,57,-5447,790,-0.72,252.3,974,1671,5437,30.5,51.4,0,-217,-0.75,252,-0.306,-414,8
NIFTY,NOSTOP,12:35,45,45,14,-227,-157,-3172,29,-829,169,-2.61,252.3,299,691,787,16.3,29.8,0,-57,-0.49,-69,-0.759,-317,5
NIFTY,NOSTOP,12:35,60,60,14,-197,-1,-2761,50,-1316,423,-1.45,252.3,372,743,1173,19.6,34.4,0,-50,-0.33,-84,-0.53,-402,8
NIFTY,NOSTOP,12:35,90,90,14,-546,-271,-7645,36,-3903,546,-1.78,252.3,802,1656,3660,28.2,50.1,0,-419,-2.14,197,-0.681,-459,8
NIFTY,NOSTOP,12:35,HOLD,165,14,-61,642,-854,71,-7475,1680,-0.1,252.3,1537,3191,9539,44.0,103.3,0,-163,-0.85,86,-0.04,-389,5
NIFTY,NOSTOP,12:50,120,120,14,-709,4,-9929,50,-8791,826,-1.05,252.7,1265,2405,8541,37.6,61.2,0,-628,-1.13,543,-0.561,-400,8
NIFTY,NOSTOP,12:50,45,45,14,-233,-14,-3258,50,-1322,410,-1.71,252.7,301,836,1082,17.3,34.7,0,-63,-0.54,-67,-0.773,-459,5
NIFTY,NOSTOP,12:50,60,60,14,-569,33,-7972,50,-4628,634,-1.57,252.7,750,1262,4420,24.7,39.4,0,-422,-1.43,294,-0.76,-436,8
NIFTY,NOSTOP,12:50,90,90,14,-458,194,-6415,57,-5629,575,-1.06,252.7,924,1404,5671,30.2,46.0,0,-331,-1.03,319,-0.496,-528,8
NIFTY,NOSTOP,12:50,HOLD,150,14,-281,692,-3930,71,-9460,1580,-0.37,252.7,1654,3574,11537,47.9,118.9,0,-383,-1.17,203,-0.17,-421,5
NIFTY,NOSTOP,13:05,120,120,14,-674,374,-9433,57,-9396,1190,-0.92,251.3,1512,2922,9146,44.2,93.4,0,-593,-1.0,790,-0.446,-460,8
NIFTY,NOSTOP,13:05,45,45,14,-594,-133,-8321,36,-3555,257,-2.18,251.3,647,1256,3331,22.5,34.3,0,-425,-1.87,279,-0.919,-514,5
NIFTY,NOSTOP,13:05,60,60,14,-708,-403,-9907,29,-4101,319,-2.33,251.3,747,1344,3858,27.2,35.8,0,-560,-2.38,292,-0.947,-524,8
NIFTY,NOSTOP,13:05,90,90,14,-523,76,-7320,57,-5645,562,-1.25,251.3,982,1344,5635,31.7,39.3,0,-396,-1.26,377,-0.532,-581,8
NIFTY,NOSTOP,13:05,HOLD,135,14,-361,396,-5059,64,-7673,1453,-0.59,251.3,1556,2931,9737,47.1,110.1,0,-464,-1.95,104,-0.232,-450,5
NIFTY,NOSTOP,13:20,120,120,14,-293,346,-4107,64,-7774,1362,-0.48,251.6,1501,2819,9838,45.4,100.5,0,-212,-0.43,779,-0.195,-351,8
NIFTY,NOSTOP,13:20,45,45,14,-579,-184,-8112,29,-4202,384,-1.84,251.6,638,1315,3959,24.5,35.4,0,-410,-1.54,270,-0.908,-489,5
NIFTY,NOSTOP,13:20,60,60,14,-479,-80,-6702,29,-4488,322,-1.48,251.6,820,1785,4530,27.0,38.0,0,-331,-1.32,365,-0.583,-508,8
NIFTY,NOSTOP,13:20,90,90,14,-758,-136,-10615,36,-7358,732,-1.32,251.6,1187,2741,7108,35.1,60.1,0,-631,-1.33,582,-0.639,-402,8
NIFTY,NOSTOP,13:20,HOLD,120,14,-293,346,-4107,64,-7774,1362,-0.48,251.6,1501,2819,9838,45.4,100.5,0,-396,-1.63,50,-0.195,-257,5
NIFTY,NOSTOP,13:35,120,105,14,21,361,293,71,-4475,1303,0.05,250.2,1146,2104,6308,40.9,83.2,0,102,0.37,424,0.018,-102,8
NIFTY,NOSTOP,13:35,45,45,14,-340,-169,-4760,36,-2424,263,-1.86,250.2,654,1919,2444,21.4,36.5,0,-170,-1.34,286,-0.52,-374,5
NIFTY,NOSTOP,13:35,60,60,14,-323,-68,-4523,36,-3477,582,-1.21,250.2,732,1919,3393,24.5,38.0,0,-176,-0.89,276,-0.442,-330,8
NIFTY,NOSTOP,13:35,90,90,14,-240,340,-3359,57,-6071,1060,-0.49,250.2,1111,2104,5821,38.0,78.4,0,-113,-0.3,506,-0.216,-207,8
NIFTY,NOSTOP,13:35,HOLD,105,14,21,361,293,71,-4475,1303,0.05,250.2,1146,2104,6308,40.9,83.2,0,-81,-0.44,-306,0.018,-13,5
NIFTY,NOSTOP,13:50,120,90,14,250,366,3497,79,-1768,1070,1.29,251.1,818,1990,3507,35.7,59.6,0,331,2.55,96,0.305,176,8
NIFTY,NOSTOP,13:50,45,45,14,-164,-196,-2299,29,-1293,465,-1.33,251.1,440,1103,2402,19.0,26.6,0,5,0.06,72,-0.373,-232,5
NIFTY,NOSTOP,13:50,60,60,14,-327,-248,-4579,43,-2106,416,-1.74,251.1,637,1607,2402,25.8,42.0,0,-180,-1.29,181,-0.513,-77,8
NIFTY,NOSTOP,13:50,90,90,14,250,366,3497,79,-1768,1070,1.29,251.1,818,1990,3507,35.7,59.6,0,377,3.3,213,0.305,24,8
NIFTY,NOSTOP,13:50,HOLD,90,14,250,366,3497,79,-1768,1070,1.29,251.1,818,1990,3507,35.7,59.6,0,148,0.44,-633,0.305,206,5
NIFTY,NOSTOP,14:05,120,75,14,369,414,5168,86,-1579,1369,1.82,250.4,653,2122,3318,32.6,50.6,0,450,2.75,-69,0.565,288,8
NIFTY,NOSTOP,14:05,45,45,14,-240,-86,-3357,50,-1917,507,-1.34,250.4,459,1402,2593,22.3,37.4,0,-70,-0.48,91,-0.522,-29,5
NIFTY,NOSTOP,14:05,60,60,14,71,483,998,71,-3100,1131,0.24,250.4,620,2122,2850,30.3,48.1,0,219,0.97,164,0.115,54,8
NIFTY,NOSTOP,14:05,90,75,14,369,414,5168,86,-1579,1369,1.82,250.4,653,2122,3318,32.6,50.6,0,496,3.42,48,0.565,179,8
NIFTY,NOSTOP,14:05,HOLD,75,14,369,414,5168,86,-1579,1369,1.82,250.4,653,2122,3318,32.6,50.6,0,267,0.77,-798,0.565,283,5
NIFTY,NOSTOP,14:20,120,60,14,272,292,3807,79,-949,1089,2.03,248.3,584,1200,2454,29.7,45.4,0,353,2.78,-138,0.466,293,8
NIFTY,NOSTOP,14:20,45,45,14,1,153,10,64,-2181,852,0.0,248.3,546,1200,1931,27.2,44.7,0,170,1.1,178,0.001,95,5
NIFTY,NOSTOP,14:20,60,60,14,272,292,3807,79,-949,1089,2.03,248.3,584,1200,2454,29.7,45.4,0,419,4.89,129,0.466,135,8
NIFTY,NOSTOP,14:20,90,60,14,272,292,3807,79,-949,1089,2.03,248.3,584,1200,2454,29.7,45.4,0,399,4.32,-21,0.466,256,8
NIFTY,NOSTOP,14:20,HOLD,60,14,272,292,3807,79,-949,1089,2.03,248.3,584,1200,2454,29.7,45.4,0,170,0.44,-867,0.466,295,5
NIFTY,NOSTOP,14:30,120,50,14,232,312,3241,71,-517,793,2.35,248.7,486,1146,2022,25.8,38.8,0,312,2.52,-236,0.476,256,5
NIFTY,NOSTOP,14:30,45,45,14,142,326,1988,64,-1092,641,1.13,248.7,486,1146,2022,25.8,38.8,0,312,4.25,118,0.292,168,3
NIFTY,NOSTOP,14:30,60,50,14,232,312,3241,71,-517,793,2.35,248.7,486,1146,2022,25.8,38.8,0,379,6.2,31,0.476,184,5
NIFTY,NOSTOP,14:30,90,50,14,232,312,3241,71,-517,793,2.35,248.7,486,1146,2022,25.8,38.8,0,359,4.14,-119,0.476,256,5
NIFTY,NOSTOP,14:30,HOLD,50,14,232,312,3241,71,-517,793,2.35,248.7,486,1146,2022,25.8,38.8,0,129,0.31,-965,0.476,259,3
NIFTY,SL20,09:20,120,120,14,146,241,2048,64,-715,1255,0.97,264.9,926,1703,1947,33.7,50.7,0,169,0.86,204,0.158,391,5
NIFTY,SL20,09:20,45,45,14,-487,-324,-6822,14,-1582,576,-2.93,264.9,774,1392,1485,28.1,48.3,0,-317,-1.94,406,-0.629,-131,3
NIFTY,SL20,09:20,60,60,14,-442,-336,-6191,29,-1875,569,-2.42,264.9,926,1703,1947,31.1,50.1,0,-300,-1.82,471,-0.477,-71,5
NIFTY,SL20,09:20,90,90,14,-247,-239,-3464,29,-1225,666,-1.78,264.9,926,1703,1947,33.5,50.7,0,-155,-0.9,321,-0.267,141,5
NIFTY,SL20,09:20,HOLD,360,14,543,1624,7599,71,-5853,2772,0.8,264.9,1849,4268,6552,56.6,80.1,2,419,1.25,397,0.294,491,3
NIFTY,SL20,09:35,120,120,14,572,629,8015,93,-448,1294,4.67,269.0,345,936,1931,26.0,35.6,0,595,3.73,-376,1.657,360,8
NIFTY,SL20,09:35,45,45,14,-50,228,-704,71,-1758,634,-0.28,269.0,344,936,1931,22.3,34.0,0,120,0.75,-24,-0.146,-153,5
NIFTY,SL20,09:35,60,60,14,98,239,1366,79,-1842,1323,0.47,269.0,344,936,1931,22.9,34.0,0,240,1.26,-111,0.283,-62,8
NIFTY,SL20,09:35,90,90,14,333,344,4658,79,-770,1235,2.35,269.0,345,936,1931,25.7,35.6,0,425,2.65,-260,0.963,123,8
NIFTY,SL20,09:35,HOLD,345,14,756,1409,10589,79,-4078,2838,1.24,269.0,1297,3852,6451,55.3,92.4,2,633,2.66,-154,0.583,455,5
NIFTY,SL20,09:50,120,120,14,434,396,6078,93,-68,1128,5.12,266.3,300,551,1144,23.0,38.7,0,457,3.01,-422,1.446,408,8
NIFTY,SL20,09:50,45,45,14,-22,58,-313,57,-1102,1079,-0.17,266.3,272,551,1144,17.4,24.5,0,148,1.19,-96,-0.082,25,5
NIFTY,SL20,09:50,60,60,14,89,118,1240,64,-282,381,1.6,266.3,295,551,1144,18.9,27.9,0,231,2.8,-160,0.3,116,8
NIFTY,SL20,09:50,90,90,14,332,241,4651,93,-52,1076,4.36,266.3,300,551,1144,21.1,30.9,0,425,3.43,-305,1.106,262,8
NIFTY,SL20,09:50,HOLD,330,14,582,993,8151,71,-4144,2870,0.96,266.3,1404,4095,6432,56.1,101.3,2,458,2.19,-47,0.415,441,5
NIFTY,SL20,10:05,120,120,14,280,358,3923,79,-968,988,1.91,264.6,353,793,2083,26.2,46.8,0,303,1.82,-369,0.793,301,8
NIFTY,SL20,10:05,45,45,14,-58,50,-810,57,-812,335,-0.66,264.6,311,752,2083,17.6,26.8,0,112,1.05,-57,-0.186,59,5
NIFTY,SL20,10:05,60,60,14,47,194,664,79,-923,345,0.54,264.6,323,752,2083,18.3,27.7,0,190,1.66,-133,0.147,122,8
NIFTY,SL20,10:05,90,90,14,245,286,3427,79,-601,653,2.61,264.6,341,764,2083,23.4,44.2,0,338,2.55,-264,0.717,231,8
NIFTY,SL20,10:05,HOLD,315,14,162,1183,2267,64,-4082,2844,0.24,264.6,1937,6004,8196,58.9,115.8,3,38,0.11,486,0.084,348,5
NIFTY,SL20,10:20,120,120,14,299,319,4180,79,-555,871,2.69,263.4,367,705,2028,27.4,46.8,0,321,2.14,-355,0.814,158,8
NIFTY,SL20,10:20,45,45,14,28,42,394,64,-643,572,0.37,263.4,252,515,2028,16.8,22.2,0,198,1.74,-116,0.112,47,5
NIFTY,SL20,10:20,60,60,14,155,166,2176,79,-370,751,1.94,263.4,262,522,2028,19.7,29.0,0,298,2.19,-193,0.592,94,8
NIFTY,SL20,10:20,90,90,14,209,132,2924,79,-247,774,2.44,263.4,314,610,2028,23.4,40.0,0,302,2.02,-291,0.665,176,8
NIFTY,SL20,10:20,HOLD,300,14,143,1019,2004,64,-4163,2509,0.22,263.4,1957,5958,8278,58.6,120.7,3,19,0.06,506,0.073,156,5
NIFTY,SL20,10:35,120,120,14,117,302,1643,79,-2415,959,0.56,262.6,486,1356,3162,26.8,47.0,0,140,0.68,-236,0.242,102,8
NIFTY,SL20,10:35,45,45,14,17,2,233,50,-253,348,0.31,262.6,207,304,1648,16.0,33.8,0,187,1.8,-161,0.08,21,5
NIFTY,SL20,10:35,60,60,14,74,144,1031,64,-630,429,0.93,262.6,234,564,1648,18.5,35.5,0,216,1.65,-221,0.314,65,8
NIFTY,SL20,10:35,90,90,14,187,220,2616,86,-517,592,2.6,262.6,261,564,1648,20.8,41.4,0,280,2.21,-344,0.715,110,8
NIFTY,SL20,10:35,HOLD,285,14,-79,1019,-1112,64,-4618,2291,-0.12,262.6,1785,4742,8330,57.7,113.8,3,-203,-0.65,334,-0.044,108,5
NIFTY,SL20,10:50,120,120,14,6,332,91,71,-2684,696,0.03,259.9,585,1639,2723,26.3,52.5,0,29,0.14,-137,0.011,32,8
NIFTY,SL20,10:50,45,45,14,-101,14,-1416,50,-1504,299,-0.86,259.9,332,1157,1674,16.8,39.7,0,69,0.53,-36,-0.304,12,5
NIFTY,SL20,10:50,60,60,14,-49,-34,-686,50,-1010,442,-0.53,259.9,349,1202,1674,18.1,40.1,0,93,0.77,-107,-0.14,34,8
NIFTY,SL20,10:50,90,90,14,72,-92,1009,43,-211,524,0.94,259.9,366,1202,1674,22.0,43.5,0,165,1.33,-239,0.197,53,8
NIFTY,SL20,10:50,HOLD,270,14,-23,652,-319,64,-4660,2259,-0.04,259.9,1868,4679,8648,55.9,115.7,2,-147,-0.68,417,-0.012,4,5
NIFTY,SL20,11:05,120,120,14,33,34,464,50,-1443,1050,0.19,259.1,462,717,2658,26.0,40.6,0,56,0.3,-260,0.072,-57,8
NIFTY,SL20,11:05,45,45,14,-34,-86,-471,36,-295,316,-0.74,259.1,166,478,757,15.5,26.1,0,136,1.68,-202,-0.202,-41,5
NIFTY,SL20,11:05,60,60,14,53,8,741,50,-256,442,0.94,259.1,170,478,757,16.4,31.0,0,195,2.15,-286,0.312,-60,8
NIFTY,SL20,11:05,90,90,14,4,150,52,57,-1751,650,0.02,259.1,381,681,2340,22.0,36.8,0,96,0.56,-224,0.01,-45,8
NIFTY,SL20,11:05,HOLD,255,14,-59,596,-829,64,-4891,2259,-0.1,259.1,1902,4638,8639,56.4,109.8,2,-183,-1.01,451,-0.031,-35,5
NIFTY,SL20,11:20,120,120,14,-193,31,-2703,57,-2220,660,-0.84,257.1,592,1355,2984,26.5,53.6,0,-171,-0.83,-130,-0.326,-88,8
NIFTY,SL20,11:20,45,45,14,-90,-108,-1254,36,-578,212,-1.51,257.1,185,381,812,12.9,21.1,0,80,1.13,-183,-0.484,-61,5
NIFTY,SL20,11:20,60,60,14,-19,14,-262,57,-442,390,-0.25,257.1,223,478,812,15.9,26.0,0,124,1.25,-233,-0.084,-103,8
NIFTY,SL20,11:20,90,90,14,-263,-80,-3678,43,-2938,446,-1.16,257.1,454,751,2977,21.6,31.8,0,-170,-0.77,-151,-0.578,-82,8
NIFTY,SL20,11:20,HOLD,240,14,0,502,1,71,-4937,2269,0.0,257.1,1852,4768,8928,52.4,105.1,2,-124,-0.69,401,0.0,-91,5
NIFTY,SL20,11:35,120,120,14,-184,47,-2574,57,-1488,946,-0.97,256.7,627,1365,3071,28.3,48.5,0,-161,-1.02,-95,-0.293,-171,8
NIFTY,SL20,11:35,45,45,14,-141,-180,-1975,29,-669,485,-1.75,256.7,232,428,1154,15.2,25.3,0,29,0.28,-136,-0.609,-148,5
NIFTY,SL20,11:35,60,60,14,-166,-1,-2319,50,-2164,624,-0.95,256.7,408,937,2753,18.3,25.3,0,-23,-0.13,-47,-0.405,-176,8
NIFTY,SL20,11:35,90,90,14,-186,-39,-2608,43,-1855,556,-1.1,256.7,481,1058,3071,24.5,32.0,0,-94,-0.49,-124,-0.387,-219,8
NIFTY,SL20,11:35,HOLD,225,14,-53,694,-743,71,-4859,2214,-0.09,256.7,1838,4739,8990,51.0,103.7,2,-177,-0.83,387,-0.029,-160,5
NIFTY,SL20,11:50,120,120,14,-377,-74,-5280,50,-2323,777,-1.35,254.3,853,2048,2568,28.9,54.6,0,-355,-1.8,131,-0.442,-194,8
NIFTY,SL20,11:50,45,45,14,-159,-32,-2232,50,-1391,315,-1.36,254.3,279,530,1849,16.1,27.1,0,11,0.09,-89,-0.572,-245,5
NIFTY,SL20,11:50,60,60,14,-305,-162,-4264,36,-1982,312,-1.95,254.3,351,648,1989,19.9,30.2,0,-162,-1.14,-104,-0.867,-212,8
NIFTY,SL20,11:50,90,90,14,-248,-21,-3476,43,-1492,484,-1.38,254.3,505,1452,1989,23.6,43.7,0,-156,-0.85,-100,-0.492,-272,8
