label,st_period,st_mult,narrow_cpr_pct,proximity_pct,max_wick_pct,total_trades,win_rate,total_pnl,pnl_pct,profit_factor,max_drawdown,sharpe,avg_trades_per_day,exit_reasons
ST14_M3.0,14,3.0,3.0,3.0,30.0,29,41.38,-9593.54,-0.96,0.8417,3.45,-0.2873,0.0727,"{""EOD"": 24, ""SUPERTREND_FLIP"": 3, ""SL"": 2}"
ST14_M3.5,14,3.5,3.0,3.0,30.0,24,45.83,13607.72,1.36,1.3376,1.48,0.4288,0.0602,"{""EOD"": 22, ""SL"": 1, ""SUPERTREND_FLIP"": 1}"
ST14_M4.0,14,4.0,3.0,3.0,30.0,12,66.67,24450.07,2.45,2.8868,0.72,1.0433,0.0301,"{""EOD"": 11, ""SL"": 1}"
ST20_M1.5,20,1.5,3.0,3.0,30.0,260,36.54,-145551.92,-14.56,0.6639,18.59,-1.7167,0.6516,"{""SUPERTREND_FLIP"": 126, ""EOD"": 131, ""SL"": 1, ""TARGET"": 1, ""CPR_BREACH"": 1}"
ST20_M1.5,20,1.5,3.0,3.0,30.0,260,36.54,-145551.92,-14.56,0.6639,18.59,-1.7167,0.6516,"{""SUPERTREND_FLIP"": 126, ""EOD"": 131, ""SL"": 1, ""TARGET"": 1, ""CPR_BREACH"": 1}"
ST20_M2.0,20,2.0,3.0,3.0,30.0,109,33.94,-116171.43,-11.62,0.5349,12.44,-1.932,0.2732,"{""EOD"": 80, ""SUPERTREND_FLIP"": 25, ""SL"": 4}"
ST20_M2.0,20,2.0,3.0,3.0,30.0,109,33.94,-116171.43,-11.62,0.5349,12.44,-1.932,0.2732,"{""EOD"": 80, ""SUPERTREND_FLIP"": 25, ""SL"": 4}"
ST20_M2.5,20,2.5,3.0,3.0,30.0,46,39.13,-49740.45,-4.97,0.5855,6.59,-1.1436,0.1153,"{""EOD"": 37, ""SL"": 5, ""SUPERTREND_FLIP"": 4}"
ST20_M2.5,20,2.5,3.0,3.0,30.0,46,39.13,-49740.45,-4.97,0.5855,6.59,-1.1436,0.1153,"{""EOD"": 37, ""SL"": 5, ""SUPERTREND_FLIP"": 4}"
ST20_M3.0,20,3.0,3.0,3.0,30.0,31,41.94,-19030.71,-1.9,0.7334,3.91,-0.5363,0.0777,"{""EOD"": 26, ""SUPERTREND_FLIP"": 3, ""SL"": 2}"
ST20_M3.0,20,3.0,3.0,3.0,30.0,31,41.94,-19030.71,-1.9,0.7334,3.91,-0.5363,0.0777,"{""EOD"": 26, ""SUPERTREND_FLIP"": 3, ""SL"": 2}"
ST20_M3.5,20,3.5,3.0,3.0,30.0,22,50.0,10827.78,1.08,1.2711,1.86,0.3452,0.0551,"{""EOD"": 20, ""SL"": 1, ""SUPERTREND_FLIP"": 1}"
ST20_M3.5,20,3.5,3.0,3.0,30.0,22,50.0,10827.78,1.08,1.2711,1.86,0.3452,0.0551,"{""EOD"": 20, ""SL"": 1, ""SUPERTREND_FLIP"": 1}"
ST20_M4.0,20,4.0,3.0,3.0,30.0,16,62.5,20072.57,2.01,1.943,0.72,0.8023,0.0401,"{""EOD"": 15, ""SL"": 1}"
ST20_M4.0,20,4.0,3.0,3.0,30.0,16,62.5,20072.57,2.01,1.943,0.72,0.8023,0.0401,"{""EOD"": 15, ""SL"": 1}"
