,nav
2012-02-15,3548917.5
2012-02-16,3525217.0
2012-02-17,3518720.25
2012-02-21,3543157.0
2012-02-22,3458953.5
2012-02-23,3464524.0
2012-02-24,3432861.0
2012-02-27,3392208.0
2012-02-28,3453206.75
2012-02-29,3474237.0
2012-03-01,3466593.75
2012-03-02,3461225.0
2012-03-03,3461384.0
2012-03-05,3402312.75
2012-03-06,3407924.5
2012-03-07,3429972.0
2012-03-09,3498209.25
2012-03-12,3519453.0
2012-03-13,3547329.0
2012-03-14,3520581.5
2012-03-15,3483502.75
2012-03-16,3462799.0
2012-03-19,3451524.5
2012-03-20,3508208.5
2012-03-21,3607409.5
2012-03-22,3528441.25
2012-03-23,3553419.5
2012-03-26,3495612.5
2012-03-27,3490394.5
2012-03-28,3458630.5
2012-03-29,3475543.25
2012-03-30,3544970.75
2012-04-02,3611299.0
2012-04-03,3636615.0
2012-04-04,3653776.75
2012-04-09,3644523.25
2012-04-10,3644385.0
2012-04-11,3601014.5
2012-04-12,3637497.0
2012-04-13,3597255.25
2012-04-16,3624704.25
2012-04-17,3648571.5
2012-04-18,3705003.5
2012-04-19,3715517.5
2012-04-20,3700905.5
2012-04-23,3669869.75
2012-04-24,3646388.0
2012-04-25,3664092.75
2012-04-26,3632681.5
2012-04-27,3641228.5
2012-04-28,3641289.0
2012-04-30,3692267.0
2012-05-02,3714843.5
2012-05-03,3693767.0
2012-05-04,3589390.0
2012-05-07,3584156.25
2012-05-08,3536441.75
2012-05-09,3499534.5
2012-05-10,3518114.75
2012-05-11,3487841.0
2012-05-14,3455294.0
2012-05-15,3455359.0
2012-05-16,3455398.5
2012-05-17,3446229.0
2012-05-18,3440468.0
2012-05-21,3447368.75
2012-05-22,3462574.0
2012-05-23,3511085.25
2012-05-24,3512134.5
2012-05-25,3524698.75
2012-05-28,3589893.0
2012-05-29,3578244.0
2012-05-30,3525801.0
2012-05-31,3558161.0
2012-06-01,3507587.5
2012-06-04,3486065.5
2012-06-05,3528986.0
2012-06-06,3531451.5
2012-06-07,3545049.0
2012-06-08,3547150.0
2012-06-11,3521093.0
2012-06-12,3542474.0
2012-06-13,3528540.0
2012-06-14,3497213.75
2012-06-15,3509854.25
2012-06-18,3488799.0
2012-06-19,3511083.5
2012-06-20,3524301.5
2012-06-21,3526058.0
2012-06-22,3511201.0
2012-06-25,3524262.25
2012-06-26,3530038.5
2012-06-27,3546409.75
2012-06-28,3562000.5
2012-06-29,3596523.25
2012-07-02,3615036.75
2012-07-03,3620530.0
2012-07-04,3613549.25
2012-07-05,3625020.0
2012-07-06,3603805.0
2012-07-09,3613270.5
2012-07-10,3634588.75
2012-07-11,3634222.75
2012-07-12,3621802.0
2012-07-13,3624342.25
2012-07-16,3616614.5
2012-07-17,3615040.0
2012-07-18,3635148.5
2012-07-19,3652551.5
2012-07-20,3672619.5
2012-07-23,3661026.25
2012-07-24,3695287.5
2012-07-25,3698610.0
2012-07-26,3654057.25
2012-07-27,3642512.5
2012-07-30,3662924.0
2012-07-31,3662151.5
2012-08-01,3690483.25
2012-08-02,3697019.5
2012-08-03,3711148.5
2012-08-06,3744364.5
2012-08-07,3761649.25
2012-08-08,3809836.0
2012-08-09,3808427.75
2012-08-10,3823671.25
2012-08-13,3854461.0
2012-08-14,3862413.0
2012-08-16,3878210.25
2012-08-17,3894365.25
2012-08-21,3887040.5
2012-08-22,3865841.0
2012-08-23,3861782.5
2012-08-24,3859649.75
2012-08-27,3840501.5
2012-08-28,3784312.0
2012-08-29,3810275.5
2012-08-30,3839662.5
2012-08-31,3841613.75
2012-09-03,3838504.0
2012-09-04,3826876.75
2012-09-05,3829340.5
2012-09-06,3884955.25
2012-09-07,3932014.5
2012-09-08,3932075.75
2012-09-10,3973534.5
2012-09-11,3963183.25
2012-09-12,3933581.25
2012-09-13,3915763.25
2012-09-14,3928016.25
2012-09-17,3890886.25
2012-09-18,3884079.0
2012-09-20,3869088.0
2012-09-21,3895751.25
2012-09-24,3870483.75
2012-09-25,3884294.25
2012-09-26,3930370.0
2012-09-27,3984827.5
2012-09-28,4035271.0
2012-10-01,4081786.0
2012-10-03,4108896.5
2012-10-04,4125128.0
2012-10-05,4098554.5
2012-10-08,4108808.25
2012-10-09,4121334.5
2012-10-10,4085321.5
2012-10-11,4120386.0
2012-10-12,4182873.75
2012-10-15,4175836.25
2012-10-16,4172046.25
2012-10-17,4155402.0
2012-10-18,4168842.5
2012-10-19,4146289.0
2012-10-22,4180182.0
2012-10-23,4199284.5
2012-10-25,4202972.5
2012-10-26,4144699.25
2012-10-29,4118276.5
2012-10-30,4104021.25
2012-10-31,4135810.5
