date,invested_pct
2006-05-16,96.7703
2006-05-17,96.8864
2006-05-18,96.621
2006-05-19,74.2978
2006-05-22,55.419
2006-05-23,27.9167
2006-05-24,27.405
2006-05-25,18.6349
2006-05-26,18.9142
2006-05-29,18.9346
2006-05-30,18.9559
2006-05-31,18.3177
2006-06-01,18.1145
2006-06-02,11.6594
2006-06-05,11.3798
2006-06-06,11.0221
2006-06-07,5.7103
2006-06-08,0.0
2006-06-09,0.0
2006-06-12,0.0
2006-06-13,0.0
2006-06-14,0.0
2006-06-15,0.0
2006-06-16,0.0
2006-06-19,0.0
2006-06-20,0.0
2006-06-21,0.0
2006-06-22,0.0
2006-06-23,0.0
2006-06-25,0.0
2006-06-26,0.0
2006-06-27,0.0
2006-06-28,0.0
2006-06-29,0.0
2006-06-30,0.0
2006-07-03,0.0
2006-07-04,0.0
2006-07-05,0.0
2006-07-06,0.0
2006-07-07,0.0
2006-07-10,0.0
2006-07-11,0.0
2006-07-12,0.0
2006-07-13,5.9979
2006-07-14,5.8854
2006-07-17,5.7379
2006-07-18,5.8188
2006-07-19,5.7334
2006-07-20,5.8779
2006-07-21,5.723
2006-07-24,5.7529
2006-07-25,5.75
2006-07-26,5.8688
2006-07-27,5.908
2006-07-28,5.8124
2006-07-31,5.8964
2006-08-01,5.9034
2006-08-02,5.9313
2006-08-03,5.9513
2006-08-04,5.9759
2006-08-07,5.9513
2006-08-08,5.9858
2006-08-09,6.0443
2006-08-10,6.065
2006-08-11,6.1758
2006-08-14,6.2188
2006-08-16,6.2071
2006-08-17,18.3348
2006-08-18,18.3754
2006-08-21,18.5299
2006-08-22,24.6088
2006-08-23,24.4235
2006-08-24,24.4554
2006-08-25,24.4763
2006-08-28,30.6265
2006-08-29,30.6788
2006-08-30,30.6412
2006-08-31,36.2142
2006-09-01,36.521
2006-09-04,43.1073
2006-09-05,49.4711
2006-09-06,49.3885
2006-09-07,55.3192
2006-09-08,55.1882
2006-09-11,54.3894
2006-09-12,54.8579
2006-09-13,55.4075
2006-09-14,55.3998
2006-09-15,61.7998
2006-09-18,74.2284
2006-09-19,80.1078
2006-09-20,80.2663
2006-09-21,98.9576
2006-09-22,98.9601
2006-09-25,98.9548
2006-09-26,98.9657
2006-09-27,98.9655
2006-09-28,98.9637
2006-09-29,98.9763
2006-10-03,98.97
2006-10-04,98.9591
2006-10-05,98.974
2006-10-06,98.9743
2006-10-09,98.979
2006-10-10,98.9773
2006-10-11,98.9717
2006-10-12,98.9895
2006-10-13,98.9941
2006-10-16,99.0003
2006-10-17,99.0002
2006-10-18,99.0028
2006-10-19,98.9942
2006-10-20,98.9944
2006-10-21,98.9422
2006-10-23,93.8213
2006-10-26,93.9094
2006-10-27,94.0036
2006-10-30,94.0216
2006-10-31,94.0528
2006-11-01,94.1001
2006-11-02,94.1243
2006-11-03,94.1287
2006-11-06,94.1412
2006-11-07,94.1258
2006-11-08,94.0917
2006-11-09,94.1021
2006-11-10,94.1691
2006-11-13,94.2422
2006-11-14,94.2513
2006-11-15,94.2925
2006-11-16,94.2929
2006-11-17,94.2548
2006-11-20,94.2536
2006-11-21,94.3615
2006-11-22,94.4044
2006-11-23,94.409
2006-11-24,94.4303
2006-11-27,94.3967
2006-11-28,89.2482
2006-11-29,95.589
2006-11-30,95.6159
2006-12-01,95.7199
2006-12-04,95.7204
2006-12-05,95.7091
2006-12-06,95.6573
2006-12-07,95.6526
2006-12-08,95.6767
2006-12-11,95.5177
2006-12-12,81.8245
2006-12-13,55.3185
2006-12-14,55.8869
2006-12-15,56.3268
2006-12-18,62.5795
2006-12-19,62.1975
2006-12-20,68.3191
2006-12-21,68.2609
2006-12-22,61.4427
2006-12-26,61.7438
2006-12-27,61.9161
2006-12-28,68.5173
2006-12-29,68.5969
2007-01-02,69.0157
2007-01-03,94.2489
2007-01-04,94.2297
2007-01-05,94.2393
2007-01-08,94.2877
2007-01-09,94.3157
2007-01-10,94.3101
2007-01-11,94.4424
2007-01-12,94.6163
2007-01-15,94.6818
2007-01-16,94.7042
2007-01-17,94.7042
2007-01-18,94.6676
2007-01-19,94.6313
2007-01-22,94.696
2007-01-23,94.6981
2007-01-24,94.7218
2007-01-25,94.8207
2007-01-29,94.8391
2007-01-31,94.8105
2007-02-01,94.8767
2007-02-02,94.9263
2007-02-05,95.0377
