,Open Alpha - Base Age,True North,IPO Base - First Base,NIFTYBEES (index)
2016-07-13,4.560956437446759,4.352448147399978,4.384938069460578,2.476394849785408
2016-07-14,4.578083012660459,4.334916712570894,4.413813201365429,2.4878397711015734
2016-07-15,4.5990450732477,4.321652360748094,4.323419938015502,2.4835479256080117
2016-07-18,4.566833710307552,4.285600714571215,4.236895789235702,2.4749642346208867
2016-07-19,4.597337988510329,4.301366863315994,4.242020859684289,2.479256080114449
2016-07-20,4.65747806345756,4.381388467632852,4.305958052038799,2.4935622317596566
2016-07-21,4.6590663068975795,4.357238723841516,4.2776780545553175,2.476394849785408
2016-07-22,4.706065018610916,4.3880345383696895,4.260367792037004,2.4864091559370527
2016-07-25,4.724202080561978,4.448241457358596,4.314945322632703,2.5164520743919883
2016-07-26,4.660946953642662,4.405567960392672,4.3262755954631,2.506437768240343
2016-07-27,4.648743563812154,4.429785435208055,4.262163566938329,2.5092989985693848
2016-07-28,4.692639980528827,4.442152921569228,4.316529219802272,2.5207439198855504
2016-07-29,4.741031552532301,4.429356855935718,4.374925488444465,2.5207439198855504
2016-08-01,4.762429700253041,4.476572371948469,4.448646591908784,2.5164520743919883
2016-08-02,4.766537446338874,4.394574931173316,4.367793753137768,2.5164520743919883
2016-08-03,4.69175236360737,4.324020891808639,4.34885958856347,2.490701001430615
2016-08-04,4.705185458726569,4.327774231973896,4.433258539488373,2.4949928469241773
2016-08-05,4.816306435978028,4.352855788752138,4.621193593669471,2.529327610872675
2016-08-08,4.854743874343792,4.3665665476974285,4.704826525102635,2.536480686695279
2016-08-09,4.8585743240691395,4.29713413028383,4.682088439106441,2.5278969957081543
2016-08-10,4.750447878943017,4.276733019717099,4.63436112795007,2.506437768240343
2016-08-11,4.791191308471219,4.3360164552575995,4.664123775668366,2.502145922746781
2016-08-12,4.817319944104305,4.343301317061559,4.7495776702646735,2.5193133047210297
2016-08-16,4.887787797785154,4.36747131448294,4.655171571086012,2.5193133047210297
2016-08-17,4.931388454097968,4.371090275539585,4.596359449180089,2.5092989985693848
2016-08-18,4.981412918955439,4.382439353075358,4.570414551733315,2.525035765379113
2016-08-19,4.996650790386948,4.371650649369167,4.581920648508947,2.525035765379113
2016-08-22,4.96542339310368,4.3928607936947595,4.596283390507152,2.512160228898426
2016-08-23,4.949867268706384,4.399620538313561,4.59959539999238,2.513590844062947
2016-08-24,5.006074166705133,4.37399592553539,4.599765791175263,2.5193133047210297
2016-08-25,4.9727690609775035,4.3722412476856825,4.585215865819632,2.510729613733905
2016-08-26,4.95815258853299,4.369564081556179,4.617820836023387,2.4992846924177394
