,OA v3 (gated),TN incumbent,NIFTYBEES,OA v2,IPO (honest)
2021-12-21,4.102811951285205,4.611632197076851,2.2540371,4.3735960913420175,3.289004536419118
2021-12-22,4.260131856256891,4.612525149755165,2.2773914,4.459182427010651,3.2878586905945717
2021-12-23,4.289152159130111,4.613418275336359,2.2869565,4.415534484252769,3.2792905001751977
2021-12-24,4.296952046854833,4.614311573853911,2.278882,4.332620429357289,3.2597055686624
2021-12-27,4.317670904919866,4.615205045341309,2.2925465,4.425622898739932,3.250125944836796
2021-12-28,4.366724987887684,4.616098689832042,2.3142858,4.453039582585898,3.2501884746695726
2021-12-29,4.346316165108542,4.616992507359611,2.3120496,4.419849470882491,3.257754049992468
2021-12-30,4.387292328708161,4.617886497957521,2.312298,4.469750284456672,3.238011725011699
2021-12-31,4.423304427335136,4.618780661659283,2.332795,4.541161553347863,3.214932605065651
2022-01-03,4.078674204107855,4.619674998498415,2.3691926,4.588283904765651,3.241329814471448
2022-01-04,4.068326526412787,4.620569508508444,2.3908076,4.558236347928295,3.2489247841601774
2022-01-05,4.067507933246652,4.621464191722898,2.4017391,4.546055953152419,3.239360659182015
2022-01-06,4.086226563660777,4.6223590481753165,2.3840992,4.5611135972211825,3.240941541620919
2022-01-07,4.123975860002567,4.623254077899243,2.3903105,4.614129459063528,3.2198171470028933
2022-01-10,4.157769706164683,4.624149280928227,2.414286,4.594701519399398,3.272485971705919
2022-01-11,4.15550294817929,4.625044657295828,2.4185092,4.549908947245599,3.2711514674970137
2022-01-12,4.186018421221565,4.625940207035609,2.437267,4.607990163877211,3.26909920631872
2022-01-13,4.217168466486092,4.62683593018114,2.447205,4.669215709994093,3.2917964667304216
2022-01-14,4.230873026236298,4.627731826765997,2.451677,4.727270898877169,3.3319363438285694
2022-01-17,4.195317979627556,4.628627896823763,2.46,4.735716015968023,3.2789110456344197
2022-01-18,4.087446702527831,4.629524140388028,2.4344099,4.621777476355417,3.134236127734079
2022-01-19,4.0679419826469,4.630420557492389,2.4121737,4.618498275809545,3.1483957857832143
2022-01-20,4.065922752833306,4.6313171481704485,2.387329,4.663046837820803,3.1065106850189945
2022-01-21,3.992138355246557,4.632213912455814,2.3681986,4.600196627809407,3.0405264798142544
2022-01-24,3.808082907435903,4.633110850382103,2.3079503,4.383850136956238,2.845317160196956
2022-01-25,3.795963528099042,4.634007961982937,2.323851,4.417844446935484,2.845011056934076
2022-01-27,3.77463810099887,4.634905247291945,2.302236,4.421397234610872,2.845575543254896
2022-01-28,3.799327660979415,4.635802706342761,2.2993789,4.448834030807981,2.8461401415769703
2022-01-31,3.849372606719802,4.636700339169027,2.3308074,4.453354873267047,2.8467048519225213
2022-02-01,3.8917639313824406,4.637598145804394,2.3565216,4.512885362260415,2.847269674313776
2022-02-02,3.9412695657424512,4.638496126282513,2.3865838,4.62442816592808,2.8478346087729647
2022-02-03,3.9346398111935112,4.639394280637047,2.3603725,4.624371082343219,2.837279671691656
2022-02-04,3.931189918552605,4.640292608901665,2.3551552,4.65185194825092,2.819806591753344
2022-02-07,3.909460945523864,4.641191111110039,2.3147826,4.6276638883031005,2.820610661269683
2022-02-08,3.832994992742612,4.64208978729585,2.320621,4.525729464624001,2.802589494216684
2022-02-09,3.8272025834940337,4.6429886374927865,2.3481987,4.574418804811702,2.803145563560774
2022-02-10,3.8138505638673,4.643887661734541,2.361615,4.576119481562742,2.803701743236084
2022-02-11,3.7569598389916754,4.644786860054816,2.3354037,4.468654161319394,2.804258033264503
2022-02-14,3.6072447995487487,4.645686232487317,2.2681987,4.294081023789658,2.7830166034743478
2022-02-15,3.5921943366179363,4.646585779065758,2.3303106,4.343599998461997,2.781437591585996
2022-02-16,3.611379020074722,4.6474854998238575,2.3247204,4.342938361263375,2.793102612056834
2022-02-17,3.561489342005737,4.648385394795344,2.3221116,4.3574432114455846,2.8035336036056195
2022-02-18,3.55489034095693,4.64928546401395,2.3185093,4.311712457264951,2.765275500363922
2022-02-21,3.5517772366467457,4.650185707513414,2.3141613,4.1979567034318475,2.7031903161578983
2022-02-22,3.5257662762743185,4.651086125327484,2.3014908,4.119197919436428,2.703726663442851
2022-02-23,3.537834649806081,4.651986717489911,2.2987578,4.191335599127716,2.704263117145915
2022-02-24,3.453513553011252,4.652887484034454,2.2156522,4.017808895397141,2.704799677288205
2022-02-25,3.481242208878898,4.653788424994879,2.246584,4.125297285690328,2.705336343890841
2022-02-28,3.500934200073646,4.654689540404959,2.258882,4.146004430041109,2.705873116974947
2022-03-02,3.5007559297842588,4.655590830298473,2.2372673,4.212139164456033,2.706409996561648
2022-03-03,3.5097564541564386,4.656492294709205,2.2218633,4.229496419262072,2.706946982672077
2022-03-04,3.511654920225608,4.657393933670948,2.1895652,4.185886630817387,2.7074840753273697
2022-03-07,3.529471197940716,4.658295747217499,2.1407454,4.188801442883732,2.7080212745486647
2022-03-08,3.5267583891891694,4.659197735382665,2.1540372,4.215044511886547,2.7085585803571064
2022-03-09,3.527569981558526,4.660099898200255,2.1985092,4.234743672521234,2.709095992773844
2022-03-10,3.5221988702589213,4.66100223570409,2.231677,4.230487248325721,2.709633511820029
2022-03-11,3.5330976106718146,4.661904747927991,2.2357764,4.3306192504185885,2.710171137516819
2022-03-14,3.5453455046352462,4.662807434905793,2.2684472,4.486964386645754,2.7107088698853747
2022-03-15,3.530604326904956,4.66371029667133,2.2434783,4.396285485359835,2.7112467089468595
2022-03-16,3.525315474967494,4.6646133332584485,2.2814908,4.406793893062037,2.7117846547224445
2022-03-17,3.5323270229693016,4.665516544701,2.3193789,4.448875438589746,2.7087140599598296
2022-03-21,3.5197675935492407,4.66641993103284,2.3028572,4.521467716570832,2.720034097464369
