date,spike_2x,spike_3x,spike_2x_rsi,spike_3x_rsi
2024-08-08,-2030.79,382.96,-2030.79,382.96
2024-08-09,-2348.23,-2348.23,-2348.23,-2348.23
2024-08-13,1847.56,1847.56,1847.56,1847.56
2024-08-21,730.75,1339.93,730.75,1339.93
2024-09-05,-951.10,0.00,-951.10,0.00
2024-09-06,-2622.34,-1734.84,-2622.34,-1734.84
2024-09-12,-901.86,2202.91,3046.52,2202.91
2024-09-13,-1630.63,0.00,-1630.63,0.00
2024-09-17,-2075.24,-970.86,-2075.24,-970.86
2024-09-18,-477.79,-477.79,-477.79,-477.79
2024-09-19,1072.78,-3442.59,1130.72,-3384.65
2024-09-20,-3491.69,-3491.69,-3491.69,-3491.69
2024-09-26,-449.23,-449.23,-449.23,-449.23
2024-09-27,-1875.43,0.00,-1875.43,0.00
2024-09-30,-1378.76,-1378.76,-1378.76,-1378.76
2024-10-03,-3138.82,-1888.82,-1250.01,0.00
2024-10-04,5928.92,994.21,4733.58,994.21
2024-10-07,-5397.83,-6609.45,-900.63,-2922.12
2024-10-08,-3534.54,-2945.35,-3534.54,-2945.35
2024-10-10,-1662.29,-1662.29,-1662.29,-1662.29
2024-10-14,-1591.86,-1591.86,-1591.86,-1591.86
2024-10-16,-135.57,-135.57,-135.57,-135.57
2024-10-18,456.40,1353.22,456.40,1353.22
2024-10-22,2802.77,4422.11,2802.77,4422.11
2024-10-23,60.94,60.94,60.94,60.94
2024-10-24,115.16,115.16,115.16,115.16
2024-10-28,-2770.88,-2770.88,-2770.88,-2770.88
2024-10-29,-466.83,384.38,376.55,384.38
2024-10-30,-665.42,-665.42,-665.42,-665.42
2024-10-31,1912.91,1912.91,1912.91,1912.91
2024-11-04,-2173.06,648.02,-800.87,648.02
2024-11-05,-618.41,711.81,-618.41,711.81
2024-11-06,-925.03,0.00,-925.03,0.00
2024-11-07,1001.40,1001.40,1001.40,1001.40
2024-11-08,-3681.16,0.00,-3681.16,0.00
2024-11-13,-2854.80,-1558.02,-2854.80,-1558.02
2024-11-14,579.35,0.00,579.35,0.00
2024-11-21,-4221.76,-3327.50,-4221.76,-3327.50
2024-11-22,-894.87,-894.87,-894.87,-894.87
2024-11-25,-2901.25,-2901.25,-2901.25,-2901.25
2024-11-27,604.92,-329.92,604.92,-329.92
2024-11-28,-322.48,0.00,-322.48,0.00
2024-11-29,-1110.32,0.00,-1110.32,0.00
2024-12-03,1568.33,0.00,1568.33,0.00
2024-12-05,185.82,0.00,185.82,0.00
2024-12-13,-243.24,-921.02,-243.24,-921.02
2024-12-18,1573.40,1573.40,1573.40,1573.40
2024-12-23,-2244.83,-2244.83,-2244.83,-2244.83
2024-12-26,-1855.75,1975.26,-1855.75,1975.26
2024-12-30,2583.47,1383.34,2583.47,1383.34
2025-01-01,-2448.53,-2448.53,-2448.53,-2448.53
2025-01-02,1955.38,1955.38,1955.38,1955.38
2025-01-03,-3223.65,0.00,-3223.65,0.00
2025-01-06,-4833.37,-1433.75,-4780.07,-2374.82
2025-01-08,-2288.90,0.00,-2288.90,0.00
2025-01-09,-984.32,0.00,-984.32,0.00
2025-01-10,4145.13,1754.28,-178.71,1754.28
2025-01-14,-2062.35,-2062.35,-2062.35,-2062.35
2025-01-16,-1292.13,0.00,-1292.13,0.00
2025-01-17,-1784.58,-1784.58,-1784.58,-1784.58
2025-01-22,1868.39,1921.74,3702.04,1921.74
2025-01-24,-6279.13,-2007.58,-4893.13,-2007.58
2025-01-27,-688.89,0.00,1230.10,0.00
2025-01-28,2286.79,4639.83,481.26,2056.35
2025-01-30,-906.97,-906.97,5644.50,5644.50
2025-01-31,3289.48,1959.07,3289.48,1959.07
2025-02-01,10204.04,6475.96,10204.04,6475.96
2025-02-03,-5678.24,-7131.77,-4029.28,-5116.87
2025-02-04,1567.52,289.78,289.78,289.78
2025-02-07,-2374.89,-164.61,-3078.70,0.00
2025-02-10,280.99,466.84,466.84,466.84
2025-02-11,-5953.27,0.00,-5953.27,0.00
2025-02-12,4515.30,-1306.73,-2544.02,-1306.73
2025-02-13,586.52,586.52,586.52,586.52
2025-02-17,-1601.82,-1601.82,-1601.82,-1601.82
2025-02-21,1139.49,1139.49,1139.49,1139.49
2025-02-24,-2428.15,0.00,-2428.15,0.00
2025-02-28,-2945.85,265.39,-1443.26,0.00
2025-03-06,587.35,0.00,587.35,0.00
2025-03-11,1416.42,0.00,1416.42,0.00
2025-03-12,-3612.54,-6695.42,-3910.21,-6695.42
2025-03-13,-1577.29,-1577.29,-1577.29,-1577.29
2025-03-17,1077.85,0.00,1077.85,0.00
2025-03-28,2186.06,0.00,2186.06,0.00
2025-04-01,916.12,0.00,916.12,0.00
2025-04-02,-788.10,38.13,38.13,38.13
2025-04-04,723.13,-1641.92,1582.65,0.00
2025-04-07,-4775.99,-1153.11,-7669.59,-2834.21
2025-04-08,-3596.49,-2810.87,-6889.37,-2810.87
2025-04-09,-588.61,0.00,1160.91,0.00
2025-04-16,548.91,-1087.68,548.91,-1087.68
2025-04-17,-2424.36,-4758.14,-2424.36,-4758.14
2025-04-21,1979.28,1979.28,1979.28,1979.28
2025-04-22,-1537.27,0.00,-1537.27,0.00
2025-04-24,-1946.25,-1946.25,-1946.25,-1946.25
2025-04-25,-1601.63,0.00,-2876.73,0.00
2025-04-29,355.86,0.00,0.00,0.00
2025-04-30,-2657.59,-1904.12,-2657.59,-1904.12
2025-05-02,-4787.18,-4520.52,721.94,438.44
2025-05-07,1469.90,-2237.37,2411.60,-1295.67
2025-05-08,-1303.15,-1354.08,-1303.15,-1354.08
2025-05-09,-1248.80,0.00,-1690.96,0.00
2025-05-12,1750.68,-762.86,1750.68,-762.86
2025-05-14,-3998.58,-1938.14,-3998.58,-1938.14
2025-05-15,2536.45,-680.83,2536.45,-680.83
2025-05-22,-1702.54,-1702.54,-1702.54,-1702.54
2025-05-26,2057.87,2057.87,-1756.80,-1756.80
2025-05-27,57.33,57.33,57.33,57.33
2025-05-30,1369.79,1369.79,1369.79,1369.79
2025-06-02,1020.12,1020.12,1020.12,1020.12
2025-06-04,30.76,30.76,30.76,30.76
2025-06-13,-1241.79,-1241.79,-1241.79,-1241.79
2025-06-23,1243.90,1243.90,1243.90,1243.90
2025-06-24,-1717.63,-1717.63,-1717.63,-1717.63
2025-06-27,-1252.57,-1252.57,-1252.57,-1252.57
2025-07-02,264.93,264.93,264.93,264.93
2025-07-15,-478.15,0.00,-478.15,0.00
2025-07-18,-1152.06,-1152.06,-1152.06,-1152.06
2025-07-29,2746.25,0.00,-244.86,0.00
2025-07-30,-2730.02,-2730.02,-2730.02,-2730.02
2025-07-31,-929.19,-929.19,-929.19,-929.19
2025-08-05,1198.88,0.00,1198.88,0.00
2025-08-06,701.94,701.94,701.94,701.94
2025-08-07,564.00,564.00,564.00,564.00
2025-08-12,-719.57,-719.57,-719.57,-719.57
2025-09-03,1443.23,0.00,1443.23,0.00
2025-09-05,310.61,310.61,310.61,310.61
2025-09-17,-748.58,0.00,-748.58,0.00
2025-09-19,-1684.36,-1684.36,-1684.36,-1684.36
2025-09-30,184.38,184.38,184.38,184.38
2025-10-01,-1313.24,-1313.24,-1313.24,-1313.24
2025-10-03,304.85,-1807.10,-1807.10,-1807.10
2025-10-17,1681.65,3168.26,1681.65,3168.26
2025-10-30,-3052.36,-1497.26,-3052.36,-1497.26
2025-10-31,1670.00,1670.00,1670.00,1670.00
2025-11-04,-1071.92,0.00,-1071.92,0.00
2025-11-07,-4297.09,-2456.26,-4297.09,-2456.26
2025-11-12,608.90,-1086.65,608.90,-1086.65
2025-11-14,-956.38,0.00,-956.38,0.00
2025-11-19,-1081.00,-1081.00,-1081.00,-1081.00
2025-11-28,-1065.64,-1065.64,0.00,0.00
2025-12-04,-2140.04,-2140.04,-2140.04,-2140.04
2025-12-09,-1804.71,-782.72,-782.72,-782.72
2026-01-01,-1151.92,0.00,-1151.92,0.00
2026-01-07,-2229.94,0.00,-2229.94,0.00
2026-01-09,753.01,0.00,753.01,0.00
2026-01-12,1001.89,0.00,0.00,0.00
2026-01-19,-556.19,264.79,-556.19,264.79
2026-01-20,-2470.62,-2470.62,0.00,0.00
2026-01-21,819.40,-2399.36,819.40,-2399.36
2026-01-23,2706.41,2706.41,2706.41,2706.41
2026-01-27,3704.45,3704.45,3704.45,3704.45
2026-01-28,-562.80,1634.81,-562.80,1634.81
2026-01-29,-1397.67,0.00,0.00,0.00
2026-01-30,-3698.83,-2046.81,-3190.36,-2046.81
2026-02-02,-1440.73,-2038.63,-1440.73,-2038.63
2026-02-03,945.39,1833.33,945.39,1833.33
2026-02-04,1334.16,1334.16,1334.16,1334.16
2026-02-05,-1737.64,0.00,-1737.64,0.00
2026-02-11,1016.91,0.00,1016.91,0.00
2026-02-12,-976.62,-976.62,-976.62,-976.62
2026-02-13,-3597.21,-2112.52,-3597.21,-2112.52
2026-02-24,562.84,0.00,562.84,0.00
2026-03-04,382.99,-780.80,382.99,-780.80
2026-03-09,-3027.22,0.00,-3027.22,0.00
2026-03-10,231.67,0.00,231.67,0.00
2026-03-12,-544.79,-3007.93,-544.79,-3007.93
