variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,vol_spike,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
spike_2x_rsi,INDUSINDBK,2025-05-12,SHORT,2025-05-12T11:30:00,801.35,815.00,780.88,183,3.06,21.28,2025-05-12T12:25:00,794.95,TIME_STOP,1171.20,952.11
spike_2x_rsi,INDUSINDBK,2025-05-14,LONG,2025-05-14T12:05:00,784.40,780.50,789.75,382,2.39,3.18,2025-05-14T12:20:00,780.50,STOP,-1489.80,-1938.14
spike_2x_rsi,INDUSINDBK,2025-05-22,LONG,2025-05-22T13:50:00,775.45,772.20,780.33,386,2.88,3.17,2025-05-22T14:15:00,772.20,STOP,-1254.50,-1702.54
spike_2x_rsi,INDUSINDBK,2025-06-23,LONG,2025-06-23T12:10:00,838.95,833.55,847.05,357,2.64,6.09,2025-06-23T13:05:00,840.05,TIME_STOP,392.70,-56.85
spike_2x_rsi,INDUSINDBK,2025-06-27,LONG,2025-06-27T11:50:00,864.30,851.20,883.32,190,4.04,15.33,2025-06-27T12:45:00,859.00,TIME_STOP,-1007.00,-1252.57
spike_2x_rsi,INDUSINDBK,2025-07-18,LONG,2025-07-18T11:40:00,873.55,871.50,876.50,343,2.65,3.55,2025-07-18T12:05:00,871.50,STOP,-703.15,-1152.06
spike_2x_rsi,INDUSINDBK,2025-07-29,LONG,2025-07-29T13:45:00,805.20,799.05,813.80,372,2.89,2.62,2025-07-29T14:40:00,805.75,TIME_STOP,204.60,-244.86
spike_2x_rsi,INDUSINDBK,2025-08-06,SHORT,2025-08-06T11:05:00,800.30,802.35,797.22,374,3.04,4.23,2025-08-06T11:05:00,797.22,TARGET,1150.05,701.94
spike_2x_rsi,INDUSINDBK,2025-10-17,LONG,2025-10-17T11:15:00,751.80,745.75,760.87,399,2.26,7.95,2025-10-17T11:45:00,760.87,TARGET,3620.92,3168.26
spike_2x_rsi,INDUSINDBK,2025-11-12,LONG,2025-11-12T12:10:00,855.35,854.00,858.38,350,2.67,2.46,2025-11-12T12:25:00,858.38,TARGET,1058.75,608.90
spike_2x_rsi,INDUSINDBK,2025-11-14,SHORT,2025-11-14T11:45:00,859.50,860.95,857.32,349,2.69,2.16,2025-11-14T11:50:00,860.95,STOP,-506.05,-956.38
spike_2x_rsi,INDUSINDBK,2025-12-04,LONG,2025-12-04T11:05:00,871.70,863.65,882.90,310,3.73,4.95,2025-12-04T12:00:00,866.10,TIME_STOP,-1736.00,-2140.04
spike_2x_rsi,INDUSINDBK,2026-01-21,LONG,2026-01-21T12:10:00,902.70,900.15,906.53,332,3.10,2.20,2026-01-21T12:30:00,906.53,TARGET,1269.90,819.40
spike_2x_rsi,INDUSINDBK,2026-02-12,LONG,2026-02-12T11:45:00,935.45,930.35,944.47,320,2.91,5.71,2026-02-12T12:40:00,933.80,TIME_STOP,-528.00,-976.62
