config,score,N,buffer,gate,donchian,cagr,net20,maxdd,sharpe,sortino,calmar,net_calmar,fills,donch_exits,gate_derisk,avg_turn,cost_pct
mom30_N10_buf18_g0_d30,mom30,10,18,0,30,24.2,20.5,-35.0,1.2,1.47,0.69,0.59,149,486,0,0.21,175.4
mom30_N10_buf18_g100_d0,mom30,10,18,100,0,26.3,22.0,-28.6,1.4,1.52,0.92,0.77,110,0,23,0.187,139.1
mom30_N10_buf18_g100_d15,mom30,10,18,100,15,23.6,20.4,-17.0,1.54,1.56,1.39,1.2,111,558,23,0.322,182.0
mom30_N10_buf18_g100_d20,mom30,10,18,100,20,25.1,21.8,-19.1,1.51,1.53,1.32,1.14,111,438,23,0.279,178.8
mom30_N10_buf18_g100_d30,mom30,10,18,100,30,25.3,21.6,-22.8,1.48,1.52,1.11,0.95,111,287,23,0.236,164.8
mom30_N10_buf18_g200_d0,mom30,10,18,200,0,26.5,22.0,-39.4,1.32,1.49,0.67,0.56,120,0,18,0.174,129.6
mom30_N10_buf18_g200_d15,mom30,10,18,200,15,24.0,20.3,-28.9,1.47,1.57,0.83,0.7,121,649,18,0.324,186.6
mom30_N10_buf18_g200_d20,mom30,10,18,200,20,25.3,21.5,-26.6,1.43,1.54,0.95,0.81,120,501,18,0.279,178.8
mom30_N10_buf18_g200_d30,mom30,10,18,200,30,25.2,21.2,-32.6,1.38,1.51,0.77,0.65,120,338,18,0.234,160.5
mom30_N10_buf22_g0_d0,mom30,10,22,0,0,25.4,21.9,-44.6,1.07,1.33,0.57,0.49,149,0,0,0.113,112.6
mom30_N10_buf22_g0_d15,mom30,10,22,0,15,25.9,22.1,-29.7,1.41,1.7,0.87,0.74,149,855,0,0.303,254.3
mom30_N10_buf22_g0_d20,mom30,10,22,0,20,25.4,21.7,-32.9,1.31,1.59,0.77,0.66,149,701,0,0.259,211.4
mom30_N10_buf22_g0_d30,mom30,10,22,0,30,24.5,20.6,-34.3,1.2,1.49,0.71,0.6,149,495,0,0.201,174.3
mom30_N10_buf22_g100_d0,mom30,10,22,100,0,25.4,21.2,-28.8,1.36,1.46,0.88,0.73,110,0,23,0.179,120.2
mom30_N10_buf22_g100_d15,mom30,10,22,100,15,23.7,20.5,-16.8,1.55,1.57,1.42,1.22,111,560,23,0.318,183.4
mom30_N10_buf22_g100_d20,mom30,10,22,100,20,24.8,21.5,-19.1,1.51,1.53,1.3,1.13,111,443,23,0.276,174.4
mom30_N10_buf22_g100_d30,mom30,10,22,100,30,25.0,21.3,-23.8,1.47,1.51,1.05,0.89,111,290,23,0.231,158.1
mom30_N10_buf22_g200_d0,mom30,10,22,200,0,26.2,21.9,-38.6,1.29,1.48,0.68,0.57,120,0,18,0.158,103.6
mom30_N10_buf22_g200_d15,mom30,10,22,200,15,24.4,20.6,-28.9,1.49,1.6,0.84,0.71,121,651,18,0.32,188.7
mom30_N10_buf22_g200_d20,mom30,10,22,200,20,25.0,21.2,-25.4,1.43,1.53,0.98,0.83,120,509,18,0.275,168.5
mom30_N10_buf22_g200_d30,mom30,10,22,200,30,25.0,21.0,-32.6,1.37,1.49,0.77,0.64,120,345,18,0.227,153.2
mom30_N10_buf26_g0_d0,mom30,10,26,0,0,24.2,20.8,-44.4,1.04,1.32,0.55,0.47,149,0,0,0.101,91.3
mom30_N10_buf26_g0_d15,mom30,10,26,0,15,26.6,22.7,-29.7,1.45,1.77,0.9,0.77,149,855,0,0.299,263.9
mom30_N10_buf26_g0_d20,mom30,10,26,0,20,25.4,21.7,-35.9,1.32,1.6,0.71,0.6,149,699,0,0.253,202.1
