cell,x_bars,depth_min,vol_K,saucer,exit,hard_stop,liq_cr,n_events,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,sharpe_med,trades,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,trades_per_yr,final_med
x0|d20|k0|s0|SMA15|h1|L2,0,20.0,0.0,0,SMA15,1,2.0,4055,10,5.42,4.98,6.75,-31.41,-39.55,0.171,0.46,2598,35.2,12.48,-6.03,0.472,19,119.8,3140510.0
x0|d20|k0|s1|ST_14_4|h0|L2,0,20.0,0.0,1,ST_14_4,0,2.0,123,10,5.9,5.9,5.9,-18.34,-18.34,0.322,1.055,121,40.5,28.95,-11.98,4.591,7,5.6,3466917.0
x0|d20|k0|s1|SMA15|h1|L2,0,20.0,0.0,1,SMA15,1,2.0,123,10,5.28,5.28,5.28,-3.18,-3.18,1.661,2.756,123,38.2,9.98,-6.06,0.067,9,5.7,3055414.0
x0|d20|k2|s0|ST_14_4|h0|L2,0,20.0,2.0,0,ST_14_4,0,2.0,3104,10,18.8,18.45,19.64,-43.31,-45.29,0.435,1.055,691,45.0,41.54,-12.73,11.623,16,31.9,41946754.0
x0|d20|k2|s0|SMA15|h1|L2,0,20.0,2.0,0,SMA15,1,2.0,3104,10,4.94,4.49,5.47,-32.55,-39.27,0.145,0.448,2175,36.1,12.5,-6.47,0.378,18,100.3,2840624.0
x0|d20|k2|s1|ST_14_4|h0|L2,0,20.0,2.0,1,ST_14_4,0,2.0,98,10,6.17,6.17,6.17,-17.76,-17.76,0.347,1.166,97,44.3,30.25,-12.73,6.321,6,4.5,3662671.0
x0|d20|k2|s1|SMA15|h1|L2,0,20.0,2.0,1,SMA15,1,2.0,98,10,5.42,5.42,5.42,-2.98,-2.98,1.822,3.006,98,38.8,11.28,-6.27,0.54,9,4.5,3143642.0
x0|d20|k3|s0|ST_14_4|h0|L2,0,20.0,3.0,0,ST_14_4,0,2.0,2478,10,17.11,16.94,17.31,-42.22,-42.41,0.403,0.969,632,45.3,39.87,-13.0,11.01,17,29.1,30729848.0
x0|d20|k3|s0|SMA15|h1|L2,0,20.0,3.0,0,SMA15,1,2.0,2478,10,4.88,4.61,5.72,-33.15,-38.66,0.152,0.477,1848,36.6,12.65,-6.72,0.363,17,85.2,2814176.0
x0|d20|k3|s1|ST_14_4|h0|L2,0,20.0,3.0,1,ST_14_4,0,2.0,79,10,6.05,6.05,6.05,-15.86,-15.86,0.382,1.227,79,45.6,30.1,-13.51,6.367,5,3.6,3576845.0
x0|d20|k3|s1|SMA15|h1|L2,0,20.0,3.0,1,SMA15,1,2.0,79,10,5.43,5.43,5.43,-2.75,-2.75,1.974,3.323,79,41.8,10.39,-6.44,0.589,8,3.6,3145546.0
x0|d20|k5|s0|ST_14_4|h0|L2,0,20.0,5.0,0,ST_14_4,0,2.0,1728,10,16.79,16.59,17.54,-34.97,-34.97,0.48,1.038,554,45.8,40.71,-13.01,11.707,14,25.6,28967769.0
x0|d20|k5|s0|SMA15|h1|L2,0,20.0,5.0,0,SMA15,1,2.0,1728,10,6.63,6.47,6.82,-22.41,-23.63,0.296,0.683,1401,36.8,14.15,-6.87,0.842,16,64.6,4027054.0
x0|d20|k5|s1|ST_14_4|h0|L2,0,20.0,5.0,1,ST_14_4,0,2.0,50,10,6.28,6.28,6.28,-12.52,-12.52,0.501,1.43,50,46.0,40.08,-14.45,10.63,6,2.3,3747267.0
x0|d20|k5|s1|SMA15|h1|L2,0,20.0,5.0,1,SMA15,1,2.0,50,10,5.48,5.48,5.48,-2.61,-2.61,2.097,4.252,50,44.0,11.14,-6.75,1.119,7,2.3,3183406.0
x20|d0|k0|s0|ST_14_4|h0|L2,20,0.0,0.0,0,ST_14_4,0,2.0,7359,10,18.07,16.65,18.93,-35.09,-36.59,0.508,1.041,809,45.5,33.76,-10.42,9.623,22,37.3,36705398.0
x20|d0|k0|s0|SMA15|h1|L2,20,0.0,0.0,0,SMA15,1,2.0,7359,10,8.98,8.31,9.82,-34.76,-38.06,0.254,0.56,3543,37.8,11.31,-5.35,0.929,18,163.4,6466470.0
x20|d0|k0|s1|ST_14_4|h0|L2,20,0.0,0.0,1,ST_14_4,0,2.0,123,10,5.9,5.9,5.9,-18.34,-18.34,0.322,1.055,121,40.5,28.95,-11.98,4.591,7,5.6,3466917.0
x20|d0|k0|s1|SMA15|h1|L2,20,0.0,0.0,1,SMA15,1,2.0,123,10,5.28,5.28,5.28,-3.18,-3.18,1.661,2.756,123,38.2,9.98,-6.06,0.067,9,5.7,3055414.0
x20|d0|k2|s0|ST_14_4|h0|L2,20,0.0,2.0,0,ST_14_4,0,2.0,5618,10,19.71,19.1,20.81,-37.85,-37.85,0.52,1.078,759,47.7,36.9,-10.94,11.677,18,35.0,49513446.0
x20|d0|k2|s0|SMA15|h1|L2,20,0.0,2.0,0,SMA15,1,2.0,5618,10,8.23,7.56,8.7,-26.77,-31.5,0.299,0.516,3045,38.6,11.55,-5.78,0.887,19,140.4,5555585.0
x20|d0|k2|s1|ST_14_4|h0|L2,20,0.0,2.0,1,ST_14_4,0,2.0,98,10,6.17,6.17,6.17,-17.76,-17.76,0.347,1.166,97,44.3,30.25,-12.73,6.321,6,4.5,3662671.0
x20|d0|k2|s1|SMA15|h1|L2,20,0.0,2.0,1,SMA15,1,2.0,98,10,5.42,5.42,5.42,-2.98,-2.98,1.822,3.006,98,38.8,11.28,-6.27,0.54,9,4.5,3143642.0
x20|d0|k3|s0|ST_14_4|h0|L2,20,0.0,3.0,0,ST_14_4,0,2.0,4482,10,18.04,17.51,18.45,-36.01,-36.01,0.501,1.014,724,47.3,35.86,-11.36,10.946,20,33.4,36485968.0
x20|d0|k3|s0|SMA15|h1|L2,20,0.0,3.0,0,SMA15,1,2.0,4482,10,10.15,9.44,10.52,-27.98,-31.39,0.357,0.619,2656,38.8,12.68,-5.99,1.241,22,122.5,8136128.0
x20|d0|k3|s1|ST_14_4|h0|L2,20,0.0,3.0,1,ST_14_4,0,2.0,79,10,6.05,6.05,6.05,-15.86,-15.86,0.382,1.227,79,45.6,30.1,-13.51,6.367,5,3.6,3576845.0
x20|d0|k3|s1|SMA15|h1|L2,20,0.0,3.0,1,SMA15,1,2.0,79,10,5.43,5.43,5.43,-2.75,-2.75,1.974,3.323,79,41.8,10.39,-6.44,0.589,8,3.6,3145546.0
x20|d0|k5|s0|ST_14_4|h0|L2,20,0.0,5.0,0,ST_14_4,0,2.0,3061,10,18.12,17.76,18.88,-37.03,-37.03,0.489,1.086,660,46.8,38.14,-11.98,11.389,13,30.4,37074248.0
x20|d0|k5|s0|SMA15|h1|L2,20,0.0,5.0,0,SMA15,1,2.0,3061,10,9.68,8.85,9.91,-26.29,-29.14,0.366,0.625,2041,37.7,14.23,-6.33,1.434,20,94.2,7416996.0
x20|d0|k5|s1|ST_14_4|h0|L2,20,0.0,5.0,1,ST_14_4,0,2.0,50,10,6.28,6.28,6.28,-12.52,-12.52,0.501,1.43,50,46.0,40.08,-14.45,10.63,6,2.3,3747267.0
x20|d0|k5|s1|SMA15|h1|L2,20,0.0,5.0,1,SMA15,1,2.0,50,10,5.48,5.48,5.48,-2.61,-2.61,2.097,4.252,50,44.0,11.14,-6.75,1.119,7,2.3,3183406.0
x20|d10|k0|s0|ST_14_4|h0|L2,20,10.0,0.0,0,ST_14_4,0,2.0,6587,10,17.81,17.28,18.73,-36.31,-36.95,0.489,1.017,788,46.3,33.43,-10.81,9.684,19,36.3,34988678.0
x20|d10|k0|s0|SMA15|h1|L2,20,10.0,0.0,0,SMA15,1,2.0,6587,10,8.68,7.82,9.52,-34.58,-35.87,0.247,0.653,3330,38.0,11.14,-5.5,0.84,21,153.6,6082240.0
x20|d10|k0|s1|ST_14_4|h0|L2,20,10.0,0.0,1,ST_14_4,0,2.0,123,10,5.9,5.9,5.9,-18.34,-18.34,0.322,1.055,121,40.5,28.95,-11.98,4.591,7,5.6,3466917.0
x20|d10|k0|s1|SMA15|h1|L2,20,10.0,0.0,1,SMA15,1,2.0,123,10,5.28,5.28,5.28,-3.18,-3.18,1.661,2.756,123,38.2,9.98,-6.06,0.067,9,5.7,3055414.0
x20|d10|k2|s0|ST_14_4|h0|L2,20,10.0,2.0,0,ST_14_4,0,2.0,5014,10,19.39,18.42,20.17,-38.79,-38.79,0.499,1.074,754,47.2,36.13,-11.27,11.088,24,34.8,46691154.0
x20|d10|k2|s0|SMA15|h1|L2,20,10.0,2.0,0,SMA15,1,2.0,5014,10,6.1,5.73,7.7,-26.03,-30.83,0.24,0.493,2852,38.2,11.17,-5.99,0.539,19,131.6,3610094.0
x20|d10|k2|s1|ST_14_4|h0|L2,20,10.0,2.0,1,ST_14_4,0,2.0,98,10,6.17,6.17,6.17,-17.76,-17.76,0.347,1.166,97,44.3,30.25,-12.73,6.321,6,4.5,3662671.0
x20|d10|k2|s1|SMA15|h1|L2,20,10.0,2.0,1,SMA15,1,2.0,98,10,5.42,5.42,5.42,-2.98,-2.98,1.822,3.006,98,38.8,11.28,-6.27,0.54,9,4.5,3143642.0
x20|d10|k3|s0|ST_14_4|h0|L2,20,10.0,3.0,0,ST_14_4,0,2.0,3991,10,16.5,15.85,17.06,-36.51,-36.51,0.452,0.966,717,48.1,32.65,-11.85,9.576,15,33.1,27428173.0
x20|d10|k3|s0|SMA15|h1|L2,20,10.0,3.0,0,SMA15,1,2.0,3991,10,8.09,7.51,8.44,-27.12,-30.04,0.296,0.657,2466,38.5,12.16,-6.19,0.893,21,113.7,5396556.0
x20|d10|k3|s1|ST_14_4|h0|L2,20,10.0,3.0,1,ST_14_4,0,2.0,79,10,6.05,6.05,6.05,-15.86,-15.86,0.382,1.227,79,45.6,30.1,-13.51,6.367,5,3.6,3576845.0
x20|d10|k3|s1|SMA15|h1|L2,20,10.0,3.0,1,SMA15,1,2.0,79,10,5.43,5.43,5.43,-2.75,-2.75,1.974,3.323,79,41.8,10.39,-6.44,0.589,8,3.6,3145546.0
x20|d10|k5|s0|ST_14_4|h0|L2,20,10.0,5.0,0,ST_14_4,0,2.0,2740,10,18.52,18.26,18.95,-36.67,-36.67,0.506,1.094,638,48.0,38.36,-12.58,11.767,12,29.4,39880932.0
x20|d10|k5|s0|SMA15|h1|L2,20,10.0,5.0,0,SMA15,1,2.0,2740,10,7.36,7.09,7.99,-28.33,-33.75,0.259,0.67,1901,37.5,13.18,-6.49,0.895,19,87.7,4665169.0
x20|d10|k5|s1|ST_14_4|h0|L2,20,10.0,5.0,1,ST_14_4,0,2.0,50,10,6.28,6.28,6.28,-12.52,-12.52,0.501,1.43,50,46.0,40.08,-14.45,10.63,6,2.3,3747267.0
x20|d10|k5|s1|SMA15|h1|L2,20,10.0,5.0,1,SMA15,1,2.0,50,10,5.48,5.48,5.48,-2.61,-2.61,2.097,4.252,50,44.0,11.14,-6.75,1.119,7,2.3,3183406.0
x20|d20|k0|s0|ST_14_4|h0|L2,20,20.0,0.0,0,ST_14_4,0,2.0,4017,10,20.84,20.25,21.51,-33.46,-37.48,0.623,1.155,727,47.0,39.03,-12.05,12.076,14,33.5,60686774.0
x20|d20|k0|s0|SMA15|h1|L2,20,20.0,0.0,0,SMA15,1,2.0,4017,10,5.56,4.83,6.21,-31.69,-35.3,0.177,0.472,2585,35.2,12.44,-6.03,0.493,19,119.2,3234784.0
x20|d20|k0|s1|ST_14_4|h0|L2,20,20.0,0.0,1,ST_14_4,0,2.0,123,10,5.9,5.9,5.9,-18.34,-18.34,0.322,1.055,121,40.5,28.95,-11.98,4.591,7,5.6,3466917.0
x20|d20|k0|s1|SMA15|h1|L2,20,20.0,0.0,1,SMA15,1,2.0,123,10,5.28,5.28,5.28,-3.18,-3.18,1.661,2.756,123,38.2,9.98,-6.06,0.067,9,5.7,3055414.0
x20|d20|k2|s0|ST_14_4|h0|L2,20,20.0,2.0,0,ST_14_4,0,2.0,3084,10,19.41,19.17,20.37,-42.46,-42.46,0.458,1.069,687,45.7,41.5,-12.69,11.951,17,31.7,46932910.0
x20|d20|k2|s0|SMA15|h1|L2,20,20.0,2.0,0,SMA15,1,2.0,3084,10,4.98,4.12,5.68,-33.66,-36.63,0.15,0.455,2160,36.1,12.52,-6.47,0.396,19,99.6,2871844.0
x20|d20|k2|s1|ST_14_4|h0|L2,20,20.0,2.0,1,ST_14_4,0,2.0,98,10,6.17,6.17,6.17,-17.76,-17.76,0.347,1.166,97,44.3,30.25,-12.73,6.321,6,4.5,3662671.0
x20|d20|k2|s1|SMA15|h1|L2,20,20.0,2.0,1,SMA15,1,2.0,98,10,5.42,5.42,5.42,-2.98,-2.98,1.822,3.006,98,38.8,11.28,-6.27,0.54,9,4.5,3143642.0
x20|d20|k3|s0|ST_14_4|h0|L2,20,20.0,3.0,0,ST_14_4,0,2.0,2463,10,18.48,17.99,18.79,-42.01,-42.2,0.438,1.014,629,46.0,41.13,-12.8,11.968,16,29.1,39575928.0
x20|d20|k3|s0|SMA15|h1|L2,20,20.0,3.0,0,SMA15,1,2.0,2463,10,5.26,4.89,6.02,-30.97,-34.27,0.165,0.509,1839,36.8,12.68,-6.69,0.439,17,84.8,3035864.0
x20|d20|k3|s1|ST_14_4|h0|L2,20,20.0,3.0,1,ST_14_4,0,2.0,79,10,6.05,6.05,6.05,-15.86,-15.86,0.382,1.227,79,45.6,30.1,-13.51,6.367,5,3.6,3576845.0
x20|d20|k3|s1|SMA15|h1|L2,20,20.0,3.0,1,SMA15,1,2.0,79,10,5.43,5.43,5.43,-2.75,-2.75,1.974,3.323,79,41.8,10.39,-6.44,0.589,8,3.6,3145546.0
x20|d20|k5|s0|ST_14_4|h0|L2,20,20.0,5.0,0,ST_14_4,0,2.0,1723,10,17.52,17.45,17.65,-34.97,-34.97,0.501,1.072,550,46.2,41.86,-13.15,12.253,14,25.4,33162366.0
x20|d20|k5|s0|SMA15|h1|L2,20,20.0,5.0,0,SMA15,1,2.0,1723,10,6.5,6.23,6.66,-22.5,-24.21,0.287,0.673,1397,36.5,14.16,-6.86,0.811,16,64.5,3914906.0
x20|d20|k5|s1|ST_14_4|h0|L2,20,20.0,5.0,1,ST_14_4,0,2.0,50,10,6.28,6.28,6.28,-12.52,-12.52,0.501,1.43,50,46.0,40.08,-14.45,10.63,6,2.3,3747267.0
x20|d20|k5|s1|SMA15|h1|L2,20,20.0,5.0,1,SMA15,1,2.0,50,10,5.48,5.48,5.48,-2.61,-2.61,2.097,4.252,50,44.0,11.14,-6.75,1.119,7,2.3,3183406.0
x40|d0|k0|s0|ST_14_4|h0|L2,40,0.0,0.0,0,ST_14_4,0,2.0,5776,10,20.68,19.81,21.6,-37.11,-37.13,0.558,1.167,760,47.8,35.9,-10.68,11.532,16,35.0,58924344.0
x40|d0|k0|s0|SMA15|h1|L2,40,0.0,0.0,0,SMA15,1,2.0,5776,10,7.04,6.91,7.65,-29.74,-30.8,0.24,0.573,3160,37.2,10.97,-5.47,0.641,19,145.8,4373196.0
x40|d0|k0|s1|ST_14_4|h0|L2,40,0.0,0.0,1,ST_14_4,0,2.0,123,10,5.9,5.9,5.9,-18.34,-18.34,0.322,1.055,121,40.5,28.95,-11.98,4.591,7,5.6,3466917.0
x40|d0|k0|s1|SMA15|h1|L2,40,0.0,0.0,1,SMA15,1,2.0,123,10,5.28,5.28,5.28,-3.18,-3.18,1.661,2.756,123,38.2,9.98,-6.06,0.067,9,5.7,3055414.0
x40|d0|k2|s0|ST_14_4|h0|L2,40,0.0,2.0,0,ST_14_4,0,2.0,4337,10,18.66,18.37,19.06,-37.43,-37.43,0.498,1.071,739,46.4,35.86,-11.27,10.674,15,34.1,40834174.0
x40|d0|k2|s0|SMA15|h1|L2,40,0.0,2.0,0,SMA15,1,2.0,4337,10,6.3,5.71,6.65,-25.76,-27.85,0.241,0.538,2652,37.8,11.3,-5.95,0.571,18,122.3,3759568.0
x40|d0|k2|s1|ST_14_4|h0|L2,40,0.0,2.0,1,ST_14_4,0,2.0,98,10,6.17,6.17,6.17,-17.76,-17.76,0.347,1.166,97,44.3,30.25,-12.73,6.321,6,4.5,3662671.0
x40|d0|k2|s1|SMA15|h1|L2,40,0.0,2.0,1,SMA15,1,2.0,98,10,5.42,5.42,5.42,-2.98,-2.98,1.822,3.006,98,38.8,11.28,-6.27,0.54,9,4.5,3143642.0
x40|d0|k3|s0|ST_14_4|h0|L2,40,0.0,3.0,0,ST_14_4,0,2.0,3428,10,18.84,18.61,19.11,-37.09,-37.39,0.508,1.078,698,47.7,36.33,-11.9,11.132,14,32.2,42276782.0
x40|d0|k3|s0|SMA15|h1|L2,40,0.0,3.0,0,SMA15,1,2.0,3428,10,5.99,5.36,6.65,-28.61,-34.53,0.211,0.54,2278,37.7,11.68,-6.2,0.547,18,105.0,3532441.0
x40|d0|k3|s1|ST_14_4|h0|L2,40,0.0,3.0,1,ST_14_4,0,2.0,79,10,6.05,6.05,6.05,-15.86,-15.86,0.382,1.227,79,45.6,30.1,-13.51,6.367,5,3.6,3576845.0
x40|d0|k3|s1|SMA15|h1|L2,40,0.0,3.0,1,SMA15,1,2.0,79,10,5.43,5.43,5.43,-2.75,-2.75,1.974,3.323,79,41.8,10.39,-6.44,0.589,8,3.6,3145546.0
x40|d0|k5|s0|ST_14_4|h0|L2,40,0.0,5.0,0,ST_14_4,0,2.0,2341,10,17.81,17.64,18.19,-34.95,-34.95,0.51,1.097,603,45.5,40.88,-12.17,11.873,12,27.9,34989848.0
x40|d0|k5|s0|SMA15|h1|L2,40,0.0,5.0,0,SMA15,1,2.0,2341,10,5.92,5.59,6.29,-23.96,-26.04,0.245,0.579,1732,36.8,12.85,-6.53,0.588,23,79.9,3489790.0
x40|d0|k5|s1|ST_14_4|h0|L2,40,0.0,5.0,1,ST_14_4,0,2.0,50,10,6.28,6.28,6.28,-12.52,-12.52,0.501,1.43,50,46.0,40.08,-14.45,10.63,6,2.3,3747267.0
x40|d0|k5|s1|SMA15|h1|L2,40,0.0,5.0,1,SMA15,1,2.0,50,10,5.48,5.48,5.48,-2.61,-2.61,2.097,4.252,50,44.0,11.14,-6.75,1.119,7,2.3,3183406.0
x40|d10|k0|s0|ST_14_4|h0|L2,40,10.0,0.0,0,ST_14_4,0,2.0,5569,10,20.62,20.05,21.05,-37.05,-37.1,0.557,1.157,746,48.3,35.5,-10.86,11.573,16,34.4,58344690.0
x40|d10|k0|s0|SMA15|h1|L2,40,10.0,0.0,0,SMA15,1,2.0,5569,10,7.4,6.61,8.0,-29.36,-31.49,0.241,0.595,3094,37.2,11.25,-5.53,0.697,18,142.7,4709143.0
x40|d10|k0|s1|ST_14_4|h0|L2,40,10.0,0.0,1,ST_14_4,0,2.0,123,10,5.9,5.9,5.9,-18.34,-18.34,0.322,1.055,121,40.5,28.95,-11.98,4.591,7,5.6,3466917.0
x40|d10|k0|s1|SMA15|h1|L2,40,10.0,0.0,1,SMA15,1,2.0,123,10,5.28,5.28,5.28,-3.18,-3.18,1.661,2.756,123,38.2,9.98,-6.06,0.067,9,5.7,3055414.0
x40|d10|k2|s0|ST_14_4|h0|L2,40,10.0,2.0,0,ST_14_4,0,2.0,4195,10,18.75,18.53,19.46,-37.02,-37.02,0.508,1.062,732,47.1,35.96,-11.44,10.774,15,33.8,41579124.0
x40|d10|k2|s0|SMA15|h1|L2,40,10.0,2.0,0,SMA15,1,2.0,4195,10,5.96,5.07,6.35,-24.94,-27.56,0.236,0.519,2599,37.2,11.45,-5.99,0.512,18,119.8,3506476.0
x40|d10|k2|s1|ST_14_4|h0|L2,40,10.0,2.0,1,ST_14_4,0,2.0,98,10,6.17,6.17,6.17,-17.76,-17.76,0.347,1.166,97,44.3,30.25,-12.73,6.321,6,4.5,3662671.0
x40|d10|k2|s1|SMA15|h1|L2,40,10.0,2.0,1,SMA15,1,2.0,98,10,5.42,5.42,5.42,-2.98,-2.98,1.822,3.006,98,38.8,11.28,-6.27,0.54,9,4.5,3143642.0
