cell,n_years,level,athvar,age_m,window,signals_raw,signals,blackout_cost_pct,signals_yr,uniq_syms,oa_overlap_pct,oa_share_of_oa_pct
N5_close_incl_age0,5,close,incl,0,W1,9315,9216,1.06,1536.4,803,85.2,77.0
N5_close_incl_age6,5,close,incl,6,W2,861,849,1.39,50.9,509,71.7,3.7
N5_close_incl_age6,5,close,incl,6,W1,519,512,1.35,85.4,389,68.2,3.4
N5_close_incl_age12,5,close,incl,12,W2,599,590,1.5,35.4,413,65.9,2.4
N5_close_incl_age12,5,close,incl,12,W1,357,351,1.68,58.5,304,62.4,2.1
N5_close_excl_age0,5,close,excl,0,W2,2024,1993,1.53,119.6,320,0.0,0.0
N5_close_excl_age0,5,close,excl,0,W1,1376,1360,1.16,226.7,245,0.0,0.0
N5_close_excl_age6,5,close,excl,6,W2,244,240,1.64,14.4,183,0.0,0.0
N5_close_excl_age6,5,close,excl,6,W1,166,163,1.81,27.2,140,0.0,0.0
N5_close_excl_age12,5,close,excl,12,W2,205,201,1.95,12.1,164,0.0,0.0
N5_close_excl_age12,5,close,excl,12,W1,135,132,2.22,22.0,121,0.0,0.0
N5_close_athonly_age0,5,close,athonly,0,W2,12985,12846,1.07,770.8,791,100.0,78.0
N5_close_athonly_age0,5,close,athonly,0,W1,7879,7797,1.04,1299.8,691,100.0,76.4
N5_close_athonly_age6,5,close,athonly,6,W2,609,601,1.31,36.1,390,100.0,3.6
N5_close_athonly_age6,5,close,athonly,6,W1,348,344,1.15,57.3,271,100.0,3.4
N5_close_athonly_age12,5,close,athonly,12,W2,388,383,1.29,23.0,285,100.0,2.3
N5_close_athonly_age12,5,close,athonly,12,W1,218,215,1.38,35.8,188,100.0,2.1
N5_high_incl_age0,5,high,incl,0,W2,13482,13305,1.31,798.4,855,35.3,28.5
N5_high_incl_age0,5,high,incl,0,W1,8346,8249,1.16,1375.1,762,34.8,28.2
N5_high_incl_age6,5,high,incl,6,W2,417,410,1.68,24.6,318,52.4,1.3
N5_high_incl_age6,5,high,incl,6,W1,269,265,1.49,44.2,226,49.1,1.3
N5_high_incl_age12,5,high,incl,12,W2,291,286,1.72,17.2,248,46.2,0.8
N5_high_incl_age12,5,high,incl,12,W1,191,188,1.57,31.3,171,45.2,0.8
N5_high_excl_age0,5,high,excl,0,W2,1666,1627,2.34,97.6,285,0.0,0.0
N5_high_excl_age0,5,high,excl,0,W1,1159,1137,1.9,189.5,224,0.0,0.0
N5_high_excl_age6,5,high,excl,6,W2,126,125,0.79,7.5,107,0.0,0.0
N5_high_excl_age6,5,high,excl,6,W1,91,90,1.1,15.0,79,0.0,0.0
N5_high_excl_age12,5,high,excl,12,W2,105,104,0.95,6.2,93,0.0,0.0
N5_high_excl_age12,5,high,excl,12,W1,74,73,1.35,12.2,66,0.0,0.0
N5_high_athonly_age0,5,high,athonly,0,W2,11735,11598,1.17,695.9,766,39.8,28.0
N5_high_athonly_age0,5,high,athonly,0,W1,7134,7059,1.05,1176.8,660,39.9,27.7
N5_high_athonly_age6,5,high,athonly,6,W2,286,280,2.1,16.8,224,75.0,1.3
N5_high_athonly_age6,5,high,athonly,6,W1,176,173,1.7,28.8,151,74.0,1.3
N5_high_athonly_age12,5,high,athonly,12,W2,182,178,2.2,10.7,159,71.9,0.8
N5_high_athonly_age12,5,high,athonly,12,W1,115,113,1.74,18.8,105,73.5,0.8
N10_close_incl_age0,10,close,incl,0,W2,10054,9943,1.1,851.7,643,93.3,62.1
N10_close_incl_age0,10,close,incl,0,W1,6964,6913,0.73,1152.4,589,91.3,61.9
N10_close_incl_age6,10,close,incl,6,W2,634,626,1.26,53.6,413,86.4,3.6
N10_close_incl_age6,10,close,incl,6,W1,415,411,0.96,68.5,322,83.0,3.3
N10_close_incl_age12,10,close,incl,12,W2,456,450,1.32,38.5,338,84.4,2.5
N10_close_incl_age12,10,close,incl,12,W1,298,295,1.01,49.2,262,80.3,2.3
N10_close_excl_age0,10,close,excl,0,W2,673,671,0.3,57.5,108,0.0,0.0
N10_close_excl_age0,10,close,excl,0,W1,600,598,0.33,99.7,95,0.0,0.0
N10_close_excl_age6,10,close,excl,6,W2,85,85,0.0,7.3,74,0.0,0.0
N10_close_excl_age6,10,close,excl,6,W1,70,70,0.0,11.7,64,0.0,0.0
N10_close_excl_age12,10,close,excl,12,W2,70,70,0.0,6.0,63,0.0,0.0
N10_close_excl_age12,10,close,excl,12,W1,58,58,0.0,9.7,54,0.0,0.0
N10_close_athonly_age0,10,close,athonly,0,W2,9351,9242,1.17,791.7,601,100.0,61.9
N10_close_athonly_age0,10,close,athonly,0,W1,6342,6293,0.77,1049.1,548,100.0,61.7
N10_close_athonly_age6,10,close,athonly,6,W2,542,534,1.48,45.7,355,100.0,3.6
N10_close_athonly_age6,10,close,athonly,6,W1,341,337,1.17,56.2,265,100.0,3.3
N10_close_athonly_age12,10,close,athonly,12,W2,381,375,1.57,32.1,283,100.0,2.5
N10_close_athonly_age12,10,close,athonly,12,W1,237,234,1.27,39.0,209,100.0,2.3
N10_high_incl_age0,10,high,incl,0,W2,8821,8725,1.09,747.4,615,38.5,22.5
N10_high_incl_age0,10,high,incl,0,W1,6101,6059,0.69,1010.1,552,37.7,22.4
N10_high_incl_age6,10,high,incl,6,W2,289,284,1.73,24.3,231,63.4,1.2
N10_high_incl_age6,10,high,incl,6,W1,196,193,1.53,32.2,170,61.7,1.2
N10_high_incl_age12,10,high,incl,12,W2,209,205,1.91,17.6,178,58.0,0.8
N10_high_incl_age12,10,high,incl,12,W1,144,142,1.39,23.7,130,57.7,0.8
N10_high_excl_age0,10,high,excl,0,W2,539,533,1.11,45.7,98,0.0,0.0
N10_high_excl_age0,10,high,excl,0,W1,485,479,1.24,79.9,89,0.0,0.0
N10_high_excl_age6,10,high,excl,6,W2,47,47,0.0,4.0,43,0.0,0.0
N10_high_excl_age6,10,high,excl,6,W1,41,41,0.0,6.8,37,0.0,0.0
N10_high_excl_age12,10,high,excl,12,W2,43,43,0.0,3.7,39,0.0,0.0
N10_high_excl_age12,10,high,excl,12,W1,37,37,0.0,6.2,33,0.0,0.0
N10_high_athonly_age0,10,high,athonly,0,W2,8256,8166,1.09,699.5,574,40.8,22.3
N10_high_athonly_age0,10,high,athonly,0,W1,5598,5562,0.64,927.2,512,40.7,22.2
N10_high_athonly_age6,10,high,athonly,6,W2,239,234,2.09,20.0,192,75.6,1.2
N10_high_athonly_age6,10,high,athonly,6,W1,154,151,1.95,25.2,134,78.1,1.2
N10_high_athonly_age12,10,high,athonly,12,W2,164,160,2.44,13.7,141,73.1,0.8
N10_high_athonly_age12,10,high,athonly,12,W1,106,104,1.89,17.3,97,77.9,0.8
