cell,n_years,level,athvar,age_m,window,start,end,signals,seeds,cagr_med,cagr_min,cagr_max,dd_med,dd_worst,calmar_med,x_med,trades_med,trades_yr,win_med,mean_tr,avg_win,avg_loss,streak,avg_hold,bench_cagr,elapsed_s
N3_close_excl_age0,3,close,excl,0,W1,2020-01-01,2025-12-31,2425,10,31.64,28.14,35.32,-32.23,-33.29,1.01,5.21,487,81.2,41.2,8.041,29.9,-7.5,19,48.9,14.74,1.9
N3_close_excl_age6,3,close,excl,6,W2,2010-01-01,2026-09-04,368,10,17.2,17.07,17.41,-27.19,-27.19,0.63,14.09,309,18.5,47.7,15.093,40.37,-7.93,11,67.5,10.42,1.3
N3_close_excl_age6,3,close,excl,6,W1,2020-01-01,2025-12-31,253,10,25.12,24.66,25.6,-22.48,-22.97,1.12,3.84,194,32.3,51.5,13.976,34.59,-7.95,9,61.6,14.74,0.7
N3_close_excl_age12,3,close,excl,12,W2,2010-01-01,2026-09-04,296,10,14.52,14.48,14.71,-28.81,-28.81,0.5,9.58,267,16.0,48.1,13.61,37.07,-8.07,11,65.8,10.42,1.2
N3_close_excl_age12,3,close,excl,12,W1,2020-01-01,2025-12-31,197,10,22.1,21.86,22.53,-22.03,-22.06,1.0,3.31,168,28.0,53.0,13.44,32.72,-8.25,9,61.0,14.74,0.7
N3_close_athonly_age0,3,close,athonly,0,W2,2010-01-01,2026-09-04,14060,10,23.66,21.06,24.75,-31.37,-33.64,0.75,34.45,1227,73.6,44.5,6.71,23.24,-6.52,26,62.5,10.42,4.7
N3_close_athonly_age0,3,close,athonly,0,W1,2020-01-01,2025-12-31,8548,10,34.02,27.31,39.42,-27.83,-30.8,1.24,5.79,541,90.2,45.9,7.569,24.76,-6.83,22,54.4,14.74,2.0
N3_close_athonly_age6,3,close,athonly,6,W2,2010-01-01,2026-09-04,544,10,14.79,14.48,15.01,-22.03,-22.07,0.67,9.97,412,24.7,50.6,9.055,24.51,-6.81,10,66.1,10.42,1.6
N3_close_athonly_age6,3,close,athonly,6,W1,2020-01-01,2025-12-31,284,10,27.97,26.75,28.47,-22.21,-22.28,1.26,4.39,218,36.3,56.2,12.555,27.78,-6.96,4,66.2,14.74,0.8
N3_close_athonly_age12,3,close,athonly,12,W2,2010-01-01,2026-09-04,306,10,11.53,11.38,11.68,-18.96,-18.96,0.61,6.16,276,16.6,52.2,9.01,23.84,-7.22,17,64.1,10.42,1.2
N3_close_athonly_age12,3,close,athonly,12,W1,2020-01-01,2025-12-31,142,10,23.14,23.14,23.14,-18.93,-18.93,1.22,3.49,141,23.5,58.2,15.168,31.17,-7.07,10,67.4,14.74,0.6
N3_high_incl_age0,3,high,incl,0,W2,2010-01-01,2026-09-04,15749,10,23.12,21.16,26.6,-37.05,-43.34,0.65,32.07,1224,73.5,43.0,6.635,24.84,-7.09,35,61.3,10.42,4.8
N3_high_incl_age0,3,high,incl,0,W1,2020-01-01,2025-12-31,9903,10,43.1,33.97,47.14,-31.69,-34.19,1.38,8.58,517,86.2,45.3,9.454,29.72,-7.57,37,55.1,14.74,2.1
N3_high_incl_age6,3,high,incl,6,W2,2010-01-01,2026-09-04,445,10,12.82,12.3,13.06,-18.43,-18.43,0.7,7.47,391,23.5,45.0,7.971,26.95,-7.57,10,60.8,10.42,1.4
N3_high_incl_age6,3,high,incl,6,W1,2020-01-01,2025-12-31,275,10,20.93,20.93,21.07,-18.2,-18.2,1.15,3.13,246,41.0,46.7,8.594,27.52,-8.02,7,55.7,14.74,0.8
N3_high_incl_age12,3,high,incl,12,W2,2010-01-01,2026-09-04,301,10,10.18,10.06,10.58,-17.63,-17.63,0.58,5.03,285,17.1,46.0,7.438,25.44,-7.93,11,59.3,10.42,1.2
N3_high_incl_age12,3,high,incl,12,W1,2020-01-01,2025-12-31,187,10,19.64,19.64,19.64,-17.63,-17.63,1.11,2.93,180,30.0,50.6,10.284,28.66,-8.51,5,58.5,14.74,0.6
N3_high_excl_age0,3,high,excl,0,W2,2010-01-01,2026-09-04,2807,10,21.85,21.21,22.3,-42.85,-43.03,0.51,26.92,817,49.1,44.2,8.894,30.36,-8.03,23,58.8,10.42,2.7
N3_high_excl_age0,3,high,excl,0,W1,2020-01-01,2025-12-31,1982,10,36.17,33.7,38.36,-29.1,-31.38,1.27,6.37,422,70.4,44.9,10.279,33.23,-8.32,23,53.5,14.74,1.3
N3_high_excl_age6,3,high,excl,6,W2,2010-01-01,2026-09-04,184,10,7.34,7.32,7.37,-13.72,-13.72,0.53,3.26,181,10.9,41.7,5.997,26.31,-8.53,12,56.6,10.42,0.8
N3_high_excl_age6,3,high,excl,6,W1,2020-01-01,2025-12-31,131,10,8.42,8.36,8.5,-13.72,-13.72,0.61,1.62,128,21.3,44.1,4.725,21.46,-8.48,8,52.5,14.74,0.4
N3_high_excl_age12,3,high,excl,12,W2,2010-01-01,2026-09-04,150,10,6.31,6.31,6.31,-12.38,-12.38,0.51,2.77,150,9.0,42.0,4.642,22.94,-8.61,12,54.2,10.42,0.7
N3_high_excl_age12,3,high,excl,12,W1,2020-01-01,2025-12-31,106,10,7.84,7.84,7.84,-12.38,-12.38,0.63,1.57,106,17.7,45.3,4.726,21.14,-8.86,8,52.2,14.74,0.4
N3_high_athonly_age0,3,high,athonly,0,W2,2010-01-01,2026-09-04,12806,10,22.67,20.7,25.83,-34.79,-36.81,0.67,30.17,1177,70.7,43.4,6.702,24.64,-6.95,27,62.9,10.42,4.1
N3_high_athonly_age0,3,high,athonly,0,W1,2020-01-01,2025-12-31,7823,10,39.52,35.49,43.6,-32.23,-34.81,1.19,7.37,502,83.7,47.1,9.152,28.03,-7.39,35,56.9,14.74,1.9
N3_high_athonly_age6,3,high,athonly,6,W2,2010-01-01,2026-09-04,258,10,10.67,10.67,10.67,-9.96,-9.96,1.07,5.42,247,14.8,45.7,8.855,27.23,-6.64,8,61.3,10.42,1.1
N3_high_athonly_age6,3,high,athonly,6,W1,2020-01-01,2025-12-31,143,10,17.94,17.94,17.94,-9.59,-9.59,1.87,2.69,140,23.3,48.6,11.667,31.57,-7.13,6,58.7,14.74,0.6
N3_high_athonly_age12,3,high,athonly,12,W2,2010-01-01,2026-09-04,149,10,9.02,9.02,9.02,-8.86,-8.86,1.02,4.22,149,8.9,49.0,10.132,28.1,-7.13,6,61.2,10.42,0.8
N3_high_athonly_age12,3,high,athonly,12,W1,2020-01-01,2025-12-31,80,10,15.88,15.88,15.88,-8.86,-8.86,1.79,2.42,80,13.3,55.0,16.37,36.31,-7.99,5,63.4,14.74,0.3
N5_close_incl_age0,5,close,incl,0,W2,2010-01-01,2026-09-04,14929,10,23.64,23.24,28.57,-32.22,-36.85,0.74,34.35,1238,74.3,44.4,6.696,23.38,-6.54,22,62.0,10.42,4.4
N5_close_incl_age0,5,close,incl,0,W1,2020-01-01,2025-12-31,9216,10,37.92,34.57,41.72,-26.46,-30.3,1.39,6.88,528,88.0,46.2,8.388,26.22,-7.04,22,55.2,14.74,2.1
N5_close_incl_age6,5,close,incl,6,W2,2010-01-01,2026-09-04,849,10,21.4,20.23,21.91,-30.32,-30.32,0.71,25.33,592,35.6,47.7,10.519,30.24,-7.44,12,65.6,10.42,2.1
N5_close_incl_age6,5,close,incl,6,W1,2020-01-01,2025-12-31,512,10,33.94,32.67,36.07,-21.28,-21.48,1.6,5.77,323,53.9,50.7,11.001,28.64,-7.48,9,60.3,14.74,1.1
N5_close_incl_age12,5,close,incl,12,W2,2010-01-01,2026-09-04,590,10,17.09,16.91,17.3,-28.38,-28.38,0.6,13.86,469,28.2,48.2,9.99,29.18,-7.8,9,64.6,10.42,1.6
N5_close_incl_age12,5,close,incl,12,W1,2020-01-01,2025-12-31,351,10,30.94,30.39,32.04,-22.49,-23.04,1.37,5.04,264,44.0,52.1,12.157,30.67,-7.9,9,61.6,14.74,0.9
N5_close_excl_age0,5,close,excl,0,W2,2010-01-01,2026-09-04,1993,10,22.79,21.94,23.22,-32.57,-34.93,0.7,30.65,667,40.1,43.2,11.52,36.52,-7.73,17,57.0,10.42,2.2
N5_close_excl_age0,5,close,excl,0,W1,2020-01-01,2025-12-31,1360,10,38.81,36.54,41.13,-31.48,-31.51,1.23,7.15,370,61.8,41.8,13.351,42.81,-7.84,17,52.3,14.74,1.0
N5_close_excl_age6,5,close,excl,6,W2,2010-01-01,2026-09-04,240,10,13.39,13.39,13.39,-24.76,-24.76,0.54,8.12,215,12.9,45.6,15.228,43.55,-8.5,7,67.2,10.42,0.9
N5_close_excl_age6,5,close,excl,6,W1,2020-01-01,2025-12-31,163,10,16.56,16.56,16.56,-22.58,-22.58,0.73,2.51,138,23.0,47.1,12.086,35.32,-8.6,5,58.3,14.74,0.5
N5_close_excl_age12,5,close,excl,12,W2,2010-01-01,2026-09-04,201,10,11.74,11.72,11.74,-26.34,-26.34,0.45,6.35,186,11.2,46.8,14.233,40.56,-8.9,7,67.9,10.42,0.9
N5_close_excl_age12,5,close,excl,12,W1,2020-01-01,2025-12-31,132,10,15.64,15.62,15.66,-21.01,-21.02,0.74,2.39,117,19.5,49.6,13.0,35.6,-9.22,5,61.1,14.74,0.4
N5_close_athonly_age0,5,close,athonly,0,W2,2010-01-01,2026-09-04,12846,10,23.75,21.89,26.28,-30.77,-36.74,0.75,34.89,1211,72.7,45.6,6.747,22.56,-6.34,28,63.2,10.42,4.8
N5_close_athonly_age0,5,close,athonly,0,W1,2020-01-01,2025-12-31,7797,10,34.43,30.09,38.07,-26.73,-29.47,1.29,5.9,521,86.9,48.0,7.833,24.21,-6.89,21,56.2,14.74,2.1
N5_close_athonly_age6,5,close,athonly,6,W2,2010-01-01,2026-09-04,601,10,15.31,14.89,15.76,-22.71,-22.71,0.67,10.74,471,28.3,49.3,8.467,24.32,-6.99,11,64.0,10.42,1.8
N5_close_athonly_age6,5,close,athonly,6,W1,2020-01-01,2025-12-31,344,10,30.52,27.36,30.72,-22.87,-22.87,1.33,4.94,263,43.8,54.8,11.69,27.13,-6.99,7,63.7,14.74,0.9
N5_close_athonly_age12,5,close,athonly,12,W2,2010-01-01,2026-09-04,383,10,12.43,12.34,12.68,-19.92,-19.93,0.62,7.05,352,21.1,49.6,8.292,24.25,-7.41,18,61.6,10.42,1.2
N5_close_athonly_age12,5,close,athonly,12,W1,2020-01-01,2025-12-31,215,10,27.12,27.03,27.67,-19.91,-19.91,1.36,4.22,199,33.2,55.3,13.227,29.98,-7.17,7,64.5,14.74,0.7
