w3,offset,seed,d_cagr,d_dd,d_calmar,d_calmar_vs_cash,d_cagr_vs_cash
0.25,8,s7,-0.18113035294278035,3.7388904195672765,0.5075871113462957,0.2594192103711983,4.870874793832524
0.25,8,s8,0.3588405455615664,3.7457892933518195,0.5275033911435703,0.28370800235189453,5.0730864667707145
0.25,8,s9,0.1908995666593185,3.6775811195160486,0.5254073261776944,0.2690021538409375,4.87566189847599
0.25,8,s10,-0.0657270053600918,4.089382642457418,0.4768934100411164,0.20412602198787222,4.754057298320927
0.33,0,s1,-0.5793406487390129,3.925826342684312,0.62598166734316,0.07169956175981307,6.4982200457601955
0.33,0,s2,-0.5154421817875843,4.876033906558662,0.7198179556215121,0.06793169592351633,6.520910102285839
0.33,0,s3,-0.6414488950073682,4.444470234015018,0.6379180437124519,0.020365206708420125,6.53344500091033
0.33,0,s4,-0.3949915097122947,3.409997429423708,0.36749430860395504,-0.16172150027941878,6.522752681028134
0.33,0,s5,-1.306758418256429,5.252277223984169,0.725467061763968,0.07192329462886793,6.249451286697138
0.33,0,s6,-0.9390215688111603,2.7143777787558054,0.34397380330535365,-0.14637205186109004,6.041126312521094
0.33,0,s7,-1.003124351863871,3.4996787306966635,0.5300465594192267,-0.12845633914045873,6.452093003031223
0.33,0,s8,-0.28218564803856694,3.0509218800527034,0.4825569157265779,-0.02696114814486661,6.717151349413065
0.33,0,s9,-0.5096067971118288,4.3621978406994,0.6260493508491938,-0.05708945567363077,6.457345448367846
0.33,0,s10,-0.851719458225972,1.9963281522427874,0.2662442057014536,-0.2065849005233491,6.289843532190886
0.33,4,s1,-0.6627369742781681,5.235298037115319,0.6161839869253753,0.1544586653155613,6.504025316851678
0.33,4,s2,-0.6071804182466778,5.463410029309392,0.5781413381641325,0.1477733152637557,6.5261394460570905
0.33,4,s3,-0.7265933857571127,5.754275177757453,0.594915939659137,0.18030398148607385,6.539467812946878
0.33,4,s4,-0.5030845003146638,6.084372689456686,0.6199906999324059,0.1914847660505541,6.524194531306772
0.33,4,s5,-1.405903085982029,6.056900866705927,0.6497594169516518,0.15594052489550236,6.255169786213212
0.33,4,s6,-1.020087453061791,5.304748059377275,0.5789655377162415,0.1389729555652106,6.045928154861404
0.33,4,s7,-1.0926354876809938,5.3249791866166625,0.6142937167308091,0.12316777138423829,6.451872208288755
0.33,4,s8,-0.3755297361202281,5.291060148238623,0.6426721455463906,0.16382204742994944,6.72502620507953
0.33,4,s9,-0.5993700009275571,5.523822914096275,0.6342964225547318,0.1536000022638937,6.459221365138834
0.33,4,s10,-0.9457007063263347,4.142683808735548,0.49160587266165745,-0.003880927553639779,6.297263131000943
0.33,8,s1,0.14875648469525515,4.378909842139434,0.5731632579499575,0.22025913495763305,6.438524705274396
0.33,8,s2,0.2139424444124387,4.981349431633575,0.7804978543360508,0.37601265545324924,6.4622612319145105
0.33,8,s3,0.08982286604881651,5.123591135679051,0.7357112832529507,0.37009785958594965,6.472771396525069
0.33,8,s4,0.3145687017582084,4.1140015926635645,0.5080811842689512,-0.05743012392086788,6.457718985747583
0.33,8,s5,-0.5794665851664789,4.52822337094887,0.5667577488842486,0.20676777527446588,6.1931139834387565
0.33,8,s6,-0.2154695512013305,3.528079792139149,0.38625569066682064,0.04469836858707299,5.986991473950454
0.33,8,s7,-0.2799926538277653,4.672234162906964,0.6844943348781172,0.2946141651928911,6.386440280156535
0.33,8,s8,0.42920214858439465,4.218990454324899,0.6214656963287224,0.23918490877286414,6.6541605680290346
0.33,8,s9,0.20887061884698,4.371805728982091,0.6633732610339609,0.26158944135371565,6.396084579699625
0.33,8,s10,-0.12787026668572565,4.244194068304974,0.4963266157908437,0.06386196298967195,6.235877755288374
