sym,entry,net_ret_pct,hold_days
BALMLAWRIE,2016-10-27,20.36,41
BALMLAWRIE,2017-11-08,-13.63,25
BALMLAWRIE,2024-05-08,-7.22,16
BALRAMCHIN,2014-05-22,5.1,36
BALRAMCHIN,2016-01-13,-14.64,20
BALRAMCHIN,2016-03-08,18.84,104
BALRAMCHIN,2017-01-06,8.14,41
BALRAMCHIN,2017-04-20,-2.68,27
BALRAMCHIN,2017-08-02,-4.0,37
BALRAMCHIN,2019-12-27,-4.39,20
BALRAMCHIN,2021-03-04,66.74,133
BALRAMCHIN,2021-10-04,-17.66,12
BALRAMCHIN,2022-01-04,-7.23,28
BALRAMCHIN,2022-03-11,-5.83,28
BALRAMCHIN,2024-08-16,14.23,58
BANARBEADS,2014-09-10,-20.71,23
BANARBEADS,2014-11-17,-13.9,17
BANARBEADS,2015-11-27,-33.54,32
BANKBEES,2014-05-09,9.44,42
BANKBEES,2014-09-02,-5.32,17
BANKBEES,2014-10-21,12.59,74
BANKBEES,2016-09-07,-6.15,15
BANKBEES,2020-01-02,-4.6,12
BANKBEES,2021-02-01,4.72,30
BANKBEES,2021-09-16,1.36,41
BANKBEES,2022-09-14,-9.01,10
BANKBEES,2022-11-07,1.78,32
BANKBEES,2023-05-15,-1.07,23
BANKBEES,2023-06-28,0.25,25
BANKBEES,2023-09-15,-5.16,11
BANKBEES,2023-12-04,-1.05,31
BANKBEES,2024-04-08,6.13,72
BANKBEES,2024-09-19,-5.76,38
BANKBEES,2025-04-21,1.66,69
BANKBEES,2025-10-16,2.2,49
BANKBEES,2026-01-02,-2.62,12
BANKBEES,2026-02-04,-2.76,19
BASF,2014-03-04,-0.72,34
BASF,2014-06-09,-4.9,24
BASF,2014-08-14,29.86,43
BASF,2014-12-04,-11.81,8
BASF,2015-01-19,-14.83,7
BASF,2017-06-12,5.7,31
BASF,2017-11-14,11.9,55
BASF,2021-05-07,38.76,86
BATAINDIA,2014-10-01,-12.36,7
BATAINDIA,2015-01-13,-4.99,18
BATAINDIA,2017-09-21,-0.44,36
BATAINDIA,2018-06-19,20.46,61
BATAINDIA,2021-10-07,-1.67,33
BAYERCROP,2014-06-06,-4.4,22
BAYERCROP,2014-07-25,22.5,40
BAYERCROP,2014-11-12,5.83,23
BAYERCROP,2014-12-30,6.99,44
BAYERCROP,2015-04-13,-10.63,26
BAYERCROP,2016-08-11,-4.81,11
BAYERCROP,2016-09-21,1.68,22
BAYERCROP,2017-04-25,-3.65,20
BAYERCROP,2017-06-02,-8.75,43
BAYERCROP,2020-05-26,11.52,35
BAYERCROP,2020-08-25,-9.27,10
BAYERCROP,2020-09-18,-10.62,15
BCG,2021-07-22,-20.63,21
BCG,2021-12-07,13.75,45
BDL,2020-07-06,-10.85,41
BDL,2022-01-20,-4.04,22
BDL,2022-03-15,33.61,72
BDL,2022-08-08,5.9,88
BDL,2023-04-12,7.79,60
BDL,2023-07-11,-9.87,20
BDL,2023-12-04,30.6,48
BDL,2024-04-23,52.24,60
BDL,2025-05-13,5.61,30
BEARDSELL,2015-12-01,35.65,49
BECTORFOOD,2023-04-17,66.48,103
BECTORFOOD,2023-10-12,-16.68,8
BECTORFOOD,2023-11-07,-3.63,19
BECTORFOOD,2024-06-05,-3.12,39
BECTORFOOD,2024-08-22,18.28,41
BEDMUTHA,2014-07-03,-15.98,17
BEDMUTHA,2014-09-05,-11.09,50
BEL,2014-05-16,24.77,40
BEL,2014-11-10,42.55,86
BELRISE,2026-06-09,0.14,37
BEML,2014-04-11,70.73,59
BEML,2015-01-12,13.51,68
BEML,2015-06-05,15.7,49
BEML,2021-12-06,-18.25,14
BEML,2023-08-02,11.2,45
BEML,2023-12-19,6.12,37
BEML,2024-05-17,10.19,53
BERGEPAINT,2014-05-22,40.41,122
BERGEPAINT,2014-12-01,-4.94,47
BERGEPAINT,2015-12-22,-5.8,36
BERGEPAINT,2016-05-12,-0.82,31
BERGEPAINT,2016-07-08,20.4,56
BERGEPAINT,2016-10-06,-5.2,19
BERGEPAINT,2017-09-14,-12.14,10
BERGEPAINT,2017-10-24,-7.05,9
BERGEPAINT,2018-04-30,7.83,90
BERGEPAINT,2019-08-06,37.11,70
BERGEPAINT,2020-01-14,1.87,35
BERGEPAINT,2020-10-01,23.59,80
BERGEPAINT,2021-05-25,0.54,52
BFINVEST,2014-03-28,-9.45,20
BFINVEST,2014-05-22,15.91,33
BFINVEST,2014-07-16,17.48,89
BFINVEST,2015-02-19,19.5,24
BFINVEST,2015-04-06,-20.14,21
BFINVEST,2017-06-20,-10.72,19
BFINVEST,2017-09-15,66.48,84
BHARATFORG,2022-10-31,2.11,62
BHARATFORG,2023-07-31,13.5,44
BHARATFORG,2023-12-01,2.79,36
BHARATFORG,2024-02-06,-12.42,4
BHARATFORG,2024-05-08,14.82,46
BHARATFORG,2026-02-23,-8.96,13
BHARATFORG,2026-05-08,10.22,58
BHARATWIRE,2017-12-19,2.17,26
BHARATWIRE,2023-08-31,6.85,35
BHARATWIRE,2023-11-23,12.31,52
BHARTIHEXA,2025-04-23,6.38,67
BHEL,2026-04-22,15.58,30
BIGBLOC,2018-03-05,-3.76,44
BIKAJI,2023-11-30,-2.27,43
