weights,n,w_OA,w_TN,w_IPO,w_GOLD,A_cagr,A_dcagr,A_dd,A_calmar,A_dcalmar,A_winb,A_winc,A_winm,B_cagr,B_dcagr,B_dd,B_calmar,B_dcalmar,B_winb,B_winc,B_winm,C_cagr,C_dcagr,C_dd,C_calmar,C_dcalmar,C_winb,C_winc,C_winm,ADMITTED,minCalmar
GOLD:0.75|IPO:0.20|TN:0.05,3,0.0,0.05,0.2,0.75,17.38,-9.23,-16.28,1.067,-0.609,0,0,360,18.05,-9.66,-16.28,1.108,-0.56,0,0,360,20.63,-9.77,-8.15,2.538,0.628,349,0,360,False,1.067
GOLD:0.70|IPO:0.25|TN:0.05,3,0.0,0.05,0.25,0.7,18.3,-8.32,-15.12,1.21,-0.463,1,0,360,19.02,-8.66,-15.12,1.258,-0.407,1,0,360,21.98,-8.42,-7.41,2.977,1.062,360,0,360,False,1.21
GOLD:0.65|IPO:0.30|TN:0.05,3,0.0,0.05,0.3,0.65,19.22,-7.38,-13.95,1.378,-0.296,23,0,360,19.99,-7.68,-13.95,1.432,-0.23,49,0,360,23.31,-7.14,-6.64,3.511,1.589,360,0,360,False,1.378
GOLD:0.60|IPO:0.35|TN:0.05,3,0.0,0.05,0.35,0.6,20.12,-6.47,-12.76,1.576,-0.1,105,0,360,20.96,-6.73,-12.76,1.64,-0.02,144,0,360,24.64,-5.85,-6.03,4.092,2.142,360,0,360,False,1.576
GOLD:0.55|IPO:0.40|TN:0.05,3,0.0,0.05,0.4,0.55,21.0,-5.61,-11.57,1.815,0.141,254,0,360,21.9,-5.77,-11.57,1.891,0.236,356,0,360,25.94,-4.51,-6.25,4.158,2.25,360,0,360,False,1.815
GOLD:0.50|IPO:0.45|TN:0.05,3,0.0,0.05,0.45,0.5,21.87,-4.75,-10.36,2.109,0.433,339,0,360,22.83,-4.87,-10.36,2.2,0.55,360,0,360,27.24,-3.19,-6.74,4.047,2.144,360,0,360,False,2.109
GOLD:0.45|IPO:0.50|TN:0.05,3,0.0,0.05,0.5,0.45,22.73,-3.9,-9.14,2.484,0.809,359,0,360,23.73,-3.96,-9.14,2.592,0.946,360,0,360,28.51,-1.9,-7.23,3.949,2.046,360,0,360,False,2.484
GOLD:0.40|IPO:0.55|TN:0.05,3,0.0,0.05,0.55,0.4,23.58,-3.05,-7.91,2.97,1.291,360,0,360,24.63,-3.06,-7.91,3.103,1.454,360,0,360,29.76,-0.56,-7.72,3.861,1.954,360,0,350,False,2.97
GOLD:0.35|IPO:0.60|TN:0.05,3,0.0,0.05,0.6,0.35,24.39,-2.22,-8.21,2.971,1.294,360,0,360,25.51,-2.14,-8.21,3.108,1.449,360,0,360,31.02,0.8,-8.21,3.782,1.875,360,0,187,False,2.971
GOLD:0.30|IPO:0.65|TN:0.05,3,0.0,0.05,0.65,0.3,25.2,-1.4,-8.7,2.894,1.216,360,0,360,26.37,-1.25,-8.7,3.03,1.371,360,0,360,32.25,2.07,-8.7,3.708,1.797,360,0,47,False,2.894
GOLD:0.25|IPO:0.70|TN:0.05,3,0.0,0.05,0.7,0.25,25.98,-0.61,-9.26,2.819,1.13,360,0,196,27.23,-0.38,-9.26,2.95,1.291,360,0,341,33.48,3.27,-9.26,3.634,1.716,360,0,3,False,2.819
GOLD:0.20|IPO:0.75|TN:0.05,3,0.0,0.05,0.75,0.2,26.75,0.16,-9.82,2.704,1.013,360,0,0,28.06,0.45,-9.82,2.834,1.181,360,0,61,34.7,4.56,-9.82,3.514,1.581,360,0,0,False,2.704
GOLD:0.15|IPO:0.80|TN:0.05,3,0.0,0.05,0.8,0.15,27.51,0.91,-11.31,2.465,0.758,357,0,0,28.88,1.26,-11.31,2.573,0.937,360,0,0,35.9,5.8,-11.31,3.205,1.284,360,0,0,False,2.465
GOLD:0.10|IPO:0.85|TN:0.05,3,0.0,0.05,0.85,0.1,28.24,1.67,-13.06,2.174,0.482,343,0,0,29.68,2.05,-13.06,2.29,0.644,360,0,0,37.07,6.95,-13.06,2.851,0.936,358,0,0,False,2.174
GOLD:0.05|IPO:0.90|TN:0.05,3,0.0,0.05,0.9,0.05,28.96,2.42,-14.89,1.964,0.272,306,0,0,30.46,2.83,-14.89,2.063,0.414,358,0,0,38.25,8.1,-14.89,2.604,0.673,349,0,0,False,1.964
IPO:0.95|TN:0.05,2,0.0,0.05,0.95,0.0,29.66,3.17,-16.71,1.8,0.105,233,0,0,31.23,3.6,-16.71,1.89,0.24,336,0,0,39.41,9.25,-16.71,2.398,0.459,334,0,0,False,1.8
GOLD:0.90|TN:0.10,2,0.0,0.1,0.0,0.9,14.0,-12.62,-20.32,0.681,-1.003,0,0,0,14.5,-13.24,-20.32,0.707,-0.959,0,0,0,15.58,-14.88,-12.06,1.301,-0.615,0,0,0,False,0.681
GOLD:0.85|IPO:0.05|TN:0.10,3,0.0,0.1,0.05,0.85,14.97,-11.62,-18.96,0.785,-0.902,0,0,360,15.51,-12.21,-18.96,0.815,-0.855,0,0,360,16.97,-13.51,-10.12,1.683,-0.247,34,0,360,False,0.785
GOLD:0.80|IPO:0.10|TN:0.10,3,0.0,0.1,0.1,0.8,15.9,-10.69,-17.83,0.887,-0.791,0,0,360,16.5,-11.22,-17.83,0.921,-0.742,0,0,360,18.33,-12.13,-8.93,2.064,0.132,256,0,360,False,0.887
GOLD:0.75|IPO:0.15|TN:0.10,3,0.0,0.1,0.15,0.75,16.84,-9.78,-16.69,1.002,-0.672,0,0,360,17.49,-10.21,-16.69,1.042,-0.617,0,0,360,19.65,-10.74,-7.76,2.517,0.583,352,0,360,False,1.002
GOLD:0.70|IPO:0.20|TN:0.10,3,0.0,0.1,0.2,0.7,17.75,-8.85,-15.54,1.138,-0.534,0,0,360,18.47,-9.21,-15.54,1.183,-0.472,0,0,360,20.96,-9.35,-6.91,3.048,1.095,360,0,360,False,1.138
GOLD:0.65|IPO:0.25|TN:0.10,3,0.0,0.1,0.25,0.65,18.65,-7.94,-14.37,1.294,-0.374,11,0,360,19.42,-8.23,-14.37,1.348,-0.305,23,0,360,22.28,-8.06,-6.17,3.621,1.7,360,0,360,False,1.294
GOLD:0.60|IPO:0.30|TN:0.10,3,0.0,0.1,0.3,0.6,19.56,-7.04,-13.2,1.478,-0.191,50,0,360,20.37,-7.26,-13.2,1.541,-0.107,75,0,360,23.58,-6.72,-5.55,4.258,2.336,360,0,360,False,1.478
GOLD:0.55|IPO:0.35|TN:0.10,3,0.0,0.1,0.35,0.55,20.45,-6.16,-12.01,1.699,0.03,201,0,360,21.32,-6.33,-12.01,1.772,0.13,316,0,360,24.92,-5.37,-5.57,4.498,2.533,360,0,360,False,1.699
GOLD:0.50|IPO:0.40|TN:0.10,3,0.0,0.1,0.4,0.5,21.32,-5.27,-10.8,1.968,0.305,323,0,360,22.25,-5.38,-10.8,2.054,0.417,360,0,360,26.22,-4.09,-6.03,4.361,2.457,360,0,360,False,1.968
GOLD:0.45|IPO:0.45|TN:0.10,3,0.0,0.1,0.45,0.45,22.18,-4.41,-9.59,2.308,0.64,355,0,360,23.17,-4.48,-9.59,2.41,0.777,360,0,360,27.55,-2.8,-6.53,4.231,2.324,360,0,360,False,2.308
GOLD:0.40|IPO:0.50|TN:0.10,3,0.0,0.1,0.5,0.4,23.02,-3.55,-8.36,2.746,1.08,360,0,360,24.06,-3.57,-8.36,2.871,1.246,360,0,360,28.83,-1.49,-7.03,4.115,2.2,360,0,351,False,2.746
GOLD:0.35|IPO:0.55|TN:0.10,3,0.0,0.1,0.55,0.35,23.86,-2.72,-7.56,3.172,1.484,360,0,360,24.94,-2.66,-7.56,3.319,1.662,360,0,360,30.08,-0.15,-7.54,4.006,2.095,360,0,169,False,3.172
GOLD:0.30|IPO:0.60|TN:0.10,3,0.0,0.1,0.6,0.3,24.67,-1.89,-8.05,3.073,1.372,360,0,360,25.83,-1.76,-8.05,3.223,1.558,360,0,360,31.33,1.15,-8.05,3.896,1.987,360,0,31,False,3.073
GOLD:0.25|IPO:0.65|TN:0.10,3,0.0,0.1,0.65,0.25,25.46,-1.12,-8.58,2.963,1.26,360,0,324,26.7,-0.87,-8.58,3.109,1.453,360,0,356,32.56,2.38,-8.58,3.778,1.842,360,0,7,False,2.963
GOLD:0.20|IPO:0.70|TN:0.10,3,0.0,0.1,0.7,0.2,26.25,-0.33,-9.18,2.834,1.119,360,0,3,27.56,-0.04,-9.18,2.974,1.317,360,0,180,33.77,3.63,-9.18,3.633,1.703,360,0,0,False,2.834
GOLD:0.15|IPO:0.75|TN:0.10,3,0.0,0.1,0.75,0.15,27.01,0.45,-10.64,2.559,0.875,360,0,0,28.38,0.78,-10.64,2.677,1.043,360,0,5,34.96,4.85,-10.64,3.303,1.402,360,0,0,False,2.559
GOLD:0.10|IPO:0.80|TN:0.10,3,0.0,0.1,0.8,0.1,27.77,1.22,-12.34,2.26,0.573,348,0,0,29.19,1.57,-12.34,2.374,0.735,360,0,0,36.14,6.06,-12.34,2.944,1.023,360,0,0,False,2.26
GOLD:0.05|IPO:0.85|TN:0.10,3,0.0,0.1,0.85,0.05,28.5,1.95,-14.15,2.027,0.339,326,0,0,29.98,2.33,-14.15,2.13,0.484,359,0,0,37.3,7.19,-14.15,2.656,0.742,352,0,0,False,2.027
IPO:0.90|TN:0.10,2,0.0,0.1,0.9,0.0,29.21,2.7,-15.97,1.845,0.156,256,0,0,30.75,3.1,-15.97,1.94,0.292,350,0,0,38.46,8.34,-15.97,2.433,0.511,340,0,0,False,1.845
GOLD:0.85|TN:0.15,2,0.0,0.15,0.0,0.85,14.41,-12.22,-19.37,0.738,-0.94,0,0,0,14.96,-12.79,-19.37,0.768,-0.894,0,0,0,15.96,-14.39,-11.08,1.453,-0.488,1,0,0,False,0.738
GOLD:0.80|IPO:0.05|TN:0.15,3,0.0,0.15,0.05,0.8,15.37,-11.24,-18.25,0.834,-0.84,0,0,360,15.96,-11.79,-18.25,0.869,-0.789,0,0,360,17.34,-13.02,-9.86,1.771,-0.177,64,0,360,False,0.834
GOLD:0.75|IPO:0.10|TN:0.15,3,0.0,0.15,0.1,0.75,16.3,-10.32,-17.11,0.943,-0.728,0,0,360,16.94,-10.78,-17.11,0.982,-0.67,0,0,360,18.71,-11.66,-8.68,2.173,0.21,306,0,360,False,0.943
GOLD:0.70|IPO:0.15|TN:0.15,3,0.0,0.15,0.15,0.7,17.21,-9.4,-15.96,1.068,-0.603,0,0,360,17.91,-9.77,-15.96,1.113,-0.534,0,0,360,20.04,-10.29,-7.51,2.674,0.697,357,0,360,False,1.068
GOLD:0.65|IPO:0.20|TN:0.15,3,0.0,0.15,0.2,0.65,18.12,-8.49,-14.8,1.212,-0.451,1,0,360,18.87,-8.8,-14.8,1.263,-0.374,1,0,360,21.33,-8.97,-6.52,3.262,1.32,360,52,360,False,1.212
GOLD:0.60|IPO:0.25|TN:0.15,3,0.0,0.15,0.25,0.6,19.02,-7.6,-13.63,1.384,-0.279,23,0,360,19.84,-7.81,-13.63,1.443,-0.191,54,0,360,22.62,-7.64,-5.54,4.051,2.07,360,147,360,False,1.384
GOLD:0.55|IPO:0.30|TN:0.15,3,0.0,0.15,0.3,0.55,19.9,-6.71,-12.44,1.586,-0.073,117,0,360,20.78,-6.87,-12.44,1.655,0.028,219,0,360,23.91,-6.33,-5.15,4.727,2.697,360,247,360,False,1.586
GOLD:0.50|IPO:0.35|TN:0.15,3,0.0,0.15,0.35,0.5,20.77,-5.81,-11.24,1.834,0.177,285,0,360,21.69,-5.94,-11.24,1.915,0.293,358,0,360,25.21,-4.99,-5.4,4.712,2.746,360,267,360,False,1.834
GOLD:0.45|IPO:0.40|TN:0.15,3,0.0,0.15,0.4,0.45,21.62,-4.91,-10.03,2.141,0.489,346,0,360,22.59,-5.0,-10.03,2.239,0.626,360,0,360,26.46,-3.67,-5.84,4.553,2.612,360,263,360,False,2.141
GOLD:0.40|IPO:0.45|TN:0.15,3,0.0,0.15,0.45,0.4,22.47,-4.06,-8.81,2.532,0.884,360,0,360,23.49,-4.1,-8.81,2.647,1.05,360,5,360,27.73,-2.38,-6.39,4.391,2.434,360,240,356,False,2.532
GOLD:0.35|IPO:0.50|TN:0.15,3,0.0,0.15,0.5,0.35,23.3,-3.22,-7.58,3.041,1.389,360,29,360,24.38,-3.2,-7.58,3.187,1.589,360,59,360,29.02,-1.07,-6.9,4.225,2.266,360,215,190,False,3.041
GOLD:0.30|IPO:0.55|TN:0.15,3,0.0,0.15,0.55,0.3,24.13,-2.37,-7.41,3.243,1.514,360,38,360,25.27,-2.29,-7.41,3.404,1.732,360,80,360,30.28,0.21,-7.41,4.056,2.102,360,184,67,False,3.243
GOLD:0.25|IPO:0.60|TN:0.15,3,0.0,0.15,0.6,0.25,24.94,-1.6,-8.0,3.1,1.359,360,18,340,26.13,-1.41,-8.0,3.263,1.599,360,54,357,31.54,1.42,-8.0,3.907,1.929,360,148,21,False,3.1
GOLD:0.20|IPO:0.65|TN:0.15,3,0.0,0.15,0.65,0.2,25.73,-0.79,-8.71,2.93,1.186,360,4,72,26.98,-0.57,-8.71,3.073,1.436,360,29,238,32.76,2.69,-8.71,3.716,1.751,360,112,6,False,2.93
GOLD:0.15|IPO:0.70|TN:0.15,3,0.0,0.15,0.7,0.15,26.49,-0.01,-10.08,2.643,0.959,360,0,0,27.8,0.24,-10.08,2.77,1.144,360,21,31,33.99,3.9,-10.08,3.388,1.469,360,59,2,False,2.643
GOLD:0.10|IPO:0.75|TN:0.15,3,0.0,0.15,0.75,0.1,27.25,0.74,-11.66,2.338,0.658,354,0,0,28.6,1.01,-11.66,2.459,0.825,360,3,0,35.17,5.04,-11.66,3.018,1.111,360,27,0,False,2.338
GOLD:0.05|IPO:0.80|TN:0.15,3,0.0,0.15,0.8,0.05,27.98,1.5,-13.39,2.087,0.41,334,0,0,29.39,1.81,-13.39,2.202,0.561,360,0,2,36.34,6.21,-13.39,2.714,0.808,355,9,0,False,2.087
IPO:0.85|TN:0.15,2,0.0,0.15,0.85,0.0,28.7,2.21,-15.2,1.894,0.211,280,0,0,30.16,2.6,-15.2,1.993,0.348,356,0,6,37.5,7.35,-15.2,2.479,0.564,343,0,0,False,1.894
GOLD:0.80|TN:0.20,2,0.0,0.2,0.0,0.8,14.8,-11.83,-18.66,0.784,-0.886,0,0,0,15.4,-12.34,-18.66,0.818,-0.835,0,0,0,16.32,-13.93,-10.85,1.522,-0.424,1,0,0,False,0.784
GOLD:0.75|IPO:0.05|TN:0.20,3,0.0,0.2,0.05,0.75,15.75,-10.87,-17.53,0.886,-0.78,0,0,360,16.39,-11.35,-17.53,0.926,-0.722,0,0,360,17.68,-12.55,-9.63,1.855,-0.108,106,0,360,False,0.886
GOLD:0.70|IPO:0.10|TN:0.20,3,0.0,0.2,0.1,0.7,16.68,-9.95,-16.38,1.003,-0.662,0,0,360,17.36,-10.35,-16.38,1.047,-0.59,0,0,360,19.06,-11.2,-8.46,2.271,0.301,316,0,360,False,1.003
GOLD:0.65|IPO:0.15|TN:0.20,3,0.0,0.2,0.15,0.65,17.58,-9.03,-15.22,1.137,-0.525,0,0,360,18.33,-9.34,-15.22,1.187,-0.444,0,0,360,20.4,-9.86,-7.34,2.801,0.823,360,89,360,False,1.137
GOLD:0.60|IPO:0.20|TN:0.20,3,0.0,0.2,0.2,0.6,18.47,-8.11,-14.06,1.293,-0.366,10,0,360,19.27,-8.37,-14.06,1.351,-0.271,19,0,360,21.71,-8.6,-6.3,3.441,1.489,360,237,360,False,1.293
GOLD:0.55|IPO:0.25|TN:0.20,3,0.0,0.2,0.25,0.55,19.35,-7.24,-12.88,1.481,-0.17,52,0,360,20.21,-7.44,-12.88,1.548,-0.069,107,0,360,22.99,-7.25,-5.44,4.263,2.321,360,338,360,False,1.481
GOLD:0.50|IPO:0.30|TN:0.20,3,0.0,0.2,0.3,0.5,20.24,-6.33,-11.68,1.707,0.066,228,0,360,21.16,-6.52,-11.68,1.787,0.178,310,0,360,24.26,-5.93,-5.36,4.526,2.617,360,359,360,False,1.707
GOLD:0.45|IPO:0.35|TN:0.20,3,0.0,0.2,0.35,0.45,21.09,-5.45,-10.48,1.985,0.345,329,0,360,22.07,-5.57,-10.48,2.076,0.484,360,3,360,25.51,-4.6,-5.56,4.571,2.593,360,360,360,False,1.985
GOLD:0.40|IPO:0.40|TN:0.20,3,0.0,0.2,0.4,0.4,21.94,-4.57,-9.26,2.337,0.698,357,31,360,22.97,-4.64,-9.26,2.447,0.855,360,65,360,26.76,-3.34,-6.0,4.505,2.47,360,360,360,False,2.337
GOLD:0.35|IPO:0.45|TN:0.20,3,0.0,0.2,0.45,0.35,22.75,-3.74,-8.03,2.791,1.164,360,174,360,23.85,-3.72,-8.03,2.931,1.332,360,180,360,28.01,-2.05,-6.46,4.392,2.334,360,356,293,False,2.791
GOLD:0.30|IPO:0.50|TN:0.20,3,0.0,0.2,0.5,0.3,23.57,-2.9,-7.25,3.272,1.52,360,246,360,24.71,-2.85,-7.25,3.438,1.794,360,303,360,29.27,-0.78,-7.0,4.226,2.144,360,346,155,False,3.272
GOLD:0.25|IPO:0.55|TN:0.20,3,0.0,0.2,0.55,0.25,24.37,-2.09,-7.7,3.155,1.408,360,229,357,25.55,-1.99,-7.7,3.31,1.66,360,283,358,30.49,0.47,-7.7,3.963,1.968,360,336,91,False,3.155
GOLD:0.20|IPO:0.60|TN:0.20,3,0.0,0.2,0.6,0.2,25.17,-1.31,-8.45,2.962,1.239,360,165,215,26.4,-1.12,-8.45,3.107,1.478,360,209,287,31.7,1.69,-8.45,3.736,1.767,360,303,61,False,2.962
GOLD:0.15|IPO:0.65|TN:0.20,3,0.0,0.2,0.65,0.15,25.96,-0.54,-9.67,2.725,1.011,360,118,19,27.22,-0.32,-9.67,2.856,1.208,360,150,72,32.88,2.9,-9.67,3.461,1.5,360,241,23,False,2.725
GOLD:0.10|IPO:0.70|TN:0.20,3,0.0,0.2,0.7,0.1,26.7,0.22,-11.08,2.417,0.75,356,49,0,28.04,0.49,-11.08,2.54,0.919,360,84,17,34.13,4.08,-11.08,3.09,1.199,360,191,9,False,2.417
GOLD:0.05|IPO:0.75|TN:0.20,3,0.0,0.2,0.75,0.05,27.44,0.97,-12.69,2.157,0.488,343,24,0,28.87,1.29,-12.69,2.267,0.635,360,56,26,35.31,5.26,-12.69,2.777,0.887,357,141,3,False,2.157
IPO:0.80|TN:0.20,2,0.0,0.2,0.8,0.0,28.19,1.69,-14.46,1.945,0.274,302,4,0,29.65,2.07,-14.46,2.046,0.408,358,19,30,36.48,6.44,-14.46,2.524,0.615,347,80,2,False,1.945
GOLD:0.75|TN:0.25,2,0.0,0.25,0.0,0.75,15.17,-11.47,-17.94,0.832,-0.834,0,0,0,15.82,-11.92,-17.94,0.871,-0.771,0,0,0,16.67,-13.51,-10.63,1.592,-0.369,8,0,0,False,0.832
GOLD:0.70|IPO:0.05|TN:0.25,3,0.0,0.25,0.05,0.7,16.11,-10.53,-16.8,0.942,-0.723,0,0,360,16.82,-10.93,-16.8,0.987,-0.649,0,0,360,18.0,-12.15,-9.41,1.94,-0.026,159,29,360,False,0.942
GOLD:0.65|IPO:0.10|TN:0.25,3,0.0,0.25,0.1,0.65,17.03,-9.61,-15.65,1.067,-0.595,0,0,360,17.78,-9.94,-15.65,1.117,-0.51,0,0,360,19.39,-10.82,-8.26,2.365,0.4,321,90,360,False,1.067
GOLD:0.60|IPO:0.15|TN:0.25,3,0.0,0.25,0.15,0.6,17.94,-8.69,-14.49,1.211,-0.439,1,0,360,18.73,-8.96,-14.49,1.268,-0.351,1,0,360,20.74,-9.51,-7.15,2.917,0.942,359,254,360,False,1.211
GOLD:0.55|IPO:0.20|TN:0.25,3,0.0,0.25,0.2,0.55,18.82,-7.77,-13.31,1.381,-0.26,23,0,360,19.66,-8.0,-13.31,1.448,-0.158,67,0,360,22.05,-8.24,-6.15,3.618,1.666,360,347,360,False,1.381
GOLD:0.50|IPO:0.25|TN:0.25,3,0.0,0.25,0.25,0.5,19.68,-6.88,-12.12,1.59,-0.04,139,0,360,20.58,-7.06,-12.12,1.665,0.072,254,0,360,23.34,-6.92,-5.64,4.122,2.171,360,360,360,False,1.59
GOLD:0.45|IPO:0.30|TN:0.25,3,0.0,0.25,0.3,0.45,20.54,-6.01,-10.92,1.842,0.213,292,30,360,21.5,-6.13,-10.92,1.933,0.344,354,60,360,24.61,-5.6,-5.93,4.128,2.182,360,360,360,False,1.842
GOLD:0.40|IPO:0.35|TN:0.25,3,0.0,0.25,0.35,0.4,21.4,-5.13,-9.71,2.158,0.539,353,147,360,22.41,-5.19,-9.71,2.266,0.674,360,159,360,25.85,-4.31,-6.23,4.129,2.154,360,360,358,False,2.158
GOLD:0.35|IPO:0.40|TN:0.25,3,0.0,0.25,0.4,0.35,22.24,-4.29,-8.48,2.566,0.949,360,222,360,23.32,-4.29,-8.48,2.694,1.103,360,271,360,27.05,-3.02,-6.6,4.095,2.13,360,360,349,False,2.566
GOLD:0.30|IPO:0.45|TN:0.25,3,0.0,0.25,0.45,0.3,23.05,-3.47,-7.49,3.048,1.352,360,325,360,24.19,-3.4,-7.49,3.2,1.571,360,358,360,28.29,-1.76,-7.08,4.037,2.041,360,360,319,False,3.048
GOLD:0.25|IPO:0.50|TN:0.25,3,0.0,0.25,0.5,0.25,23.85,-2.67,-7.62,3.131,1.411,360,350,359,25.05,-2.52,-7.62,3.299,1.638,360,357,360,29.5,-0.51,-7.62,3.904,1.929,360,360,240,False,3.131
