weights,n,w_OA,w_TN,w_IPO,w_GOLD,w_MYB,A_cagr,A_dcagr,A_dd,A_calmar,A_dcalmar,A_winb,A_winc,A_winm,C_cagr,C_dcagr,C_dd,C_calmar,C_dcalmar,C_winb,C_winc,C_winm,ADMITTED,minCalmar
GOLD:0.60|IPO:0.20|MYB:0.20,3,0.0,0.0,0.2,0.6,0.2,19.52,-7.16,-12.83,1.521,-0.169,80,0,360,24.35,-6.17,-5.73,4.261,2.293,360,0,360,False,1.521
GOLD:0.70|IPO:0.20|MYB:0.10,3,0.0,0.0,0.2,0.7,0.1,18.29,-8.35,-15.04,1.216,-0.471,2,0,360,22.33,-8.18,-7.37,3.025,1.106,360,0,360,False,1.216
GOLD:0.80|IPO:0.20,2,0.0,0.0,0.2,0.8,0.0,16.99,-9.63,-18.16,0.936,-0.746,0,0,360,20.25,-10.23,-9.93,2.057,0.141,243,0,360,False,0.936
IPO:0.30|MYB:0.70,2,0.0,0.0,0.3,0.0,0.7,26.01,-0.49,-13.39,1.938,0.253,295,0,360,35.69,5.67,-13.39,2.66,0.735,351,0,360,False,1.938
GOLD:0.10|IPO:0.30|MYB:0.60,3,0.0,0.0,0.3,0.1,0.6,25.23,-1.33,-11.39,2.197,0.564,344,0,324,34.12,3.97,-11.39,2.974,1.11,360,0,348,False,2.197
GOLD:0.20|IPO:0.30|MYB:0.50,3,0.0,0.0,0.3,0.2,0.5,24.38,-2.24,-9.81,2.459,0.845,359,0,288,32.47,2.16,-9.81,3.285,1.458,360,0,312,False,2.459
GOLD:0.30|IPO:0.30|MYB:0.40,3,0.0,0.0,0.3,0.3,0.4,23.44,-3.22,-8.47,2.768,1.136,360,0,264,30.74,0.3,-8.47,3.64,1.781,360,0,312,False,2.768
GOLD:0.40|IPO:0.30|MYB:0.30,3,0.0,0.0,0.3,0.4,0.3,22.43,-4.25,-8.24,2.721,1.034,360,0,360,28.94,-1.57,-7.17,4.08,2.188,360,0,360,False,2.721
GOLD:0.50|IPO:0.30|MYB:0.20,3,0.0,0.0,0.3,0.5,0.2,21.3,-5.36,-10.43,2.042,0.359,329,0,360,27.0,-3.54,-5.76,4.687,2.768,360,0,360,False,2.042
GOLD:0.60|IPO:0.30|MYB:0.10,3,0.0,0.0,0.3,0.6,0.1,20.11,-6.53,-12.58,1.598,-0.087,127,0,360,25.01,-5.53,-5.9,4.255,2.283,360,0,360,False,1.598
GOLD:0.70|IPO:0.30,2,0.0,0.0,0.3,0.7,0.0,18.84,-7.78,-15.28,1.233,-0.445,5,0,360,22.94,-7.55,-8.29,2.803,0.883,358,0,360,False,1.233
IPO:0.40|MYB:0.60,2,0.0,0.0,0.4,0.0,0.6,26.85,0.23,-12.61,2.109,0.407,334,0,324,36.71,6.49,-12.61,2.874,0.94,358,0,360,False,2.109
GOLD:0.10|IPO:0.40|MYB:0.50,3,0.0,0.0,0.4,0.1,0.5,26.03,-0.66,-10.88,2.419,0.778,355,0,288,35.08,4.68,-10.88,3.269,1.375,360,0,324,False,2.419
GOLD:0.20|IPO:0.40|MYB:0.40,3,0.0,0.0,0.4,0.2,0.4,25.12,-1.57,-9.39,2.706,1.033,360,0,216,33.36,2.89,-9.39,3.601,1.687,360,0,300,False,2.706
GOLD:0.30|IPO:0.40|MYB:0.30,3,0.0,0.0,0.4,0.3,0.3,24.1,-2.58,-7.99,3.029,1.365,360,0,336,31.51,0.98,-7.99,3.959,2.048,360,0,228,False,3.029
GOLD:0.40|IPO:0.40|MYB:0.20,3,0.0,0.0,0.4,0.4,0.2,23.01,-3.64,-7.98,2.883,1.205,360,0,360,29.58,-1.04,-6.65,4.431,2.514,360,0,360,False,2.883
GOLD:0.50|IPO:0.40|MYB:0.10,3,0.0,0.0,0.4,0.5,0.1,21.87,-4.79,-10.17,2.15,0.466,340,0,360,27.64,-2.99,-6.21,4.425,2.509,360,0,360,False,2.15
GOLD:0.60|IPO:0.40,2,0.0,0.0,0.4,0.6,0.0,20.64,-5.96,-12.45,1.658,-0.021,170,0,360,25.58,-4.96,-6.84,3.775,1.86,360,0,360,False,1.658
IPO:0.50|MYB:0.50,2,0.0,0.0,0.5,0.0,0.5,27.59,0.87,-12.72,2.171,0.469,339,0,228,37.59,7.17,-12.72,2.955,1.014,360,0,300,False,2.171
GOLD:0.10|IPO:0.50|MYB:0.40,3,0.0,0.0,0.5,0.1,0.4,26.69,0.01,-10.34,2.57,0.876,359,0,144,35.84,5.38,-10.34,3.449,1.532,360,0,288,False,2.57
GOLD:0.20|IPO:0.50|MYB:0.30,3,0.0,0.0,0.5,0.2,0.3,25.71,-0.93,-8.84,2.906,1.24,360,0,168,34.04,3.43,-8.84,3.838,1.938,360,0,228,False,2.906
GOLD:0.30|IPO:0.50|MYB:0.20,3,0.0,0.0,0.5,0.3,0.2,24.68,-1.96,-7.54,3.259,1.568,360,0,360,32.14,1.59,-7.54,4.246,2.325,360,0,264,False,3.259
GOLD:0.40|IPO:0.50|MYB:0.10,3,0.0,0.0,0.5,0.4,0.1,23.56,-3.06,-7.72,3.053,1.373,360,0,360,30.19,-0.35,-7.23,4.178,2.254,360,0,360,False,3.053
GOLD:0.50|IPO:0.50,2,0.0,0.0,0.5,0.5,0.0,22.39,-4.24,-10.2,2.195,0.52,346,0,360,28.18,-2.33,-7.4,3.788,1.88,360,0,360,False,2.195
IPO:0.60|MYB:0.40,2,0.0,0.0,0.6,0.0,0.4,28.18,1.56,-13.53,2.088,0.41,333,0,36,38.27,7.9,-13.53,2.834,0.929,359,0,108,False,2.088
GOLD:0.10|IPO:0.60|MYB:0.30,3,0.0,0.0,0.6,0.1,0.3,27.25,0.65,-10.89,2.506,0.83,360,0,24,36.46,6.02,-10.89,3.355,1.448,360,0,96,False,2.506
GOLD:0.20|IPO:0.60|MYB:0.20,3,0.0,0.0,0.6,0.2,0.2,26.29,-0.38,-8.5,3.054,1.361,360,0,0,34.66,4.24,-8.5,4.037,2.107,360,0,84,False,3.054
GOLD:0.30|IPO:0.60|MYB:0.10,3,0.0,0.0,0.6,0.3,0.1,25.18,-1.42,-8.24,3.07,1.375,360,0,360,32.68,2.36,-8.24,3.983,2.055,360,0,180,False,3.07
GOLD:0.40|IPO:0.60,2,0.0,0.0,0.6,0.4,0.0,24.07,-2.53,-8.38,2.858,1.179,360,0,360,30.74,0.34,-8.38,3.647,1.738,360,0,348,False,2.858
IPO:0.70|MYB:0.30,2,0.0,0.0,0.7,0.0,0.3,28.75,2.16,-14.49,1.988,0.315,324,0,0,38.87,8.62,-14.49,2.69,0.791,355,0,0,False,1.988
GOLD:0.10|IPO:0.70|MYB:0.20,3,0.0,0.0,0.7,0.1,0.2,27.83,1.2,-11.85,2.365,0.686,356,0,0,37.1,6.85,-11.85,3.147,1.251,360,0,0,False,2.365
GOLD:0.20|IPO:0.70|MYB:0.10,3,0.0,0.0,0.7,0.2,0.1,26.75,0.16,-9.31,2.869,1.162,360,0,0,35.14,4.93,-9.31,3.771,1.816,360,0,0,False,2.869
GOLD:0.30|IPO:0.70,2,0.0,0.0,0.7,0.3,0.0,25.69,-0.93,-9.36,2.731,1.051,360,0,360,33.22,2.97,-9.36,3.529,1.617,360,0,96,False,2.731
IPO:0.80|MYB:0.20,2,0.0,0.0,0.8,0.0,0.2,29.28,2.68,-15.46,1.907,0.226,294,0,0,39.46,9.36,-15.46,2.573,0.666,350,0,0,False,1.907
GOLD:0.10|IPO:0.80|MYB:0.10,3,0.0,0.0,0.8,0.1,0.1,28.27,1.69,-12.79,2.22,0.542,347,0,0,37.55,7.41,-12.79,2.936,1.039,360,0,0,False,2.22
GOLD:0.20|IPO:0.80,2,0.0,0.0,0.8,0.2,0.0,27.23,0.66,-10.52,2.594,0.89,359,0,0,35.64,5.44,-10.52,3.396,1.453,360,0,0,False,2.594
IPO:0.90|MYB:0.10,2,0.0,0.0,0.9,0.0,0.1,29.72,3.17,-16.51,1.825,0.137,246,0,0,39.9,9.8,-16.51,2.457,0.532,343,0,0,False,1.825
GOLD:0.10|IPO:0.90,2,0.0,0.0,0.9,0.1,0.0,28.71,2.15,-13.86,2.106,0.404,333,0,0,38.0,7.87,-13.86,2.788,0.865,356,0,0,False,2.106
MYB:0.90|TN:0.10,2,0.0,0.1,0.0,0.0,0.9,23.22,-3.23,-16.48,1.391,-0.258,35,0,0,31.53,1.6,-16.48,1.892,0.018,189,0,0,False,1.391
GOLD:0.10|MYB:0.80|TN:0.10,3,0.0,0.1,0.0,0.1,0.8,22.48,-4.0,-13.59,1.638,-0.022,160,0,0,30.03,-0.01,-13.59,2.191,0.301,303,0,0,False,1.638
GOLD:0.20|MYB:0.70|TN:0.10,3,0.0,0.1,0.0,0.2,0.7,21.64,-4.85,-11.08,1.936,0.271,311,0,0,28.44,-1.66,-11.08,2.559,0.655,351,0,0,False,1.936
GOLD:0.30|MYB:0.60|TN:0.10,3,0.0,0.1,0.0,0.3,0.6,20.75,-5.78,-9.18,2.259,0.548,353,0,0,26.81,-3.38,-9.18,2.918,0.989,360,0,0,False,2.259
GOLD:0.40|MYB:0.50|TN:0.10,3,0.0,0.1,0.0,0.4,0.5,19.77,-6.78,-9.66,2.039,0.376,333,0,0,25.1,-5.11,-7.76,3.222,1.278,360,0,0,False,2.039
GOLD:0.50|MYB:0.40|TN:0.10,3,0.0,0.1,0.0,0.5,0.4,18.75,-7.81,-11.82,1.579,-0.093,112,0,0,23.34,-6.91,-7.15,3.236,1.31,360,0,0,False,1.579
GOLD:0.60|MYB:0.30|TN:0.10,3,0.0,0.1,0.0,0.6,0.3,17.67,-8.93,-13.94,1.26,-0.416,5,0,0,21.5,-8.82,-7.31,2.926,0.99,360,0,0,False,1.26
GOLD:0.70|MYB:0.20|TN:0.10,3,0.0,0.1,0.0,0.7,0.2,16.5,-10.08,-16.02,1.024,-0.657,0,0,0,19.6,-10.75,-8.16,2.402,0.484,339,0,0,False,1.024
GOLD:0.80|MYB:0.10|TN:0.10,3,0.0,0.1,0.0,0.8,0.1,15.29,-11.32,-18.07,0.841,-0.839,0,0,0,17.62,-12.78,-9.77,1.805,-0.119,100,0,0,False,0.841
GOLD:0.90|TN:0.10,2,0.0,0.1,0.0,0.9,0.0,14.0,-12.62,-20.32,0.681,-1.003,0,0,0,15.58,-14.88,-12.06,1.301,-0.615,0,0,0,False,0.681
IPO:0.10|MYB:0.80|TN:0.10,3,0.0,0.1,0.1,0.0,0.8,24.07,-2.43,-15.11,1.582,-0.076,130,0,360,32.63,2.55,-15.11,2.14,0.254,293,0,360,False,1.582
GOLD:0.10|IPO:0.10|MYB:0.70|TN:0.10,4,0.0,0.1,0.1,0.1,0.7,23.29,-3.24,-12.28,1.885,0.206,287,0,360,31.06,0.96,-12.28,2.515,0.612,349,0,360,False,1.885
GOLD:0.20|IPO:0.10|MYB:0.60|TN:0.10,4,0.0,0.1,0.1,0.2,0.6,22.45,-4.12,-10.01,2.249,0.561,352,0,345,29.41,-0.72,-10.01,2.951,1.034,360,0,360,False,2.249
GOLD:0.30|IPO:0.10|MYB:0.50|TN:0.10,4,0.0,0.1,0.1,0.3,0.5,21.53,-5.06,-8.35,2.558,0.863,360,0,329,27.74,-2.49,-8.35,3.293,1.39,360,0,359,False,2.558
GOLD:0.40|IPO:0.10|MYB:0.40|TN:0.10,4,0.0,0.1,0.1,0.4,0.4,20.53,-6.08,-9.4,2.17,0.512,345,0,360,25.96,-4.29,-7.04,3.654,1.746,360,0,352,False,2.17
GOLD:0.50|IPO:0.10|MYB:0.30|TN:0.10,4,0.0,0.1,0.1,0.5,0.3,19.47,-7.12,-11.56,1.674,0.005,182,0,360,24.15,-6.15,-5.87,4.09,2.195,360,0,360,False,1.674
GOLD:0.60|IPO:0.10|MYB:0.20|TN:0.10,4,0.0,0.1,0.1,0.6,0.2,18.35,-8.23,-13.69,1.332,-0.337,16,0,360,22.27,-8.02,-6.08,3.697,1.786,360,0,360,False,1.332
GOLD:0.70|IPO:0.10|MYB:0.10|TN:0.10,4,0.0,0.1,0.1,0.7,0.1,17.15,-9.43,-15.78,1.081,-0.599,0,0,360,20.33,-10.07,-7.32,2.773,0.834,357,0,360,False,1.081
GOLD:0.80|IPO:0.10|TN:0.10,3,0.0,0.1,0.1,0.8,0.0,15.9,-10.69,-17.83,0.887,-0.791,0,0,360,18.33,-12.13,-8.93,2.064,0.132,256,0,360,False,0.887
IPO:0.20|MYB:0.70|TN:0.10,3,0.0,0.1,0.2,0.0,0.7,24.88,-1.64,-13.7,1.812,0.132,258,0,360,33.6,3.53,-13.7,2.448,0.538,341,0,360,False,1.812
GOLD:0.10|IPO:0.20|MYB:0.60|TN:0.10,4,0.0,0.1,0.2,0.1,0.6,24.07,-2.45,-11.24,2.152,0.467,341,0,334,32.0,1.89,-11.24,2.865,0.938,359,0,358,False,2.152
GOLD:0.20|IPO:0.20|MYB:0.50|TN:0.10,4,0.0,0.1,0.2,0.2,0.5,23.2,-3.39,-9.49,2.437,0.791,359,0,302,30.32,0.19,-9.49,3.186,1.33,360,0,340,False,2.437
GOLD:0.30|IPO:0.20|MYB:0.40|TN:0.10,4,0.0,0.1,0.2,0.3,0.4,22.25,-4.35,-8.0,2.775,1.107,360,0,336,28.59,-1.59,-8.0,3.565,1.679,360,0,309,False,2.775
GOLD:0.40|IPO:0.20|MYB:0.30|TN:0.10,4,0.0,0.1,0.2,0.4,0.3,21.21,-5.37,-9.14,2.312,0.652,356,0,360,26.8,-3.4,-6.71,3.996,2.098,360,4,310,False,2.312
GOLD:0.50|IPO:0.20|MYB:0.20|TN:0.10,4,0.0,0.1,0.2,0.5,0.2,20.14,-6.45,-11.31,1.773,0.108,246,0,360,24.91,-5.39,-5.43,4.606,2.686,360,10,360,False,1.773
GOLD:0.60|IPO:0.20|MYB:0.10|TN:0.10,4,0.0,0.1,0.2,0.6,0.1,18.98,-7.64,-13.44,1.405,-0.265,27,0,360,22.96,-7.31,-5.41,4.236,2.27,360,0,360,False,1.405
GOLD:0.70|IPO:0.20|TN:0.10,3,0.0,0.1,0.2,0.7,0.0,17.75,-8.85,-15.54,1.138,-0.534,0,0,360,20.96,-9.35,-6.91,3.048,1.095,360,0,360,False,1.138
IPO:0.30|MYB:0.60|TN:0.10,3,0.0,0.1,0.3,0.0,0.6,25.66,-0.86,-12.52,2.049,0.365,325,0,356,34.52,4.42,-12.52,2.752,0.822,358,0,360,False,2.049
GOLD:0.10|IPO:0.30|MYB:0.50|TN:0.10,4,0.0,0.1,0.3,0.1,0.5,24.82,-1.73,-10.62,2.338,0.699,358,0,312,32.9,2.8,-10.62,3.093,1.229,360,0,326,False,2.338
GOLD:0.20|IPO:0.30|MYB:0.40|TN:0.10,4,0.0,0.1,0.3,0.2,0.4,23.92,-2.7,-9.01,2.66,1.01,360,0,214,31.15,0.88,-9.01,3.47,1.6,360,0,297,False,2.66
GOLD:0.30|IPO:0.30|MYB:0.30|TN:0.10,4,0.0,0.1,0.3,0.3,0.3,22.92,-3.68,-7.66,3.01,1.339,360,0,358,29.36,-0.94,-7.66,3.857,1.971,360,5,244,False,3.01
GOLD:0.40|IPO:0.30|MYB:0.20|TN:0.10,4,0.0,0.1,0.3,0.4,0.2,21.87,-4.72,-8.88,2.452,0.79,359,0,360,27.51,-2.78,-6.33,4.362,2.459,360,21,317,False,2.452
GOLD:0.50|IPO:0.30|MYB:0.10|TN:0.10,4,0.0,0.1,0.3,0.5,0.1,20.75,-5.84,-11.06,1.869,0.21,299,0,360,25.58,-4.75,-5.11,4.976,3.029,360,22,360,False,1.869
GOLD:0.60|IPO:0.30|TN:0.10,3,0.0,0.1,0.3,0.6,0.0,19.56,-7.04,-13.2,1.478,-0.191,50,0,360,23.58,-6.72,-5.55,4.258,2.336,360,0,360,False,1.478
IPO:0.40|MYB:0.50|TN:0.10,3,0.0,0.1,0.4,0.0,0.5,26.38,-0.18,-11.82,2.217,0.513,347,0,320,35.33,5.21,-11.82,2.964,1.039,360,0,352,False,2.217
GOLD:0.10|IPO:0.40|MYB:0.40|TN:0.10,4,0.0,0.1,0.4,0.1,0.4,25.53,-1.06,-10.0,2.573,0.905,360,0,234,33.64,3.41,-10.0,3.401,1.491,360,0,308,False,2.573
GOLD:0.20|IPO:0.40|MYB:0.30|TN:0.10,4,0.0,0.1,0.4,0.2,0.3,24.57,-2.02,-8.56,2.888,1.227,360,0,176,31.89,1.59,-8.56,3.753,1.86,360,5,243,False,2.888
GOLD:0.30|IPO:0.40|MYB:0.20|TN:0.10,4,0.0,0.1,0.4,0.3,0.2,23.55,-3.03,-7.22,3.266,1.587,360,0,360,30.09,-0.22,-7.22,4.177,2.281,360,8,195,False,3.266
GOLD:0.40|IPO:0.40|MYB:0.10|TN:0.10,4,0.0,0.1,0.4,0.4,0.1,22.47,-4.1,-8.62,2.598,0.934,360,0,360,28.2,-2.12,-5.97,4.681,2.735,360,0,360,False,2.598
GOLD:0.50|IPO:0.40|TN:0.10,3,0.0,0.1,0.4,0.5,0.0,21.32,-5.27,-10.8,1.968,0.305,323,0,360,26.22,-4.09,-6.03,4.361,2.457,360,0,360,False,1.968
IPO:0.50|MYB:0.40|TN:0.10,3,0.0,0.1,0.5,0.0,0.4,27.06,0.49,-12.17,2.23,0.54,347,0,123,36.12,5.99,-12.17,2.981,1.057,360,0,222,False,2.23
GOLD:0.10|IPO:0.50|MYB:0.30|TN:0.10,4,0.0,0.1,0.5,0.1,0.3,26.16,-0.44,-9.72,2.716,0.986,360,0,91,34.41,4.18,-9.72,3.576,1.6,360,0,176,False,2.716
GOLD:0.20|IPO:0.50|MYB:0.20|TN:0.10,4,0.0,0.1,0.5,0.2,0.2,25.19,-1.39,-8.11,3.097,1.418,360,0,74,32.62,2.34,-8.11,4.015,2.118,360,3,164,False,3.097
GOLD:0.30|IPO:0.50|MYB:0.10|TN:0.10,4,0.0,0.1,0.5,0.3,0.1,24.14,-2.43,-6.97,3.449,1.741,360,0,360,30.73,0.47,-6.97,4.384,2.441,360,0,123,False,3.449
GOLD:0.40|IPO:0.50|TN:0.10,3,0.0,0.1,0.5,0.4,0.0,23.02,-3.55,-8.36,2.746,1.08,360,0,360,28.83,-1.49,-7.03,4.115,2.2,360,0,351,False,2.746
IPO:0.60|MYB:0.30|TN:0.10,3,0.0,0.1,0.6,0.0,0.3,27.69,1.09,-13.02,2.124,0.455,338,0,5,36.85,6.71,-13.02,2.827,0.93,358,0,20,False,2.124
GOLD:0.10|IPO:0.60|MYB:0.20|TN:0.10,4,0.0,0.1,0.6,0.1,0.2,26.74,0.19,-10.4,2.574,0.898,360,0,0,35.09,4.92,-10.4,3.378,1.455,360,0,20,False,2.574
GOLD:0.20|IPO:0.60|MYB:0.10|TN:0.10,4,0.0,0.1,0.6,0.2,0.1,25.76,-0.83,-8.14,3.172,1.44,360,0,17,33.23,3.09,-8.14,4.094,2.117,360,0,5,False,3.172
GOLD:0.30|IPO:0.60|TN:0.10,3,0.0,0.1,0.6,0.3,0.0,24.67,-1.89,-8.05,3.073,1.372,360,0,360,31.33,1.15,-8.05,3.896,1.987,360,0,31,False,3.073
IPO:0.70|MYB:0.20|TN:0.10,3,0.0,0.1,0.7,0.0,0.2,28.26,1.69,-14.0,2.022,0.348,327,0,0,37.49,7.41,-14.0,2.685,0.78,355,0,0,False,2.022
GOLD:0.10|IPO:0.70|MYB:0.10|TN:0.10,4,0.0,0.1,0.7,0.1,0.1,27.28,0.71,-11.33,2.412,0.737,356,0,0,35.65,5.61,-11.33,3.151,1.245,360,0,0,False,2.412
GOLD:0.20|IPO:0.70|TN:0.10,3,0.0,0.1,0.7,0.2,0.0,26.25,-0.33,-9.18,2.834,1.119,360,0,3,33.77,3.63,-9.18,3.633,1.703,360,0,0,False,2.834
IPO:0.80|MYB:0.10|TN:0.10,3,0.0,0.1,0.8,0.0,0.1,28.76,2.21,-14.95,1.93,0.252,303,0,0,38.04,7.93,-14.95,2.556,0.645,349,0,0,False,1.93
GOLD:0.10|IPO:0.80|TN:0.10,3,0.0,0.1,0.8,0.1,0.0,27.77,1.22,-12.34,2.26,0.573,348,0,0,36.14,6.06,-12.34,2.944,1.023,360,0,0,False,2.26
IPO:0.90|TN:0.10,2,0.0,0.1,0.9,0.0,0.0,29.21,2.7,-15.97,1.845,0.156,256,0,0,38.46,8.34,-15.97,2.433,0.511,340,0,0,False,1.845
MYB:0.80|TN:0.20,2,0.0,0.2,0.0,0.0,0.8,22.88,-3.64,-15.67,1.446,-0.212,43,0,0,30.53,0.43,-15.67,1.927,0.042,205,0,0,False,1.446
GOLD:0.10|MYB:0.70|TN:0.20,3,0.0,0.2,0.0,0.1,0.7,22.12,-4.43,-12.75,1.712,0.046,214,0,0,29.0,-1.15,-12.75,2.242,0.348,323,11,11,False,1.712
GOLD:0.20|MYB:0.60|TN:0.20,3,0.0,0.2,0.0,0.2,0.6,21.29,-5.28,-10.25,2.071,0.382,341,1,1,27.39,-2.78,-10.25,2.653,0.748,359,85,85,False,2.071
GOLD:0.30|MYB:0.50|TN:0.20,3,0.0,0.2,0.0,0.3,0.5,20.37,-6.24,-8.52,2.371,0.693,360,28,28,25.72,-4.54,-8.35,3.065,1.138,360,167,167,False,2.371
GOLD:0.40|MYB:0.40|TN:0.20,3,0.0,0.2,0.0,0.4,0.4,19.37,-7.23,-10.29,1.85,0.216,295,0,0,23.98,-6.29,-7.09,3.379,1.458,360,241,241,False,1.85
GOLD:0.50|MYB:0.30|TN:0.20,3,0.0,0.2,0.0,0.5,0.3,18.33,-8.28,-12.44,1.448,-0.201,34,0,0,22.14,-8.12,-6.41,3.485,1.539,360,258,258,False,1.448
GOLD:0.60|MYB:0.20|TN:0.20,3,0.0,0.2,0.0,0.6,0.2,17.22,-9.39,-14.55,1.163,-0.493,0,0,0,20.27,-10.01,-7.63,2.651,0.717,354,80,80,False,1.163
GOLD:0.70|MYB:0.10|TN:0.20,3,0.0,0.2,0.0,0.7,0.1,16.04,-10.56,-16.62,0.952,-0.714,0,0,0,18.33,-11.92,-9.2,2.006,0.029,208,0,0,False,0.952
GOLD:0.80|TN:0.20,2,0.0,0.2,0.0,0.8,0.0,14.8,-11.83,-18.66,0.784,-0.886,0,0,0,16.32,-13.93,-10.85,1.522,-0.424,1,0,0,False,0.784
