panel,subset,n,scheme,weights,cagr,cagr_lo,cagr_hi,dd,dd_worst,calmar,calmar_worst,d_cagr,d_dd,d_calmar,calmar_wins,cn_calmar,d_calmar_vs_cash,cash_wins
C,TN+MYB,2,MYB@20,MYB:0.20|TN:0.80,22.84,17.2,26.81,-15.32,-19.18,1.603,0.924,-7.56,0.68,-0.419,15/360,1.387,0.246,360/360
C,TN+MYB,2,MYB@25,MYB:0.25|TN:0.75,23.55,18.06,27.46,-14.51,-19.24,1.728,0.974,-6.89,1.32,-0.291,34/360,1.418,0.325,360/360
C,TN+MYB,2,MYB@33,MYB:0.33|TN:0.67,24.6,19.43,28.47,-13.44,-19.34,1.921,1.051,-5.69,2.46,-0.08,144/360,1.495,0.452,360/360
C,TN+MYB,2,MYB@67,MYB:0.67|TN:0.33,29.06,25.09,32.46,-14.69,-19.87,1.967,1.359,-1.1,1.16,0.061,224/360,2.265,-0.15,138/360
C,TN+MYB,2,MYB@75,MYB:0.75|TN:0.25,29.99,26.38,33.32,-15.28,-20.02,1.936,1.425,-0.19,0.55,0.056,214/360,2.705,-0.628,27/360
C,TN+MYB,2,MYB@80,MYB:0.80|TN:0.20,30.53,27.17,33.84,-15.67,-20.12,1.927,1.466,0.43,0.21,0.042,205/360,3.157,-1.154,0/360
C,TN+MYB,2,MYB@90,MYB:0.90|TN:0.10,31.53,28.75,34.84,-16.48,-20.32,1.892,1.544,1.6,-0.6,0.018,189/360,6.26,-4.269,0/360
C,TN+IPO,2,IPO@10,IPO:0.10|TN:0.90,22.05,16.07,26.37,-15.69,-18.11,1.549,0.912,-8.13,0.48,-0.498,1/360,1.289,0.25,360/360
C,TN+IPO,2,IPO@20,IPO:0.20|TN:0.80,24.2,18.43,28.58,-14.32,-16.78,1.846,1.133,-6.13,1.95,-0.199,67/360,1.387,0.496,360/360
C,TN+IPO,2,IPO@25,IPO:0.25|TN:0.75,25.34,19.6,29.68,-13.59,-16.24,1.997,1.257,-5.1,2.57,-0.04,160/360,1.418,0.581,360/360
C,TN+IPO,2,IPO@33,IPO:0.33|TN:0.67,27.17,21.48,31.41,-12.53,-15.37,2.244,1.478,-3.36,3.25,0.22,311/360,1.495,0.741,360/360
C,TN+IPO,2,IPO@67,IPO:0.67|TN:0.33,33.85,29.3,38.47,-12.93,-14.68,2.623,2.156,3.82,3.04,0.738,353/360,2.265,0.539,285/360
C,TN+IPO,2,IPO@75,IPO:0.75|TN:0.25,35.45,31.1,40.06,-13.77,-15.67,2.561,2.218,5.4,2.05,0.684,349/360,2.705,-0.05,175/360
C,TN+IPO,2,IPO@80,IPO:0.80|TN:0.20,36.48,32.22,41.03,-14.46,-16.28,2.524,2.181,6.44,1.36,0.615,347/360,3.157,-0.585,80/360
C,TN+IPO,2,IPO@90,IPO:0.90|TN:0.10,38.46,34.44,42.94,-15.97,-18.17,2.433,2.113,8.34,-0.14,0.511,340/360,6.26,-3.837,0/360
C,TN+GOLD,2,GOLD@10,GOLD:0.10|TN:0.90,19.63,14.1,23.49,-15.65,-18.87,1.448,0.785,-10.58,1.12,-0.578,0/360,1.289,0.156,360/360
C,TN+GOLD,2,GOLD@20,GOLD:0.20|TN:0.80,19.36,14.44,22.79,-13.7,-17.86,1.609,0.845,-10.99,2.85,-0.388,2/360,1.387,0.25,360/360
C,TN+GOLD,2,GOLD@25,GOLD:0.25|TN:0.75,19.2,14.58,22.41,-12.46,-17.37,1.707,0.876,-11.15,3.71,-0.279,13/360,1.418,0.286,360/360
C,TN+GOLD,2,GOLD@33,GOLD:0.33|TN:0.67,18.91,14.78,21.78,-10.51,-16.6,1.862,0.925,-11.4,5.16,-0.102,89/360,1.495,0.328,360/360
C,TN+GOLD,2,GOLD@67,GOLD:0.67|TN:0.33,17.18,15.15,18.59,-10.28,-13.73,1.703,1.125,-12.97,5.14,-0.283,60/360,2.265,-0.507,60/360
C,TN+GOLD,2,GOLD@75,GOLD:0.75|TN:0.25,16.67,15.13,17.72,-10.63,-13.18,1.592,1.166,-13.51,4.78,-0.369,8/360,2.705,-1.044,0/360
C,TN+GOLD,2,GOLD@80,GOLD:0.80|TN:0.20,16.32,15.09,17.17,-10.85,-12.85,1.522,1.189,-13.93,4.56,-0.424,1/360,3.157,-1.589,0/360
C,TN+GOLD,2,GOLD@90,GOLD:0.90|TN:0.10,15.58,14.97,16.0,-12.06,-12.8,1.301,1.169,-14.88,3.65,-0.615,0/360,6.26,-4.976,0/360
C,VCP+MYB,2,MYB@10,MYB:0.10|VCP:0.90,41.01,34.95,45.49,-19.73,-23.8,2.089,1.676,10.42,-4.03,0.109,229/360,,,n/a
C,VCP+MYB,2,MYB@20,MYB:0.20|VCP:0.80,40.23,34.8,44.2,-17.87,-21.53,2.249,1.838,9.67,-2.26,0.286,284/360,,,n/a
C,VCP+MYB,2,MYB@25,MYB:0.25|VCP:0.75,39.79,34.72,43.55,-17.01,-20.4,2.322,1.935,9.32,-1.4,0.374,307/360,,,n/a
C,VCP+MYB,2,MYB@33,MYB:0.33|VCP:0.67,39.07,34.55,42.48,-16.33,-18.58,2.4,2.096,8.68,-0.43,0.476,333/360,,,n/a
C,VCP+MYB,2,MYB@67,MYB:0.67|VCP:0.33,36.2,33.54,38.14,-14.63,-16.47,2.44,2.075,5.84,0.93,0.522,335/360,,,n/a
C,VCP+MYB,2,MYB@75,MYB:0.75|VCP:0.25,35.5,33.23,37.49,-15.14,-16.85,2.333,2.064,5.11,0.71,0.432,326/360,,,n/a
C,VCP+MYB,2,MYB@80,MYB:0.80|VCP:0.20,35.06,32.86,37.07,-15.2,-17.6,2.271,1.994,4.64,0.37,0.354,308/360,,,n/a
C,VCP+MYB,2,MYB@90,MYB:0.90|VCP:0.10,34.09,31.69,36.21,-16.3,-19.12,2.031,1.796,3.61,-0.63,0.157,248/360,,,n/a
C,VCP+IPO,2,IPO@10,IPO:0.10|VCP:0.90,42.1,35.98,46.47,-19.21,-23.27,2.183,1.743,11.32,-3.7,0.19,260/360,,,n/a
C,VCP+IPO,2,IPO@20,IPO:0.20|VCP:0.80,42.07,36.6,46.12,-17.11,-20.46,2.425,2.002,11.45,-1.48,0.497,330/360,,,n/a
C,VCP+IPO,2,IPO@25,IPO:0.25|VCP:0.75,41.88,36.88,45.91,-16.38,-19.05,2.535,2.156,11.49,-0.67,0.631,346/360,,,n/a
C,VCP+IPO,2,IPO@33,IPO:0.33|VCP:0.67,41.78,37.29,45.54,-15.63,-17.97,2.668,2.362,11.58,0.21,0.771,351/360,,,n/a
C,VCP+IPO,2,IPO@67,IPO:0.67|VCP:0.33,41.42,38.48,45.27,-15.68,-17.87,2.628,2.259,11.21,0.04,0.742,353/360,,,n/a
C,VCP+IPO,2,IPO@75,IPO:0.75|VCP:0.25,41.28,38.64,45.25,-16.01,-18.02,2.573,2.229,11.11,-0.32,0.663,350/360,,,n/a
