cand,offset,w3,cagr_med,cagr_min,dd_med,dd_worst,calmar_med
GNG3,4,0.2,30.53,30.02,-12.04,-13.3,2.54
GNG3,4,0.25,29.75,29.27,-11.38,-12.26,2.62
GNG3,4,0.33,28.47,28.05,-10.49,-10.7,2.74
GNG3,8,0.0,29.88,29.26,-15.99,-16.54,1.89
GNG3,8,0.1,28.75,28.19,-13.55,-15.05,2.13
GNG3,8,0.15,28.17,27.65,-12.48,-14.29,2.29
GNG3,8,0.2,27.58,27.09,-11.66,-13.54,2.38
GNG3,8,0.25,26.98,26.53,-10.96,-12.78,2.48
GNG3,8,0.33,26.02,25.61,-10.66,-11.56,2.5
GTAA_EW,0,0.0,29.63,29.16,-14.88,-16.69,2.02
GTAA_EW,0,0.1,28.5,28.08,-12.73,-13.91,2.25
GTAA_EW,0,0.15,27.91,27.53,-11.71,-12.65,2.44
GTAA_EW,0,0.2,27.34,26.97,-10.98,-11.52,2.54
GTAA_EW,0,0.25,26.74,26.4,-10.59,-10.84,2.53
GTAA_EW,0,0.33,25.79,25.49,-10.61,-10.87,2.44
GTAA_EW,4,0.0,30.87,30.44,-17.49,-18.87,1.77
GTAA_EW,4,0.1,29.62,29.23,-14.88,-15.91,1.98
GTAA_EW,4,0.15,28.97,28.61,-13.88,-14.58,2.1
GTAA_EW,4,0.2,28.33,27.99,-13.09,-13.61,2.21
GTAA_EW,4,0.25,27.68,27.36,-12.38,-12.67,2.25
GTAA_EW,4,0.33,26.62,26.34,-11.75,-12.07,2.29
GTAA_EW,8,0.0,27.15,26.7,-15.99,-16.54,1.72
GTAA_EW,8,0.1,26.28,25.88,-14.15,-15.07,1.88
GTAA_EW,8,0.15,25.83,25.46,-13.39,-14.33,1.96
GTAA_EW,8,0.2,25.38,25.03,-12.63,-13.59,2.04
GTAA_EW,8,0.25,24.92,24.59,-11.99,-12.84,2.08
GTAA_EW,8,0.33,24.16,23.88,-11.25,-11.94,2.13
GTAA_TF,0,0.0,29.63,29.16,-14.88,-16.69,2.02
GTAA_TF,0,0.1,28.18,27.76,-13.65,-14.85,2.08
GTAA_TF,0,0.15,27.45,27.05,-13.13,-13.92,2.13
GTAA_TF,0,0.2,26.7,26.34,-12.69,-13.25,2.13
GTAA_TF,0,0.25,25.96,25.63,-12.32,-13.03,2.13
GTAA_TF,0,0.33,24.77,24.47,-12.04,-12.68,2.08
GTAA_TF,4,0.0,30.87,30.44,-17.49,-18.87,1.77
GTAA_TF,4,0.1,29.3,28.91,-15.82,-16.83,1.85
GTAA_TF,4,0.15,28.5,28.13,-15.22,-15.98,1.88
GTAA_TF,4,0.2,27.7,27.36,-14.86,-15.13,1.9
GTAA_TF,4,0.25,26.89,26.57,-14.11,-14.74,1.91
GTAA_TF,4,0.33,25.59,25.31,-13.57,-14.21,1.91
GTAA_TF,8,0.0,27.15,26.7,-15.99,-16.54,1.72
GTAA_TF,8,0.1,25.96,25.57,-14.96,-15.65,1.75
GTAA_TF,8,0.15,25.37,24.99,-14.52,-15.31,1.77
GTAA_TF,8,0.2,24.76,24.41,-14.24,-14.98,1.77
GTAA_TF,8,0.25,24.15,23.82,-13.95,-14.66,1.75
GTAA_TF,8,0.33,23.16,22.87,-13.51,-14.14,1.73
TLS,0,0.0,27.16,26.67,-16.38,-16.69,1.65
TLS,0,0.1,24.83,24.41,-16.62,-16.81,1.48
TLS,0,0.15,23.67,23.27,-17.28,-17.46,1.36
TLS,0,0.2,22.5,22.13,-18.02,-19.11,1.25
TLS,0,0.25,21.32,20.98,-19.98,-21.6,1.08
TLS,0,0.33,19.43,19.13,-24.09,-25.47,0.81
TLS,4,0.0,27.62,27.14,-18.11,-18.87,1.53
TLS,4,0.1,25.25,24.82,-17.52,-18.32,1.44
TLS,4,0.15,24.06,23.66,-18.05,-18.15,1.33
TLS,4,0.2,22.86,22.49,-18.68,-19.65,1.22
TLS,4,0.25,21.66,21.31,-20.46,-22.09,1.06
TLS,4,0.33,19.73,19.43,-24.5,-25.88,0.81
TLS,8,0.0,25.23,24.76,-15.99,-16.54,1.6
TLS,8,0.1,23.12,22.69,-16.44,-17.1,1.41
TLS,8,0.15,22.05,21.65,-16.74,-17.48,1.31
TLS,8,0.2,20.97,20.61,-17.62,-18.69,1.19
TLS,8,0.25,19.89,19.56,-19.58,-21.23,1.02
TLS,8,0.33,18.16,17.87,-23.77,-25.16,0.77
TSHORT,0,0.0,27.16,26.67,-16.38,-16.69,1.65
TSHORT,0,0.1,24.45,24.02,-14.41,-15.43,1.69
TSHORT,0,0.15,23.09,22.7,-13.91,-14.8,1.66
TSHORT,0,0.2,21.75,21.37,-13.41,-14.18,1.62
TSHORT,0,0.25,20.39,20.04,-12.93,-13.56,1.58
TSHORT,0,0.33,18.22,17.91,-12.16,-12.57,1.5
TSHORT,4,0.0,27.62,27.14,-18.11,-18.87,1.53
TSHORT,4,0.1,24.88,24.45,-16.18,-17.4,1.54
TSHORT,4,0.15,23.51,23.11,-15.53,-16.67,1.51
TSHORT,4,0.2,22.13,21.76,-14.88,-15.94,1.49
TSHORT,4,0.25,20.76,20.41,-14.27,-15.22,1.46
