variant,symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
adx_30,HINDUNILVR,LONG,2018-12-11,2019-02-11,1781.00,1804.80,55,62,MAX_HOLD,1309.00,1111.78
adx_30,RELIANCE,LONG,2019-02-07,2019-02-13,624.50,596.05,163,6,INITIAL_STOP,-4636.59,-4835.54
adx_30,TRENT,LONG,2019-01-01,2019-02-15,362.30,337.35,277,45,INITIAL_STOP,-6911.32,-7105.12
adx_30,AXISBANK,LONG,2019-02-08,2019-02-15,727.00,692.04,140,7,INITIAL_STOP,-4894.55,-5093.22
adx_30,TCS,LONG,2019-02-12,2019-02-18,2070.00,1993.36,49,6,INITIAL_STOP,-3755.31,-3954.41
adx_30,HCLTECH,LONG,2019-02-12,2019-02-20,538.00,514.42,189,8,INITIAL_STOP,-4457.54,-4656.45
adx_30,PERSISTENT,LONG,2019-02-06,2019-02-22,321.50,303.29,316,16,INITIAL_STOP,-5753.70,-5951.14
adx_30,TITAN,LONG,2019-02-06,2019-02-27,1066.00,1016.02,95,21,INITIAL_STOP,-4748.03,-4945.82
adx_30,INFY,LONG,2019-02-05,2019-03-08,747.00,714.64,136,31,INITIAL_STOP,-4401.42,-4600.20
adx_30,WIPRO,LONG,2019-02-07,2019-03-08,137.15,130.54,742,29,INITIAL_STOP,-4908.09,-5106.71
adx_30,HDFCLIFE,LONG,2019-03-08,2019-03-12,389.10,368.01,252,4,INITIAL_STOP,-5315.37,-5506.16
adx_30,ULTRACEMCO,LONG,2019-03-12,2019-03-25,4063.90,3864.64,23,13,INITIAL_STOP,-4583.02,-4765.38
adx_30,TECHM,LONG,2019-02-14,2019-03-27,763.80,726.01,132,41,INITIAL_STOP,-4988.55,-5185.20
adx_30,COFORGE,LONG,2019-01-29,2019-04-01,260.00,267.00,391,62,MAX_HOLD,2737.00,2530.94
adx_30,BAJAJ-AUTO,LONG,2019-03-14,2019-04-02,2937.50,2813.93,32,19,INITIAL_STOP,-3954.11,-4138.16
adx_30,HAL,LONG,2019-03-28,2019-04-22,370.00,348.02,258,25,INITIAL_STOP,-5672.11,-5857.36
adx_30,TATAMOTORS,LONG,2019-04-23,2019-04-24,235.00,218.47,404,1,INITIAL_STOP,-6677.28,-6860.48
adx_30,SBILIFE,LONG,2019-03-01,2019-04-30,581.95,639.85,168,60,MAX_HOLD,9727.20,9521.94
adx_30,POWERGRID,LONG,2019-04-02,2019-04-30,106.70,101.11,899,28,INITIAL_STOP,-5025.08,-5211.90
adx_30,GODREJPROP,LONG,2019-04-03,2019-04-30,890.00,818.80,107,27,INITIAL_STOP,-7618.40,-7801.24
adx_30,JINDALSTEL,LONG,2019-03-08,2019-05-07,164.65,169.30,596,60,MAX_HOLD,2771.40,2572.37
adx_30,VOLTAS,LONG,2019-03-12,2019-05-08,626.50,593.67,155,57,INITIAL_STOP,-5087.90,-5277.03
adx_30,ITC,LONG,2019-04-25,2019-05-09,265.75,256.77,354,14,INITIAL_STOP,-3178.79,-3363.76
adx_30,HCLTECH,LONG,2019-05-02,2019-05-09,585.00,556.05,160,7,INITIAL_STOP,-4632.57,-4815.13
adx_30,HDFCLIFE,LONG,2019-03-13,2019-05-13,367.50,402.65,263,61,MAX_HOLD,9244.45,9041.90
adx_30,SHREECEM,LONG,2019-03-13,2019-05-13,18092.45,18817.15,5,61,MAX_HOLD,3623.50,3438.95
adx_30,PNB,LONG,2019-03-15,2019-05-13,82.90,77.23,1166,59,INITIAL_STOP,-6607.27,-6793.99
adx_30,NTPC,LONG,2019-03-26,2019-05-13,136.00,126.10,707,48,INITIAL_STOP,-6997.35,-7182.66
adx_30,GRASIM,LONG,2019-05-02,2019-05-13,896.45,846.88,104,11,INITIAL_STOP,-5155.19,-5336.49
adx_30,CIPLA,LONG,2019-05-02,2019-05-13,563.00,538.60,166,11,INITIAL_STOP,-4050.81,-4233.67
adx_30,KOTAKBANK,LONG,2019-05-08,2019-07-08,1404.00,1475.30,67,61,MAX_HOLD,4777.10,4584.19
adx_30,MCX,LONG,2019-05-09,2019-07-08,828.55,816.30,113,60,MAX_HOLD,-1384.25,-1570.12
adx_30,TRENT,LONG,2019-05-13,2019-07-12,374.00,453.55,248,60,MAX_HOLD,19728.40,19523.17
