symbol,cohort,best_timeframe,best_variant,best_direction,best_exit_policy,best_n,best_mean_pct,best_win_rate,best_payoff,best_sharpe,robust_cells_count,promote
GRASIM,B,15min,s_vm1.5_gapoff_norsi,short,T_ATR_SL_1.0,11,0.4111,72.73,0.805,0.22294,0,False
TCS,A,15min,s_vm1.5_gap0.003_norsi,short,T_R_TARGET_1.5R,38,0.3375,65.79,1.258,0.2204,0,False
COLPAL,B,15min,s_vm1.5_gap0.005_rsi40_60,short,T_NO,12,0.5975,50.0,2.75,0.21968,0,False
BHARTIARTL,A,5min,s_vm3.0_gap0.000_norsi,short,T_NO,24,0.5864,62.5,1.644,0.216,0,False
M&M,B,5min,s_vm1.5_gapoff_rsi40_60,short,T_R_TARGET_1.0R,15,0.455,53.33,2.389,0.21359,0,False
SBILIFE,B,5min,s_vm2.0_gapoff_norsi,short,T_NO,11,0.5279,54.55,2.799,0.21091,0,False
INFY,A,5min,l_vm3.0_gap0.003_rsi40_60,long,T_ATR_SL_0.3,29,0.5315000000000001,51.72,2.565,0.20771,0,False
IRCTC,B,15min,s_vm2.0_gap0.003_norsi,short,T_ATR_SL_1.0,10,0.4299,60.0,1.754,0.20731,0,False
BANKBARODA,B,15min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_1.0R,11,0.7442,54.55,2.528,0.19971,0,False
INDUSINDBK,B,10min,l_vm1.5_gapoff_norsi,long,T_ATR_SL_0.3,23,0.5027,52.17,2.41,0.18979,0,False
CIPLA,B,15min,s_vm1.5_gap0.005_norsi,short,T_R_TARGET_1.0R,19,0.1929,63.16,1.116,0.18388,0,False
TECHM,B,5min,l_vm2.0_gapoff_rsi40_60,long,T_CHANDELIER_1.0,16,0.5301,56.25,1.584,0.18359,0,False
NTPC,B,15min,s_vm1.5_gapoff_norsi,short,T_R_TARGET_1.0R,11,0.7907000000000001,54.55,2.782,0.18055,0,False
HDFCLIFE,B,10min,s_vm1.5_gap0.005_norsi,short,T_NO,12,0.2886,66.67,0.912,0.17381,0,False
DIVISLAB,B,10min,l_vm1.5_gap0.005_norsi,long,T_CHANDELIER_1.0,14,0.3869,64.29,1.133,0.17336,0,False
HDFCBANK,A,15min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_1.0R,46,0.25,69.57,0.892,0.16812,0,False
TATAPOWER,B,10min,l_vm1.5_gap0.005_norsi,long,T_R_TARGET_1.0R,14,0.211,64.29,1.008,0.16797,0,False
HINDALCO,B,15min,s_vm1.5_gap0.003_norsi,short,T_R_TARGET_1.0R,11,0.34090000000000004,63.64,0.982,0.13938,0,False
TATASTEEL,B,5min,l_vm3.0_gap0.000_rsi40_60,long,T_ATR_SL_0.3,11,0.4829,45.45,2.832,0.13741,0,False
DRREDDY,B,5min,l_vm3.0_gapoff_norsi,long,T_NO,10,0.35409999999999997,50.0,2.07,0.13166,0,False
BRITANNIA,B,15min,s_vm2.0_gapoff_norsi,short,T_ATR_SL_0.3,12,0.6295000000000001,41.67,4.078,0.12687,0,False
HEROMOTOCO,B,10min,s_vm1.5_gapoff_rsi40_60,short,T_R_TARGET_1.0R,11,0.271,63.64,0.919,0.12394,0,False
APOLLOHOSP,B,10min,s_vm1.5_gap0.005_norsi,short,T_ATR_SL_0.3,15,0.1838,53.33,1.464,0.11431,0,False
MARICO,B,10min,s_vm1.5_gapoff_rsi40_60,short,T_R_TARGET_1.0R,10,0.1464,60.0,0.91,0.08715,0,False
GAIL,B,15min,s_vm2.0_gap0.000_norsi,short,T_STEP_TRAIL,29,0.3588,41.38,5.398,0.08587,0,False
MCX,B,10min,s_vm2.0_gap0.000_rsi40_60,short,T_R_TARGET_2.0R,12,0.5687,50.0,1.521,0.06958,0,False
PAYTM,B,10min,l_vm1.5_gapoff_norsi,long,T_R_TARGET_1.0R,16,0.10250000000000001,56.25,0.892,0.03171,0,False
JSWSTEEL,B,15min,l_vm3.0_gap0.000_norsi,long,T_ATR_SL_0.3,13,0.056999999999999995,30.77,2.531,0.01449,0,False
