date,side,dte,bkt,entry,target,exit_reason,captured,mfe,mae,dist_pct,width_pct
2025-03-07,bull,6,3+,22560.35,22652.149088541664,st_flip,-75.25,3.400000000001455,-75.25,0.2830054940915383,0.425169300654034
2025-03-12,bull,1,1,22533.25,22575.100260416664,st_flip,-103.15000000000146,0.8499999999985448,-107.29999999999927,0.28087926791976736,0.23517850513354757
2025-03-17,bull,3,3+,22504.2,22511.050130208336,target,6.850130208335031,15.099999999998545,-4.650000000001455,0.1563529287259355,0.21026410614013794
2025-03-21,bull,6,3+,23195.0,23280.25,target,85.25,104.45000000000073,-39.900000000001455,0.17167891403106172,0.27430117186235475
2025-03-25,bull,2,2,23726.3,23766.899739583336,target,40.599739583336486,67.85000000000218,-61.39999999999782,0.41102776842163946,0.2448255461058702
2025-03-28,bull,6,3+,23604.9,23688.19921875,st_flip,-64.0,44.29999999999927,-99.95000000000073,0.14036110087117473,0.1769037812918425
2025-04-02,bear,1,1,23205.1,23013.016276041664,st_flip,-41.400000000001455,46.64999999999782,-45.900000000001455,0.10581511362100712,0.5319977690441596
2025-04-03,bear,0,0DTE,23218.65,23210.532552083336,st_flip,-84.04999999999927,5.25,-85.34999999999854,0.14934842907002738,0.22497908594418115
2025-04-09,bear,1,1,22412.35,22305.399739583336,time,16.149999999997817,59.099999999998545,-56.35000000000218,0.32713015437238474,0.15382755443309198
2025-04-16,bear,1,1,23285.3,23234.250651041664,st_flip,-72.40000000000146,1.25,-75.15000000000146,0.01210072218462676,0.11673463976621178
2025-04-17,bear,0,0DTE,23357.65,23322.766927083336,target,34.8830729166657,50.20000000000073,-4.049999999999272,0.01912241980868412,0.2124453657866184
2025-04-30,bear,1,1,24320.35,24265.249348958336,st_flip,-61.20000000000073,40.44999999999709,-65.75,0.12776058002854,0.10475966913905872
2025-05-02,bull,6,3+,24410.3,24420.649739583336,target,10.349739583336486,19.25,-24.399999999997817,0.364226801398345,0.10077101731389056
2025-05-05,bull,3,3+,24435.8,24544.399739583336,st_flip,-13.0,90.60000000000218,-32.70000000000073,0.09449335444010507,0.18325785147797555
2025-05-07,bear,1,1,24366.25,24304.383463541664,st_flip,-60.95000000000073,17.049999999999272,-70.34999999999854,0.11310167508825784,0.11313901824487693
2025-05-08,bull,0,0DTE,24398.45,24502.666666666664,st_flip,-21.400000000001455,18.5,-27.950000000000728,0.041680363550477995,0.21720752836159973
2025-05-13,bull,2,2,24868.35,25120.050130208336,st_flip,-85.84999999999854,8.55000000000291,-87.89999999999782,0.12880224954970243,0.7048302628024629
2025-05-16,bull,6,3+,25003.5,25287.416666666664,st_flip,-47.0,66.5,-50.45000000000073,0.10845443267046014,0.6829006854939695
2025-05-21,bear,1,1,24723.55,24565.616536458336,st_flip,-14.75,30.899999999997817,-29.850000000002183,0.05169577486015661,0.42063381307440817
2025-05-28,bear,1,1,24817.75,24665.899088541664,st_flip,13.599999999998545,22.099999999998545,-46.5,0.11899518440215137,0.1538327628444005
2025-05-29,bull,0,0DTE,24845.2,24832.115885416664,target,-13.084114583336486,25.849999999998545,-51.400000000001455,0.1905313951404052,0.12944203480886587
2025-06-03,bull,2,2,24691.85,24805.283203125,st_flip,-23.149999999997817,13.950000000000728,-37.599999999998545,0.014692781395364668,0.20528603502741435
2025-06-04,bear,1,1,24571.25,24414.733723958336,st_flip,-23.950000000000728,40.79999999999927,-40.54999999999927,0.056018246136919435,0.35592453178449185
2025-06-16,bull,3,3+,24788.3,24824.299479166664,st_flip,-75.04999999999927,29.350000000002183,-81.79999999999927,0.42586056529539845,0.2828274296282571
2025-06-18,bear,1,1,24831.45,24784.049479166664,st_flip,-48.29999999999927,1.6500000000014552,-50.79999999999927,0.15279460075666876,0.11961159005474653
2025-06-25,bull,1,1,25161.9,25241.466145833336,target,79.5661458333343,83.44999999999709,-12.950000000000728,0.012527782913552077,0.3031093917844652
2025-06-26,bull,0,0DTE,25282.75,25299.350260416664,target,16.60026041666424,58.20000000000073,0.0,0.21834994957581227,0.1288121554978115
2025-06-27,bull,6,3+,25597.8,25656.233723958336,time,49.79999999999927,56.400000000001455,-74.25,0.3658277036052915,0.35553109069536376
2025-07-03,bull,0,0DTE,25522.75,25581.416666666664,st_flip,-32.849999999998545,53.95000000000073,-93.0,0.10831243677734757,0.10461806739960149
2025-07-04,bear,6,3+,25411.95,25330.600260416664,st_flip,15.049999999999272,80.29999999999927,-31.0,0.07678465887825359,0.2113715286312034
2025-07-07,bull,3,3+,25445.2,25510.283203125,st_flip,-23.200000000000728,44.599999999998545,-28.150000000001455,0.02501567383876727,0.15729860621324965
2025-07-11,bear,6,3+,25288.45,25289.115885416664,target,-0.6658854166635138,6.25,-15.75,0.3641451037067709,0.2032560564365614
2025-07-14,bear,3,3+,25100.6,25078.416666666664,target,22.183333333334303,48.44999999999709,-4.05000000000291,0.30156176481307767,0.20113057250973482
2025-07-18,bear,6,3+,25087.3,25062.182942708336,target,25.117057291663514,26.200000000000728,-9.700000000000728,0.17586737344782966,0.15459696912670878
2025-07-21,bear,3,3+,24955.2,24876.500651041664,st_flip,-41.20000000000073,72.90000000000146,-43.0,0.13210632591969085,0.1686057025614455
2025-07-22,bull,2,2,25129.55,25173.966145833336,st_flip,-43.70000000000073,16.100000000002183,-53.04999999999927,0.2874187023468131,0.24860581447405894
2025-07-23,bull,1,1,25132.55,25150.083333333336,target,17.533333333336486,19.850000000002183,-47.04999999999927,0.09477018846946537,0.126958997216174
2025-07-24,bull,0,0DTE,25204.1,25273.766927083336,st_flip,-15.44999999999709,10.30000000000291,-20.75,0.01459029887797938,0.15951530538137154
2025-07-28,bear,3,3+,24787.8,24758.783203125,target,29.016796874999272,43.64999999999782,-101.40000000000146,0.28824108643415586,0.1919358507734304
2025-07-29,bear,2,2,24684.5,24588.600260416664,st_flip,-38.599999999998545,30.799999999999272,-38.599999999998545,0.098335673624629,0.23567726058003977
2025-07-30,bull,1,1,24862.0,24912.633463541664,time,-7.450000000000728,40.29999999999927,-90.04999999999927,0.2976727054741446,0.26308565919657473
2025-08-08,bull,6,3+,24573.0,24705.516276041664,st_flip,-57.5,8.950000000000728,-58.650000000001455,0.05238757762341202,0.2905652333710105
