date,baseline,vwap,htf,rsi50,cpr,bb,confluence,fast_pair
2024-08-02,-2850.87,-2850.87,709.44,-2850.87,-2850.87,-2850.87,709.44,-6370.78
2024-08-05,-2067.14,-2067.14,-2067.14,-2067.14,-2067.14,-2067.14,-2067.14,-13184.19
2024-08-07,560.85,560.85,-5.91,560.85,560.85,560.85,-5.91,-10092.06
2024-08-08,-6552.88,-7015.23,1516.84,-6552.88,-1740.32,-6552.88,1516.84,-10343.80
2024-08-09,-3290.38,-4127.33,-3759.01,-3290.38,-2777.45,-3290.38,-5546.11,-14562.30
2024-08-12,-9233.52,-9233.52,-3388.38,-8606.74,-5938.82,-9233.52,-3388.38,-4830.93
2024-08-13,-8516.65,-8516.65,-1261.42,-8516.65,-9273.94,-8516.65,-1261.42,-10602.53
2024-08-16,2903.08,2903.08,346.80,2903.08,-1160.38,2903.08,346.80,3559.37
2024-08-19,-2307.69,-2307.69,-1796.81,-2307.69,-2307.69,-2307.69,-1796.81,-8907.23
2024-08-20,-1892.78,-1892.78,-494.87,-1892.78,-1892.78,-1892.78,-494.87,-6299.88
2024-08-21,-3167.04,-3167.04,-4389.91,-3167.04,-3232.30,-3167.04,-2831.37,-399.35
2024-08-23,-1055.90,-1055.90,692.89,-1055.90,-1801.29,-1055.90,692.89,-795.71
2024-08-26,-7650.23,-7650.23,-6029.06,-7650.23,-7650.23,-7650.23,-6029.06,-9503.53
2024-08-27,-929.58,-929.58,-542.07,-929.58,-929.58,-929.58,-542.07,-10305.04
2024-08-28,-2945.32,-2945.32,2312.02,-2945.32,176.93,-2945.32,2312.02,-1609.04
2024-08-29,-5418.42,-5418.42,130.69,-3321.40,-3822.12,-5418.42,130.69,-9860.76
2024-09-02,-8960.13,-8960.13,-5550.31,-8960.13,-7567.52,-8960.13,-5550.31,-3112.16
2024-09-03,-6681.41,-6681.41,-6671.82,-6681.41,-5634.96,-6681.41,-4632.41,-5095.45
2024-09-04,-2916.42,-2916.42,-1019.90,-2916.42,-3163.40,-2916.42,-1019.90,-6519.58
2024-09-05,-705.76,-905.37,628.10,-705.76,-464.18,-705.76,628.10,-2311.19
2024-09-06,1165.83,1165.83,2035.36,1165.83,1165.83,1165.83,2035.36,-427.06
2024-09-09,-9136.66,-9136.66,-4631.23,-10015.56,-6291.01,-9136.66,-4470.08,-16174.90
2024-09-10,348.91,348.91,-985.48,348.91,-232.88,351.09,-2330.46,-5121.37
2024-09-11,-6072.05,-6072.05,2813.30,-6072.05,-1747.66,-6072.05,291.76,-10984.64
2024-09-12,462.38,453.70,-1622.97,462.38,-1734.65,462.38,-1397.24,-11328.33
2024-09-13,-2270.17,-2270.17,0.00,-1139.62,-1620.77,-2270.17,0.00,-4771.38
2024-09-16,-2886.31,-2886.31,-2582.12,-2886.31,-3278.24,-2886.31,-2582.12,-5633.25
2024-09-17,-1786.62,-1786.62,-66.99,-1786.62,-2761.26,-1786.62,-66.99,567.46
2024-09-18,-1579.69,-3468.92,-6465.72,-1579.69,-3503.32,-1579.69,-6465.72,1407.27
2024-09-19,-726.38,-726.38,-6542.74,-726.38,-320.04,-726.38,-4733.22,3850.66
2024-09-20,-681.18,-681.18,2366.24,-681.18,493.82,-681.18,2366.24,-3712.78
2024-09-24,1591.36,1591.36,0.00,1591.36,0.00,1591.36,0.00,-10957.91
2024-09-25,-3249.85,-3249.85,-3410.81,-3249.85,-3249.85,-3249.85,-3410.81,-6514.70
2024-09-26,715.50,715.50,1823.13,715.50,-616.36,715.50,1823.13,-8053.14
2024-09-27,2559.21,2559.21,2766.09,2559.21,3506.74,2559.21,2766.09,-1236.08
2024-09-30,-3855.12,-3855.12,-3446.39,-3855.12,1408.31,-3855.12,-3446.39,-11943.76
2024-10-03,-4028.58,-578.86,4.63,-4028.58,-4028.58,-4028.58,1638.45,-5581.55
2024-10-04,-9338.46,-9338.46,-4113.91,-9338.46,-8539.96,-9338.46,-4113.91,-8524.49
2024-10-07,4174.28,4174.28,4174.28,4174.28,4174.28,4174.28,4174.28,6643.36
2024-10-08,-5503.97,-5503.97,-5373.30,-5503.97,-5896.97,-5503.97,-3416.34,-11392.88
2024-10-10,967.80,967.80,-1070.79,967.80,-2876.24,967.80,-1070.79,2339.98
2024-10-11,-3437.21,-3437.21,-1793.08,-3437.21,-2479.32,-3437.21,-1261.36,-7064.42
2024-10-14,508.89,508.89,1055.41,508.89,1055.41,508.89,1055.41,-4225.31
2024-10-15,-8351.47,-8351.47,-4339.69,-8351.47,-8351.47,-8351.47,-4339.69,-3242.87
2024-10-16,-4426.58,-5407.33,-3417.98,-4426.58,-4426.58,-4426.58,-2160.47,3049.66
2024-10-18,7439.69,7439.69,0.00,7439.69,4709.58,7439.69,0.00,-1220.50
2024-10-21,3545.42,3545.42,984.13,3545.42,1135.99,3545.42,984.13,-18057.16
2024-10-22,967.74,967.74,-650.72,967.74,-650.72,967.74,-650.72,-7311.93
2024-10-23,-1801.97,-1801.97,1349.40,-1801.97,-2699.17,-1801.97,-1025.30,-5407.26
2024-10-24,-7717.02,-7717.02,-2765.60,-7717.02,-7644.18,-7717.02,-2765.60,-14047.37
2024-10-28,2929.39,2929.39,0.00,2929.39,368.66,2929.39,0.00,-2959.02
2024-10-29,5393.53,5393.53,877.71,5393.53,3377.88,5393.53,877.71,-1732.66
2024-10-30,3919.86,507.86,-1464.87,3919.86,1792.53,3919.86,-1464.87,12086.70
2024-10-31,-8564.48,-8564.48,-8564.48,-8564.48,-5289.52,-4149.88,-8564.48,-12896.04
2024-11-04,8205.99,8205.99,1646.09,8205.99,8205.99,8205.99,1646.09,2984.26
2024-11-05,-3475.86,-3475.86,-1585.84,-3475.86,-3475.86,-3475.86,-1585.84,-9493.37
2024-11-06,-2283.56,-2283.56,0.00,-2283.56,430.04,-2283.56,0.00,-1317.38
2024-11-07,1742.77,141.40,-2186.08,141.40,-1666.38,1742.77,-288.62,1620.84
2024-11-08,-5071.16,-5071.16,-5294.71,-5071.16,-3384.96,-5071.16,-5294.71,-10076.44
2024-11-11,-1181.20,-1181.20,-281.81,-1181.20,-1181.20,-1181.20,-281.81,4107.66
2024-11-12,-3308.62,-3308.62,2174.93,-3308.62,-6373.53,-3308.62,734.71,-9436.36
2024-11-13,1677.09,1677.09,1677.09,1677.09,1677.09,1677.09,1677.09,-7908.44
2024-11-14,-2412.49,-2412.49,-1942.78,-2412.49,-2412.49,-2412.49,-1942.78,1131.37
2024-11-19,-9522.88,-9522.88,780.12,-9522.88,-4721.24,-9522.88,-786.94,4473.65
2024-11-21,-4704.58,-4704.58,-3742.43,-4704.58,-3726.01,-3614.81,-3742.43,-8654.27
2024-11-22,6545.98,6545.98,4515.35,6545.98,6545.98,6545.98,4515.35,-6793.20
