,winner,nifty
2022-02-28,2.613846572265838,2.298862199747156
2022-03-31,2.750201187647811,2.3877370417193426
2022-04-30,2.680872435425305,2.3442477876106196
2022-05-31,2.545217051533234,2.273957016434893
2022-06-30,2.4074028829930416,2.1694058154235147
2022-07-31,2.529351922317609,2.3582806573957016
2022-08-31,2.5771600431102724,2.451580278128951
2022-09-30,2.4940822823316395,2.3619469026548674
2022-10-31,2.5408752184995644,2.481289506953224
2022-11-30,2.617579021539365,2.5878634639696587
2022-12-31,2.634231663112191,2.503666245259166
2023-01-31,2.7039425984142333,2.4455120101137804
2023-02-28,2.6557951237786774,2.398230088495575
2023-03-31,2.822982982411659,2.4002528445006326
2023-04-30,2.8662810622959762,2.4941845764854613
2023-05-31,2.9781062006123853,2.574715549936789
2023-06-30,2.9825655474488246,2.662579013906448
2023-07-31,3.1005112173864973,2.7506953223767385
2023-08-31,3.074466002968611,2.6898862199747158
2023-09-30,3.0714645377664986,2.740202275600506
2023-10-31,3.071533722146687,2.667256637168142
2023-11-30,3.3194240627737934,2.8082174462705436
2023-12-31,3.4687437130316283,3.0297092288242733
2024-01-31,3.5486951413900987,3.0374209860935526
2024-02-29,3.5909223960357655,3.0752212389380533
2024-03-31,3.7646758700449925,3.12212389380531
2024-04-30,3.919680755147916,3.1613147914032873
2024-05-31,4.037488723998909,3.1750948166877375
2024-06-30,4.165662449385263,3.3815423514538563
2024-07-31,4.132231379451883,3.511378002528445
2024-08-31,4.21508772629279,3.5534766118836916
2024-09-30,4.332757491209768,3.6457648546144124
2024-10-31,4.328106783844412,3.4214917825537294
2024-11-30,4.332663098857533,3.4118836915297095
2024-12-31,4.629438261959382,3.3434892541087238
2025-01-31,4.55991935027947,3.3249051833122634
2025-02-28,4.340057755433624,3.140960809102402
2025-03-31,4.487240605578282,3.3275600505689003
2025-04-30,4.613537494511193,3.4385587863463973
2025-05-31,4.740475564299123,3.514159292035399
2025-06-30,4.901383935792138,3.62212389380531
2025-07-31,4.971884737658689,3.5304677623261695
2025-08-31,5.021815455596901,3.490012642225032
2025-09-30,5.435268290881847,3.5084702907711756
2025-10-31,5.755694531703792,3.6798988621997473
2025-11-30,5.853365619112958,3.7482932996207334
2025-12-31,5.949691750213337,3.733375474083439
2026-01-31,6.457885018053702,3.6249051833122636
2026-02-28,6.505286055909828,3.6067003792667514
2026-03-31,6.021470943265736,3.204045512010114
2026-04-30,6.904682545910812,3.438811630847029
2026-05-31,7.258556397385499,3.3853350189633375
2026-06-30,7.015126878355328,3.3863463969658665
