label,family,window,cagr,sharpe,max_drawdown,calmar,vol,n_months,start,end,final_mult
Mom+LowVol+Gold+Nasdaq_invvol,combined,2016-26,21.456,1.592,-12.74,1.684,12.81,117,2016-03-31,2026-06-30,6.654
Mom+Gold+Nasdaq_equal,combined,2016-26,21.596,1.571,-14.636,1.476,13.08,117,2016-03-31,2026-06-30,6.729
Mom+Gold+Nasdaq_invvol,combined,2016-26,22.116,1.679,-12.464,1.774,12.451,117,2016-03-31,2026-06-30,7.015
AllFactors+Gold+Nasdaq_equal,combined,2016-26,19.114,1.374,-16.202,1.18,13.483,117,2016-03-31,2026-06-30,5.504
AllFactors+Gold+Nasdaq_invvol,combined,2016-26,18.312,1.357,-17.343,1.056,13.106,117,2016-03-31,2026-06-30,5.153
Nifty+Gold+Nasdaq (res63)_equal,combined,2016-26,19.72,1.567,-11.258,1.752,12.024,124,2016-03-31,2026-06-30,6.423
Nifty+Gold+Nasdaq (res63)_invvol,combined,2016-26,18.797,1.61,-11.225,1.674,11.151,124,2016-03-31,2026-06-30,5.929
BUYHOLD NiftyETF,bench,2016-26,10.078,0.69,-28.811,0.35,15.824,137,2015-02-28,2026-06-30,2.993
BUYHOLD Nifty50,bench,2010-26,10.413,0.685,-29.344,0.355,16.523,191,2010-02-28,2026-06-30,4.839
5factors_equal,basket,2016-26,17.265,1.048,-22.681,0.761,16.626,117,2016-03-31,2026-06-30,4.725
Mom+LowVol_equal,basket,2016-26,19.512,1.008,-22.895,0.852,19.606,117,2016-03-31,2026-06-30,5.686
5factors_invvol,basket,2016-26,16.308,1.011,-22.246,0.733,16.358,117,2016-03-31,2026-06-30,4.362
Mom+LowVol_invvol,basket,2016-26,19.068,0.981,-22.653,0.842,19.777,117,2016-03-31,2026-06-30,5.483
