symbol,side,entry_dt,entry_price,exit_dt,exit_price,exit_reason,candles_held,return_pct
TCS,long,2024-05-09 12:15:00,3963.1,2024-05-10 10:45:00,3923.5,X9_chand,9,-0.9992
HINDUNILVR,long,2024-05-14 09:15:00,2366.05,2024-05-14 13:45:00,2355.9,X9_chand,9,-0.429
ITC,long,2024-05-22 09:15:00,378.25,2024-05-27 11:45:00,378.4,X9_chand,29,0.0397
INFY,long,2024-05-22 10:15:00,1450.1,2024-05-29 09:15:00,1460.0,X9_chand,46,0.6827
KOTAKBANK,long,2024-05-22 11:45:00,1693.95,2024-05-22 13:15:00,1695.05,X9_chand,3,0.0649
ITC,long,2024-05-23 09:15:00,381.75,2024-05-27 11:45:00,378.4,X9_chand,17,-0.8775
BHARTIARTL,long,2024-05-23 14:15:00,1368.05,2024-05-28 09:15:00,1375.95,X9_chand,14,0.5775
KOTAKBANK,long,2024-05-27 09:45:00,1720.0,2024-05-28 14:15:00,1704.6,X9_chand,21,-0.8953
SBIN,long,2024-05-27 11:45:00,833.05,2024-05-29 09:45:00,825.6,X9_chand,20,-0.8943
HDFCBANK,long,2024-05-31 14:15:00,766.25,2024-06-03 09:15:00,782.5,X9_chand,2,2.1207
TCS,long,2024-06-10 13:45:00,3868.45,2024-06-10 14:15:00,3859.9,X9_chand,1,-0.221
HINDUNILVR,long,2024-06-11 09:15:00,2575.4,2024-06-12 10:15:00,2538.0,X9_chand,14,-1.4522
TCS,long,2024-06-11 11:45:00,3870.05,2024-06-11 13:45:00,3859.7,X9_chand,4,-0.2674
RELIANCE,long,2024-06-12 10:15:00,1469.55,2024-06-14 09:15:00,1459.0,X9_chand,22,-0.7179
RELIANCE,long,2024-06-12 10:15:00,1470.75,2024-06-14 09:15:00,1459.0,X9_chand,22,-0.7989
TCS,long,2024-06-13 10:15:00,3879.9,2024-06-14 10:45:00,3840.0,X9_chand,13,-1.0284
RELIANCE,long,2024-06-13 13:15:00,1469.0,2024-06-14 09:15:00,1459.0,X9_chand,4,-0.6807
INFY,long,2024-06-13 14:45:00,1496.0,2024-06-14 09:15:00,1487.25,X9_chand,1,-0.5849
BHARTIARTL,long,2024-06-14 14:45:00,1430.65,2024-06-18 11:15:00,1421.55,X9_chand,5,-0.6361
SBIN,long,2024-06-18 09:45:00,849.05,2024-06-19 10:15:00,842.65,X9_chand,13,-0.7538
RELIANCE,long,2024-06-19 09:15:00,1487.5,2024-06-19 10:15:00,1465.0,X9_chand,2,-1.5126
INFY,long,2024-06-19 11:45:00,1507.05,2024-06-21 12:15:00,1527.25,X9_chand,25,1.3404
SBIN,long,2024-06-19 14:15:00,855.05,2024-06-20 12:15:00,846.7,X9_chand,8,-0.9766
ICICIBANK,long,2024-06-20 12:45:00,1148.25,2024-06-28 11:15:00,1211.0,X9_chand,57,5.4648
KOTAKBANK,long,2024-06-21 12:15:00,1767.85,2024-06-28 12:15:00,1814.0,X9_chand,48,2.6105
HDFCBANK,long,2024-06-21 13:45:00,826.05,2024-06-28 14:45:00,840.5,X9_chand,50,1.7493
HDFCBANK,long,2024-06-26 10:45:00,851.05,2024-06-28 14:45:00,840.5,X9_chand,32,-1.2396
INFY,long,2024-06-27 10:45:00,1548.0,2024-06-28 14:45:00,1565.25,X9_chand,20,1.1143
SBIN,long,2024-06-28 09:45:00,855.45,2024-06-28 14:45:00,847.15,X9_chand,10,-0.9702
TCS,long,2024-07-01 09:45:00,3939.05,2024-07-05 10:45:00,3998.75,X9_chand,38,1.5156
HDFCBANK,long,2024-07-01 11:15:00,849.45,2024-07-04 10:45:00,865.9,X9_chand,23,1.9365
RELIANCE,long,2024-07-02 10:45:00,1567.25,2024-07-09 11:15:00,1587.7,X9_chand,49,1.3048
HDFCBANK,long,2024-07-02 12:15:00,864.35,2024-07-04 10:45:00,865.9,X9_chand,9,0.1793
ICICIBANK,long,2024-07-04 14:15:00,1229.05,2024-07-12 09:45:00,1233.65,X9_chand,51,0.3743
HINDUNILVR,long,2024-07-05 10:45:00,2519.95,2024-07-24 09:15:00,2690.0,X9_chand,117,6.7481
HINDUNILVR,long,2024-07-10 13:15:00,2610.05,2024-07-24 09:15:00,2690.0,X9_chand,76,3.0632
ICICIBANK,long,2024-07-10 14:15:00,1244.5,2024-07-12 09:45:00,1233.65,X9_chand,3,-0.8718
INFY,long,2024-07-10 14:45:00,1656.05,2024-07-29 13:15:00,1872.95,X9_chand,117,13.0974
RELIANCE,long,2024-07-12 09:15:00,1585.05,2024-07-16 11:45:00,1586.1,X9_chand,29,0.0662
SBIN,long,2024-07-12 10:45:00,861.75,2024-07-22 12:15:00,878.15,X9_chand,51,1.9031
KOTAKBANK,long,2024-07-12 12:45:00,1837.9,2024-07-16 09:45:00,1823.75,X9_chand,18,-0.7699
INFY,long,2024-07-15 09:15:00,1726.2,2024-07-29 13:15:00,1872.95,X9_chand,104,8.5013
HINDUNILVR,long,2024-07-15 14:45:00,2622.85,2024-07-24 09:15:00,2690.0,X9_chand,49,2.5602
HINDUNILVR,long,2024-07-16 09:45:00,2649.05,2024-07-24 09:15:00,2690.0,X9_chand,47,1.5458
TCS,long,2024-07-16 14:15:00,4172.05,2024-07-16 14:45:00,4173.95,X9_chand,1,0.0455
TCS,long,2024-07-16 14:45:00,4184.6,2024-07-24 13:15:00,4287.45,X9_chand,45,2.4578
ITC,long,2024-07-23 09:15:00,407.25,2024-07-23 09:45:00,405.7,X9_chand,1,-0.3806
ITC,long,2024-07-23 09:45:00,408.7,2024-07-23 10:15:00,407.1,X9_chand,1,-0.3915
ICICIBANK,long,2024-07-23 10:15:00,1245.0,2024-07-23 11:15:00,1236.25,X9_chand,2,-0.7028
TCS,long,2024-07-23 10:45:00,4299.1,2024-07-24 13:15:00,4287.45,X9_chand,17,-0.271
ITC,long,2024-07-23 14:45:00,421.25,2024-07-24 11:45:00,427.9,X9_chand,6,1.5786
ITC,long,2024-07-25 12:45:00,423.75,2024-07-25 13:15:00,425.55,X9_chand,1,0.4248
ITC,long,2024-07-26 10:45:00,428.1,2024-07-29 13:15:00,429.2,X9_chand,17,0.2569
TCS,long,2024-07-30 09:15:00,4391.1,2024-07-30 09:45:00,4345.55,X9_chand,1,-1.0373
KOTAKBANK,long,2024-07-30 09:45:00,1803.45,2024-07-30 14:45:00,1784.0,X9_chand,10,-1.0785
ICICIBANK,long,2024-07-30 11:15:00,1222.15,2024-07-30 14:45:00,1209.2,X9_chand,7,-1.0596
SBIN,long,2024-07-30 14:15:00,878.05,2024-07-30 14:45:00,872.45,X9_chand,1,-0.6378
INFY,long,2024-07-30 14:15:00,1869.7,2024-08-01 09:15:00,1860.4,X9_chand,14,-0.4974
ITC,long,2024-07-31 10:15:00,428.7,2024-08-02 10:15:00,421.75,X9_chand,24,-1.6212
SBIN,long,2024-08-01 09:15:00,877.8,2024-08-01 14:15:00,866.85,X9_chand,10,-1.2474
BHARTIARTL,long,2024-08-01 12:15:00,1509.05,2024-08-02 09:45:00,1486.9,X9_chand,7,-1.4678
KOTAKBANK,long,2024-08-01 14:15:00,1795.15,2024-08-01 14:45:00,1794.8,X9_chand,1,-0.0195
TCS,long,2024-08-01 14:15:00,4383.4,2024-08-02 09:15:00,4339.45,X9_chand,2,-1.0026
HDFCBANK,long,2024-08-02 09:15:00,818.25,2024-08-05 09:15:00,815.8,X9_chand,12,-0.2994
ITC,long,2024-08-02 09:15:00,429.05,2024-08-02 10:15:00,421.75,X9_chand,2,-1.7014
HINDUNILVR,long,2024-08-06 09:15:00,2725.05,2024-08-08 09:45:00,2735.0,X9_chand,25,0.3651
ITC,long,2024-08-16 09:45:00,429.6,2024-08-19 14:45:00,434.95,X9_chand,22,1.2453
HDFCBANK,long,2024-08-21 09:15:00,816.45,2024-08-21 12:15:00,810.4,X9_chand,6,-0.741
SBIN,long,2024-08-22 09:15:00,819.0,2024-08-23 13:45:00,816.2,X9_chand,21,-0.3419
HDFCBANK,long,2024-08-22 13:15:00,817.55,2024-08-23 13:45:00,812.6,X9_chand,13,-0.6055
SBIN,long,2024-08-22 13:45:00,822.55,2024-08-23 13:45:00,816.2,X9_chand,12,-0.772
INFY,long,2024-08-23 09:15:00,1882.1,2024-08-23 09:45:00,1865.45,X9_chand,1,-0.8847
INFY,long,2024-08-26 09:45:00,1881.15,2024-09-03 14:15:00,1952.35,X9_chand,69,3.7849
SBIN,long,2024-08-26 09:45:00,819.8,2024-08-26 14:15:00,816.2,X9_chand,9,-0.4391
HDFCBANK,long,2024-08-26 09:45:00,822.85,2024-08-30 11:15:00,820.0,X9_chand,39,-0.3464
ITC,long,2024-08-26 14:15:00,438.85,2024-08-27 11:15:00,433.75,X9_chand,6,-1.1621
HDFCBANK,long,2024-08-29 13:15:00,819.55,2024-08-30 11:15:00,820.0,X9_chand,8,0.0549
TCS,long,2024-08-29 14:45:00,4538.05,2024-09-02 14:15:00,4532.8,X9_chand,23,-0.1157
ICICIBANK,long,2024-08-30 11:15:00,1225.05,2024-09-03 09:15:00,1224.1,X9_chand,20,-0.0775
RELIANCE,long,2024-08-30 14:15:00,1513.2,2024-08-30 14:45:00,1511.3,X9_chand,1,-0.1256
ICICIBANK,long,2024-09-02 12:45:00,1232.9,2024-09-03 09:15:00,1224.1,X9_chand,5,-0.7138
RELIANCE,long,2024-09-03 13:15:00,1516.8,2024-09-03 14:15:00,1512.75,X9_chand,2,-0.267
ICICIBANK,long,2024-09-03 13:45:00,1226.95,2024-09-04 13:45:00,1235.35,X9_chand,12,0.6846
INFY,long,2024-09-03 13:45:00,1962.05,2024-09-03 14:15:00,1952.35,X9_chand,1,-0.4944
KOTAKBANK,long,2024-09-12 09:45:00,1814.05,2024-09-18 14:15:00,1839.15,X9_chand,45,1.3836
HINDUNILVR,long,2024-09-12 11:15:00,2923.2,2024-09-12 12:45:00,2910.45,X9_chand,3,-0.4362
HDFCBANK,long,2024-09-17 14:15:00,835.25,2024-09-27 10:45:00,883.5,X9_chand,89,5.7767
HDFCBANK,long,2024-09-19 09:45:00,858.05,2024-09-27 10:45:00,883.5,X9_chand,74,2.966
BHARTIARTL,long,2024-09-19 09:45:00,1675.05,2024-09-19 13:15:00,1672.85,X9_chand,7,-0.1313
KOTAKBANK,long,2024-09-19 13:45:00,1866.35,2024-09-24 12:15:00,1912.75,X9_chand,33,2.4861
KOTAKBANK,long,2024-09-20 12:15:00,1898.15,2024-09-24 12:15:00,1912.75,X9_chand,24,0.7692
SBIN,long,2024-09-24 13:15:00,803.55,2024-09-25 09:45:00,792.05,X9_chand,5,-1.4311
BHARTIARTL,long,2024-09-25 14:15:00,1754.05,2024-09-26 13:15:00,1752.8,X9_chand,10,-0.0713
BHARTIARTL,long,2024-09-26 14:45:00,1767.3,2024-09-27 09:15:00,1736.2,X9_chand,1,-1.7597
RELIANCE,long,2024-09-27 13:45:00,1497.8,2024-09-30 09:15:00,1506.0,X9_chand,3,0.5475
SBIN,long,2024-10-16 09:45:00,808.55,2024-10-18 09:15:00,807.2,X9_chand,23,-0.167
INFY,long,2024-10-17 12:15:00,1958.4,2024-10-18 09:15:00,1914.7,X9_chand,6,-2.2314
ICICIBANK,long,2024-10-21 14:15:00,1263.8,2024-10-24 09:15:00,1242.75,X9_chand,14,-1.6656
SBIN,long,2024-10-21 14:45:00,814.85,2024-10-22 09:45:00,811.95,X9_chand,2,-0.3559
HDFCBANK,long,2024-10-22 13:45:00,862.25,2024-10-22 14:45:00,856.3,X9_chand,2,-0.6901
HDFCBANK,long,2024-10-24 10:15:00,880.75,2024-10-25 09:45:00,868.8,X9_chand,11,-1.3568
HDFCBANK,long,2024-10-28 09:15:00,872.55,2024-10-28 10:15:00,870.4,X9_chand,2,-0.2464
HDFCBANK,long,2024-10-29 10:15:00,870.55,2024-10-30 12:45:00,867.2,X9_chand,17,-0.3848
TCS,long,2024-10-30 09:45:00,4103.15,2024-11-01 18:00:00,3987.0,X1_rev_ema,11,-2.8308
ICICIBANK,long,2024-10-30 13:45:00,1314.45,2024-10-30 14:15:00,1308.9,X9_chand,1,-0.4222
HDFCBANK,long,2024-11-04 09:15:00,872.5,2024-11-04 09:45:00,867.8,X9_chand,1,-0.5387
SBIN,long,2024-11-05 12:45:00,833.85,2024-11-12 10:15:00,842.2,X9_chand,43,1.0014
INFY,long,2024-11-07 13:15:00,1803.4,2024-11-18 09:15:00,1807.85,X9_chand,52,0.2468
HDFCBANK,long,2024-11-07 14:15:00,873.25,2024-11-12 09:15:00,874.2,X9_chand,14,0.1088
INFY,long,2024-11-11 14:45:00,1868.0,2024-11-18 09:15:00,1807.85,X9_chand,37,-3.22
INFY,long,2024-11-13 13:45:00,1867.1,2024-11-18 09:15:00,1807.85,X9_chand,15,-3.1734
INFY,long,2024-11-14 14:15:00,1868.05,2024-11-18 09:15:00,1807.85,X9_chand,2,-3.2226
HDFCBANK,long,2024-11-22 13:45:00,871.85,2024-11-26 10:15:00,888.6,X9_chand,17,1.9212
HDFCBANK,long,2024-11-26 13:15:00,890.05,2024-11-26 13:45:00,890.0,X9_chand,1,-0.0056
SBIN,long,2024-11-26 14:45:00,840.4,2024-11-27 09:15:00,835.15,X9_chand,1,-0.6247
BHARTIARTL,long,2024-11-26 14:45:00,1582.5,2024-11-27 09:15:00,1560.6,X9_chand,1,-1.3839
SBIN,long,2024-11-27 11:45:00,839.0,2024-12-09 09:45:00,859.5,X9_chand,80,2.4434
HDFCBANK,long,2024-11-28 09:45:00,916.45,2024-11-28 11:15:00,901.3,X9_chand,3,-1.6531
BHARTIARTL,long,2024-11-29 09:15:00,1576.55,2024-12-03 13:15:00,1623.75,X9_chand,20,2.9939
SBIN,long,2024-11-29 13:45:00,838.05,2024-12-09 09:45:00,859.5,X9_chand,52,2.5595
HDFCBANK,long,2024-12-03 09:15:00,911.4,2024-12-06 14:15:00,927.8,X9_chand,46,1.7994
RELIANCE,long,2024-12-03 09:15:00,1317.0,2024-12-04 12:15:00,1308.9,X9_chand,18,-0.615
ICICIBANK,long,2024-12-03 11:15:00,1305.05,2024-12-06 14:45:00,1328.5,X9_chand,43,1.7969
TCS,long,2024-12-03 13:45:00,4314.4,2024-12-09 12:15:00,4427.1,X9_chand,45,2.6122
RELIANCE,long,2024-12-05 11:45:00,1320.5,2024-12-06 13:45:00,1312.85,X9_chand,16,-0.5793
BHARTIARTL,long,2024-12-05 12:15:00,1604.05,2024-12-05 13:15:00,1601.55,X9_chand,2,-0.1559
ICICIBANK,long,2024-12-09 11:45:00,1329.05,2024-12-09 12:15:00,1323.5,X9_chand,1,-0.4176
INFY,long,2024-12-09 14:45:00,1918.9,2024-12-13 09:15:00,1969.2,X9_chand,25,2.6213
SBIN,long,2024-12-11 09:15:00,867.5,2024-12-12 09:15:00,856.8,X9_chand,12,-1.2334
ICICIBANK,long,2024-12-11 10:45:00,1325.8,2024-12-13 09:15:00,1319.5,X9_chand,21,-0.4752
