side,entry_variant,exit_variant,cost_pct,trades,win_rate,avg_win_pct,avg_loss_pct,profit_factor,total_ret_pct,mean_ret_pct,std_ret_pct,sharpe_per_trade,sharpe_ann,sortino_ann,max_dd_pct,avg_hold_candles
long,E0,X3b,0.1,833,32.29,1.365,-0.718,0.907,-37.55,-0.0451,1.7133,-0.026,-0.36,-0.93,69.17,15.7
short,E2,X3b,0.1,561,30.84,1.734,-0.883,0.875,-42.74,-0.0762,2.0396,-0.037,-0.47,-1.31,85.17,18.6
long,E1,X8,0.1,402,25.12,3.22,-1.327,0.814,-74.18,-0.1845,2.8023,-0.066,-0.51,-1.43,84.53,50.9
long,E1,X1,0.1,402,29.1,2.894,-1.49,0.798,-85.89,-0.2136,2.8393,-0.075,-0.56,-1.66,97.95,55.1
short,E2,X3a,0.1,561,31.37,1.662,-0.887,0.857,-48.83,-0.087,1.9664,-0.044,-0.57,-1.46,81.18,18.1
long,E2,X6,0.1,674,34.12,1.399,-0.812,0.892,-38.81,-0.0576,1.4149,-0.041,-0.57,-1.84,59.83,15.3
long,E1,X5,0.1,402,36.07,1.456,-0.913,0.899,-23.65,-0.0588,1.2845,-0.046,-0.66,-1.97,50.18,14.6
short,E0,X9,0.1,692,29.91,1.368,-0.678,0.861,-45.88,-0.0663,1.5144,-0.044,-0.68,-1.76,77.44,12.3
long,E2,X2,0.1,674,19.44,2.936,-0.913,0.776,-111.24,-0.165,2.1975,-0.075,-0.7,-3.38,120.08,34.3
long,E2,X10,0.1,674,26.41,1.564,-0.643,0.873,-40.43,-0.06,1.3878,-0.043,-0.71,-1.96,70.9,11.3
long,E0,X2,0.1,833,17.29,2.826,-0.776,0.761,-127.48,-0.153,2.0335,-0.075,-0.76,-3.63,129.73,29.2
long,E0,X6,0.1,833,32.65,1.348,-0.766,0.853,-63.29,-0.076,1.365,-0.056,-0.81,-2.35,76.89,14.1
short,E0,X6,0.1,692,31.94,1.422,-0.789,0.846,-57.17,-0.0826,1.4247,-0.058,-0.85,-2.37,85.11,14.1
short,E2,X5,0.1,561,34.4,1.588,-0.972,0.857,-51.21,-0.0913,1.4379,-0.063,-0.93,-2.35,53.77,13.9
short,E2,X9,0.1,561,29.06,1.633,-0.831,0.805,-64.68,-0.1153,1.6204,-0.071,-0.97,-2.49,77.18,16.3
short,E0,X10,0.1,692,26.3,1.215,-0.523,0.828,-45.83,-0.0662,1.2901,-0.051,-0.98,-2.58,63.32,8.2
long,E2,X8,0.1,674,22.55,3.065,-1.313,0.68,-219.58,-0.3258,2.6577,-0.123,-0.98,-2.8,232.31,46.7
long,E0,X8,0.1,833,20.77,2.932,-1.128,0.681,-237.07,-0.2846,2.4686,-0.115,-0.99,-2.81,251.74,41.0
short,E1,X9,0.1,348,29.31,1.648,-0.848,0.806,-40.48,-0.1163,1.5376,-0.076,-1.01,-2.6,50.53,16.8
short,E1,X6,0.1,348,33.33,1.323,-0.802,0.825,-32.58,-0.0936,1.3177,-0.071,-1.01,-2.98,34.4,14.8
long,E0,X10,0.1,833,24.97,1.284,-0.513,0.832,-53.74,-0.0645,1.2137,-0.053,-1.02,-2.66,69.28,8.2
long,E2,X1,0.1,674,25.67,2.781,-1.455,0.66,-247.98,-0.3679,2.6902,-0.137,-1.06,-3.18,261.51,50.0
long,E0,X1,0.1,833,23.29,2.694,-1.234,0.663,-265.86,-0.3192,2.4965,-0.128,-1.06,-3.1,282.77,43.5
short,E1,X10,0.1,348,25.0,1.546,-0.639,0.807,-32.2,-0.0925,1.273,-0.073,-1.17,-3.06,32.59,11.5
short,E0,X5,0.1,692,34.97,1.366,-0.873,0.841,-62.54,-0.0904,1.2362,-0.073,-1.19,-2.9,72.29,11.3
short,E2,X6,0.1,561,31.19,1.405,-0.801,0.795,-63.38,-0.113,1.3528,-0.084,-1.19,-3.41,65.2,14.8
short,E1,X5,0.1,348,33.05,1.542,-0.935,0.813,-40.65,-0.1168,1.3501,-0.087,-1.28,-3.35,41.04,13.8
long,E2,X5,0.1,674,34.57,1.475,-0.958,0.814,-78.72,-0.1168,1.3146,-0.089,-1.29,-3.77,88.13,14.3
short,E2,X10,0.1,561,24.24,1.519,-0.629,0.773,-60.74,-0.1083,1.3501,-0.08,-1.35,-3.42,61.21,10.5
long,E0,X5,0.1,833,33.73,1.288,-0.812,0.807,-86.51,-0.1039,1.1332,-0.092,-1.49,-3.82,97.97,11.3
