symbol,signal_dt,signal_k,signal_d,signal_adx,entry_dt,entry_price,exit_dt,exit_price,exit_reason,candles_held,gross_return_pct,net_return_pct
KOTAKBANK,2025-10-16 09:15:00,23.03671584581087,19.370695685699605,25.28996759626431,2025-10-16 12:45:00,2187.55,2025-10-20 09:45:00,2224.6,X9OR4,18,1.6937,1.5937
ADANIPORTS,2025-10-14 14:15:00,32.27722772277211,30.11633078201417,32.36226081347121,2025-10-15 09:15:00,1435.45,2025-10-17 12:45:00,1463.5,X9OR4,31,1.9541,1.8541
DIVISLAB,2025-10-10 09:45:00,28.314524662911754,25.707566706491445,29.86370879815588,2025-10-10 11:15:00,6189.05,2025-10-17 09:15:00,6573.5,X9OR4,56,6.2118,6.1118
KOTAKBANK,2025-10-09 10:15:00,29.474196237393322,24.899260769198495,25.318410818188067,2025-10-09 10:45:00,2124.85,2025-10-13 09:45:00,2141.0,X9OR4,22,0.7601,0.6601
HDFCBANK,2025-10-08 12:45:00,25.35947712418316,24.358078732168167,25.737714750714975,2025-10-08 13:15:00,980.55,2025-10-08 14:45:00,978.15,X9OR4,3,-0.2448,-0.3448
INFY,2025-10-08 09:15:00,37.71457611577797,31.28888831074215,32.871092523630246,2025-10-08 09:45:00,1492.05,2025-10-13 09:15:00,1497.7,X9OR4,35,0.3787,0.2787
INFY,2025-10-07 13:45:00,29.64379125669434,26.116437464369202,34.477208236939035,2025-10-07 14:15:00,1469.25,2025-10-07 14:45:00,1454.8,X9OR4,1,-0.9835,-1.0835
AXISBANK,2025-10-07 13:15:00,15.36764705882356,14.350098414844794,36.05438840285302,2025-10-07 13:45:00,1194.95,2025-10-07 14:15:00,1187.5,X9OR4,1,-0.6235,-0.7235
DIVISLAB,2025-10-07 09:15:00,31.791907514450862,27.9016043207843,33.21181821305856,2025-10-07 09:45:00,5873.05,2025-10-08 14:15:00,6144.0,X9OR4,21,4.6134,4.5134
BANKBARODA,2025-10-01 12:45:00,30.64316490403442,27.006085124308402,26.248026404737047,2025-10-01 13:15:00,258.4,2025-10-06 13:45:00,266.2,X9OR4,25,3.0186,2.9186
AXISBANK,2025-09-25 10:15:00,29.376933759794355,27.042563616405662,25.688883571719714,2025-09-25 10:45:00,1160.95,2025-09-29 09:15:00,1136.1,X9OR4,9,-2.1405,-2.2405
BANKBARODA,2025-09-23 10:15:00,29.58881789444152,26.545832051455616,46.48496795222577,2025-09-23 11:45:00,252.35,2025-09-24 14:45:00,254.13,X9OR4,18,0.7054,0.6054
SHREECEM,2025-09-23 09:45:00,33.11904761904761,24.00264550264551,33.53129495676238,2025-09-23 10:45:00,30105.05,2025-09-23 14:15:00,29875.0,X9OR4,7,-0.7642,-0.8642
SBIN,2025-09-23 09:45:00,21.115714442939534,20.44738940148021,28.387125872127204,2025-09-23 10:15:00,860.45,2025-09-23 10:45:00,858.4,X9OR4,1,-0.2382,-0.3382
DIVISLAB,2025-09-19 09:15:00,29.73917273456798,25.22495351666382,29.959146475958278,2025-09-19 09:45:00,6248.05,2025-09-19 14:15:00,6199.0,X9OR4,9,-0.785,-0.885
ICICIBANK,2025-09-18 09:45:00,27.41962864721563,25.324310452654277,32.321949872337996,2025-09-18 10:15:00,1425.05,2025-09-18 13:45:00,1420.3,X9OR4,7,-0.3333,-0.4333
ICICIBANK,2025-09-17 13:45:00,28.86829268292731,27.7040650406508,31.826676613313385,2025-09-17 14:45:00,1421.55,2025-09-18 13:45:00,1420.3,X9OR4,10,-0.0879,-0.1879
DIVISLAB,2025-09-17 09:15:00,29.50041105419591,29.23432340370452,37.406953485308,2025-09-17 09:45:00,6109.05,2025-09-17 12:45:00,6095.0,X9OR4,6,-0.23,-0.33
DIVISLAB,2025-09-16 14:15:00,30.61561312375644,30.44560358541443,36.55187279496355,2025-09-16 14:45:00,6097.05,2025-09-17 09:15:00,6101.0,X9OR4,1,0.0648,-0.0352
