symbol,ema_cross_dt,ema_cross_close,stoch_touch_dt,stoch_touch_min,candles_a_to_b,setup_dt,setup_open,setup_high,setup_low,setup_close,setup_ema20,setup_ema50,setup_ema_spread_pct,setup_k,setup_d,candles_b_to_c,trigger_price,validity_candles,filled,fill_dt,fill_price,candles_to_fill,no_fill_reason,min_kd_at_setup
BHARTIARTL,2026-02-03T10:15:00,2005.6,2026-02-10T14:45:00,8.284773555168599,69,2026-02-10T14:45:00,2011.0,2015.2,2009.8,2012.2,2025.617187497228,2021.8742761653343,0.1851208740333897,8.326237215706227,8.284773555168599,0,2012.25,10,1,2026-02-11T09:15:00,2012.9,1.0,,8.284773555168599
RELIANCE,2026-02-03T09:45:00,1443.9,2026-02-10T14:15:00,15.230728350624789,69,2026-02-10T14:15:00,1455.3,1456.9,1454.6,1455.8,1458.427661092306,1451.3234880324078,0.4894961818284508,16.223843284011245,15.230728350624789,0,1455.85,10,1,2026-02-10T14:45:00,1455.85,1.0,,15.230728350624789
BHARTIARTL,2026-02-03T10:15:00,2005.6,2026-02-10T13:15:00,7.894671759003969,66,2026-02-10T13:15:00,2025.5,2027.9,2015.0,2017.4,2030.6133508400385,2023.2200937331197,0.3654203084389924,7.951238671149663,7.894671759003969,0,2017.45,10,1,2026-02-10T13:45:00,2017.5,1.0,,7.894671759003969
HDFCBANK,2026-02-03T09:45:00,947.6,2026-02-06T13:15:00,11.372016603577556,43,2026-02-06T13:15:00,939.95,942.7,939.8,940.9,944.9281942771188,944.5020151619764,0.045122096967622,12.798636264024283,11.372016603577556,0,940.95,10,1,2026-02-06T13:45:00,940.95,1.0,,11.372016603577556
HDFCBANK,2026-02-03T09:45:00,947.6,2026-02-05T14:15:00,21.8214936247725,33,2026-02-05T14:15:00,950.1,951.15,949.7,949.95,950.254108765268,945.613876066688,0.4907111471207685,22.076502732240765,21.8214936247725,0,950.0,10,1,2026-02-05T14:45:00,950.0,1.0,,21.8214936247725
HINDUNILVR,2026-02-03T11:45:00,2382.4,2026-02-04T13:45:00,23.906537331604653,16,2026-02-04T13:45:00,2363.7,2373.0,2361.5,2373.0,2368.1560729200296,2363.607658377915,0.192435259971873,26.15803814713859,23.906537331604653,0,2373.05,10,1,2026-02-04T14:15:00,2373.05,1.0,,23.906537331604653
INFY,2026-01-16T09:45:00,1673.3,2026-01-28T13:45:00,11.070172388752727,80,2026-01-28T13:45:00,1655.0,1658.3,1653.5,1656.5,1663.538389228886,1662.8037532313442,0.0441805592580692,12.83169567675048,11.070172388752727,0,1656.55,10,1,2026-01-28T14:15:00,1656.55,1.0,,11.070172388752727
INFY,2026-01-16T09:45:00,1673.3,2026-01-21T09:45:00,8.425747079727643,36,2026-01-21T09:45:00,1639.0,1648.0,1638.6,1646.8,1663.43151785949,1655.470328913592,0.4809019410889991,10.575896303374815,8.425747079727643,0,1646.85,10,1,2026-01-21T10:15:00,1647.2,1.0,,8.425747079727643
TCS,2025-12-12T13:45:00,3214.7,2025-12-29T09:45:00,9.267199786208796,100,2025-12-29T09:45:00,3273.3,3277.0,3258.0,3265.9,3288.4963954679706,3286.6165918391603,0.0571957079958155,9.351127000622329,9.267199786208796,0,3265.95,10,1,2025-12-29T10:15:00,3265.95,1.0,,9.267199786208796
TCS,2025-12-12T13:45:00,3214.7,2025-12-26T12:45:00,6.63656441978473,94,2025-12-26T12:45:00,3285.8,3287.0,3283.0,3285.0,3297.875698163029,3289.0236412649097,0.2691393514798652,7.631599111179346,6.63656441978473,0,3285.05,10,1,2025-12-26T13:15:00,3285.8,1.0,,6.63656441978473
