cell,phase,arm,asset,settle,reserve,cadence,sell,tax,cost_bps,gateN,frictionless,path,oacol,tncol,seed,s_cagr,s_dd,s_calmar,s_invested,s_parked_pct,s_trades,s_final_x,b_cagr,b_dd,b_calmar,b_dd_0809,b_dd_1214,b_dd_1314,b_dd_2126,b_ret_0809,b_ret_1214,b_ret_1314,b_ret_2126,n_pull,pull_val_x,pull_cost_x,pull_tax_x,n_park,park_cost_x,n_missed,park_days_pct,corr_d_oa,corr_d_tn,corr_m_oa,corr_m_tn,secs
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,28,s29,off4,29,21.7119,-37.209,0.5835,8.355,88.152,177,55.2893,26.7674,-21.2587,1.2591,-18.716,-9.376,-4.95,-14.812,51.923,98.18,76.861,554.218,1222,4821.036,12.05259,21.57892,797,12.04359,1222,98.95,0.901,0.4598,0.9107,0.5478,0.65
P1_B_OA,1,B,OA,1,0,daily,prorata,full,25,,0,29,s30,off5,30,23.1851,-36.6869,0.632,8.795,87.756,182,70.6883,27.5439,-18.7975,1.4653,-18.797,-9.104,-3.77,-17.878,57.253,119.122,91.717,521.776,1208,6076.63,15.19158,24.84715,803,15.22236,1208,98.85,0.9066,0.4531,0.898,0.4808,0.57
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,0,s1,off0,1,13.7691,-33.5204,0.4108,9.533,85.881,202,13.9351,24.6248,-17.5242,1.4052,-17.524,-9.271,-5.584,-10.187,53.177,105.561,78.125,378.602,1181,1330.523,3.32631,3.88778,786,3.33441,1181,97.46,0.3919,0.8692,0.51,0.8771,0.78
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,1,s2,off1,2,16.6017,-30.3346,0.5473,9.169,86.279,191,23.0261,26.6223,-18.9993,1.4012,-18.999,-6.818,-5.765,-13.986,59.064,111.957,74.246,456.501,1195,2014.157,5.03538,6.08061,792,5.04935,1195,97.56,0.4032,0.8751,0.5072,0.8751,0.86
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,2,s3,off2,3,17.3604,-35.5956,0.4877,9.168,86.267,195,26.287,27.1516,-19.1084,1.4209,-19.108,-9.141,-3.937,-11.323,49.726,127.047,88.252,430.29,1188,2308.495,5.77124,7.40932,792,5.78733,1188,97.52,0.4008,0.8782,0.5613,0.8779,0.81
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,3,s4,off3,4,16.1208,-34.8371,0.4627,9.147,86.192,195,21.1627,25.6273,-19.2447,1.3317,-18.456,-10.163,-4.85,-11.78,53.346,118.047,85.097,441.747,1198,1779.738,4.44934,5.32336,789,4.46369,1198,97.6,0.3963,0.8806,0.5259,0.8709,0.79
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,4,s5,off4,5,15.2811,-32.9896,0.4632,9.242,86.112,196,18.2473,25.9083,-19.2038,1.3491,-18.582,-8.356,-5.502,-12.656,49.755,93.461,67.429,498.563,1189,1515.897,3.78975,4.60838,792,3.80246,1189,97.7,0.3856,0.8743,0.5354,0.8848,0.84
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,5,s6,off5,6,15.0093,-32.8483,0.4569,9.115,86.243,191,17.3888,25.3536,-17.3913,1.4578,-17.391,-9.108,-5.155,-15.192,60.359,100.114,75.085,471.099,1183,1522.865,3.80716,4.86672,788,3.81398,1183,97.46,0.4118,0.8781,0.5078,0.8829,0.9
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,6,s7,off6,7,14.4756,-25.9903,0.557,8.967,86.454,194,15.8129,25.4351,-15.6854,1.6216,-15.685,-6.709,-6.709,-12.88,71.628,100.335,71.736,446.714,1186,1455.103,3.63775,4.49774,787,3.64336,1186,97.52,0.3922,0.8857,0.4589,0.8943,0.75
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,7,s8,off7,8,14.3118,-27.8937,0.5131,8.907,86.422,198,15.3573,23.8676,-16.4,1.4553,-16.4,-7.475,-7.475,-12.691,65.417,85.051,72.386,399.361,1197,1358.293,3.39573,3.99654,790,3.40745,1197,97.66,0.4178,0.8762,0.5013,0.9021,0.96
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,8,s9,off8,9,11.93,-30.0968,0.3964,9.579,85.764,203,9.9901,22.1157,-16.1158,1.3723,-16.116,-10.802,-5.932,-12.379,62.983,94.793,79.058,301.906,1173,1061.188,2.65297,3.12124,785,2.65817,1173,97.46,0.401,0.8755,0.4995,0.8688,0.8
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,9,s10,off9,10,11.7304,-32.1008,0.3654,9.762,85.567,204,9.6325,22.1267,-20.4282,1.0831,-20.428,-8.578,-6.1,-14.411,66.211,98.876,81.885,327.352,1175,944.891,2.36223,2.89109,784,2.36822,1175,97.56,0.4116,0.8765,0.5083,0.8797,0.73
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,10,s11,off10,11,16.3244,-34.027,0.4797,9.659,85.694,200,21.9332,24.785,-17.7272,1.3981,-17.727,-9.117,-5.87,-12.321,72.927,119.251,102.268,391.292,1178,1790.042,4.4751,5.05937,786,4.49785,1178,97.5,0.41,0.8709,0.5262,0.8874,0.82
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,11,s12,off11,12,13.4057,-35.4094,0.3786,9.409,85.915,196,13.0536,22.7293,-20.9669,1.0841,-16.085,-6.862,-5.644,-12.189,78.582,90.067,81.001,319.012,1189,1261.432,3.15358,3.59697,790,3.16651,1189,97.43,0.4047,0.8839,0.5071,0.8845,0.74
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,12,s13,off0,13,14.062,-34.1883,0.4113,9.113,86.314,194,14.6862,25.0313,-17.4998,1.4304,-17.5,-9.834,-6.115,-11.785,53.306,99.787,72.485,412.022,1185,1388.98,3.47245,4.10426,785,3.48088,1185,97.64,0.3856,0.8783,0.5524,0.8871,0.81
P1_C_TN,1,C,TN,1,0,daily,prorata,full,25,,0,13,s14,off1,14,17.3113,-30.3346,0.5707,9.165,86.333,190,26.0634,27.66,-19.0867,1.4492,-19.087,-7.149,-5.954,-14.201,59.443,112.965,74.406,517.275,1185,2097.748,5.24437,6.37149,791,5.26439,1185,97.58,0.3874,0.8763,0.4907,0.8755,0.86
