series,window,dow_filter,outcome,signal,n,spearman,p,pearson,hyp_sign,sign_ok
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,cpr_prev,279,0.0456,0.448047,0.0469,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,wcpr_this,280,0.0891,0.137021,0.0934,-1,no
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,wcpr_prev,279,-0.0455,0.448572,-0.0134,-1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,gap_abs,280,0.0711,0.235567,0.2369,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,gap_pct,280,-0.273,4e-06,-0.3165,0,
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pdr_pct,280,0.2593,1.1e-05,0.1913,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pdr_rel,275,0.2387,6.4e-05,0.1485,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,atr14_pct,277,0.1002,0.096139,0.0788,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_open,280,0.0452,0.451326,0.0153,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_oc_pct,280,-0.1416,0.01777,-0.0405,1,no
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_oc_pts,280,-0.1416,0.017716,-0.0374,1,no
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pct,279,0.0673,0.262527,0.1057,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pts,279,0.0602,0.316666,0.1,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pre_move_bp,280,0.1596,0.007458,0.2869,1,YES
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pre_range_bp,280,0.3499,0.0,0.4202,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,cpr_today,1353,0.2386,0.0,0.2338,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,cpr_prev,1352,0.1962,0.0,0.1994,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,wcpr_this,1353,0.1449,0.0,0.1333,-1,no
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,wcpr_prev,1348,0.0652,0.016638,0.0666,-1,no
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,gap_abs,1353,0.2177,0.0,0.2132,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,gap_pct,1353,-0.0255,0.348825,-0.043,0,
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,pdr_pct,1353,0.3905,0.0,0.3284,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,pdr_rel,1333,0.1749,0.0,0.1657,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,atr14_pct,1339,0.3959,0.0,0.3373,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,vix_open,1354,0.4236,0.0,0.3998,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,vix_chg_oc_pct,1352,-0.0002,0.993722,0.0011,1,no
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,vix_chg_oc_pts,1352,-0.0006,0.983361,-0.0053,1,no
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,vix_chg_cc_pct,1350,0.075,0.005828,0.1038,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,vix_chg_cc_pts,1350,0.069,0.011235,0.0839,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,pre_move_bp,1354,0.2176,0.0,0.2681,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,pre_range_bp,1354,0.4954,0.0,0.4675,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,cpr_today,1353,0.1271,3e-06,0.1009,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,cpr_prev,1352,0.0824,0.002443,0.0878,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,wcpr_this,1353,0.0479,0.078246,0.0347,-1,no
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,wcpr_prev,1348,-0.0208,0.445098,-0.0167,-1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,gap_abs,1353,0.089,0.001051,0.1098,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,gap_pct,1353,-0.0749,0.005862,-0.0769,0,
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,pdr_pct,1353,0.1943,0.0,0.1488,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,pdr_rel,1333,0.1658,0.0,0.1339,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,atr14_pct,1339,0.0784,0.004101,0.0544,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,vix_open,1354,0.0234,0.38996,0.0425,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,vix_chg_oc_pct,1352,-0.0014,0.959801,-0.008,1,no
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,vix_chg_oc_pts,1352,-0.0016,0.953427,-0.013,1,no
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,vix_chg_cc_pct,1350,0.0496,0.068271,0.0507,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,vix_chg_cc_pts,1350,0.0476,0.080525,0.0345,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,pre_move_bp,1354,0.1479,0.0,0.2021,1,YES
SENSEX_1MIN,MON_1300_1400,ALL,exc_norm,pre_range_bp,1354,0.3234,0.0,0.3327,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,cpr_today,277,0.2257,0.000152,0.2283,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,cpr_prev,277,0.1656,0.00574,0.0992,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,wcpr_this,277,0.0089,0.882605,0.019,-1,no
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,wcpr_prev,276,0.044,0.466249,0.1067,-1,no
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,gap_abs,277,0.0962,0.109965,0.0825,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,gap_pct,277,-0.0172,0.775048,0.0001,0,
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,pdr_pct,277,0.3217,0.0,0.5088,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,pdr_rel,273,0.1987,0.000962,0.516,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,atr14_pct,274,0.2838,2e-06,0.1885,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,vix_open,277,0.3139,0.0,0.2838,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,vix_chg_oc_pct,276,0.0493,0.414382,0.0501,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,vix_chg_oc_pts,276,0.0491,0.416636,0.0493,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,vix_chg_cc_pct,276,0.0614,0.309466,0.2288,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,vix_chg_cc_pts,276,0.0445,0.461612,0.2256,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,pre_move_bp,277,0.224,0.00017,0.3045,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_bp,pre_range_bp,277,0.4196,0.0,0.4793,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,cpr_today,277,0.0335,0.578209,0.037,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,cpr_prev,277,0.028,0.643186,-0.0495,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,wcpr_this,277,-0.1099,0.067828,-0.1171,-1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,wcpr_prev,276,-0.0503,0.404811,0.0185,-1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,gap_abs,277,-0.0737,0.221549,-0.061,1,no
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,gap_pct,277,-0.1129,0.060598,-0.0983,0,
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,pdr_pct,277,0.0461,0.444865,0.1935,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,pdr_rel,273,0.1103,0.068781,0.316,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,atr14_pct,274,-0.0881,0.145642,-0.1232,1,no
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,vix_open,277,-0.1305,0.029951,-0.1278,1,no
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,vix_chg_oc_pct,276,0.1079,0.07359,0.0859,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,vix_chg_oc_pts,276,0.1077,0.074086,0.0854,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,vix_chg_cc_pct,276,0.0402,0.505618,0.1439,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,vix_chg_cc_pts,276,0.0404,0.504165,0.1432,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,pre_move_bp,277,0.146,0.014991,0.1932,1,YES
SENSEX_1MIN,WED_1030_1200,LIVE,exc_norm,pre_range_bp,277,0.2237,0.000174,0.2775,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,cpr_today,1356,0.2244,0.0,0.1931,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,cpr_prev,1355,0.1746,0.0,0.1455,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,wcpr_this,1356,0.1147,2.3e-05,0.093,-1,no
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,wcpr_prev,1351,0.0216,0.426896,0.0346,-1,no
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,gap_abs,1356,0.1365,0.0,0.1103,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,gap_pct,1356,-0.0414,0.127731,-0.0545,0,
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,pdr_pct,1356,0.3718,0.0,0.3434,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,pdr_rel,1336,0.2093,0.0,0.2453,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,atr14_pct,1342,0.3388,0.0,0.2501,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,vix_open,1357,0.3835,0.0,0.3363,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,vix_chg_oc_pct,1355,-0.0058,0.83251,-0.0053,1,no
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,vix_chg_oc_pts,1355,-0.0059,0.828836,-0.01,1,no
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,vix_chg_cc_pct,1353,0.1095,5.5e-05,0.0841,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,vix_chg_cc_pts,1353,0.1036,0.000135,0.0557,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,pre_move_bp,1357,0.2158,0.0,0.3004,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_bp,pre_range_bp,1357,0.4236,0.0,0.453,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,cpr_today,1356,0.0971,0.00034,0.065,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,cpr_prev,1355,0.053,0.051306,0.0273,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,wcpr_this,1356,0.0041,0.881295,-0.018,-1,no
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,wcpr_prev,1351,-0.0743,0.006284,-0.0406,-1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,gap_abs,1356,-0.0014,0.958173,0.0031,1,no
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,gap_pct,1356,-0.0916,0.000731,-0.0822,0,
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,pdr_pct,1356,0.1616,0.0,0.1425,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,pdr_rel,1336,0.2019,0.0,0.1896,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,atr14_pct,1342,-0.0021,0.938557,-0.0278,1,no
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,vix_open,1357,-0.0374,0.169035,-0.0236,1,no
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,vix_chg_oc_pct,1355,-0.003,0.913292,-0.0184,1,no
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,vix_chg_oc_pts,1355,-0.0029,0.914718,-0.0194,1,no
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,vix_chg_cc_pct,1353,0.0781,0.00403,0.0418,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,vix_chg_cc_pts,1353,0.0774,0.004393,0.0167,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,pre_move_bp,1357,0.1226,6e-06,0.2076,1,YES
SENSEX_1MIN,WED_1030_1200,ALL,exc_norm,pre_range_bp,1357,0.2467,0.0,0.298,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,cpr_today,273,0.1219,0.044157,0.0977,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,cpr_prev,273,0.122,0.043991,0.1658,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,wcpr_this,273,0.1779,0.003178,0.0692,-1,no
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,wcpr_prev,272,-0.0069,0.909911,-0.0393,-1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,gap_abs,273,0.0859,0.156874,0.0334,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,gap_pct,273,-0.0123,0.839567,-0.0081,0,
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,pdr_pct,273,0.2803,3e-06,0.2457,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,pdr_rel,269,0.1684,0.005617,0.0887,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,atr14_pct,271,0.2139,0.000391,0.2131,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,vix_open,274,0.2897,1e-06,0.2808,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,vix_chg_oc_pct,273,0.0316,0.603007,-0.0329,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,vix_chg_oc_pts,273,0.0299,0.622242,-0.0515,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,vix_chg_cc_pct,273,0.1456,0.016068,0.0786,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,vix_chg_cc_pts,273,0.1195,0.048585,0.0513,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,pre_move_bp,274,0.2252,0.00017,0.2239,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_bp,pre_range_bp,274,0.3787,0.0,0.3509,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,cpr_today,273,0.0265,0.66348,-0.023,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,cpr_prev,273,-0.0675,0.266313,-0.0188,1,no
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,wcpr_this,273,0.07,0.249134,-0.0419,-1,no
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,wcpr_prev,272,-0.0937,0.123169,-0.1004,-1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,gap_abs,273,-0.0472,0.437186,-0.109,1,no
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,gap_pct,273,-0.0652,0.283238,-0.0363,0,
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,pdr_pct,273,0.073,0.229216,0.0273,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,pdr_rel,269,0.1907,0.001677,0.0936,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,atr14_pct,271,-0.1538,0.011228,-0.1184,1,no
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,vix_open,274,-0.1624,0.007054,-0.1355,1,no
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,vix_chg_oc_pct,273,0.0342,0.573751,-0.0502,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,vix_chg_oc_pts,273,0.0342,0.573378,-0.0579,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,vix_chg_cc_pct,273,0.1183,0.050933,0.0601,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,vix_chg_cc_pts,273,0.1132,0.061681,0.0319,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,pre_move_bp,274,0.117,0.052961,0.1137,1,YES
SENSEX_1MIN,FRI_1000_1200,LIVE,exc_norm,pre_range_bp,274,0.1654,0.00607,0.1397,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,cpr_today,1356,0.248,0.0,0.2413,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,cpr_prev,1355,0.167,0.0,0.1539,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,wcpr_this,1356,0.1554,0.0,0.1183,-1,no
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,wcpr_prev,1351,0.0433,0.111989,0.0482,-1,no
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,gap_abs,1356,0.1558,0.0,0.1396,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,gap_pct,1356,-0.0438,0.106748,-0.0726,0,
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,pdr_pct,1356,0.3905,0.0,0.3782,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,pdr_rel,1336,0.2137,0.0,0.27,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,atr14_pct,1342,0.3529,0.0,0.2687,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,vix_open,1357,0.4126,0.0,0.362,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,vix_chg_oc_pct,1355,0.0088,0.745566,-0.0078,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,vix_chg_oc_pts,1355,0.0087,0.748955,-0.0163,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,vix_chg_cc_pct,1353,0.1168,1.6e-05,0.1085,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,vix_chg_cc_pts,1353,0.1105,4.6e-05,0.0732,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,pre_move_bp,1357,0.215,0.0,0.3372,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_bp,pre_range_bp,1357,0.4262,0.0,0.4848,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,cpr_today,1356,0.1213,7e-06,0.1056,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,cpr_prev,1355,0.0334,0.219824,0.0269,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,wcpr_this,1356,0.0494,0.068782,0.0061,-1,no
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,wcpr_prev,1351,-0.057,0.036298,-0.0292,-1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,gap_abs,1356,0.0097,0.721797,0.0306,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,gap_pct,1356,-0.0986,0.000276,-0.1064,0,
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,pdr_pct,1356,0.1748,0.0,0.1654,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,pdr_rel,1336,0.2075,0.0,0.2102,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,atr14_pct,1342,0.0013,0.962887,-0.0235,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,vix_open,1357,-0.0196,0.469723,-0.0201,1,no
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,vix_chg_oc_pct,1355,0.0197,0.468266,-0.0181,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,vix_chg_oc_pts,1355,0.0198,0.466365,-0.0224,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,vix_chg_cc_pct,1353,0.0877,0.001246,0.0673,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,vix_chg_cc_pts,1353,0.086,0.001543,0.0361,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,pre_move_bp,1357,0.1299,2e-06,0.2497,1,YES
SENSEX_1MIN,FRI_1000_1200,ALL,exc_norm,pre_range_bp,1357,0.2509,0.0,0.325,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,cpr_today,548,0.249,0.0,0.3433,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,cpr_prev,548,0.2037,2e-06,0.2739,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,wcpr_this,548,0.2189,0.0,0.271,-1,no
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,wcpr_prev,548,0.1809,2.1e-05,0.2374,-1,no
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,gap_abs,548,0.2275,0.0,0.4076,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,gap_pct,548,-0.0978,0.022029,-0.283,0,
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,pdr_pct,548,0.4038,0.0,0.4179,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,pdr_rel,548,0.123,0.003936,0.214,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,atr14_pct,548,0.4803,0.0,0.475,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,vix_open,548,0.4951,0.0,0.5036,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_oc_pct,548,-0.0771,0.071354,-0.1173,1,no
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_oc_pts,548,-0.0787,0.065598,-0.118,1,no
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pct,548,0.0279,0.514234,0.0919,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pts,548,-0.0031,0.941605,0.0564,1,no
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,pre_move_bp,548,0.2993,0.0,0.4247,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_bp,pre_range_bp,548,0.5551,0.0,0.6237,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,cpr_today,548,0.1582,0.0002,0.1035,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,cpr_prev,548,0.1143,0.007386,0.0848,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,wcpr_this,548,0.0949,0.026386,0.0802,-1,no
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,wcpr_prev,548,0.0676,0.114123,0.0563,-1,no
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,gap_abs,548,0.0718,0.092929,0.1539,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,gap_pct,548,-0.1438,0.000732,-0.162,0,
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,pdr_pct,548,0.212,1e-06,0.1273,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,pdr_rel,548,0.1558,0.00025,0.139,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,atr14_pct,548,0.1506,0.000405,0.0529,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,vix_open,548,0.0682,0.110926,0.0162,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_oc_pct,548,-0.0586,0.170621,-0.1861,1,no
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_oc_pts,548,-0.06,0.160996,-0.1864,1,no
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pct,548,0.0051,0.905512,0.0406,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pts,548,0.0052,0.902475,0.0413,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,pre_move_bp,548,0.2249,0.0,0.2897,1,YES
NIFTY50_5MIN,MON_1300_1400,LIVE,exc_norm,pre_range_bp,548,0.3669,0.0,0.327,1,YES
NIFTY50_5MIN,MON_1300_1400,ALL,exc_bp,cpr_today,2757,0.2683,0.0,0.3581,1,YES
NIFTY50_5MIN,MON_1300_1400,ALL,exc_bp,cpr_prev,2757,0.2328,0.0,0.3193,1,YES
