cell,signal,side,n,skipped,total_all,total_kept,pnl_retained_pct,median_all,median_kept,worst_all,worst_kept,rand_total_mean,rand_total_pctile,rand_worst_mean,rand_worst_pctile
FRI_NIFTY_DTE2,dist_pe_wall_bp,skip_low,14,5,55920,27900,49.9,3575,2900,-3440,-3440,35948,7.9,-1653,64.3
FRI_NIFTY_DTE2,wall_span_bp,skip_high,14,5,55920,33980,60.8,3575,4030,-3440,-3440,35948,38.6,-1653,64.3
FRI_NIFTY_DTE2,wall_span_bp,skip_low,14,5,55920,44210,79.1,3575,4030,-3440,2020,35948,91.5,-1653,97.3
FRI_NIFTY_DTE2,maxpain_drift_bp,skip_high,14,5,55920,45700,81.7,3575,5040,-3440,1300,35948,95.1,-1653,89.0
FRI_NIFTY_DTE2,maxpain_drift_bp,skip_low,14,5,55920,34370,61.5,3575,3120,-3440,-3440,35948,41.3,-1653,64.3
FRI_NIFTY_DTE2,d_pcr_oi_all,skip_high,14,5,55920,39140,70.0,3575,4030,-3440,1300,35948,70.5,-1653,89.0
FRI_NIFTY_DTE2,d_pcr_oi_all,skip_low,14,5,55920,32900,58.8,3575,3120,-3440,-3440,35948,31.6,-1653,64.3
FRI_NIFTY_DTE2,d_oi_total_pct,skip_high,14,5,55920,35850,64.1,3575,3120,-3440,1300,35948,50.5,-1653,89.0
FRI_NIFTY_DTE2,d_oi_total_pct,skip_low,14,5,55920,30540,54.6,3575,3120,-3440,-3440,35948,18.5,-1653,64.3
FRI_NIFTY_DTE2,d_oi_atm_pct,skip_high,14,5,55920,36730,65.7,3575,3120,-3440,1300,35948,56.0,-1653,89.0
FRI_NIFTY_DTE2,d_oi_atm_pct,skip_low,14,5,55920,35740,63.9,3575,4030,-3440,-3440,35948,49.9,-1653,64.3
FRI_NIFTY_DTE2,d_oi_wing_pct,skip_high,14,5,55920,40890,73.1,3575,4030,-3440,1300,35948,79.2,-1653,89.0
FRI_NIFTY_DTE2,d_oi_wing_pct,skip_low,14,5,55920,34040,60.9,3575,3120,-3440,-3440,35948,39.0,-1653,64.3
FRI_NIFTY_DTE2,placebo_noise,skip_high,14,5,55920,29130,52.1,3575,2860,-3440,-3440,35948,12.0,-1653,64.3
