series,window,dow_filter,outcome,signal,quintile,lo,hi,n,mean,median,p90,p95,max,pct_gt_p80all
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pct,Q3,-2.0336,0.188,55,21.6,15.62,40.86,56.93,89.58,9.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pct,Q4,0.188,3.0158,56,25.03,20.72,42.63,58.1,84.04,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pct,Q5,3.0158,24.85,56,29.36,25.3,53.24,63.22,97.03,14.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pts,Q1,-5.24,-0.62,54,23.87,21.64,40.44,44.29,51.47,5.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pts,Q2,-0.62,-0.29,57,22.07,17.23,42.65,48.75,73.35,10.5
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pts,Q3,-0.29,0.036,56,21.33,15.3,40.75,56.15,89.58,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pts,Q4,0.036,0.42,54,22.36,19.3,36.77,45.3,72.04,5.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,vix_chg_cc_pts,Q5,0.42,4.14,58,31.69,26.24,54.98,76.21,97.03,19.0
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pre_move_bp,Q1,0.01,10.768,56,22.81,17.12,41.3,50.78,73.35,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pre_move_bp,Q2,10.768,25.752,56,20.66,16.5,36.76,43.94,86.01,5.4
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pre_move_bp,Q3,25.752,43.916,56,21.92,19.66,33.58,38.47,80.75,3.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pre_move_bp,Q4,43.916,72.284,56,21.46,19.1,38.88,41.21,51.47,3.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pre_move_bp,Q5,72.284,278.03,56,34.81,30.82,63.52,77.57,97.03,28.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pre_range_bp,Q1,24.16,52.13,56,15.82,13.16,25.57,32.37,70.31,1.8
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pre_range_bp,Q2,52.13,66.952,56,18.0,16.09,29.08,32.55,39.73,0.0
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pre_range_bp,Q3,66.952,86.276,56,21.17,18.38,33.61,40.85,73.35,3.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pre_range_bp,Q4,86.276,118.536,56,27.43,25.24,43.19,46.26,67.84,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_bp,pre_range_bp,Q5,118.536,314.98,56,39.22,33.26,73.72,84.53,97.03,33.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,cpr_today,Q1,0.0001,0.0657,56,0.19,0.15,0.33,0.36,0.86,3.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,cpr_today,Q2,0.0657,0.1343,56,0.25,0.2,0.39,0.47,0.81,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,cpr_today,Q3,0.1343,0.2096,56,0.28,0.23,0.49,0.62,0.9,16.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,cpr_today,Q4,0.2096,0.3172,56,0.25,0.22,0.42,0.49,0.83,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,cpr_today,Q5,0.3172,0.8298,56,0.28,0.24,0.44,0.61,0.82,12.5
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,cpr_prev,Q1,0.0009,0.0705,56,0.27,0.22,0.45,0.62,0.9,14.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,cpr_prev,Q2,0.0705,0.1304,56,0.23,0.19,0.41,0.46,0.83,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,cpr_prev,Q3,0.1304,0.2143,55,0.21,0.18,0.32,0.33,0.81,1.8
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,cpr_prev,Q4,0.2143,0.2953,56,0.27,0.24,0.46,0.5,0.86,14.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,cpr_prev,Q5,0.2953,1.044,56,0.27,0.22,0.44,0.63,0.8,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,wcpr_this,Q1,0.0029,0.1975,56,0.25,0.2,0.4,0.59,0.81,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,wcpr_this,Q2,0.1975,0.3515,56,0.22,0.2,0.32,0.36,0.8,3.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,wcpr_this,Q3,0.3515,0.5326,56,0.25,0.22,0.41,0.49,0.9,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,wcpr_this,Q4,0.5326,0.7863,56,0.23,0.2,0.39,0.45,0.58,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,wcpr_this,Q5,0.7863,2.6857,56,0.29,0.23,0.55,0.64,0.83,19.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,wcpr_prev,Q1,0.0029,0.1983,56,0.24,0.2,0.38,0.48,0.8,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,wcpr_prev,Q2,0.1983,0.3536,56,0.26,0.22,0.45,0.54,0.86,17.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,wcpr_prev,Q3,0.3536,0.5265,55,0.27,0.23,0.43,0.53,0.83,10.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,wcpr_prev,Q4,0.5265,0.7749,56,0.24,0.18,0.39,0.57,0.75,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,wcpr_prev,Q5,0.7749,2.6769,56,0.25,0.2,0.37,0.52,0.9,5.4
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,gap_abs,Q1,0.0012,0.0897,56,0.24,0.2,0.37,0.48,0.75,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,gap_abs,Q2,0.0897,0.22,56,0.26,0.2,0.45,0.55,0.81,14.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,gap_abs,Q3,0.22,0.3624,56,0.24,0.2,0.37,0.44,0.67,5.4
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,gap_abs,Q4,0.3624,0.6966,56,0.23,0.18,0.38,0.58,0.86,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,gap_abs,Q5,0.6966,5.2454,56,0.29,0.26,0.44,0.57,0.9,14.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,gap_pct,Q1,-5.2454,-0.2792,56,0.3,0.26,0.44,0.57,0.9,14.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,gap_pct,Q2,-0.2792,0.0014,56,0.27,0.22,0.47,0.62,0.81,12.5
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,gap_pct,Q3,0.0014,0.1593,56,0.24,0.19,0.41,0.46,0.8,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,gap_pct,Q4,0.1593,0.3914,56,0.23,0.17,0.37,0.56,0.67,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,gap_pct,Q5,0.3914,3.4657,56,0.21,0.17,0.32,0.48,0.86,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pdr_pct,Q1,0.2934,0.6171,56,0.2,0.17,0.32,0.4,0.9,5.4
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pdr_pct,Q2,0.6171,0.8506,56,0.26,0.21,0.42,0.49,0.86,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pdr_pct,Q3,0.8506,1.0539,56,0.23,0.19,0.4,0.45,0.53,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pdr_pct,Q4,1.0539,1.4198,56,0.27,0.24,0.42,0.59,0.83,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pdr_pct,Q5,1.4198,3.5128,56,0.29,0.24,0.48,0.61,0.82,16.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pdr_rel,Q1,0.2893,0.6451,55,0.2,0.17,0.34,0.42,0.81,5.5
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pdr_rel,Q2,0.6451,0.8316,55,0.26,0.2,0.4,0.58,0.9,7.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pdr_rel,Q3,0.8316,1.0838,55,0.23,0.2,0.37,0.41,0.45,3.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pdr_rel,Q4,1.0838,1.3513,55,0.29,0.22,0.57,0.68,0.83,20.0
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pdr_rel,Q5,1.3513,3.6646,55,0.28,0.26,0.44,0.54,0.67,12.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,atr14_pct,Q1,0.5911,0.8404,56,0.23,0.2,0.37,0.45,0.61,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,atr14_pct,Q2,0.8404,0.9868,55,0.23,0.18,0.37,0.45,0.86,7.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,atr14_pct,Q3,0.9868,1.1678,55,0.26,0.2,0.42,0.51,0.9,10.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,atr14_pct,Q4,1.1678,1.4158,55,0.27,0.22,0.54,0.71,0.83,12.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,atr14_pct,Q5,1.4158,2.4937,56,0.26,0.23,0.43,0.52,0.82,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_open,Q1,9.15,11.94,55,0.24,0.21,0.39,0.45,0.61,9.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_open,Q2,11.94,13.546,57,0.24,0.17,0.39,0.62,0.86,8.8
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_open,Q3,13.546,15.224,56,0.26,0.2,0.49,0.59,0.9,16.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_open,Q4,15.224,18.794,56,0.25,0.22,0.39,0.45,0.82,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_open,Q5,18.794,28.14,56,0.26,0.22,0.41,0.52,0.75,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_oc_pct,Q1,-3.547,0.0,7,0.31,0.31,0.43,0.44,0.44,14.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_oc_pct,Q5,0.0,2.515,273,0.25,0.2,0.41,0.57,0.9,9.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_oc_pts,Q1,-0.51,0.0,7,0.31,0.31,0.43,0.44,0.44,14.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_oc_pts,Q5,0.0,0.39,273,0.25,0.2,0.41,0.57,0.9,9.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pct,Q1,-16.553,-4.149,56,0.26,0.22,0.4,0.45,0.86,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pct,Q2,-4.149,-2.0336,56,0.23,0.19,0.4,0.46,0.67,10.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pct,Q3,-2.0336,0.188,55,0.23,0.17,0.4,0.51,0.8,9.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pct,Q4,0.188,3.0158,56,0.26,0.21,0.39,0.64,0.83,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pct,Q5,3.0158,24.85,56,0.28,0.24,0.46,0.61,0.9,14.3
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pts,Q1,-5.24,-0.62,54,0.23,0.22,0.35,0.41,0.48,3.7
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pts,Q2,-0.62,-0.29,57,0.25,0.19,0.44,0.59,0.86,14.0
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pts,Q3,-0.29,0.036,56,0.24,0.19,0.4,0.51,0.8,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pts,Q4,0.036,0.42,54,0.25,0.2,0.37,0.54,0.83,7.4
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,vix_chg_cc_pts,Q5,0.42,4.14,58,0.29,0.25,0.48,0.62,0.9,15.5
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pre_move_bp,Q1,0.01,10.768,56,0.25,0.21,0.37,0.56,0.86,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pre_move_bp,Q2,10.768,25.752,56,0.21,0.18,0.37,0.45,0.49,7.1
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pre_move_bp,Q3,25.752,43.916,56,0.24,0.21,0.4,0.45,0.9,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pre_move_bp,Q4,43.916,72.284,56,0.23,0.19,0.34,0.41,0.61,5.4
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pre_move_bp,Q5,72.284,278.03,56,0.33,0.29,0.61,0.76,0.83,21.4
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pre_range_bp,Q1,24.16,52.13,56,0.2,0.16,0.35,0.39,0.86,3.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pre_range_bp,Q2,52.13,66.952,56,0.22,0.19,0.39,0.44,0.61,8.9
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pre_range_bp,Q3,66.952,86.276,56,0.22,0.2,0.36,0.39,0.67,3.6
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pre_range_bp,Q4,86.276,118.536,56,0.26,0.26,0.38,0.44,0.81,5.4
SENSEX_1MIN,MON_1300_1400,LIVE,exc_norm,pre_range_bp,Q5,118.536,314.98,56,0.34,0.29,0.62,0.8,0.9,28.6
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,cpr_today,Q1,0.0,0.0674,271,23.63,18.39,42.58,54.86,167.11,7.7
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,cpr_today,Q2,0.0674,0.1286,269,22.73,17.82,38.38,49.24,165.67,5.9
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,cpr_today,Q3,0.1286,0.2046,272,23.17,18.74,40.53,52.4,110.2,6.6
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,cpr_today,Q4,0.2046,0.3085,270,26.46,21.76,49.09,59.27,162.91,11.5
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,cpr_today,Q5,0.3085,1.5878,271,33.31,27.59,60.63,70.06,159.25,18.5
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,cpr_prev,Q1,0.0,0.0674,271,22.47,18.73,38.86,52.42,91.8,6.6
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,cpr_prev,Q2,0.0674,0.1287,270,24.5,18.37,43.72,63.42,159.25,8.5
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,cpr_prev,Q3,0.1287,0.2049,270,22.84,18.55,40.07,52.77,106.77,6.7
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,cpr_prev,Q4,0.2049,0.3086,270,26.14,22.5,45.79,52.53,137.55,8.5
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,cpr_prev,Q5,0.3086,1.5878,271,33.34,26.44,60.63,71.97,167.11,19.9
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,wcpr_this,Q1,0.0029,0.1973,270,23.97,19.2,41.57,58.86,128.17,8.5
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,wcpr_this,Q2,0.1973,0.342,269,22.48,18.83,39.82,48.82,72.66,5.9
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,wcpr_this,Q3,0.342,0.5267,271,25.1,19.19,43.86,61.23,165.67,8.1
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,wcpr_this,Q4,0.5267,0.7828,269,26.78,21.24,50.5,59.31,167.11,11.9
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,wcpr_this,Q5,0.7828,2.6857,274,30.89,24.82,57.4,77.31,162.91,15.7
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,wcpr_prev,Q1,0.0029,0.1973,268,25.18,19.72,45.82,57.01,165.67,8.6
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,wcpr_prev,Q2,0.1973,0.3555,270,24.36,19.44,45.97,54.76,101.3,9.6
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,wcpr_prev,Q3,0.3555,0.5414,271,25.51,20.1,44.71,64.01,128.45,9.2
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,wcpr_prev,Q4,0.5414,0.7858,268,25.47,20.38,46.31,58.64,159.25,9.7
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,wcpr_prev,Q5,0.7858,2.6857,271,28.53,22.76,51.91,66.72,167.11,12.9
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,gap_abs,Q1,0.0006,0.0971,271,22.18,17.65,38.11,51.04,165.67,5.9
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,gap_abs,Q2,0.0971,0.2086,270,22.47,18.62,40.18,51.6,71.09,6.7
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,gap_abs,Q3,0.2086,0.3363,271,24.88,20.09,47.04,59.5,106.77,10.0
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,gap_abs,Q4,0.3363,0.5638,270,26.62,21.02,47.79,60.52,159.25,10.7
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,gap_abs,Q5,0.5638,5.2454,271,33.13,26.44,59.16,82.54,167.11,17.0
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,gap_pct,Q1,-5.2454,-0.2245,271,29.97,24.78,56.17,64.47,159.25,14.8
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,gap_pct,Q2,-0.2245,0.0197,270,22.84,17.72,42.53,51.63,165.67,6.7
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,gap_pct,Q3,0.0197,0.193,271,22.13,18.76,37.3,51.57,71.09,6.3
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,gap_pct,Q4,0.193,0.4034,270,24.6,19.4,44.82,56.71,106.77,9.3
SENSEX_1MIN,MON_1300_1400,ALL,exc_bp,gap_pct,Q5,0.4034,4.523,271,29.74,22.8,51.52,71.59,167.11,13.3
