scope,outcome,signal,n,spearman,p
WED_SENSEX_DTE1,pnl_pct_credit,pre_move_bp,17,-0.2207,0.39459
WED_SENSEX_DTE1,pnl_pct_credit,pre_range_bp,17,0.2034,0.43356
WED_SENSEX_DTE1,pnl_pct_credit,pcr_oi_all,17,0.2868,0.26445
WED_SENSEX_DTE1,pnl_pct_credit,pcr_oi_atm,17,0.2132,0.41123
WED_SENSEX_DTE1,pnl_pct_credit,pcr_vol_all,17,-0.4559,0.06589
WED_SENSEX_DTE1,pnl_pct_credit,oi_atm_share,17,0.2206,0.39489
WED_SENSEX_DTE1,pnl_pct_credit,dist_ce_wall_bp,17,0.0882,0.73631
WED_SENSEX_DTE1,pnl_pct_credit,dist_pe_wall_bp,17,-0.0601,0.81881
WED_SENSEX_DTE1,pnl_pct_credit,wall_span_bp,17,0.0294,0.91073
WED_SENSEX_DTE1,pnl_pct_credit,maxpain_drift_bp,17,0.6887,0.00223
WED_SENSEX_DTE1,pnl_pct_credit,d_pcr_oi_all,17,0.4142,0.09833
WED_SENSEX_DTE1,pnl_pct_credit,d_oi_total_pct,17,-0.0907,0.72924
WED_SENSEX_DTE1,pnl_pct_credit,d_oi_atm_pct,17,0.3676,0.14655
WED_SENSEX_DTE1,pnl_pct_credit,d_oi_wing_pct,17,-0.1789,0.49202
WED_SENSEX_DTE1,pnl_pct_credit,placebo_noise,17,0.3235,0.20525
WED_SENSEX_DTE1,pnl_pct_credit,placebo_prepath,17,0.1397,0.5928
WED_SENSEX_DTE1,exc_over_credit,cpr_today,17,0.4289,0.0858
WED_SENSEX_DTE1,exc_over_credit,cpr_prev,17,0.049,0.85179
WED_SENSEX_DTE1,exc_over_credit,wcpr_this,17,-0.4436,0.07447
WED_SENSEX_DTE1,exc_over_credit,wcpr_prev,17,-0.049,0.85179
WED_SENSEX_DTE1,exc_over_credit,gap_abs,17,-0.027,0.91819
WED_SENSEX_DTE1,exc_over_credit,gap_pct,17,-0.2917,0.256
WED_SENSEX_DTE1,exc_over_credit,pdr_pct,17,0.4706,0.05659
WED_SENSEX_DTE1,exc_over_credit,pdr_rel,17,0.5686,0.01723
WED_SENSEX_DTE1,exc_over_credit,atr14_pct,17,0.0931,0.72219
WED_SENSEX_DTE1,exc_over_credit,vix_open,17,0.2377,0.35817
WED_SENSEX_DTE1,exc_over_credit,vix_chg_oc_pct,17,,
WED_SENSEX_DTE1,exc_over_credit,vix_chg_oc_pts,17,,
WED_SENSEX_DTE1,exc_over_credit,vix_chg_cc_pct,17,-0.2108,0.41675
