symbol,cohort,best_timeframe,best_variant,best_direction,best_exit_policy,best_n,best_mean_pct,best_win_rate,best_payoff,best_sharpe,robust_cells_count,promote
HAVELLS,B,15min,t0.0040_ctxW_w0.0065_n0.0070_15min_off_l,long,T_R_TARGET_1.0R,14,0.2601,64.29,1.174,0.20381,0,False
SHREECEM,B,15min,t0.0030_ctxW_w0.0050_n0.0070_15min_off_s,short,T_R_TARGET_1.5R,12,0.5439,58.33,2.138,0.20227,0,False
TATAPOWER,B,5min,t0.0050_ctxW_w0.0065_n0.0070_5min_off_s,short,T_ATR_SL_0.5,12,0.7793,58.33,2.093,0.20178,0,False
JSWSTEEL,B,5min,t0.0040_ctxW_OR_N_w0.0065_n0.0090_5min_off_s,short,T_ATR_SL_0.3,13,0.5931,53.85,2.813,0.20162,0,False
IRCTC,B,5min,t0.0030_ctxW_OR_N_w0.0080_n0.0090_5min_off_s,short,T_ATR_SL_0.3,10,0.2306,70.0,0.885,0.16805,0,False
INDUSINDBK,B,5min,t0.0040_ctxW_OR_N_w0.0050_n0.0090_5min_off_s,short,T_ATR_SL_0.3,23,0.3532,52.17,2.008,0.16578,0,False
SIEMENS,B,5min,t0.0050_ctxW_OR_N_w0.0080_n0.0090_5min_off_l,long,T_NO,17,0.2161,64.71,1.093,0.1609,0,False
M&M,B,5min,t0.0050_ctxW_w0.0080_n0.0070_5min_off_l,long,T_R_TARGET_1.0R,14,0.4057,50.0,2.153,0.14266,0,False
VEDL,B,5min,t0.0030_ctxW_OR_N_w0.0065_n0.0090_5min_off_l,long,T_ATR_SL_0.3,10,0.2655,60.0,1.156,0.12621,0,False
DRREDDY,B,10min,t0.0030_ctxW_OR_N_w0.0050_n0.0090_10min_off_l,long,T_ATR_SL_0.5,17,0.2052,52.94,1.72,0.10425,0,False
CUMMINSIND,B,5min,t0.0030_ctxW_OR_N_w0.0050_n0.0090_5min_off_l,long,T_ATR_SL_0.3,24,0.1824,50.0,1.435,0.07967,0,False
BRITANNIA,B,15min,t0.0030_ctxW_OR_N_w0.0050_n0.0090_15min_off_l,long,T_R_TARGET_1.5R,14,0.0912,50.0,1.426,0.07585,0,False
SBILIFE,B,10min,t0.0030_ctxW_w0.0050_n0.0070_10min_off_l,long,T_STEP_TRAIL,14,0.1644,42.86,2.122,0.06802,0,False
MARICO,B,5min,t0.0040_ctxW_w0.0050_n0.0070_5min_off_s,short,T_STEP_TRAIL,16,0.1249,37.5,2.777,0.06656,0,False
COALINDIA,B,10min,t0.0030_ctxW_OR_N_w0.0050_n0.0090_10min_off_l,long,T_R_TARGET_1.0R,10,0.0233,70.0,0.463,0.02056,0,False
