symbol,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,return_pct,pnl_inr,shares,seed
DMART,2019-09-23,1784.75,2019-11-27,1798.3,"SuperTrend(14,4) trail",43,0.26,1497,326,20
PVRINOX,2019-09-24,1805.8,2020-03-02,1904.95,"SuperTrend(14,4) trail",109,4.96,29029,323,20
ADANIGREEN,2019-10-11,74.6,2020-01-16,179.7,"SuperTrend(14,4) trail",66,139.68,821611,7865,20
PRESTIGE,2019-12-04,345.0,2020-02-28,305.0,"SuperTrend(14,4) trail",61,-12.04,-81418,1956,20
TATACONSUM,2019-12-16,324.95,2020-03-02,346.75,"SuperTrend(14,4) trail",54,6.18,41046,2040,20
GSPL,2020-01-03,233.2,2020-02-19,235.1,"SuperTrend(14,4) trail",34,0.31,2226,3052,20
DABUR,2020-01-16,491.75,2020-03-13,425.0,"SuperTrend(14,4) trail",40,-14.01,-103425,1498,20
LTIM,2020-01-16,1809.95,2020-03-12,1565.45,"SuperTrend(14,4) trail",39,-13.94,-102946,407,20
GODREJPROP,2020-02-05,1102.0,2020-03-06,921.0,"SuperTrend(14,4) trail",21,-16.84,-125031,672,20
TECHM,2020-02-19,796.4,2020-03-02,701.2,"SuperTrend(14,4) trail",7,-12.39,-90138,911,20
IOLCP,2020-02-19,43.95,2020-03-03,42.36,"SuperTrend(14,4) trail",8,-4.1,-29826,16517,20
BIOCON,2020-04-20,359.9,2021-01-25,393.1,"SuperTrend(14,4) trail",195,8.68,55495,1772,20
APLLTD,2020-04-28,835.0,2020-09-11,909.75,"SuperTrend(14,4) trail",96,8.41,53706,763,20
ASTRAZEN,2020-04-30,3180.0,2021-01-19,4040.0,"SuperTrend(14,4) trail",183,26.41,167548,199,20
AARTIDRUGS,2020-05-15,214.25,2020-10-14,800.0,"SuperTrend(14,4) trail",106,271.53,1730980,2968,20
ADANIGREEN,2020-05-20,231.0,2020-06-30,358.85,"SuperTrend(14,4) trail",28,54.57,347153,2747,20
BHARTIARTL,2020-05-20,593.85,2020-08-27,504.9,"SuperTrend(14,4) trail",70,-15.4,-97932,1068,20
SYNGENE,2020-05-22,360.0,2021-03-08,544.7,"SuperTrend(14,4) trail",201,50.55,325105,1782,20
COROMANDEL,2020-05-26,660.0,2020-09-10,714.4,"SuperTrend(14,4) trail",77,7.7,49282,967,20
BAYERCROP,2020-05-27,5050.0,2020-10-22,5400.0,"SuperTrend(14,4) trail",105,6.4,40484,125,20
DIXON,2020-06-01,996.65,2021-04-06,3503.35,"SuperTrend(14,4) trail",214,249.76,1624538,651,20
BRITANNIA,2020-06-03,3601.0,2020-09-23,3618.9,"SuperTrend(14,4) trail",80,-0.0,-27,182,20
SUMICHEM,2020-06-04,270.0,2021-03-16,274.2,"SuperTrend(14,4) trail",198,1.05,6900,2430,20
PIIND,2020-06-08,1644.0,2021-01-27,2130.0,"SuperTrend(14,4) trail",163,28.92,191579,402,20
MUTHOOTFIN,2020-06-11,971.0,2020-09-08,1097.0,"SuperTrend(14,4) trail",63,12.41,82648,684,20
GRANULES,2020-06-11,201.5,2020-12-21,369.9,"SuperTrend(14,4) trail",135,82.66,551006,3300,20
TATACONSUM,2020-07-07,403.4,2020-09-23,499.8,"SuperTrend(14,4) trail",56,23.28,170774,1814,20
BDL,2020-07-07,214.35,2020-09-09,159.9,"SuperTrend(14,4) trail",46,-25.77,-189031,3413,20
PFIZER,2020-09-08,5065.0,2021-01-27,4700.0,"SuperTrend(14,4) trail",97,-7.67,-66979,172,20
GLOBUSSPR,2020-09-09,218.4,2021-03-15,324.8,"SuperTrend(14,4) trail",128,47.98,418697,3986,20
VIYASH,2020-09-14,148.5,2021-08-12,235.15,"SuperTrend(14,4) trail",227,57.56,523657,6111,20
BALKRISIND,2020-09-29,1457.45,2021-02-22,1547.85,"SuperTrend(14,4) trail",100,5.67,52136,629,20
KPITTECH,2020-09-30,119.3,2020-11-03,91.3,"SuperTrend(14,4) trail",23,-23.85,-218399,7656,20
LTTS,2020-10-14,1792.9,2022-01-20,5100.0,"SuperTrend(14,4) trail",316,183.04,1700862,517,20
KOPRAN,2020-10-15,104.0,2021-01-28,112.0,"SuperTrend(14,4) trail",72,7.16,65626,8797,20
SHREDIGCEM,2020-10-26,50.41,2021-08-12,69.79,"SuperTrend(14,4) trail",198,37.75,350052,18347,20
HAVELLS,2020-11-05,812.55,2021-03-19,1010.05,"SuperTrend(14,4) trail",92,23.69,219762,1139,20
PIDILITIND,2020-12-21,865.0,2021-10-22,1153.0,"SuperTrend(14,4) trail",207,32.63,320588,1133,20
