symbol,months,n_young,n_young_liq,first
ICICIB22,6,123,39,2017-11-28
ICICIB22,12,245,80,2017-11-28
ICICIB22,24,490,118,2017-11-28
ICICIB22,36,742,118,2017-11-28
ICICIBANK,3,62,43,2003-01-01
ICICIBANK,6,124,105,2003-01-01
ICICIBANK,12,251,232,2003-01-01
ICICIBANK,24,480,461,2003-01-01
ICICIBANK,36,729,710,2003-01-01
ICICIGI,3,61,42,2017-09-27
ICICIGI,6,123,104,2017-09-27
ICICIGI,12,247,222,2017-09-27
ICICIGI,24,491,466,2017-09-27
ICICIGI,36,739,714,2017-09-27
ICICIPRULI,3,61,42,2016-09-29
ICICIPRULI,6,123,104,2016-09-29
ICICIPRULI,12,248,229,2016-09-29
ICICIPRULI,24,494,475,2016-09-29
ICICIPRULI,36,737,718,2016-09-29
ICIL,3,61,0,2005-09-12
ICIL,6,123,0,2005-09-12
ICIL,12,248,0,2005-09-12
ICIL,24,496,0,2005-09-12
ICIL,36,745,0,2005-09-12
ICRA,3,63,44,2007-04-13
ICRA,6,126,90,2007-04-13
ICRA,12,251,90,2007-04-13
ICRA,24,490,90,2007-04-13
ICRA,36,734,90,2007-04-13
IDBI,3,62,43,2005-01-03
IDBI,6,126,107,2005-01-03
IDBI,12,250,231,2005-01-03
IDBI,24,497,478,2005-01-03
IDBI,36,747,728,2005-01-03
IDEA,3,61,42,2007-03-09
IDEA,6,125,106,2007-03-09
IDEA,12,251,232,2007-03-09
IDEA,24,493,474,2007-03-09
IDEA,36,734,715,2007-03-09
IDEAFORGE,3,62,43,2023-07-07
IDEAFORGE,6,124,105,2023-07-07
IDEAFORGE,12,247,228,2023-07-07
IDEAFORGE,24,495,473,2023-07-07
IDEAFORGE,36,741,714,2023-07-07
IDFCFIRSTB,3,61,42,2015-11-06
IDFCFIRSTB,6,120,101,2015-11-06
IDFCFIRSTB,12,243,224,2015-11-06
IDFCFIRSTB,24,490,471,2015-11-06
IDFCFIRSTB,36,738,719,2015-11-06
IDFNIFTYET,3,52,0,2016-10-18
IDFNIFTYET,6,106,0,2016-10-18
IDFNIFTYET,12,217,0,2016-10-18
IDFNIFTYET,24,434,0,2016-10-18
IDFNIFTYET,36,651,0,2016-10-18
IEX,3,64,1,2017-10-23
IEX,6,124,1,2017-10-23
IEX,12,248,1,2017-10-23
IEX,24,491,6,2017-10-23
IEX,36,742,194,2017-10-23
IFBAGRO,3,62,0,2005-01-03
IFBAGRO,6,126,0,2005-01-03
IFBAGRO,12,250,0,2005-01-03
IFBAGRO,24,497,0,2005-01-03
IFBAGRO,36,747,0,2005-01-03
IFBIND,3,62,0,2005-01-03
IFBIND,6,126,0,2005-01-03
IFBIND,12,250,0,2005-01-03
IFBIND,24,497,0,2005-01-03
IFBIND,36,747,0,2005-01-03
IFCI,3,62,43,2005-01-03
IFCI,6,126,79,2005-01-03
IFCI,12,250,203,2005-01-03
IFCI,24,497,450,2005-01-03
IFCI,36,747,700,2005-01-03
IFGLEXPOR,3,62,0,2017-11-14
IFGLEXPOR,6,123,0,2017-11-14
IFGLEXPOR,12,246,0,2017-11-14
IFGLEXPOR,24,490,0,2017-11-14
IFGLEXPOR,36,742,0,2017-11-14
IGARASHI,3,62,0,2005-01-03
IGARASHI,6,126,0,2005-01-03
IGARASHI,12,250,0,2005-01-03
IGARASHI,24,497,0,2005-01-03
IGARASHI,36,747,0,2005-01-03
IGCL,3,62,35,2025-07-03
IGCL,6,124,35,2025-07-03
IGCL,12,212,35,2025-07-03
IGCL,24,212,35,2025-07-03
IGCL,36,212,35,2025-07-03
IGIL,3,63,44,2024-12-20
IGIL,6,123,104,2024-12-20
IGIL,12,247,228,2024-12-20
IGIL,24,421,402,2024-12-20
IGIL,36,421,402,2024-12-20
IGL,3,62,43,2005-01-03
IGL,6,126,47,2005-01-03
IGL,12,250,56,2005-01-03
IGL,24,497,56,2005-01-03
IGL,36,747,72,2005-01-03
IGPL,3,61,0,2007-01-29
IGPL,6,124,0,2007-01-29
IGPL,12,251,0,2007-01-29
IGPL,24,494,0,2007-01-29
IGPL,36,736,0,2007-01-29
IIFL,3,63,26,2005-05-17
IIFL,6,123,76,2005-05-17
IIFL,12,246,111,2005-05-17
IIFL,24,494,241,2005-05-17
IIFL,36,745,482,2005-05-17
IIFLCAPS,3,65,46,2024-11-25
IIFLCAPS,6,123,104,2024-11-25
IIFLCAPS,12,249,230,2024-11-25
IIFLCAPS,24,441,422,2024-11-25
IIFLCAPS,36,441,422,2024-11-25
IITL,3,63,0,2010-08-17
IITL,6,125,0,2010-08-17
IITL,12,251,0,2010-08-17
IITL,24,497,0,2010-08-17
IITL,36,742,0,2010-08-17
IKIO,3,63,44,2023-06-16
IKIO,6,123,104,2023-06-16
IKIO,12,243,194,2023-06-16
IKIO,24,490,257,2023-06-16
IKIO,36,736,257,2023-06-16
IKS,3,63,44,2024-12-19
IKS,6,123,104,2024-12-19
IKS,12,249,230,2024-12-19
IKS,24,424,405,2024-12-19
IKS,36,424,405,2024-12-19
IMAGICAA,3,63,0,2015-04-06
IMAGICAA,6,125,0,2015-04-06
IMAGICAA,12,248,0,2015-04-06
IMAGICAA,24,494,19,2015-04-06
IMAGICAA,36,741,19,2015-04-06
IMFA,3,64,0,2010-07-23
IMFA,6,126,0,2010-07-23
IMFA,12,251,0,2010-07-23
IMFA,24,496,0,2010-07-23
IMFA,36,742,0,2010-07-23
IMPAL,3,61,1,2005-10-07
IMPAL,6,121,1,2005-10-07
IMPAL,12,246,1,2005-10-07
IMPAL,24,493,1,2005-10-07
IMPAL,36,742,1,2005-10-07
INA,3,59,40,2026-03-09
INA,6,119,86,2026-03-09
INA,12,119,86,2026-03-09
INA,24,119,86,2026-03-09
INA,36,119,86,2026-03-09
INCREDIBLE,3,61,0,2016-07-01
INCREDIBLE,6,122,0,2016-07-01
INCREDIBLE,12,245,0,2016-07-01
INCREDIBLE,24,494,0,2016-07-01
INCREDIBLE,36,737,0,2016-07-01
INDBANK,3,59,0,2008-10-08
INDBANK,6,117,0,2008-10-08
INDBANK,12,241,0,2008-10-08
INDBANK,24,489,0,2008-10-08
INDBANK,36,738,0,2008-10-08
INDGN,3,62,43,2024-05-13
INDGN,6,125,106,2024-05-13
INDGN,12,247,228,2024-05-13
INDGN,24,494,475,2024-05-13
INDGN,36,574,555,2024-05-13
INDHOTEL,3,62,0,2005-01-03
INDHOTEL,6,126,3,2005-01-03
INDHOTEL,12,250,84,2005-01-03
INDHOTEL,24,497,331,2005-01-03
INDHOTEL,36,747,581,2005-01-03
INDIACEM,3,62,43,2005-01-03
INDIACEM,6,126,88,2005-01-03
INDIACEM,12,250,212,2005-01-03
INDIACEM,24,497,459,2005-01-03
INDIACEM,36,747,709,2005-01-03
INDIAGLYCO,3,62,20,2005-07-01
INDIAGLYCO,6,123,27,2005-07-01
INDIAGLYCO,12,245,27,2005-07-01
INDIAGLYCO,24,492,27,2005-07-01
INDIAGLYCO,36,742,45,2005-07-01
INDIAMART,3,60,17,2019-07-04
INDIAMART,6,121,70,2019-07-04
INDIAMART,12,245,176,2019-07-04
INDIAMART,24,495,426,2019-07-04
INDIAMART,36,743,674,2019-07-04
INDIANB,3,61,25,2007-03-01
INDIANB,6,125,70,2007-03-01
INDIANB,12,253,198,2007-03-01
INDIANB,24,494,366,2007-03-01
INDIANB,36,735,581,2007-03-01
INDIANCARD,3,62,0,2005-01-03
INDIANCARD,6,126,0,2005-01-03
INDIANCARD,12,250,0,2005-01-03
INDIANCARD,24,497,0,2005-01-03
INDIANCARD,36,747,0,2005-01-03
INDIANHUME,3,62,0,2005-01-03
INDIANHUME,6,126,0,2005-01-03
INDIANHUME,12,250,0,2005-01-03
INDIANHUME,24,497,0,2005-01-03
INDIANHUME,36,747,0,2005-01-03
INDIASHLTR,3,61,42,2023-12-20
INDIASHLTR,6,119,61,2023-12-20
INDIASHLTR,12,245,178,2023-12-20
INDIASHLTR,24,494,406,2023-12-20
INDIASHLTR,36,668,558,2023-12-20
INDIAVIX,3,62,0,2015-01-01
INDIAVIX,6,124,0,2015-01-01
INDIAVIX,12,248,0,2015-01-01
INDIAVIX,24,494,0,2015-01-01
INDIAVIX,36,742,0,2015-01-01
INDIGO,3,61,42,2015-11-10
INDIGO,6,120,101,2015-11-10
INDIGO,12,244,225,2015-11-10
INDIGO,24,492,473,2015-11-10
INDIGO,36,738,719,2015-11-10
INDIGOPNTS,3,60,41,2021-02-02
INDIGOPNTS,6,123,104,2021-02-02
INDIGOPNTS,12,248,175,2021-02-02
INDIGOPNTS,24,497,266,2021-02-02
INDIGOPNTS,36,742,486,2021-02-02
INDIQUBE,3,61,27,2025-07-30
INDIQUBE,6,122,27,2025-07-30
INDIQUBE,12,193,27,2025-07-30
INDIQUBE,24,193,27,2025-07-30
INDIQUBE,36,193,27,2025-07-30
INDNIPPON,3,62,0,2005-01-03
INDNIPPON,6,126,0,2005-01-03
INDNIPPON,12,250,0,2005-01-03
INDNIPPON,24,497,0,2005-01-03
INDNIPPON,36,747,0,2005-01-03
INDOAMIN,3,64,0,2022-04-29
INDOAMIN,6,124,0,2022-04-29
INDOAMIN,12,247,0,2022-04-29
INDOAMIN,24,491,21,2022-04-29
INDOAMIN,36,738,94,2022-04-29
INDOAMIN-BE,3,64,0,2022-04-29
INDOAMIN-BE,6,124,0,2022-04-29
INDOAMIN-BE,12,247,0,2022-04-29
INDOAMIN-BE,24,494,19,2022-04-29
INDOAMIN-BE,36,742,92,2022-04-29
INDOBORAX,3,62,0,2022-03-29
INDOBORAX,6,124,0,2022-03-29
INDOBORAX,12,250,0,2022-03-29
INDOBORAX,24,494,4,2022-03-29
INDOBORAX,36,742,22,2022-03-29
INDOCO,3,61,0,2005-01-14
INDOCO,6,126,0,2005-01-14
INDOCO,12,248,0,2005-01-14
INDOCO,24,495,0,2005-01-14
INDOCO,36,745,0,2005-01-14
INDOFARM,3,63,28,2025-01-07
INDOFARM,6,124,33,2025-01-07
INDOFARM,12,249,90,2025-01-07
INDOFARM,24,411,100,2025-01-07
INDOFARM,36,411,100,2025-01-07
INDORAMA,3,62,0,2005-01-03
INDORAMA,6,126,0,2005-01-03
INDORAMA,12,250,0,2005-01-03
INDORAMA,24,497,0,2005-01-03
INDORAMA,36,747,0,2005-01-03
INDOSTAR,3,64,11,2018-05-21
INDOSTAR,6,123,27,2018-05-21
INDOSTAR,12,244,27,2018-05-21
INDOSTAR,24,488,37,2018-05-21
INDOSTAR,36,738,54,2018-05-21
INDOTECH,3,61,1,2006-03-16
INDOTECH,6,125,1,2006-03-16
INDOTECH,12,248,14,2006-03-16
INDOTECH,24,499,14,2006-03-16
INDOTECH,36,739,14,2006-03-16
INDOTHAI,3,61,0,2011-11-02
INDOTHAI,6,121,0,2011-11-02
INDOTHAI,12,246,0,2011-11-02
INDOTHAI,24,493,0,2011-11-02
INDOTHAI,36,736,0,2011-11-02
INDOUS,3,59,0,2024-09-27
INDOUS,6,123,0,2024-09-27
INDOUS,12,246,0,2024-09-27
INDOUS,24,477,0,2024-09-27
INDOUS,36,477,0,2024-09-27
INDOWIND,3,64,27,2007-09-14
INDOWIND,6,126,27,2007-09-14
INDOWIND,12,248,27,2007-09-14
INDOWIND,24,490,37,2007-09-14
INDOWIND,36,737,53,2007-09-14
INDRAMEDCO,3,62,0,2005-01-03
INDRAMEDCO,6,126,0,2005-01-03
INDRAMEDCO,12,250,0,2005-01-03
INDRAMEDCO,24,497,0,2005-01-03
INDRAMEDCO,36,747,0,2005-01-03
INDSWFTLAB,3,62,0,2005-01-03
INDSWFTLAB,6,126,0,2005-01-03
INDSWFTLAB,12,250,0,2005-01-03
INDSWFTLAB,24,497,0,2005-01-03
INDSWFTLAB,36,747,0,2005-01-03
INDTERRAIN,3,62,0,2011-03-11
INDTERRAIN,6,124,0,2011-03-11
INDTERRAIN,12,245,0,2011-03-11
INDTERRAIN,24,492,0,2011-03-11
INDTERRAIN,36,739,0,2011-03-11
INDUSINDBK,3,60,0,2003-01-27
INDUSINDBK,6,124,0,2003-01-27
INDUSINDBK,12,250,0,2003-01-27
INDUSINDBK,24,478,52,2003-01-27
INDUSINDBK,36,728,188,2003-01-27
INDUSTOWER,3,63,36,2012-12-28
INDUSTOWER,6,125,44,2012-12-28
INDUSTOWER,12,247,44,2012-12-28
INDUSTOWER,24,490,224,2012-12-28
INDUSTOWER,36,736,470,2012-12-28
INFIBEAM,3,62,43,2016-04-04
INFIBEAM,6,123,104,2016-04-04
INFIBEAM,12,246,227,2016-04-04
INFIBEAM,24,494,475,2016-04-04
INFIBEAM,36,741,722,2016-04-04
INFOBEAN,3,64,0,2017-05-02
INFOBEAN,6,122,0,2017-05-02
INFOBEAN,12,233,0,2017-05-02
INFOBEAN,24,370,0,2017-05-02
INFOBEAN,36,595,0,2017-05-02
INFOMEDIA,3,61,0,2015-01-01
INFOMEDIA,6,123,0,2015-01-01
INFOMEDIA,12,246,0,2015-01-01
INFOMEDIA,24,491,0,2015-01-01
INFOMEDIA,36,604,0,2015-01-01
INFRA,3,59,0,2026-02-18
INFRA,6,122,0,2026-02-18
INFRA,12,131,0,2026-02-18
INFRA,24,131,0,2026-02-18
INFRA,36,131,0,2026-02-18
INFY,3,62,43,2003-01-01
INFY,6,124,105,2003-01-01
INFY,12,251,232,2003-01-01
INFY,24,480,461,2003-01-01
INFY,36,729,710,2003-01-01
INGERRAND,3,62,0,2005-01-03
INGERRAND,6,126,0,2005-01-03
INGERRAND,12,250,0,2005-01-03
INGERRAND,24,497,0,2005-01-03
INGERRAND,36,747,0,2005-01-03
INNOVACAP,3,60,24,2023-12-29
INNOVACAP,6,120,24,2023-12-29
INNOVACAP,12,244,104,2023-12-29
INNOVACAP,24,492,186,2023-12-29
INNOVACAP,36,662,213,2023-12-29
INNOVANA,3,61,0,2017-12-12
INNOVANA,6,123,0,2017-12-12
INNOVANA,12,246,0,2017-12-12
INNOVANA,24,488,0,2017-12-12
INNOVANA,36,738,0,2017-12-12
INOXGREEN,3,64,32,2022-11-23
INOXGREEN,6,123,32,2022-11-23
INOXGREEN,12,248,146,2022-11-23
INOXGREEN,24,492,390,2022-11-23
INOXGREEN,36,740,633,2022-11-23
INOXINDIA,3,61,42,2023-12-21
INOXINDIA,6,119,100,2023-12-21
INOXINDIA,12,245,226,2023-12-21
INOXINDIA,24,493,472,2023-12-21
INOXINDIA,36,667,606,2023-12-21
INOXWIND,3,63,44,2015-04-09
INOXWIND,6,125,85,2015-04-09
INOXWIND,12,248,130,2015-04-09
INOXWIND,24,493,262,2015-04-09
INOXWIND,36,739,351,2015-04-09
INSECTICID,3,64,0,2007-05-30
INSECTICID,6,128,0,2007-05-30
INSECTICID,12,250,0,2007-05-30
INSECTICID,24,491,0,2007-05-30
INSECTICID,36,736,0,2007-05-30
INSPIRISYS,3,61,0,2015-01-01
INSPIRISYS,6,123,0,2015-01-01
INSPIRISYS,12,247,0,2015-01-01
INSPIRISYS,24,492,0,2015-01-01
INSPIRISYS,36,671,0,2015-01-01
INTELLECT,3,61,42,2014-12-18
INTELLECT,6,122,80,2014-12-18
INTELLECT,12,247,177,2014-12-18
INTELLECT,24,491,412,2014-12-18
INTELLECT,36,739,556,2014-12-18
INTENTECH,3,62,0,2017-03-23
INTENTECH,6,124,0,2017-03-23
INTENTECH,12,249,0,2017-03-23
INTENTECH,24,494,0,2017-03-23
INTENTECH,36,737,0,2017-03-23
INTERARCH,3,62,43,2024-08-26
INTERARCH,6,127,108,2024-08-26
INTERARCH,12,250,212,2024-08-26
INTERARCH,24,496,440,2024-08-26
INTERARCH,36,503,447,2024-08-26
INTERNET,3,62,0,2025-07-08
INTERNET,6,124,0,2025-07-08
INTERNET,12,209,0,2025-07-08
INTERNET,24,209,0,2025-07-08
INTERNET,36,209,0,2025-07-08
INTLCONV,3,62,0,2021-09-16
INTLCONV,6,125,17,2021-09-16
INTLCONV,12,249,22,2021-09-16
INTLCONV,24,497,22,2021-09-16
INTLCONV,36,739,66,2021-09-16
INVENTURE,3,59,12,2011-08-04
INVENTURE,6,120,12,2011-08-04
INVENTURE,12,246,33,2011-08-04
INVENTURE,24,491,33,2011-08-04
INVENTURE,36,736,33,2011-08-04
IOB,3,62,30,2005-01-03
IOB,6,126,69,2005-01-03
IOB,12,250,173,2005-01-03
IOB,24,497,211,2005-01-03
IOB,36,747,261,2005-01-03
IOC,3,62,43,2005-01-03
IOC,6,126,49,2005-01-03
IOC,12,250,102,2005-01-03
IOC,24,497,307,2005-01-03
IOC,36,747,403,2005-01-03
IOLCP,3,62,0,2010-11-08
IOLCP,6,123,0,2010-11-08
IOLCP,12,247,0,2010-11-08
IOLCP,24,494,0,2010-11-08
IOLCP,36,740,0,2010-11-08
IONEXCHANG,3,60,0,2022-02-22
IONEXCHANG,6,123,0,2022-02-22
IONEXCHANG,12,249,70,2022-02-22
IONEXCHANG,24,494,315,2022-02-22
IONEXCHANG,36,742,563,2022-02-22
IPCALAB,3,62,0,2005-01-03
IPCALAB,6,126,0,2005-01-03
IPCALAB,12,250,0,2005-01-03
IPCALAB,24,497,0,2005-01-03
IPCALAB,36,747,0,2005-01-03
IPL,3,62,43,2021-07-05
IPL,6,124,105,2021-07-05
IPL,12,249,174,2021-07-05
IPL,24,496,190,2021-07-05
IPL,36,740,388,2021-07-05
IRB,3,58,39,2008-02-25
IRB,6,122,45,2008-02-25
IRB,12,242,45,2008-02-25
IRB,24,484,252,2008-02-25
IRB,36,737,505,2008-02-25
IRCON,3,59,0,2018-09-28
IRCON,6,122,0,2018-09-28
IRCON,12,243,0,2018-09-28
IRCON,24,491,99,2018-09-28
IRCON,36,739,297,2018-09-28
IRCTC,3,62,43,2019-10-14
IRCTC,6,123,104,2019-10-14
IRCTC,12,250,231,2019-10-14
IRCTC,24,499,480,2019-10-14
IRCTC,36,747,728,2019-10-14
IREDA,3,63,44,2023-11-29
IREDA,6,123,104,2023-11-29
IREDA,12,248,229,2023-11-29
IREDA,24,497,478,2023-11-29
IREDA,36,687,668,2023-11-29
IRFC,3,60,41,2021-01-29
IRFC,6,123,104,2021-01-29
IRFC,12,247,228,2021-01-29
IRFC,24,495,459,2021-01-29
IRFC,36,740,704,2021-01-29
IRIS,3,63,0,2021-11-08
IRIS,6,123,0,2021-11-08
IRIS,12,248,0,2021-11-08
IRIS,24,497,0,2021-11-08
IRIS,36,742,0,2021-11-08
IRISDOREME,3,7,0,2018-10-23
IRISDOREME,6,19,0,2018-10-23
IRISDOREME,12,28,0,2018-10-23
IRISDOREME,24,90,0,2018-10-23
IRISDOREME,36,285,0,2018-10-23
IRMENERGY,3,61,42,2023-10-26
IRMENERGY,6,120,89,2023-10-26
IRMENERGY,12,245,164,2023-10-26
IRMENERGY,24,492,180,2023-10-26
IRMENERGY,36,705,230,2023-10-26
ISFT,3,64,2,2010-04-12
ISFT,6,128,2,2010-04-12
ISFT,12,253,2,2010-04-12
ISFT,24,498,2,2010-04-12
ISFT,36,746,2,2010-04-12
ISGEC,3,63,41,2021-05-05
ISGEC,6,125,78,2021-05-05
ISGEC,12,248,93,2021-05-05
ISGEC,24,496,93,2021-05-05
ISGEC,36,740,258,2021-05-05
ISHANCH,3,60,0,2025-03-24
ISHANCH,6,123,0,2025-03-24
ISHANCH,12,247,0,2025-03-24
ISHANCH,24,358,0,2025-03-24
ISHANCH,36,358,0,2025-03-24
IT,3,59,0,2024-03-12
IT,6,120,0,2024-03-12
IT,12,245,0,2024-03-12
IT,24,491,0,2024-03-12
IT,36,610,0,2024-03-12
ITADD,3,57,0,2023-07-19
ITADD,6,118,0,2023-07-19
ITADD,12,237,0,2023-07-19
ITADD,24,484,0,2023-07-19
ITADD,36,728,0,2023-07-19
ITBETA,3,59,0,2024-02-02
ITBETA,6,121,0,2024-02-02
ITBETA,12,243,0,2024-02-02
ITBETA,24,488,0,2024-02-02
ITBETA,36,635,0,2024-02-02
ITC,3,62,43,2003-01-01
ITC,6,124,105,2003-01-01
ITC,12,251,232,2003-01-01
ITC,24,480,461,2003-01-01
ITC,36,729,710,2003-01-01
ITCHOTELS,3,60,41,2025-01-29
ITCHOTELS,6,124,105,2025-01-29
ITCHOTELS,12,247,228,2025-01-29
ITCHOTELS,24,396,377,2025-01-29
ITCHOTELS,36,396,377,2025-01-29
ITDC,3,62,0,2016-12-30
ITDC,6,123,16,2016-12-30
ITDC,12,248,16,2016-12-30
ITDC,24,493,16,2016-12-30
ITDC,36,736,53,2016-12-30
ITI,3,62,0,2005-01-03
ITI,6,126,0,2005-01-03
ITI,12,250,119,2005-01-03
ITI,24,497,192,2005-01-03
ITI,36,747,202,2005-01-03
IVALUE,3,61,42,2025-09-25
IVALUE,6,122,43,2025-09-25
IVALUE,12,154,43,2025-09-25
IVALUE,24,154,43,2025-09-25
IVALUE,36,154,43,2025-09-25
IVC,3,62,0,2005-01-03
IVC,6,126,0,2005-01-03
IVC,12,250,0,2005-01-03
IVC,24,497,0,2005-01-03
IVC,36,747,0,2005-01-03
IVZINGOLD,3,61,0,2015-01-01
IVZINGOLD,6,123,0,2015-01-01
IVZINGOLD,12,245,0,2015-01-01
IVZINGOLD,24,474,0,2015-01-01
IVZINGOLD,36,701,0,2015-01-01
IVZINNIFTY,3,62,0,2011-06-17
IVZINNIFTY,6,121,0,2011-06-17
IVZINNIFTY,12,245,0,2011-06-17
IVZINNIFTY,24,492,0,2011-06-17
IVZINNIFTY,36,738,0,2011-06-17
IXIGO,3,63,44,2024-06-18
IXIGO,6,125,93,2024-06-18
IXIGO,12,249,216,2024-06-18
IXIGO,24,496,463,2024-06-18
IXIGO,36,551,518,2024-06-18
IZMO,3,60,0,2007-02-05
IZMO,6,125,0,2007-02-05
IZMO,12,252,0,2007-02-05
IZMO,24,495,0,2007-02-05
IZMO,36,737,0,2007-02-05
J&KBANK,3,62,2,2005-01-03
J&KBANK,6,126,2,2005-01-03
J&KBANK,12,250,2,2005-01-03
J&KBANK,24,497,30,2005-01-03
J&KBANK,36,747,30,2005-01-03
JAGRAN,3,60,11,2006-02-22
JAGRAN,6,124,16,2006-02-22
JAGRAN,12,247,24,2006-02-22
JAGRAN,24,500,24,2006-02-22
JAGRAN,36,742,24,2006-02-22
JAGSNPHARM,3,62,0,2005-01-03
JAGSNPHARM,6,126,0,2005-01-03
JAGSNPHARM,12,250,0,2005-01-03
JAGSNPHARM,24,497,0,2005-01-03
JAGSNPHARM,36,747,0,2005-01-03
JAIBALAJI,3,62,0,2005-01-03
JAIBALAJI,6,126,0,2005-01-03
JAIBALAJI,12,250,0,2005-01-03
JAIBALAJI,24,497,0,2005-01-03
JAIBALAJI,36,747,0,2005-01-03
JAICORPLTD,3,62,0,2005-01-03
JAICORPLTD,6,126,0,2005-01-03
JAICORPLTD,12,250,0,2005-01-03
JAICORPLTD,24,497,0,2005-01-03
JAICORPLTD,36,747,60,2005-01-03
JAINREC,3,61,42,2025-10-01
JAINREC,6,122,103,2025-10-01
JAINREC,12,228,209,2025-10-01
JAINREC,24,228,209,2025-10-01
JAINREC,36,228,209,2025-10-01
JAIPURKURT,3,37,0,2016-10-10
JAIPURKURT,6,74,0,2016-10-10
JAIPURKURT,12,151,0,2016-10-10
JAIPURKURT,24,265,0,2016-10-10
JAIPURKURT,36,345,0,2016-10-10
JAMNAAUTO,3,62,0,2010-12-10
JAMNAAUTO,6,124,0,2010-12-10
JAMNAAUTO,12,245,0,2010-12-10
JAMNAAUTO,24,492,0,2010-12-10
JAMNAAUTO,36,740,0,2010-12-10
JARO,3,61,41,2025-09-30
JARO,6,121,101,2025-09-30
JARO,12,151,118,2025-09-30
JARO,24,151,118,2025-09-30
JARO,36,151,118,2025-09-30
JASH,3,63,0,2017-10-12
JASH,6,123,0,2017-10-12
JASH,12,248,0,2017-10-12
JASH,24,489,0,2017-10-12
JASH,36,736,0,2017-10-12
JAYAGROGN,3,62,0,2005-01-03
JAYAGROGN,6,126,0,2005-01-03
JAYAGROGN,12,250,0,2005-01-03
JAYAGROGN,24,497,0,2005-01-03
JAYAGROGN,36,747,0,2005-01-03
JAYBARMARU,3,62,0,2005-01-03
JAYBARMARU,6,126,0,2005-01-03
JAYBARMARU,12,250,0,2005-01-03
JAYBARMARU,24,497,0,2005-01-03
JAYBARMARU,36,747,0,2005-01-03
JAYKAY,3,61,0,2025-12-03
JAYKAY,6,108,0,2025-12-03
JAYKAY,12,108,0,2025-12-03
JAYKAY,24,108,0,2025-12-03
JAYKAY,36,108,0,2025-12-03
JAYNECOIND,3,62,0,2005-01-03
JAYNECOIND,6,126,0,2005-01-03
JAYNECOIND,12,250,0,2005-01-03
JAYNECOIND,24,497,0,2005-01-03
JAYNECOIND,36,747,0,2005-01-03
JAYSREETEA,3,62,0,2005-01-03
JAYSREETEA,6,126,0,2005-01-03
JAYSREETEA,12,250,0,2005-01-03
JAYSREETEA,24,497,23,2005-01-03
JAYSREETEA,36,747,23,2005-01-03
JBCHEPHARM,3,62,0,2005-01-03
JBCHEPHARM,6,126,0,2005-01-03
JBCHEPHARM,12,250,0,2005-01-03
JBCHEPHARM,24,497,0,2005-01-03
JBCHEPHARM,36,747,0,2005-01-03
JBMA,3,62,0,2005-01-03
JBMA,6,126,0,2005-01-03
JBMA,12,250,0,2005-01-03
JBMA,24,497,0,2005-01-03
JBMA,36,747,0,2005-01-03
JGCHEM,3,59,27,2024-03-13
JGCHEM,6,121,51,2024-03-13
JGCHEM,12,248,133,2024-03-13
JGCHEM,24,494,204,2024-03-13
JGCHEM,36,612,227,2024-03-13
JHS,3,62,0,2015-12-10
JHS,6,122,0,2015-12-10
JHS,12,245,0,2015-12-10
JHS,24,493,0,2015-12-10
JHS,36,737,0,2015-12-10
JINDALPHOT,3,61,0,2015-01-01
JINDALPHOT,6,123,0,2015-01-01
JINDALPHOT,12,247,0,2015-01-01
JINDALPHOT,24,492,0,2015-01-01
JINDALPHOT,36,739,0,2015-01-01
JINDALPOLY,3,62,0,2005-01-03
JINDALPOLY,6,126,0,2005-01-03
JINDALPOLY,12,250,0,2005-01-03
JINDALPOLY,24,497,0,2005-01-03
JINDALPOLY,36,747,0,2005-01-03
JINDALSAW,3,62,30,2005-01-03
JINDALSAW,6,126,34,2005-01-03
JINDALSAW,12,250,34,2005-01-03
JINDALSAW,24,497,34,2005-01-03
JINDALSAW,36,747,68,2005-01-03
JINDALSTEL,3,62,17,2005-01-03
JINDALSTEL,6,126,17,2005-01-03
JINDALSTEL,12,250,17,2005-01-03
JINDALSTEL,24,497,126,2005-01-03
JINDALSTEL,36,747,330,2005-01-03
JINDRILL,3,62,0,2005-01-03
JINDRILL,6,126,0,2005-01-03
JINDRILL,12,250,2,2005-01-03
JINDRILL,24,497,16,2005-01-03
JINDRILL,36,747,16,2005-01-03
JINDWORLD,3,63,0,2010-11-25
JINDWORLD,6,124,0,2010-11-25
JINDWORLD,12,247,0,2010-11-25
JINDWORLD,24,492,0,2010-11-25
JINDWORLD,36,738,0,2010-11-25
JIOFIN,3,61,42,2023-08-21
JIOFIN,6,121,102,2023-08-21
JIOFIN,12,242,223,2023-08-21
JIOFIN,24,489,470,2023-08-21
JIOFIN,36,736,717,2023-08-21
JISLDVREQS,3,62,0,2011-11-30
JISLDVREQS,6,123,0,2011-11-30
JISLDVREQS,12,245,0,2011-11-30
JISLDVREQS,24,493,0,2011-11-30
JISLDVREQS,36,736,0,2011-11-30
JISLJALEQS,3,62,0,2005-01-03
JISLJALEQS,6,126,0,2005-01-03
JISLJALEQS,12,250,20,2005-01-03
JISLJALEQS,24,497,38,2005-01-03
JISLJALEQS,36,747,38,2005-01-03
JITFINFRA,3,61,0,2017-02-27
JITFINFRA,6,123,0,2017-02-27
JITFINFRA,12,249,0,2017-02-27
JITFINFRA,24,496,0,2017-02-27
JITFINFRA,36,739,0,2017-02-27
