symbol,months,n_young,n_young_liq,first
AASTHA,12,41,22,2026-07-06
AASTHA,24,41,22,2026-07-06
AASTHA,36,41,22,2026-07-06
AAVAS,3,60,0,2018-10-08
AAVAS,6,123,12,2018-10-08
AAVAS,12,243,54,2018-10-08
AAVAS,24,493,221,2018-10-08
AAVAS,36,742,445,2018-10-08
ABAN-BE,3,62,0,2005-01-03
ABAN-BE,6,126,0,2005-01-03
ABAN-BE,12,250,0,2005-01-03
ABAN-BE,24,497,79,2005-01-03
ABAN-BE,36,747,329,2005-01-03
ABANSENT,3,62,0,2026-04-20
ABANSENT,6,93,0,2026-04-20
ABANSENT,12,93,0,2026-04-20
ABANSENT,24,93,0,2026-04-20
ABANSENT,36,93,0,2026-04-20
ABB,3,64,45,2025-05-26
ABB,6,125,106,2025-05-26
ABB,12,248,229,2025-05-26
ABB,24,319,300,2025-05-26
ABB,36,319,300,2025-05-26
ABBOTINDIA,3,62,0,2005-01-03
ABBOTINDIA,6,126,0,2005-01-03
ABBOTINDIA,12,250,0,2005-01-03
ABBOTINDIA,24,497,0,2005-01-03
ABBOTINDIA,36,747,0,2005-01-03
ABCAPITAL,3,62,43,2017-09-01
ABCAPITAL,6,123,104,2017-09-01
ABCAPITAL,12,248,229,2017-09-01
ABCAPITAL,24,491,472,2017-09-01
ABCAPITAL,36,738,719,2017-09-01
ABCOTS,3,60,0,2022-01-25
ABCOTS,6,124,0,2022-01-25
ABCOTS,12,249,0,2022-01-25
ABCOTS,24,494,0,2022-01-25
ABCOTS,36,739,0,2022-01-25
ABDL,3,63,44,2024-07-02
ABDL,6,124,105,2024-07-02
ABDL,12,249,230,2024-07-02
ABDL,24,494,475,2024-07-02
ABDL,36,540,521,2024-07-02
ABFRL,3,60,0,2013-07-17
ABFRL,6,122,0,2013-07-17
ABFRL,12,246,0,2013-07-17
ABFRL,24,489,0,2013-07-17
ABFRL,36,734,72,2013-07-17
ABGSEC,3,60,0,2024-07-10
ABGSEC,6,119,0,2024-07-10
ABGSEC,12,236,0,2024-07-10
ABGSEC,24,463,0,2024-07-10
ABGSEC,36,500,0,2024-07-10
ABINFRA,3,58,0,2019-07-30
ABINFRA,6,121,0,2019-07-30
ABINFRA,12,244,0,2019-07-30
ABINFRA,24,493,0,2019-07-30
ABINFRA,36,743,0,2019-07-30
ABINFRA-BE,3,36,0,2019-07-12
ABINFRA-BE,6,67,0,2019-07-12
ABINFRA-BE,12,82,0,2019-07-12
ABINFRA-BE,24,182,0,2019-07-12
ABINFRA-BE,36,266,0,2019-07-12
ABLBL,3,63,44,2025-06-23
ABLBL,6,124,105,2025-06-23
ABLBL,12,219,200,2025-06-23
ABLBL,24,219,200,2025-06-23
ABLBL,36,219,200,2025-06-23
ABMINTLLTD,3,61,0,2016-06-29
ABMINTLLTD,6,122,0,2016-06-29
ABMINTLLTD,12,246,0,2016-06-29
ABMINTLLTD,24,496,0,2016-06-29
ABMINTLLTD,36,738,0,2016-06-29
ABMINTLLTD-BE,3,62,0,2021-09-13
ABMINTLLTD-BE,6,125,0,2021-09-13
ABMINTLLTD-BE,12,248,0,2021-09-13
ABMINTLLTD-BE,24,477,0,2021-09-13
ABMINTLLTD-BE,36,720,0,2021-09-13
ABMKNO,3,62,0,2026-04-20
ABMKNO,6,93,0,2026-04-20
ABMKNO,12,93,0,2026-04-20
ABMKNO,24,93,0,2026-04-20
ABMKNO,36,93,0,2026-04-20
ABREL,3,62,43,2005-01-03
ABREL,6,126,107,2005-01-03
ABREL,12,250,231,2005-01-03
ABREL,24,497,478,2005-01-03
ABREL,36,747,728,2005-01-03
ABSL10BANK,3,59,0,2026-03-04
ABSL10BANK,6,122,0,2026-03-04
ABSL10BANK,12,122,0,2026-03-04
ABSL10BANK,24,122,0,2026-03-04
ABSL10BANK,36,122,0,2026-03-04
ABSLAMC,3,62,43,2021-10-11
ABSLAMC,6,124,105,2021-10-11
ABSLAMC,12,248,141,2021-10-11
ABSLAMC,24,496,161,2021-10-11
ABSLAMC,36,744,308,2021-10-11
ABSLMSCIN,3,59,0,2026-02-20
ABSLMSCIN,6,121,0,2026-02-20
ABSLMSCIN,12,128,0,2026-02-20
ABSLMSCIN,24,128,0,2026-02-20
ABSLMSCIN,36,128,0,2026-02-20
ABSLNN50ET,3,42,0,2018-12-27
ABSLNN50ET,6,94,0,2018-12-27
ABSLNN50ET,12,194,0,2018-12-27
ABSLNN50ET,24,434,0,2018-12-27
ABSLNN50ET,36,681,0,2018-12-27
ABSLPSE,3,62,0,2024-05-23
ABSLPSE,6,121,0,2024-05-23
ABSLPSE,12,245,0,2024-05-23
ABSLPSE,24,491,0,2024-05-23
ABSLPSE,36,564,0,2024-05-23
ACC,3,62,43,2005-01-03
ACC,6,126,107,2005-01-03
ACC,12,250,231,2005-01-03
ACC,24,497,478,2005-01-03
ACC,36,747,728,2005-01-03
ACCELYA,3,62,0,2005-01-03
ACCELYA,6,126,0,2005-01-03
ACCELYA,12,250,0,2005-01-03
ACCELYA,24,497,0,2005-01-03
ACCELYA,36,747,0,2005-01-03
ACCURACY,3,60,0,2018-07-06
ACCURACY,6,121,0,2018-07-06
ACCURACY,12,242,0,2018-07-06
ACCURACY,24,484,0,2018-07-06
ACCURACY,36,734,0,2018-07-06
ACCURACY-BE,3,62,0,2020-12-11
ACCURACY-BE,6,122,0,2020-12-11
ACCURACY-BE,12,246,0,2020-12-11
ACCURACY-BE,24,494,0,2020-12-11
ACCURACY-BE,36,742,0,2020-12-11
ACE,3,61,42,2006-09-26
ACE,6,121,70,2006-09-26
ACE,12,248,70,2006-09-26
ACE,24,497,70,2006-09-26
ACE,36,739,70,2006-09-26
ACEINTEG,3,62,0,2017-07-13
ACEINTEG,6,125,0,2017-07-13
ACEINTEG,12,250,0,2017-07-13
ACEINTEG,24,492,0,2017-07-13
ACEINTEG,36,734,0,2017-07-13
ACI,3,64,45,2022-11-21
ACI,6,123,103,2022-11-21
ACI,12,248,218,2022-11-21
ACI,24,492,462,2022-11-21
ACI,36,741,711,2022-11-21
ACL,3,64,0,2023-05-10
ACL,6,125,0,2023-05-10
ACL,12,248,0,2023-05-10
ACL,24,496,0,2023-05-10
ACL,36,743,0,2023-05-10
ACMESOLAR,3,63,44,2024-11-13
ACMESOLAR,6,121,102,2024-11-13
ACMESOLAR,12,247,228,2024-11-13
ACMESOLAR,24,447,428,2024-11-13
ACMESOLAR,36,447,428,2024-11-13
ACSTECH-BE,3,62,0,2026-04-20
ACSTECH-BE,6,93,0,2026-04-20
ACSTECH-BE,12,93,0,2026-04-20
ACSTECH-BE,24,93,0,2026-04-20
ACSTECH-BE,36,93,0,2026-04-20
ACUTAAS,3,64,45,2025-05-26
ACUTAAS,6,125,106,2025-05-26
ACUTAAS,12,248,229,2025-05-26
ACUTAAS,24,319,300,2025-05-26
ACUTAAS,36,319,300,2025-05-26
ADANIENSOL,3,61,0,2015-07-31
ADANIENSOL,6,122,41,2015-07-31
ADANIENSOL,12,245,44,2015-07-31
ADANIENSOL,24,491,145,2015-07-31
ADANIENSOL,36,740,370,2015-07-31
ADANIENT,3,62,0,2005-01-03
ADANIENT,6,127,0,2005-01-03
ADANIENT,12,252,0,2005-01-03
ADANIENT,24,502,43,2005-01-03
ADANIENT,36,752,191,2005-01-03
ADANIGREEN,3,62,7,2018-06-18
ADANIGREEN,6,121,7,2018-06-18
ADANIGREEN,12,244,7,2018-06-18
ADANIGREEN,24,489,197,2018-06-18
ADANIGREEN,36,740,448,2018-06-18
ADANIPORTS,3,63,44,2007-11-27
ADANIPORTS,6,121,102,2007-11-27
ADANIPORTS,12,246,227,2007-11-27
ADANIPORTS,24,487,445,2007-11-27
ADANIPORTS,36,737,695,2007-11-27
ADANIPOWER,3,59,40,2009-08-20
ADANIPOWER,6,119,96,2009-08-20
ADANIPOWER,12,246,202,2009-08-20
ADANIPOWER,24,497,421,2009-08-20
ADANIPOWER,36,742,595,2009-08-20
ADFFOODS,3,63,0,2010-09-15
ADFFOODS,6,125,0,2010-09-15
ADFFOODS,12,250,0,2010-09-15
ADFFOODS,24,497,0,2010-09-15
ADFFOODS,36,741,0,2010-09-15
ADL,3,62,0,2020-10-01
ADL,6,124,0,2020-10-01
ADL,12,248,0,2020-10-01
ADL,24,496,0,2020-10-01
ADL,36,743,0,2020-10-01
ADOR,3,62,0,2005-01-03
ADOR,6,126,7,2005-01-03
ADOR,12,250,7,2005-01-03
ADOR,24,497,7,2005-01-03
ADOR,36,747,7,2005-01-03
ADROITINFO,3,60,0,2015-10-13
ADROITINFO,6,121,0,2015-10-13
ADROITINFO,12,243,0,2015-10-13
ADROITINFO,24,492,0,2015-10-13
ADROITINFO,36,740,0,2015-10-13
