symbol,system,direction,entry_time,exit_time,entry_price,exit_price,bars_held,gross_ret_pct,net_ret_pct,exit_reason,capital_used,risk_rs,nav_at_entry,nav_after,exit_date
ASHOKA,SHORT,short,2025-12-30 09:50:00,2025-12-30 09:55:00,166.67,167.33668,1,-0.40000000000000824,-0.6000000000000083,SL,750000.0,3000.0,148936.16944995438,139936.16944995435,2025-12-30
SJVN,SHORT,short,2025-12-30 09:50:00,2025-12-30 10:10:00,72.43,72.71972000000001,4,-0.40000000000000363,-0.6000000000000036,SL,750000.0,3000.0,148936.16944995438,135436.16944995432,2025-12-30
NATCOPHARM,SHORT,short,2025-12-30 09:50:00,2025-12-30 10:20:00,890.2,893.7608,6,-0.3999999999999968,-0.5999999999999968,SL,750000.0,3000.0,148936.16944995438,130936.16944995435,2025-12-30
TIINDIA,SHORT,short,2025-12-30 09:50:00,2025-12-30 12:45:00,2578.8,2560.7484,35,0.7000000000000091,0.5000000000000091,TP,750000.0,3000.0,148936.16944995438,134686.1694499544,2025-12-30
CAPLIPOINT,LONG_MR,long,2025-12-30 12:45:00,2025-12-30 14:20:00,1771.9,1784.3032999999998,19,0.699999999999984,0.49999999999998396,TP,750000.0,3000.0,134686.1694499544,138436.1694499543,2025-12-30
APLAPOLLO,LONG_TC,long,2026-01-01 09:55:00,2026-01-01 12:00:00,1937.8,1951.3645999999997,25,0.6999999999999845,0.4999999999999845,TP,750000.0,3000.0,138436.1694499543,142186.16944995418,2026-01-01
TIINDIA,SHORT,short,2026-01-05 09:50:00,2026-01-05 10:05:00,2572.9,2554.8897,3,0.6999999999999967,0.4999999999999967,TP,750000.0,3000.0,142186.16944995418,145936.16944995415,2026-01-05
LTTS,SHORT,short,2026-01-05 09:50:00,2026-01-05 10:30:00,4339.8,4357.1592,8,-0.3999999999999971,-0.5999999999999971,SL,750000.0,3000.0,142186.16944995418,141436.16944995418,2026-01-05
KNRCON,SHORT,short,2026-01-05 09:50:00,2026-01-05 10:25:00,159.94,158.82041999999998,7,0.7000000000000084,0.5000000000000084,TP,750000.0,3000.0,142186.16944995418,145186.16944995424,2026-01-05
HEG,SHORT,short,2026-01-08 09:50:00,2026-01-08 10:30:00,611.15,613.5946,8,-0.400000000000006,-0.6000000000000061,SL,750000.0,3000.0,145186.16944995424,140686.16944995418,2026-01-08
NBCC,SHORT,short,2026-01-08 09:50:00,2026-01-08 09:55:00,115.44,115.90176,1,-0.39999999999999847,-0.5999999999999985,SL,750000.0,3000.0,145186.16944995424,136186.16944995418,2026-01-08
GMDCLTD,SHORT,short,2026-01-08 09:50:00,2026-01-08 10:00:00,591.05,586.91265,2,0.6999999999999948,0.49999999999999484,TP,750000.0,3000.0,145186.16944995424,139936.16944995415,2026-01-08
RAIN,SHORT,short,2026-01-08 09:50:00,2026-01-08 10:05:00,147.64,146.60652,3,0.6999999999999982,0.49999999999999817,TP,750000.0,3000.0,145186.16944995424,143686.16944995415,2026-01-08
SJVN,SHORT,short,2026-01-08 09:50:00,2026-01-08 10:05:00,82.12,81.54516000000001,3,0.6999999999999935,0.4999999999999935,TP,750000.0,3000.0,145186.16944995424,147436.1694499541,2026-01-08
