symbol,n_sessions,L_b3_wr,L_b3_n,L_b3_avg_ret,L_b6_wr,L_b6_n,L_b6_avg_ret,S_b3_wr,S_b3_n,S_b3_avg_ret,S_b6_wr,S_b6_n,S_b6_avg_ret,L_b3_aboveVWAP_wr,L_b3_aboveVWAP_n,L_b3_aboveVWAP_avg_ret,S_b3_belowVWAP_wr,S_b3_belowVWAP_n,S_b3_belowVWAP_avg_ret,L_b3_strong_wr,L_b3_strong_n,L_b3_strong_avg_ret,S_b3_weak_wr,S_b3_weak_n,S_b3_weak_avg_ret
ALKEM,442,0.4592760180995475,442,-0.0006656575932223545,0.47285067873303166,442,-0.00026032064183238404,0.5339366515837104,442,0.0006656575932223545,0.5180995475113123,442,0.00026032064183238404,0.43137254901960786,204,-0.0013129074875807606,0.5126050420168067,238,0.00011087196948657754,0.45614035087719296,114,0.0003901353608460953,0.47619047619047616,105,0.0001896240600113889
AMBER,442,0.4479638009049774,442,-0.0007056239441802454,0.43665158371040724,442,-0.0006983638995307289,0.5520361990950227,442,0.0007056239441802454,0.5588235294117647,442,0.0006983638995307289,0.45263157894736844,190,-0.000332795857887994,0.5555555555555556,252,0.0009867244854323397,0.46601941747572817,103,0.0006609611828303245,0.6272727272727273,110,0.0027097499232492015
APLAPOLLO,442,0.48868778280542985,442,-0.0005295010002165647,0.49321266968325794,442,-0.00026685352386806574,0.5067873303167421,442,0.0005295010002165647,0.5067873303167421,442,0.00026685352386806574,0.5054945054945055,182,-9.950694559706673e-05,0.5192307692307693,260,0.0008304968384502131,0.504424778761062,113,0.00028844581739705084,0.53125,96,0.0005509122888270687
APLLTD,442,0.48642533936651583,442,-0.00021261169455888607,0.45248868778280543,442,-0.0009545388773239886,0.5113122171945701,442,0.00021261169455888607,0.5475113122171946,442,0.0009545388773239886,0.47643979057591623,191,-0.000546494673467581,0.50199203187251,251,-4.145862006884562e-05,0.4827586206896552,87,-0.0015744044407810336,0.47706422018348627,109,-0.0015327786452157292
APOLLOTYRE,442,0.49547511312217196,442,-9.154777534981243e-05,0.47058823529411764,442,-0.00028821978412340763,0.502262443438914,442,9.154777534981243e-05,0.5271493212669683,442,0.00028821978412340763,0.5123152709359606,203,0.000445184455206461,0.5146443514644351,239,0.0005474333100900782,0.5555555555555556,99,-0.0001715992595608312,0.5185185185185185,108,0.001424973714650339
ASAHIINDIA,442,0.502262443438914,442,0.0012653803346870344,0.47737556561085975,442,0.0007235158591482987,0.497737556561086,442,-0.0012653803346870344,0.5203619909502263,442,-0.0007235158591482987,0.49514563106796117,206,0.001983041716675061,0.4915254237288136,236,-0.0006389470944771476,0.5567010309278351,97,0.0018343864015554418,0.42990654205607476,107,-0.0033180604363105427
ASHOKA,442,0.4117647058823529,442,-0.0027509691263965224,0.41402714932126694,442,-0.0023569400692186365,0.5859728506787331,442,0.0027509691263965224,0.5859728506787331,442,0.0023569400692186365,0.4292929292929293,198,-0.0009638047724748965,0.6024590163934426,244,0.004201209052939482,0.43636363636363634,110,-0.0004065081611991663,0.673469387755102,98,0.005171476221230894
ASHOKLEY,442,0.4592760180995475,442,0.0001587546951535352,0.45475113122171945,442,5.1858769580244864e-05,0.5203619909502263,442,-0.0001587546951535352,0.5407239819004525,442,-5.1858769580244864e-05,0.44907407407407407,216,-0.0008480707820453263,0.49557522123893805,226,-0.001121030372476341,0.41025641025641024,117,-0.0017577860432932257,0.4752475247524752,101,-0.0013874549521007355
ASTERDM,442,0.5407239819004525,442,0.001048217143933406,0.502262443438914,442,0.0008475901929980136,0.45701357466063347,442,-0.001048217143933406,0.49547511312217196,442,-0.0008475901929980136,0.5621890547263682,201,0.0014558000518013277,0.47717842323651455,241,-0.0007082828514792474,0.514018691588785,107,-0.0006074114857603266,0.4666666666666667,120,-0.0005174020096762807
ASTRAL,442,0.47737556561085975,442,-0.0004821405355646853,0.4751131221719457,442,-0.0005000220244744962,0.5203619909502263,442,0.0004821405355646853,0.5203619909502263,442,0.0005000220244744962,0.4975845410628019,207,0.0003918934535406249,0.5361702127659574,235,0.0012520343046914905,0.5420560747663551,107,0.0020622142933700844,0.5368421052631579,95,0.0019026757548646952
