gap_pct,first_open_eq_low,first_open_eq_high,first_bullish,first_bearish,bar3_above_vwap,bar6_above_vwap,bar9_above_vwap,rsi_at_bar3,rsi_at_bar6,rsi_at_bar9,ema9_above_ema21_bar6,vol_first3,hi_bar,lo_bar,bars,symbol,session,ret_pct,range_pct,direction
0.034,0,0,1,0,1,1,1,79.4,69.8,69.9,1,1030491,68,0,75,BHARTIARTL,2024-07-26,4.123,4.885,up
0.99,0,1,0,1,-1,-1,-1,38.4,44.5,37.0,0,285154,0,36,75,BHARTIARTL,2024-07-29,-2.767,3.144,dn
1.132,0,0,0,1,1,-1,-1,78.7,47.5,48.5,1,953822,0,54,75,BHARTIARTL,2024-08-06,-2.532,4.167,dn
1.268,0,1,0,1,-1,-1,-1,44.0,46.8,37.5,0,717184,0,67,75,BHARTIARTL,2024-09-02,-1.76,2.461,dn
0.325,1,0,1,0,1,1,1,78.6,74.1,73.5,1,560816,56,0,75,BHARTIARTL,2024-09-10,2.068,2.644,up
1.061,0,0,1,0,-1,-1,-1,59.1,58.6,59.0,1,1000691,72,0,75,BHARTIARTL,2024-09-12,2.428,3.928,up
-0.145,1,0,1,0,1,1,1,63.4,70.2,66.9,1,475645,39,0,75,BHARTIARTL,2024-09-19,1.475,3.884,up
-0.06,0,0,1,0,-1,-1,1,53.5,49.3,55.5,1,630626,49,16,75,BHARTIARTL,2024-09-20,2.334,3.435,up
0.526,1,0,1,0,1,-1,1,76.3,66.7,67.2,1,751971,71,0,75,BHARTIARTL,2024-09-23,1.87,2.051,up
-0.864,1,0,1,0,1,1,1,42.8,43.8,44.8,0,686349,35,58,75,BHARTIARTL,2024-10-04,-1.56,3.386,dn
0.274,0,0,0,1,-1,-1,-1,30.7,20.1,27.6,0,334808,0,69,75,BHARTIARTL,2024-10-17,-2.004,2.508,dn
0.332,0,0,0,1,-1,-1,-1,21.4,15.8,18.8,0,562750,0,31,75,BHARTIARTL,2024-11-04,-1.807,3.137,dn
0.936,0,1,0,1,-1,-1,-1,43.7,48.3,49.8,0,746605,0,23,75,BHARTIARTL,2024-11-18,-1.705,2.518,dn
0.591,0,0,0,1,1,-1,1,65.9,51.0,64.4,1,514926,71,4,75,BHARTIARTL,2024-11-22,2.309,3.575,up
-0.882,1,0,1,0,1,1,1,64.3,63.0,62.4,1,350846,49,0,75,BHARTIARTL,2024-11-29,5.019,6.302,up
1.467,0,1,0,1,-1,-1,-1,44.2,38.5,40.0,0,302578,0,64,75,BHARTIARTL,2024-12-03,-2.057,2.405,dn
0.67,0,1,0,1,-1,-1,-1,27.4,26.7,27.9,0,460955,0,72,75,BHARTIARTL,2024-12-04,-2.829,2.951,dn
-0.532,1,0,1,0,1,-1,-1,76.8,68.3,58.3,1,1047876,64,0,75,BHARTIARTL,2024-12-12,1.996,2.496,up
0.497,0,0,0,1,1,1,1,69.5,67.0,77.2,1,629092,73,0,75,BHARTIARTL,2024-12-13,3.912,4.833,up
-0.752,0,0,1,0,-1,-1,-1,21.5,19.9,19.4,0,423515,0,68,75,BHARTIARTL,2024-12-17,-2.093,3.038,dn
0.688,0,0,0,1,1,1,-1,63.2,58.2,48.6,1,696807,5,71,75,BHARTIARTL,2024-12-20,-1.429,3.037,dn
0.854,0,1,0,1,-1,1,1,40.0,50.1,50.7,0,290760,33,15,75,BHARTIARTL,2025-01-21,-1.521,2.201,dn
0.062,0,0,1,0,1,1,1,56.4,51.9,57.9,1,229509,74,0,75,BHARTIARTL,2025-01-30,2.228,3.096,up
-0.308,0,0,1,0,1,-1,-1,64.4,51.5,49.1,1,369904,24,0,75,BHARTIARTL,2025-02-03,1.92,3.266,up
0.489,0,0,0,1,-1,-1,-1,39.4,23.9,29.4,0,395737,0,66,75,BHARTIARTL,2025-02-06,-2.641,3.244,dn
0.811,1,0,1,0,1,1,1,88.1,80.9,79.8,1,2226184,8,0,75,BHARTIARTL,2025-02-07,2.627,4.437,up
-0.131,0,0,1,0,-1,-1,-1,23.4,26.6,18.9,0,374044,0,67,75,BHARTIARTL,2025-02-17,-2.059,2.959,dn
0.03,0,0,0,1,-1,-1,-1,39.7,37.7,37.0,0,440632,0,46,75,BHARTIARTL,2025-02-19,-1.799,2.096,dn
-0.596,0,0,1,0,1,-1,-1,38.7,27.2,16.9,0,279374,0,74,75,BHARTIARTL,2025-02-24,-1.659,2.431,dn
-0.188,1,0,1,0,1,1,1,71.6,79.4,81.6,1,445703,62,0,75,BHARTIARTL,2025-02-25,2.595,3.265,up
0.133,1,0,1,0,1,1,1,75.9,79.0,76.8,1,462296,57,1,75,BHARTIARTL,2025-03-05,2.028,3.105,up
0.123,0,0,0,0,1,1,1,60.1,61.3,66.4,1,545420,55,0,75,BHARTIARTL,2025-03-11,2.086,3.212,up
1.562,0,0,1,0,-1,-1,-1,47.0,49.1,39.7,0,2978934,0,54,75,BHARTIARTL,2025-03-12,-2.503,4.891,dn
-1.268,1,0,1,0,1,1,1,54.1,56.0,50.5,1,612184,5,0,75,BHARTIARTL,2025-03-17,1.805,2.245,up
1.529,0,0,0,1,1,1,1,85.0,87.4,79.5,1,1453952,68,0,75,BHARTIARTL,2025-03-20,2.506,3.828,up
-0.428,0,0,1,0,1,1,1,62.6,64.6,66.4,1,473192,12,0,75,BHARTIARTL,2025-04-02,1.913,2.526,up
-0.603,0,0,1,0,-1,-1,-1,20.7,15.4,18.6,0,4373161,0,59,75,BHARTIARTL,2025-04-07,-2.139,6.09,dn
0.122,0,1,0,1,-1,-1,-1,38.0,27.6,42.6,0,328972,0,65,75,BHARTIARTL,2025-04-22,-2.108,2.712,dn
-0.239,0,0,0,1,-1,-1,-1,42.4,37.0,43.0,0,340835,0,53,75,BHARTIARTL,2025-04-24,-1.515,2.043,dn
0.227,0,0,0,1,-1,-1,1,43.6,44.4,63.2,0,276624,0,74,75,BHARTIARTL,2025-05-08,-1.713,2.288,dn
-0.16,0,0,1,0,-1,-1,-1,32.0,34.4,36.5,0,531567,0,68,75,BHARTIARTL,2025-05-13,-2.556,3.588,dn
0.331,0,0,1,0,1,1,1,82.3,75.2,78.7,1,735631,74,0,75,BHARTIARTL,2025-06-26,2.315,2.645,up
0.466,0,1,0,1,-1,-1,-1,28.3,25.3,17.4,0,702839,0,74,75,BHARTIARTL,2025-07-10,-3.18,3.268,dn
0.666,0,0,0,1,-1,-1,-1,56.9,59.1,57.9,1,524653,74,2,75,BHARTIARTL,2025-07-23,1.51,2.172,up
0.078,0,1,0,1,1,-1,-1,37.1,33.7,35.9,0,172359,0,54,75,BHARTIARTL,2025-07-28,-2.078,2.332,dn
-0.524,1,0,1,0,1,1,1,62.5,60.7,62.0,1,240645,35,0,75,BHARTIARTL,2025-07-29,1.793,2.319,up
0.0,0,0,0,1,1,1,1,41.9,44.7,46.5,0,169649,0,74,75,BHARTIARTL,2025-08-01,-1.776,2.179,dn
-1.959,0,0,0,1,-1,-1,-1,10.8,17.5,14.0,0,78086787,0,73,75,BHARTIARTL,2025-08-08,-1.447,2.004,dn
-0.523,0,0,1,0,-1,1,1,41.2,55.3,57.6,1,276725,72,0,75,BHARTIARTL,2025-09-11,1.603,1.799,up
-0.408,0,0,1,0,1,1,1,49.4,53.6,54.0,1,852483,69,0,75,BHARTIARTL,2025-09-19,1.539,2.539,up
-0.979,0,0,1,0,1,1,1,42.3,48.7,58.0,0,691200,70,0,75,BHARTIARTL,2025-10-03,2.312,2.82,up
-0.1,1,0,1,0,-1,1,1,54.0,70.9,75.3,1,277378,54,0,75,BHARTIARTL,2025-10-07,1.737,2.421,up
0.173,0,0,1,0,1,1,1,64.6,71.1,64.5,1,213975,24,0,75,BHARTIARTL,2025-10-17,1.991,3.243,up
0.974,0,0,0,1,1,-1,-1,61.8,48.2,50.1,1,754073,0,72,75,BHARTIARTL,2025-10-23,-2.616,3.072,dn
0.099,1,0,1,0,1,1,1,83.6,87.4,75.2,1,382832,24,0,75,BHARTIARTL,2025-10-27,2.66,3.153,up
-2.243,0,1,0,1,-1,-1,-1,7.7,7.8,15.3,0,57079951,0,71,75,BHARTIARTL,2025-11-07,-2.246,2.559,dn
-0.092,1,0,1,0,1,1,-1,74.4,68.8,58.1,1,555744,58,0,75,BHARTIARTL,2025-12-16,1.681,1.763,up
3.161,0,0,0,1,-1,-1,-1,74.9,66.9,67.7,1,367185,0,70,75,BHARTIARTL,2025-12-23,-1.576,2.077,dn
0.174,0,0,1,0,-1,1,-1,48.2,60.4,47.5,1,347265,0,63,75,BHARTIARTL,2026-01-09,-1.889,2.937,dn
0.707,0,1,0,1,-1,-1,-1,46.7,44.7,42.9,0,685777,0,62,75,BHARTIARTL,2026-01-28,-1.955,2.807,dn
-2.204,1,0,1,0,1,1,1,33.8,48.6,47.4,0,553181,74,0,75,BHARTIARTL,2026-01-30,2.243,2.514,up
-0.005,0,0,0,1,1,1,1,49.3,58.0,59.4,1,66661,23,39,75,BHARTIARTL,2026-02-01,-1.763,3.83,dn
0.109,0,0,1,0,1,1,1,50.2,51.6,47.2,0,476426,69,0,75,BHARTIARTL,2026-02-02,1.565,2.236,up
4.251,0,1,0,1,-1,1,-1,79.8,80.4,61.6,1,803108,0,10,75,BHARTIARTL,2026-02-03,-2.683,3.41,dn
0.09,0,0,1,0,1,1,-1,64.0,64.4,50.7,1,1326435,66,0,75,BHARTIARTL,2026-02-06,1.454,3.069,up
0.677,0,0,0,1,-1,-1,-1,59.6,54.4,51.0,1,405238,0,59,75,BHARTIARTL,2026-02-10,-2.096,2.368,dn
0.519,0,1,0,1,-1,-1,-1,56.5,50.3,44.0,1,189688,0,73,75,BHARTIARTL,2026-02-19,-2.313,2.815,dn
-2.103,0,0,0,1,1,1,1,29.3,26.7,32.6,0,497670,3,62,75,BHARTIARTL,2026-02-25,-2.143,2.957,dn
-1.241,0,0,0,1,1,1,-1,36.8,36.8,34.5,0,417328,0,44,75,BHARTIARTL,2026-02-27,-1.466,2.351,dn
-2.242,0,0,1,0,1,1,1,21.9,26.3,30.3,0,1313257,46,1,75,BHARTIARTL,2026-03-09,1.912,2.966,up
-0.792,0,0,1,0,-1,-1,-1,27.2,22.4,33.6,0,568357,0,74,75,BHARTIARTL,2026-03-11,-1.847,2.618,dn
-0.084,0,0,1,0,1,1,1,56.7,63.6,65.9,1,3113776,73,0,75,HDFCBANK,2024-03-27,1.433,1.883,up
1.32,1,0,1,0,-1,-1,-1,72.7,69.1,64.1,1,16438594,53,0,75,HDFCBANK,2024-04-04,1.662,1.729,up
-0.469,0,0,0,1,1,1,1,32.9,38.2,54.3,0,3229802,74,0,75,HDFCBANK,2024-04-16,1.681,2.058,up
-0.681,0,0,1,0,1,1,1,41.9,54.2,58.0,0,2522172,73,0,75,HDFCBANK,2024-04-19,3.202,3.686,up
-0.508,0,1,0,1,-1,-1,-1,37.4,33.8,34.0,0,3957636,0,49,75,HDFCBANK,2024-04-23,-1.232,1.52,dn
-2.032,1,0,1,0,1,-1,-1,19.7,17.0,19.7,0,2547324,0,70,75,HDFCBANK,2024-05-09,-1.641,2.82,dn
-0.542,1,0,1,0,-1,-1,-1,37.1,40.7,33.4,0,1979556,63,8,75,HDFCBANK,2024-05-13,1.746,2.053,up
-0.137,0,1,0,1,1,1,1,35.9,44.1,42.8,0,3013966,0,55,75,HDFCBANK,2024-05-15,-1.288,1.631,dn
-0.355,0,0,1,0,1,1,-1,59.6,57.8,53.8,1,1825974,73,0,75,HDFCBANK,2024-05-23,2.29,2.646,up
-0.544,0,0,1,0,1,1,1,55.6,55.6,60.9,1,3771608,55,0,75,HDFCBANK,2024-05-30,1.281,1.734,up
4.784,0,1,0,1,-1,-1,-1,75.2,66.2,67.0,1,17866120,0,53,75,HDFCBANK,2024-06-03,-1.626,3.064,dn
-1.017,0,0,0,1,-1,1,1,28.0,36.5,43.9,0,12139924,0,39,75,HDFCBANK,2024-06-04,-3.468,6.744,dn
-0.599,0,0,0,1,1,-1,-1,60.0,52.4,48.5,1,6223226,67,14,75,HDFCBANK,2024-06-05,3.467,5.167,up
0.336,0,1,0,1,1,1,1,69.0,74.2,80.1,1,3231506,66,0,75,HDFCBANK,2024-06-19,2.74,4.091,up
-0.879,0,0,1,0,-1,-1,1,41.1,41.7,44.7,0,2974234,25,0,75,HDFCBANK,2024-06-24,1.506,1.785,up
-0.297,1,0,1,0,1,1,1,50.6,56.9,56.8,1,1718174,72,0,75,HDFCBANK,2024-07-01,1.488,1.619,up
1.84,0,1,0,1,-1,-1,-1,66.3,64.8,61.1,1,7307206,0,73,75,HDFCBANK,2024-07-04,-1.807,1.989,dn
-2.488,0,1,0,1,-1,-1,-1,6.2,5.8,12.9,0,15677824,0,68,75,HDFCBANK,2024-07-05,-2.077,2.54,dn
0.136,0,0,1,0,1,1,1,68.3,79.1,81.2,1,6329510,14,0,75,HDFCBANK,2024-07-22,1.546,2.375,up
0.341,0,1,0,1,-1,-1,-1,43.8,35.7,36.3,0,3370640,0,48,75,HDFCBANK,2024-07-23,-1.882,2.598,dn
-0.957,1,0,1,0,1,1,1,60.7,55.2,61.0,1,3512778,57,0,75,HDFCBANK,2024-07-25,1.444,2.009,up
0.297,0,0,1,0,1,1,-1,70.4,69.3,63.6,1,2387410,74,0,75,HDFCBANK,2024-08-01,1.528,1.972,up
-1.008,1,0,1,0,1,1,1,70.1,68.9,68.9,1,4307126,28,0,75,HDFCBANK,2024-08-02,1.655,2.416,up
-1.086,0,0,0,1,-1,-1,-1,23.3,24.0,33.7,0,6453048,0,25,75,HDFCBANK,2024-08-05,-1.463,2.744,dn
0.866,0,0,0,1,-1,-1,-1,60.0,58.5,57.5,1,3390614,0,60,75,HDFCBANK,2024-08-06,-1.669,2.442,dn
-1.333,0,0,0,1,-1,1,-1,18.7,24.8,23.4,0,8010966,0,70,75,HDFCBANK,2024-08-13,-1.364,1.916,dn
0.865,0,0,1,0,-1,-1,-1,63.6,62.2,57.4,1,11387600,0,74,75,HDFCBANK,2024-08-30,-1.848,2.464,dn
1.317,0,1,0,1,1,1,1,45.9,48.0,50.7,0,2885316,0,74,75,HDFCBANK,2024-09-02,-1.263,1.433,dn
0.586,0,0,0,1,-1,-1,1,49.3,53.9,71.5,0,1292098,70,4,75,HDFCBANK,2024-09-20,1.212,2.179,up
-0.056,0,0,0,1,1,-1,1,44.2,36.8,43.9,0,2690672,0,71,75,HDFCBANK,2024-09-27,-1.351,1.587,dn
-0.741,1,0,1,0,-1,-1,-1,37.9,34.1,30.4,0,4979076,0,65,75,HDFCBANK,2024-10-03,-2.017,3.078,dn
-1.878,0,0,0,1,1,1,1,25.4,34.1,40.1,0,3012294,62,0,75,HDFCBANK,2024-10-08,1.301,2.135,up
0.061,0,0,1,0,-1,-1,-1,49.6,48.3,51.9,1,1277212,64,7,75,HDFCBANK,2024-10-10,1.342,2.013,up
0.266,0,0,1,0,1,1,1,83.1,83.6,83.5,1,1464978,72,0,75,HDFCBANK,2024-10-14,2.017,2.295,up
-0.556,1,0,1,0,1,1,1,77.3,80.0,77.9,1,2152748,23,0,75,HDFCBANK,2024-10-16,1.214,1.667,up
-0.318,0,0,0,1,-1,-1,-1,21.5,16.0,17.5,0,1868794,0,50,75,HDFCBANK,2024-10-17,-1.31,1.912,dn
-0.507,1,0,1,0,1,1,1,43.8,47.4,60.8,0,2652260,58,1,75,HDFCBANK,2024-10-29,1.367,2.248,up
0.426,0,1,0,1,-1,1,1,37.4,50.0,56.9,0,2321696,0,70,75,HDFCBANK,2024-11-04,-1.639,1.96,dn
-0.781,0,0,1,0,1,1,1,38.5,40.0,48.8,0,3016994,65,1,75,HDFCBANK,2024-11-05,2.995,3.805,up
0.454,0,0,0,1,-1,-1,-1,17.6,18.7,35.2,0,2178538,0,62,75,HDFCBANK,2024-11-12,-2.991,3.747,dn
-0.128,0,0,1,0,1,-1,-1,54.2,49.4,44.0,1,2808848,1,70,75,HDFCBANK,2024-11-13,-1.666,3.285,dn
-0.889,0,0,1,0,1,1,1,53.5,59.4,55.0,1,3464476,43,0,75,HDFCBANK,2024-11-14,1.267,1.96,up
0.328,0,1,0,1,1,1,1,65.6,73.6,73.0,1,1999262,47,0,75,HDFCBANK,2024-11-19,1.284,2.975,up
1.685,0,1,0,1,-1,-1,-1,59.6,50.4,49.5,1,6276138,0,25,75,HDFCBANK,2024-11-26,-1.304,2.221,dn
0.519,0,0,1,0,1,1,1,72.5,76.1,76.4,1,4301174,8,59,75,HDFCBANK,2024-11-28,-1.429,2.639,dn
-0.301,0,0,1,0,-1,-1,-1,24.8,16.4,23.7,0,1325944,0,74,75,HDFCBANK,2024-12-17,-1.411,1.939,dn
-2.923,0,0,1,0,-1,1,-1,23.4,26.8,24.7,0,3736224,1,60,75,HDFCBANK,2025-01-06,-1.667,2.954,dn
-0.342,0,0,1,0,1,1,1,48.7,57.2,60.3,1,1921966,25,0,75,HDFCBANK,2025-01-20,1.336,2.011,up
-0.207,0,0,1,0,1,-1,1,64.0,50.7,56.5,1,1490884,74,47,75,HDFCBANK,2025-01-22,1.68,2.837,up
1.018,0,1,0,1,-1,1,1,63.1,64.0,67.0,1,4521568,0,29,75,HDFCBANK,2025-01-23,-1.292,2.122,dn
0.122,1,0,1,0,-1,1,1,45.4,64.3,68.7,1,2674060,43,0,75,HDFCBANK,2025-01-28,1.554,2.271,up
-0.543,0,0,1,0,1,1,-1,58.5,48.9,41.8,1,1657824,74,0,75,HDFCBANK,2025-02-17,1.899,2.302,up
2.45,0,0,1,0,-1,-1,-1,66.6,60.0,57.6,1,1868622,0,58,75,HDFCBANK,2025-03-03,-2.058,2.816,dn
0.213,1,0,1,0,1,1,-1,77.2,72.5,57.7,1,1785826,51,0,75,HDFCBANK,2025-03-12,1.194,1.584,up
0.485,0,0,1,0,-1,-1,-1,40.0,44.4,46.0,0,3054302,0,74,75,HDFCBANK,2025-03-26,-1.205,1.403,dn
-3.002,1,0,1,0,1,1,1,25.4,25.6,29.1,0,1079420,72,0,75,HDFCBANK,2025-04-02,1.581,1.604,up
0.271,1,0,1,0,1,1,1,66.8,69.3,62.9,1,6631206,45,0,75,HDFCBANK,2025-04-11,1.713,2.513,up
1.145,0,1,0,1,-1,-1,-1,37.0,39.5,28.2,0,3570868,0,74,75,HDFCBANK,2025-04-23,-2.911,2.951,dn
0.504,0,1,0,1,-1,-1,-1,29.5,36.7,32.5,0,2194686,0,74,75,HDFCBANK,2025-05-08,-1.698,1.821,dn
1.203,0,0,1,0,1,1,1,89.2,89.8,84.6,1,3219212,27,0,75,HDFCBANK,2025-05-12,2.013,2.482,up
-0.317,0,0,1,0,-1,-1,-1,26.8,27.0,28.0,0,2312580,0,71,75,HDFCBANK,2025-05-13,-1.292,2.133,dn
-0.41,0,0,1,0,-1,1,-1,44.5,49.4,43.6,0,1068266,24,0,75,HDFCBANK,2025-06-06,1.8,2.757,up
0.071,0,0,1,0,1,1,1,77.0,83.0,70.1,1,2209100,73,0,75,HDFCBANK,2025-06-26,1.827,2.382,up
0.418,0,1,0,1,-1,-1,-1,21.8,27.9,37.5,0,1351332,0,65,75,HDFCBANK,2025-07-02,-1.703,2.079,dn
-0.494,1,0,1,0,1,1,1,50.1,49.9,57.3,0,1512092,49,0,75,HDFCBANK,2025-07-15,1.267,1.551,up
0.06,1,0,1,0,-1,-1,1,30.9,30.2,46.0,0,1434628,0,74,75,HDFCBANK,2025-07-18,-1.55,2.215,dn
0.622,0,1,0,1,-1,-1,-1,32.6,37.9,35.0,0,2708852,0,74,75,HDFCBANK,2025-07-24,-1.276,1.433,dn
-0.04,0,0,0,1,-1,-1,-1,17.9,19.9,16.8,0,1768278,0,14,75,HDFCBANK,2025-08-22,-1.226,1.95,dn
0.105,0,1,0,1,1,1,1,49.6,57.4,48.9,1,1367870,32,0,75,HDFCBANK,2025-10-01,1.344,2.477,up
-1.398,1,0,1,0,1,1,1,35.1,33.4,40.7,0,3085077,67,0,75,HDFCBANK,2025-10-03,1.261,1.549,up
0.397,0,1,0,1,-1,-1,-1,38.7,38.4,39.9,0,1008396,1,56,75,HDFCBANK,2025-10-24,-1.494,2.043,dn
-0.984,1,0,1,0,1,1,-1,45.1,41.0,30.8,0,1787895,70,0,75,HDFCBANK,2025-11-14,1.327,1.598,up
0.616,0,0,0,1,-1,-1,-1,38.0,33.1,36.1,0,1630883,0,69,75,HDFCBANK,2025-11-25,-1.449,1.763,dn
-0.824,1,0,1,0,1,1,1,55.1,60.2,66.4,1,2110620,57,0,75,HDFCBANK,2025-11-26,2.415,2.614,up
0.822,0,1,0,1,1,-1,-1,64.4,46.1,48.5,1,1425048,0,39,75,HDFCBANK,2025-12-01,-1.435,1.789,dn
-0.505,1,0,1,0,-1,-1,1,34.9,43.3,52.2,0,1032213,74,0,75,HDFCBANK,2025-12-03,1.43,1.653,up
0.545,0,0,0,1,-1,-1,-1,31.8,28.1,29.4,0,2508827,0,62,75,HDFCBANK,2026-01-05,-2.709,2.993,dn
1.191,0,1,0,1,-1,-1,-1,71.3,58.6,61.3,1,2532626,0,74,75,HDFCBANK,2026-01-13,-1.366,1.593,dn
-1.629,1,0,1,0,1,1,1,35.6,56.2,55.8,0,8481377,74,2,75,HDFCBANK,2026-01-27,2.428,2.892,up
0.323,0,0,1,0,-1,1,1,57.2,58.0,54.6,1,295736,34,39,75,HDFCBANK,2026-02-01,-1.609,2.897,dn
-0.218,0,0,1,0,1,1,1,47.7,57.7,46.5,1,3704330,7,0,75,HDFCBANK,2026-02-02,1.388,2.24,up
6.042,0,0,0,1,-1,-1,-1,72.6,72.5,68.8,1,17077028,0,0,75,HDFCBANK,2026-02-03,-3.67,4.981,dn
0.574,0,1,0,1,-1,-1,-1,46.8,55.3,49.5,1,846558,0,73,75,HDFCBANK,2026-02-19,-1.582,1.803,dn
0.507,0,1,0,1,-1,-1,1,51.6,53.7,53.4,1,1426196,0,74,75,HDFCBANK,2026-02-26,-1.749,1.864,dn
0.285,0,1,0,1,-1,1,-1,30.8,38.8,32.4,0,1318148,0,74,75,HDFCBANK,2026-02-27,-1.241,1.552,dn
-0.806,0,0,0,1,-1,1,1,33.5,38.5,40.3,0,4866172,0,72,75,HDFCBANK,2026-03-06,-1.25,1.912,dn
-3.756,0,0,1,0,1,1,-1,20.2,19.1,18.7,0,7935649,71,0,75,HDFCBANK,2026-03-09,1.709,2.539,up
-0.471,0,0,1,0,-1,-1,-1,21.0,26.2,30.0,0,2408079,0,45,75,HDFCBANK,2026-03-11,-1.302,2.515,dn
-0.976,0,0,1,0,-1,-1,1,33.1,37.4,43.5,0,2179391,74,0,75,ICICIBANK,2024-04-05,1.308,1.734,up
0.455,0,0,1,0,1,1,1,66.0,71.7,71.1,1,699538,39,0,75,ICICIBANK,2024-04-09,1.442,2.468,up
-0.254,0,0,1,0,-1,-1,-1,31.8,23.2,19.9,0,1319242,0,69,75,ICICIBANK,2024-04-15,-2.054,2.686,dn
0.482,0,0,1,0,-1,-1,-1,49.3,45.6,50.3,1,845328,0,51,75,ICICIBANK,2024-04-18,-1.75,2.57,dn
-0.213,0,0,0,1,1,1,1,42.8,49.7,50.3,0,1025451,74,0,75,ICICIBANK,2024-04-19,1.429,2.27,up
-0.547,1,0,1,0,1,1,1,61.8,72.0,72.9,1,1353082,63,0,75,ICICIBANK,2024-04-25,1.917,3.275,up
-0.248,1,0,1,0,1,1,1,74.5,75.0,68.5,1,2786299,59,0,75,ICICIBANK,2024-04-29,4.368,5.014,up
-0.091,0,0,1,0,-1,-1,-1,54.6,35.9,25.8,1,1196543,2,62,75,ICICIBANK,2024-05-07,-1.494,2.304,dn
-0.528,1,0,1,0,-1,-1,-1,32.8,38.7,29.1,0,576355,58,20,75,ICICIBANK,2024-05-13,1.281,2.153,up
0.126,0,0,1,0,-1,1,1,56.0,67.3,67.3,1,803038,74,3,75,ICICIBANK,2024-05-23,1.775,2.295,up
-0.634,1,0,1,0,1,-1,-1,71.7,57.6,49.4,1,1746396,55,0,75,ICICIBANK,2024-05-30,1.91,2.197,up
-0.601,0,0,0,1,-1,-1,-1,44.2,41.7,35.9,0,3906210,0,39,75,ICICIBANK,2024-06-04,-5.95,9.142,dn
-0.367,0,0,0,1,1,-1,-1,47.2,41.6,39.1,0,3286378,67,8,75,ICICIBANK,2024-06-05,1.654,6.654,up
0.195,0,0,0,1,1,1,1,94.2,94.3,89.2,1,2149616,64,0,75,ICICIBANK,2024-06-19,1.507,3.493,up
-0.238,0,0,1,0,1,-1,-1,64.8,53.7,52.9,1,1508055,2,0,75,ICICIBANK,2024-06-24,1.286,1.992,up
0.863,0,1,0,1,-1,-1,-1,43.0,44.5,40.2,0,977167,0,74,75,ICICIBANK,2024-06-28,-2.425,2.498,dn
0.741,0,1,0,1,-1,-1,-1,35.0,25.5,27.9,0,1194001,0,31,75,ICICIBANK,2024-07-02,-2.062,2.584,dn
-0.572,0,0,1,0,-1,1,1,38.8,44.7,45.9,0,1823932,74,0,75,ICICIBANK,2024-07-26,2.269,2.861,up
0.758,1,0,1,0,1,-1,-1,78.0,56.3,57.2,1,1408865,59,15,75,ICICIBANK,2024-08-16,1.624,2.338,up
