symbol,system,direction,entry_time,exit_time,entry_price,exit_price,bars_held,gross_ret_pct,net_ret_pct,exit_reason,capital_used,risk_rs,nav_at_entry,nav_after,exit_date
APLAPOLLO,LONG_MR,long,2024-08-13 13:20:00,2024-08-13 15:25:00,1408.9,1410.3,25,0.09936830151180803,-0.10063169848819198,EOD,200000.0,3000.0,1019538.7305030561,1015586.3997625113,2024-08-13
NATCOPHARM,SHORT,short,2024-08-14 09:50:00,2024-08-14 11:20:00,1454.1,1475.9114999999997,18,-1.499999999999986,-1.699999999999986,SL,200000.0,3000.0,1015586.3997625113,1012186.3997625113,2024-08-14
TIINDIA,SHORT,short,2024-08-14 09:50:00,2024-08-14 14:50:00,3946.6,3920.05,60,0.6727309582932075,0.4727309582932075,EOD,200000.0,3000.0,1015586.3997625113,1013131.8616790976,2024-08-14
AARTIIND,SHORT,short,2024-08-14 09:50:00,2024-08-14 11:40:00,610.85,598.633,22,1.9999999999999973,1.7999999999999974,TP,200000.0,3000.0,1015586.3997625113,1016731.8616790976,2024-08-14
BANDHANBNK,SHORT,short,2024-08-14 09:50:00,2024-08-14 14:50:00,190.43,190.34,60,0.04726146090427107,-0.15273853909572893,EOD,200000.0,3000.0,1015586.3997625113,1016426.3846009062,2024-08-14
RAIN,SHORT,short,2024-08-14 09:50:00,2024-08-14 14:50:00,153.19,153.54,60,-0.22847444350153034,-0.42847444350153036,EOD,200000.0,3000.0,1015586.3997625113,1015569.4357139032,2024-08-14
CESC,LONG_MR,long,2024-08-14 11:35:00,2024-08-14 15:25:00,161.05,161.55,46,0.31046258925799436,0.11046258925799435,EOD,200000.0,3000.0,1012186.3997625113,1015790.3608924191,2024-08-14
FINEORG,LONG_TC,long,2024-08-20 09:55:00,2024-08-20 10:50:00,5295.1,5401.002,11,2.000000000000001,1.800000000000001,TP,200000.0,3000.0,1015790.3608924191,1019390.3608924191,2024-08-20
SUZLON,SHORT,short,2024-08-22 09:50:00,2024-08-22 14:50:00,78.15,77.75,60,0.5118362124120355,0.31183621241203546,EOD,200000.0,3000.0,1019390.3608924191,1020014.0333172432,2024-08-22
NAM-INDIA,SHORT,short,2024-08-22 09:50:00,2024-08-22 14:50:00,716.8,715.4,60,0.19531249999999684,-0.004687500000003175,EOD,200000.0,3000.0,1019390.3608924191,1020004.6583172432,2024-08-22
BAYERCROP,SHORT,short,2024-08-22 09:50:00,2024-08-22 14:50:00,6303.9,6295.0,60,0.14118244261488344,-0.05881755738511657,EOD,200000.0,3000.0,1019390.3608924191,1019887.023202473,2024-08-22
SJVN,SHORT,short,2024-08-22 09:50:00,2024-08-22 14:50:00,133.87,133.58,60,0.21662807201015313,0.016628072010153122,EOD,200000.0,3000.0,1019390.3608924191,1019920.2793464933,2024-08-22
CYIENT,LONG_MR,long,2024-08-22 11:50:00,2024-08-22 15:25:00,1949.95,1959.85,43,0.507705325777577,0.307705325777577,EOD,200000.0,3000.0,1019390.3608924191,1020535.6899980485,2024-08-22
BAJFINANCE,LONG_TC,long,2024-08-26 09:55:00,2024-08-26 14:55:00,679.0,678.0,60,-0.14727540500736377,-0.34727540500736376,EOD,200000.0,3000.0,1020535.6899980485,1019841.1391880338,2024-08-26
HINDZINC,LONG_TC,long,2024-08-26 09:55:00,2024-08-26 14:55:00,523.8,527.65,60,0.7350133638793477,0.5350133638793477,EOD,200000.0,3000.0,1020535.6899980485,1020911.1659157925,2024-08-26
ASAHIINDIA,LONG_TC,long,2024-08-26 09:55:00,2024-08-26 14:55:00,660.05,664.0,60,0.5984395121581768,0.3984395121581768,EOD,200000.0,3000.0,1020535.6899980485,1021708.0449401088,2024-08-26
GODFRYPHLP,LONG_TC,long,2024-08-26 10:00:00,2024-08-26 14:35:00,1895.0,1932.9,55,2.000000000000005,1.800000000000005,TP,200000.0,3000.0,1020535.6899980485,1025308.0449401088,2024-08-26
CHOLAFIN,LONG_TC,long,2024-08-26 10:05:00,2024-08-26 15:05:00,1377.5,1394.1,60,1.2050816696914635,1.0050816696914635,EOD,200000.0,3000.0,1020535.6899980485,1027318.2082794918,2024-08-26
CDSL,SHORT,short,2024-08-27 09:50:00,2024-08-27 11:50:00,1503.15,1525.69725,24,-1.4999999999999898,-1.6999999999999897,SL,200000.0,3000.0,1027318.2082794918,1023918.2082794918,2024-08-27
ASHOKA,SHORT,short,2024-08-27 09:50:00,2024-08-27 14:50:00,233.0,233.4,60,-0.1716738197424917,-0.3716738197424917,EOD,200000.0,3000.0,1027318.2082794918,1023174.8606400067,2024-08-27
