symbol,n_sessions,first_session,last_session,avg_range_pct,median_range_pct,avg_abs_ret_pct,trending_up_freq,trending_dn_freq,trending_freq,ranging_freq,open_eq_low_freq,open_eq_high_freq,gap_up_3_freq,gap_dn_3_freq,avg_volume,avg_close
RADICO,442,2024-03-18,2026-03-24,3.394,2.924,1.532,0.138,0.19,0.328,0.665,0.038,0.079,0.426,0.2,324233,2417.09
RAIN,442,2024-03-18,2026-03-24,3.586,3.158,1.689,0.111,0.317,0.428,0.572,0.048,0.018,0.41,0.222,2228432,149.92
RALLIS,442,2024-03-18,2026-03-24,3.768,3.295,1.765,0.12,0.265,0.385,0.595,0.054,0.041,0.383,0.252,967600,291.93
RAMCOCEM,442,2024-03-18,2026-03-24,2.723,2.532,1.198,0.163,0.192,0.355,0.633,0.038,0.081,0.406,0.202,588190,950.09
RATNAMANI,442,2024-03-18,2026-03-24,3.226,2.865,1.403,0.138,0.188,0.326,0.658,0.043,0.068,0.358,0.256,44666,2882.18
RBLBANK,442,2024-03-18,2026-03-24,3.299,2.962,1.686,0.213,0.251,0.464,0.523,0.036,0.034,0.44,0.215,9311858,237.09
RCF,442,2024-03-18,2026-03-24,3.639,3.22,1.871,0.12,0.312,0.432,0.552,0.041,0.038,0.472,0.195,4398897,155.5
RECLTD,442,2024-03-18,2026-03-24,3.109,2.679,1.663,0.192,0.247,0.439,0.541,0.016,0.052,0.385,0.215,10097917,447.04
REDINGTON,442,2024-03-18,2026-03-24,3.89,3.265,1.854,0.127,0.269,0.396,0.584,0.027,0.052,0.469,0.175,4265598,236.91
RELAXO,442,2024-03-18,2026-03-24,2.758,2.344,1.247,0.104,0.201,0.305,0.683,0.059,0.104,0.342,0.279,163367,573.44
RITES,442,2024-03-18,2026-03-24,3.449,2.902,1.699,0.111,0.269,0.38,0.606,0.057,0.057,0.395,0.243,2470089,277.16
RVNL,442,2024-03-18,2026-03-24,3.942,3.194,1.925,0.14,0.285,0.425,0.557,0.016,0.032,0.447,0.256,13257331,385.21
SAIL,442,2024-03-18,2026-03-24,3.25,2.874,1.625,0.192,0.258,0.45,0.541,0.048,0.032,0.415,0.238,22010492,132.68
SANOFI,442,2024-03-18,2026-03-24,2.317,1.982,1.095,0.131,0.31,0.441,0.536,0.045,0.149,0.399,0.19,18631,5813.54
SCHAEFFLER,442,2024-03-18,2026-03-24,3.366,2.985,1.551,0.14,0.231,0.371,0.613,0.052,0.084,0.454,0.202,97319,3803.32
SFL,442,2024-03-18,2026-03-24,3.025,2.74,1.356,0.095,0.231,0.326,0.658,0.057,0.106,0.488,0.211,145812,772.24
SJVN,442,2024-03-18,2026-03-24,3.214,2.832,1.659,0.152,0.324,0.475,0.511,0.032,0.057,0.397,0.206,10559588,103.95
SOBHA,442,2024-03-18,2026-03-24,3.946,3.436,1.932,0.156,0.242,0.398,0.595,0.038,0.09,0.463,0.202,259304,1546.57
SOLARINDS,442,2024-03-18,2026-03-24,3.379,2.926,1.69,0.172,0.233,0.405,0.575,0.032,0.075,0.488,0.154,139440,11973.04
SONATSOFTW,442,2024-03-18,2026-03-24,3.87,3.215,1.828,0.12,0.229,0.348,0.636,0.011,0.07,0.474,0.204,1678296,477.65
SOUTHBANK,442,2024-03-18,2026-03-24,2.886,2.513,1.381,0.165,0.219,0.385,0.602,0.036,0.057,0.327,0.211,20442825,29.69
SRF,442,2024-03-18,2026-03-24,2.575,2.262,1.314,0.21,0.201,0.412,0.575,0.059,0.075,0.336,0.249,574293,2702.35
STAR,442,2024-03-18,2026-03-24,4.356,3.741,2.034,0.115,0.238,0.353,0.635,0.063,0.054,0.41,0.222,494999,876.69
SUDARSCHEM,442,2024-03-18,2026-03-24,4.02,3.617,1.783,0.154,0.199,0.353,0.637,0.043,0.066,0.397,0.283,253823,1027.68
