tag,family,params,tp_pct,sl_pct,max_hold_bars,n_stocks,n_trades,win_rate,avg_win,avg_loss,profit_factor,sharpe,max_dd_pct,total_return_pct,trades_per_stock_year,aws,passes_gates
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_b3_change_pos'}",1.0,1.5,60,30,436,0.6284,0.8606,-1.0529,1.382,3.412,6.825,65.23,8.3,3.9616,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_b3_change_pos'}",0.7,1.0,48,30,436,0.6193,0.6542,-0.86,1.237,2.521,12.331,33.88,8.3,3.494,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'none'}",0.5,1.5,60,30,917,0.759,0.486,-1.1587,1.321,2.882,7.361,82.2,17.4,5.1301,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'none'}",1.0,1.5,60,30,917,0.626,0.8817,-1.06,1.392,3.386,11.258,142.55,17.4,4.4585,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'none'}",0.7,1.0,48,30,917,0.615,0.6591,-0.8506,1.238,2.24,12.33,71.47,17.4,3.8781,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_gap_up'}",0.5,1.5,60,30,490,0.7816,0.4879,-1.1613,1.504,4.614,8.65,62.61,9.3,5.4627,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_gap_up'}",1.0,1.5,60,30,490,0.651,0.8758,-1.0549,1.549,5.141,9.087,98.99,9.3,4.6857,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_gap_up'}",0.7,1.0,48,30,490,0.649,0.652,-0.8392,1.436,4.045,12.462,62.99,9.3,4.3323,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_strong_both'}",0.5,1.5,60,30,223,0.7848,0.4927,-1.242,1.446,4.082,9.282,26.62,4.2,4.6071,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_strong_both'}",1.0,1.5,60,30,223,0.6771,0.8935,-1.0913,1.717,6.191,8.69,56.34,4.2,4.7189,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_strong_both'}",0.7,1.0,48,30,223,0.6682,0.6699,-0.833,1.619,5.227,7.812,38.17,4.2,4.3914,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_b3_change_pos'}",0.5,1.5,60,30,316,0.7468,0.4904,-1.1884,1.217,2.102,6.828,20.65,6.0,3.6677,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_b3_change_pos'}",1.0,1.5,60,30,316,0.6203,0.8772,-1.0845,1.321,2.775,9.15,41.8,6.0,3.5395,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_b3_change_pos'}",0.7,1.0,48,30,316,0.6139,0.6661,-0.8835,1.199,1.9,8.477,21.43,6.0,2.6848,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 1.0, 'nifty_filter': 'none'}",0.5,1.5,60,30,383,0.7807,0.4943,-1.1804,1.491,3.348,5.321,48.65,7.3,5.1936,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 1.0, 'nifty_filter': 'none'}",1.0,1.5,60,30,383,0.6371,0.9173,-1.0941,1.472,3.491,9.582,71.75,7.3,4.1847,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 1.0, 'nifty_filter': 'none'}",0.7,1.0,48,30,383,0.6423,0.6718,-0.8758,1.377,3.039,6.232,45.27,7.3,3.9483,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_gap_up'}",0.5,1.5,60,30,201,0.806,0.4946,-1.1969,1.717,4.968,5.821,33.45,3.8,5.5078,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_gap_up'}",1.0,1.5,60,30,201,0.6567,0.9096,-1.1064,1.573,4.636,11.051,43.72,3.8,4.1119,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_gap_up'}",0.7,1.0,48,30,201,0.7015,0.6604,-0.8493,1.827,6.467,5.235,42.16,3.8,5.1037,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_strong_both'}",0.5,1.5,60,29,86,0.814,0.499,-1.2716,1.717,5.445,3.336,14.58,1.7,4.6803,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_strong_both'}",1.0,1.5,60,29,86,0.6977,0.9358,-1.1346,1.903,7.043,5.664,26.65,1.7,4.4479,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_strong_both'}",0.7,1.0,48,29,86,0.7209,0.6689,-0.8411,2.054,9.365,3.479,21.28,1.7,4.9606,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_b3_change_pos'}",0.5,1.5,60,29,155,0.7613,0.4994,-1.2357,1.289,2.201,5.381,13.21,3.0,3.6347,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_b3_change_pos'}",1.0,1.5,60,29,155,0.6129,0.9237,-1.1226,1.303,2.308,7.437,20.4,3.0,3.0244,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 45, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_b3_change_pos'}",0.7,1.0,48,29,155,0.6194,0.6785,-0.9138,1.208,1.868,5.693,11.23,3.0,2.3531,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.3, 'nifty_filter': 'none'}",0.5,1.5,60,30,1272,0.7524,0.4893,-1.1098,1.34,3.324,9.423,118.69,24.1,5.4036,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.3, 'nifty_filter': 'none'}",1.0,1.5,60,30,1272,0.6289,0.8711,-1.0206,1.447,4.036,13.552,215.13,24.1,4.8782,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.3, 'nifty_filter': 'none'}",0.7,1.0,48,30,1272,0.6266,0.6499,-0.8265,1.319,3.237,9.894,125.4,24.1,4.4327,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_gap_up'}",0.5,1.5,60,30,667,0.7706,0.4891,-1.1134,1.476,4.74,9.332,81.04,12.6,5.5477,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_gap_up'}",1.0,1.5,60,30,667,0.6507,0.8638,-1.0184,1.58,5.595,9.264,137.62,12.6,5.0152,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_gap_up'}",0.7,1.0,48,30,667,0.6522,0.6372,-0.8185,1.46,4.805,8.124,87.29,12.6,4.644,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_strong_both'}",0.5,1.5,60,30,316,0.7658,0.4922,-1.1353,1.418,4.138,9.557,35.1,6.0,4.6896,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_strong_both'}",1.0,1.5,60,30,316,0.6519,0.8609,-1.0224,1.577,5.351,6.57,64.87,6.0,4.4399,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_strong_both'}",0.7,1.0,48,30,316,0.6487,0.6423,-0.8109,1.463,4.891,6.709,41.67,6.0,4.0991,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_b3_change_pos'}",0.5,1.5,60,30,420,0.75,0.4947,-1.1514,1.289,2.835,7.345,34.94,8.0,4.3812,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_b3_change_pos'}",1.0,1.5,60,30,420,0.6286,0.8673,-1.0472,1.402,3.492,6.317,65.6,8.0,3.9926,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_b3_change_pos'}",0.7,1.0,48,30,420,0.6286,0.6545,-0.8662,1.279,2.86,11.964,37.66,8.0,3.6427,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.5, 'nifty_filter': 'none'}",0.5,1.5,60,30,898,0.7606,0.487,-1.1591,1.335,2.991,6.972,83.43,17.0,5.1785,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.5, 'nifty_filter': 'none'}",1.0,1.5,60,30,898,0.6269,0.8841,-1.0599,1.402,3.449,11.258,142.68,17.0,4.4831,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.5, 'nifty_filter': 'none'}",0.7,1.0,48,30,898,0.618,0.6602,-0.8495,1.258,2.381,13.03,75.04,17.0,3.9645,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_gap_up'}",0.5,1.5,60,30,482,0.778,0.4884,-1.1681,1.465,4.345,7.877,58.17,9.1,5.2844,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_gap_up'}",1.0,1.5,60,30,482,0.6494,0.877,-1.0621,1.529,4.978,9.087,95.01,9.1,4.603,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_gap_up'}",0.7,1.0,48,30,482,0.6494,0.6512,-0.8363,1.442,4.058,11.462,62.49,9.1,4.3407,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_strong_both'}",0.5,1.5,60,30,218,0.7798,0.4942,-1.242,1.409,3.824,9.49,24.41,4.1,4.4423,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_strong_both'}",1.0,1.5,60,30,218,0.6743,0.896,-1.1049,1.679,5.922,8.897,53.26,4.1,4.5758,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_strong_both'}",0.7,1.0,48,30,218,0.6697,0.6693,-0.8283,1.638,5.321,6.812,38.07,4.1,4.435,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_b3_change_pos'}",0.5,1.5,60,30,308,0.75,0.4928,-1.1833,1.249,2.359,5.828,22.72,5.8,4.0292,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_b3_change_pos'}",1.0,1.5,60,30,308,0.6201,0.8822,-1.0784,1.335,2.853,9.29,42.32,5.8,3.561,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_b3_change_pos'}",0.7,1.0,48,30,308,0.6201,0.6674,-0.886,1.23,2.123,8.343,23.81,5.8,3.0938,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 1.0, 'nifty_filter': 'none'}",0.5,1.5,60,30,378,0.7778,0.4942,-1.1804,1.465,3.208,5.321,46.15,7.2,5.0756,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 1.0, 'nifty_filter': 'none'}",1.0,1.5,60,30,378,0.6323,0.9185,-1.0941,1.444,3.32,9.88,67.45,7.2,4.0644,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 1.0, 'nifty_filter': 'none'}",0.7,1.0,48,30,378,0.6402,0.6713,-0.8749,1.365,2.951,6.232,43.47,7.2,3.8927,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_gap_up'}",0.5,1.5,60,30,198,0.803,0.4945,-1.1969,1.684,4.807,5.821,31.95,3.8,5.3698,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_gap_up'}",1.0,1.5,60,30,198,0.6515,0.9129,-1.1064,1.543,4.45,11.35,41.42,3.8,3.99,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_gap_up'}",0.7,1.0,48,30,198,0.697,0.6596,-0.8493,1.786,6.238,5.235,40.06,3.8,4.9425,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_strong_both'}",0.5,1.5,60,29,85,0.8118,0.499,-1.2716,1.692,5.331,3.336,14.08,1.7,4.589,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_strong_both'}",1.0,1.5,60,29,85,0.6941,0.9348,-1.1346,1.87,6.875,5.664,25.65,1.7,4.3352,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_strong_both'}",0.7,1.0,48,29,85,0.7176,0.6684,-0.8411,2.02,9.183,3.479,20.58,1.7,4.8421,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_b3_change_pos'}",0.5,1.5,60,29,154,0.7597,0.4994,-1.2357,1.278,2.122,5.381,12.71,3.0,3.4629,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_b3_change_pos'}",1.0,1.5,60,29,154,0.6104,0.9229,-1.1226,1.288,2.203,7.437,19.4,3.0,2.9122,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'ema9_touch', 'rsi_floor': 50, 'gap_min_pct': 1.0, 'nifty_filter': 'nifty_b3_change_pos'}",0.7,1.0,48,29,154,0.6234,0.6785,-0.9123,1.231,2.034,5.693,12.23,3.0,2.6244,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'none'}",0.5,1.5,60,30,1369,0.7765,0.4886,-1.0841,1.566,4.927,8.0,187.6,25.9,6.5847,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'none'}",1.0,1.5,60,30,1369,0.6406,0.8633,-1.008,1.527,4.643,8.081,261.2,25.9,5.2979,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'none'}",0.7,1.0,48,30,1369,0.6479,0.6509,-0.8337,1.437,4.473,7.094,175.48,25.9,5.0424,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_gap_up'}",0.5,1.5,60,30,730,0.7945,0.4871,-1.0645,1.769,7.011,5.065,122.83,13.8,6.9522,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_gap_up'}",1.0,1.5,60,30,730,0.6493,0.8562,-0.9802,1.618,5.979,7.849,154.94,13.8,5.1944,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_gap_up'}",0.7,1.0,48,30,730,0.6603,0.6396,-0.8415,1.477,5.723,7.72,99.59,13.8,4.8238,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_strong_both'}",0.5,1.5,60,30,342,0.8041,0.4848,-1.0102,1.97,8.183,4.734,65.63,6.5,6.9341,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_strong_both'}",1.0,1.5,60,30,342,0.6491,0.82,-0.9529,1.592,5.485,10.204,67.69,6.5,4.5245,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_strong_both'}",0.7,1.0,48,30,342,0.655,0.6298,-0.8397,1.424,5.471,6.438,42.0,6.5,4.0831,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_b3_change_pos'}",0.5,1.5,60,30,428,0.75,0.4904,-1.1162,1.318,2.899,7.142,37.99,8.1,4.494,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_b3_change_pos'}",1.0,1.5,60,30,428,0.6238,0.8478,-1.0586,1.328,2.979,11.161,55.94,8.1,3.7669,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.3, 'nifty_filter': 'nifty_b3_change_pos'}",0.7,1.0,48,30,428,0.6379,0.6509,-0.8692,1.319,3.447,7.447,42.97,8.1,3.8246,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'none'}",0.5,1.5,60,30,972,0.7675,0.49,-1.1034,1.466,3.842,8.233,116.19,18.4,5.8058,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'none'}",1.0,1.5,60,30,972,0.6296,0.8837,-1.0387,1.446,3.794,11.22,166.91,18.4,4.6993,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'none'}",0.7,1.0,48,30,972,0.6337,0.6562,-0.8565,1.326,3.232,9.101,99.33,18.4,4.3357,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_gap_up'}",0.5,1.5,60,30,529,0.7807,0.489,-1.0598,1.643,5.485,5.428,79.01,10.0,6.0335,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_gap_up'}",1.0,1.5,60,30,529,0.6314,0.8949,-0.9835,1.559,5.156,6.428,107.11,10.0,4.6295,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_gap_up'}",0.7,1.0,48,30,529,0.6427,0.65,-0.8626,1.356,4.161,8.241,57.96,10.0,4.0988,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_strong_both'}",0.5,1.5,60,30,235,0.8085,0.4893,-0.9815,2.105,7.992,4.248,48.8,4.5,6.974,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_strong_both'}",1.0,1.5,60,30,235,0.6553,0.8718,-0.9236,1.795,6.661,7.539,59.45,4.5,4.8196,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_strong_both'}",0.7,1.0,48,30,235,0.6596,0.6362,-0.8775,1.405,5.612,9.507,28.41,4.5,3.7967,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_b3_change_pos'}",0.5,1.5,60,30,312,0.7308,0.4911,-1.0725,1.243,2.117,7.642,21.88,5.9,3.6836,0
full,trend_pullback_long,"{'bar_max': 15, 'pullback_mode': 'vwap_within_0p3', 'rsi_floor': 45, 'gap_min_pct': 0.5, 'nifty_filter': 'nifty_b3_change_pos'}",1.0,1.5,60,30,312,0.6026,0.882,-1.048,1.276,2.476,8.389,35.87,5.9,3.3136,0
