symbol,n_trades,win_rate,profit_factor,avg_ret,total_ret
DLF,57,0.614,0.902,-0.0315,-1.794
HATSUN,49,0.6122,0.658,-0.1524,-7.469
CENTURYPLY,49,0.6122,0.735,-0.1075,-5.265
BOSCHLTD,49,0.6122,0.895,-0.035,-1.717
RALLIS,67,0.6119,0.651,-0.1559,-10.447
NAM-INDIA,85,0.6118,0.677,-0.1462,-12.428
SIS,54,0.6111,0.752,-0.1007,-5.437
PTC,82,0.6098,0.663,-0.1454,-11.921
HERITGFOOD,64,0.6094,0.784,-0.082,-5.245
SJVN,69,0.6087,0.614,-0.1909,-13.171
LTTS,56,0.6071,0.853,-0.0521,-2.919
ASIANPAINT,33,0.6061,0.79,-0.0748,-2.469
FINCABLES,66,0.6061,0.742,-0.1034,-6.826
M&M,53,0.6038,0.879,-0.0379,-2.011
SUNDARMFIN,68,0.6029,0.687,-0.1361,-9.253
RCF,93,0.6022,0.658,-0.1539,-14.311
ACC,45,0.6,0.753,-0.0962,-4.329
CANFINHOME,65,0.6,0.658,-0.146,-9.488
BEL,65,0.6,0.894,-0.0348,-2.261
IOB,55,0.6,0.708,-0.114,-6.271
REDINGTON,77,0.5974,0.565,-0.2298,-17.692
KNRCON,67,0.597,0.699,-0.1256,-8.418
KTKBANK,62,0.5968,0.722,-0.1107,-6.862
INDHOTEL,57,0.5965,0.693,-0.1324,-7.545
SBIN,47,0.5957,1.62,0.1105,5.192
TCS,37,0.5946,0.854,-0.0443,-1.641
APOLLOHOSP,32,0.5938,0.843,-0.0498,-1.593
ATUL,32,0.5938,0.635,-0.1709,-5.47
SBILIFE,27,0.5926,0.784,-0.0772,-2.084
MHRIL,54,0.5926,0.646,-0.1625,-8.777
ORIENTCEM,49,0.5918,0.73,-0.1068,-5.233
INFY,61,0.5902,0.913,-0.0263,-1.606
FEDERALBNK,39,0.5897,0.883,-0.0383,-1.493
COROMANDEL,56,0.5893,0.645,-0.1589,-8.9
YESBANK,46,0.587,0.772,-0.0867,-3.99
JYOTHYLAB,41,0.5854,0.618,-0.1737,-7.121
ABBOTINDIA,41,0.5854,0.657,-0.1398,-5.733
MRPL,89,0.5843,0.64,-0.164,-14.595
ADANIENT,60,0.5833,0.888,-0.0369,-2.216
HINDPETRO,81,0.5802,0.588,-0.2033,-16.464
NHPC,81,0.5802,0.692,-0.1291,-10.456
METROPOLIS,38,0.5789,0.638,-0.164,-6.23
HAVELLS,47,0.5745,0.66,-0.1393,-6.548
BANKBARODA,61,0.5738,0.755,-0.0897,-5.471
NIFTY50,7,0.5714,0.978,-0.0064,-0.045
KPITTECH,65,0.5692,0.508,-0.2727,-17.722
BAJAJ-AUTO,44,0.5682,0.946,-0.0162,-0.715
KOTAKBANK,39,0.5641,0.991,-0.0025,-0.097
NILKAMAL,71,0.5634,0.571,-0.1975,-14.024
NFL,81,0.5556,0.604,-0.1818,-14.726
TATASTEEL,60,0.55,0.819,-0.0609,-3.653
SKFINDIA,51,0.549,0.684,-0.1198,-6.112
AAVAS,42,0.5476,0.536,-0.2368,-9.945
VSTIND,53,0.5472,0.591,-0.1844,-9.774
HEIDELBERG,44,0.5455,0.725,-0.0976,-4.294
PGHH,24,0.5417,0.423,-0.2865,-6.875
LINDEINDIA,61,0.541,0.485,-0.2876,-17.545
BPCL,65,0.5385,0.586,-0.1904,-12.373
IRCTC,39,0.5385,0.661,-0.138,-5.382
KAJARIACER,45,0.5333,0.446,-0.3182,-14.321
PNB,60,0.5333,0.623,-0.1592,-9.552
3MINDIA,53,0.5283,0.519,-0.237,-12.561
JINDALSTEL,61,0.5246,0.516,-0.2394,-14.606
PIDILITIND,35,0.5143,0.652,-0.135,-4.727
DABUR,28,0.5,0.473,-0.2692,-7.538
CONCOR,56,0.4821,0.46,-0.2827,-15.829
ITC,27,0.4815,0.54,-0.1786,-4.823
LUPIN,54,0.4815,0.5,-0.2259,-12.197
HDFCBANK,37,0.4595,0.668,-0.0962,-3.558
GUJGASLTD,48,0.4583,0.405,-0.3128,-15.013
BANKNIFTY,18,0.4444,0.823,-0.0417,-0.751
SANOFI,41,0.439,0.538,-0.1782,-7.305
HONAUT,59,0.3898,0.305,-0.438,-25.84
